0100000012	يارىتىلىش
0614070116	شۇنىڭ بىلەن ئۇلار نافتالى تاغلىق يۇرتىدىكى كەدەشنى، ئەفرائىمنىڭ تاغلىق يۇرتىدىكى شەكەمنى ۋە يەھۇدانىڭ تاغلىق يۇرتىدىكى كىرىئات-ئاربا، يەنى ھېبروننى،
06140801b4	يېرىخونىڭ شەرق تەرىپىدىكى، ئىئوردان دەرياسىنىڭ ئۇ قېتىدىكى رۇبەن قەبىلىسىنىڭ زېمىنىدىن تۈزلەڭلىكنىڭ چۆلىدىكى بەزەرنى، گاد قەبىلىسىنىڭ زېمىنىدىن گىلېئادتىكى راموتنى ۋە ماناسسەھ قەبىلىسىنىڭ زېمىنىدىن باشاندىكى گولاننى تاللاپ بېكىتتى.
0614090253	مانا بۇ شەھەرلەر بارلىق ئىسرائىللار ۋە ئۇلارنىڭ ئارىسىدا تۇرۇۋاتقان مۇساپىرلار ئۈچۈن پاناھگاھ بولۇشقا بىكىتىلگەن شەھەرلەردۇر؛ كىمكى بىلمەي، تاسادىپىيلىقتىن ئادەم ئۆلتۈرگەن بولسا، ئۇنىڭ جامائەت ئالدىدا سوراق قىلىنىشىدىن بۇرۇن، قان قىساسكارنىڭ قولىدا ئۆلمەسلىكى ئۈچۈن شۇ شەھەرلەرگە قېچىپ كېتىشكە بۇ شەھەرلەر بېكىتىلگەن.
06150100ff	ئۇ ۋاقىتتا لاۋىي جەمەتلىرىنىڭ كاتتىۋاشلىرى كاھىن ئەلىئازار، نۇننىڭ ئوغلى يەشۇئا ۋە ئىسرائىل قەبىلىلىرىنىڭ كاتتىۋاشلىرىنىڭ قېشىغا بېرىپ،
061502014e	قانائان زېمىنىدىكى شىلوھدا ئۇلارغا: ــ مۇسانىڭ ۋاسىتىسى ئارقىلىق پەرۋەردىگار بىز توغرۇلۇق: «ئۇلارغا تۇرۇشقا شەھەرلەرنى، ماللىرى ئۈچۈن يايلاقلارنى قوشۇپ بەرگىن»، دەپ ئېيتقان، دېدى.
06150300fb	شۇنى دېۋىدى، ئىسرائىللار پەرۋەردىگارنىڭ ئەمرى بويىچە ئۆز مىراس ئۈلۈشلىرىدىن مۇنۇ شەھەرلەر بىلەن يايلاقلارنى قوشۇپ لاۋىيلارغا بەردى: ــ
061504017c	بىرىنچى تاشلانغان چەك كوھات جەمەتلىرىگە چىقتى؛ چەك تاشلىنىپ، لاۋىيلار ئىچىدىكى كاھىن ھارۇننىڭ ئەۋلادلىرىغا يەھۇدا قەبىلىسى، شىمېئون قەبىلىسى ۋە بىنيامىن قەبىلىسىنىڭ زېمىنلىرىدىن ئون ئۈچ شەھەر بېكىتىلدى؛
0615050151	ئاندىن كوھاتنىڭ قالغان ئەۋلادلىرىغا چەك تاشلىنىپ، ئەفرائىم قەبىلە-جەمەتلىرىنىڭ زېمىنىدىن، دان قەبىلىسىنىڭ زېمىنىدىن ۋە ماناسسەھ يېرىم قەبىلىسىنىڭ زېمىنلىرىدىن ئون شەھەر بېكىتىلدى.
061506018f	گەرشوننىڭ ئەۋلادلىرىغا چەك تاشلىنىپ، ئىسساكار قەبىلە-جەمەتلىرىنىڭ زېمىنىدىن، ئاشىر قەبىلىسىنىڭ زېمىنىدىن، نافتالى قەبىلىسىنىڭ زېمىنىدىن ۋە ماناسسەھنىڭ يەنە بىر يېرىم قەبىلىسىنىڭ زېمىنىدىن ئون ئۈچ شەھەر بېكىتىلدى.
061507014b	مەرارىنىڭ ئەۋلادلىرىغا، جەمەت-ئائىلىلىرى بويىچە چەك تاشلىنىپ، رۇبەن قەبىلىسىنىڭ زېمىنىدىن، گاد قەبىلىسىنىڭ زېمىنىدىن ۋە زەبۇلۇن قەبىلىسىنىڭ زېمىنىدىن ئون ئىككى شەھەر بېكىتىلدى.
0615080103	بۇ تەرىقىدە پەرۋەردىگار مۇسانىڭ ۋاسىتىسى بىلەن بۇيرۇغىنىدەك ئىسرائىللار چەك تاشلاپ بۇ شەھەرلەر بىلەن يايلاقلىرىنى قوشۇپ، لاۋىيلارغا بەردى.
06150900cd	ئۇلار يەھۇدانىڭ قەبىلىسى بىلەن شىمېئوننىڭ قەبىلىسىنىڭ زېمىنىدىن تۆۋەندە تىزىملانغان مۇنۇ شەھەرلەرنى بەردى: ــ
06150a00f6	(چەك تاشلانغاندا، لاۋىيلارنىڭ نەسلى بولغان كوھاتلار جەمەتىدىكى ھارۇننىڭ ئەۋلادلىرىغا بىرىنچى چەك چىققاچقا مۇنۇ شەھەرلەر بېرىلدى): ــ
06150b00f9	ئۇلارغا يەھۇدانىڭ تاغلىق رايونىدىكى كىرىئات-ئاربا (ئاربا ئاناكنىڭ ئاتىسى ئىدى)، يەنى ھېبرون بىلەن ئەتراپىدىكى يايلاقلارنى قوشۇپ بەردى.
06150c00b1	لېكىن شەھەرگە تەۋە ئېتىزلار بىلەن كەنت-قىشلاقلارنى يەفۇننەھنىڭ ئوغلى كالەبكە مىراس قىلىپ بەردى.
06150d0124	شۇنداق قىلىپ ئۇلار ھارۇن كاھىننىڭ ئەۋلادلىرىغا ئادەم ئۆلتۈرگەن كىشىلەر پاناھلىنىدىغان شەھەر ھېبرون ۋە يايلاقلىرىنى، يەنە ئۇلارغا لىبناھ بىلەن يايلاقلىرىنى،
06150e006b	ياتتىر بىلەن يايلاقلىرىنى، ئەشتەموئا بىلەن يايلاقلىرىنى،
06150f0061	ھولون بىلەن يايلاقلىرىنى، دەبىر بىلەن يايلاقلىرىنى،
0615100119	ئايىن بىلەن يايلاقلىرىنى، يۇتتاھ بىلەن يايلاقلىرىنى، بەيت-شەمەش بىلەن يايلاقلىرىنى بەردى؛ بۇ ئىككى قەبىلىنىڭ زېمىنلىرىدىن جەمئىي توققۇز شەھەرنى بەردى.
06151100c5	مۇندىن باشقا ئۇلارغا بىنيامىن قەبىلىسىنىڭ زېمىنىدىن گىبېئون بىلەن يايلاقلىرىنى، گېبا بىلەن يايلاقلىرىنى،
061512009b	ئاناتوت بىلەن يايلاقلىرىنى، ئالمون بىلەن يايلاقلىرىنى قوشۇپ جەمئىي تۆت شەھەر بەردى.
06151300ea	بۇ تەرىقىدە كاھىنلار، يەنى ھارۇننىڭ ئەۋلادلىرىغا بېرىلگەن شەھەرلەر ئون ئۈچ بولدى؛ بۇلار ئەتراپىدىكى يايلاقلىرى بىلەن بېرىلدى.
0615140155	ئۇلار يەنە لاۋىيلارنىڭ نەسلىدىن بولغان كوھاتنىڭ قالغان جەمەتلىرىگىمۇ شەھەرلەرنى بەردى. چەك تاشلاش بىلەن ئۇلارغا بېكىتىلگەن شەھەرلەر مۇنۇلار: ــ ئۇلارغا ئەفرائىم قەبىلىسىنىڭ زېمىنىدىن
06151500f4	ئەفرائىمنىڭ تاغلىق رايونىدىكى ئادەم ئۆلتۈرگەن كىشىلەر پاناھلىنىدىغان شەھەر شەكەم بىلەن يايلاقلىرىنى، يەنە گەزەر بىلەن يايلاقلىرى،
06151600a6	كىبزائىم بىلەن يايلاقلىرى ۋە بەيت-ھورون بىلەن يايلاقلىرى بولۇپ، جەمئىي تۆت شەھەرنى بەردى؛
06151700b2	بۇنىڭدىن باشقا دان قەبىلىسىنىڭ زېمىنىدىن ئەلتەكەھ بىلەن يايلاقلىرى، گىببېتون بىلەن يايلاقلىرى،
06151800a5	ئايجالون بىلەن يايلاقلىرى ۋە گات-رىممون بىلەن يايلاقلىرى بولۇپ، جەمئىي تۆت شەھەرنى بەردى.
0615190106	بۇنىڭدىن باشقا ماناسسەھ يېرىم قەبىلىسىنىڭ زېمىنىدىن تائاناق بىلەن يايلاقلىرى، گات-رىممون بىلەن يايلاقلىرى بولۇپ، جەمئىي ئىككى شەھەرنى بەردى.
06151a00d8	بۇ تەرىقىدە كوھاتلارنىڭ قالغان جەمەتلىرىگە بېرىلگەن شەھەرلەر ئون بولدى؛ بۇلار ئەتراپىدىكى يايلاقلىرى بىلەن بېرىلدى.
06151b01ce	لاۋىيلارنىڭ جەمەتلىرىدىن بولغان گەرشونلارغا بولسا ئۇلار ماناسسەھنىڭ يېرىم قەبىلىسىنىڭ زېمىنىدىن ئادەم ئۆلتۈرگەن كىشىلەر پاناھلىنىدىغان شەھەر باشاندىكى گولان بىلەن يايلاقلىرىنى، شۇنداقلا بەئەشتېراھ بىلەن يايلاقلىرىنى، جەمئىي ئىككى شەھەرنى بەردى؛
06151c00a5	يەنە ئىسساكار قەبىلىسىنىڭ زېمىنىدىن كىشىئون بىلەن يايلاقلىرى، دابىرات بىلەن يايلاقلىرى،
06151d00a2	يارمۇت بىلەن يايلاقلىرى ۋە ئەن-گاننىم بىلەن يايلاقلىرى بولۇپ، جەمئىي تۆت شەھەرنى بەردى؛
06151e00ac	بۇنىڭدىن باشقا ئاشىر قەبىلىسىنىڭ زېمىنىدىن مىشال بىلەن يايلاقلىرى، ئابدون بىلەن يايلاقلىرى،
06151f00a4	ھەلكات بىلەن يايلاقلىرى ۋە رەھوب بىلەن يايلاقلىرى بولۇپ، جەمئىي بولۇپ تۆت شەھەرنى بەردى؛
06152001b7	بۇنىڭدىن باشقا نافتالى قەبىلىسىنىڭ زېمىنىدىن ئادەم ئۆلتۈرگەن كىشىلەر پاناھلىنىدىغان شەھەر گالىلىيەدىكى كەدەش بىلەن يايلاقلىرىنى، يەنە ھامموت-دور بىلەن يايلاقلىرى ۋە كارتان بىلەن ئەتراپىدىكى يايلاقلىرى بولۇپ، جەمىئىي ئۈچ شەھەرنى بەردى.
06152100bb	بۇ تەرىقىدە گەرشونلارغا بېرىلگەن شەھەرلەر ئون ئۈچ بولدى؛ بۇلار ئەتراپىدىكى يايلاقلىرى بىلەن بېرىلدى.
06152200f1	قالغان لاۋىيلارغا، يەنى مەرارىلار جەمەتلىرىگە زەبۇلۇن قەبىلىسىنىڭ زېمىنىدىن يوكنېئام بىلەن يايلاقلىرى، كارتاھ بىلەن يايلاقلىرى،
061523009c	دىمناھ بىلەن يايلاقلىرى ۋە ناھالال بىلەن يايلاقلىرى بولۇپ، جەمئىي تۆت شەھەرنى بەردى.
06152400aa	بۇنىڭدىن باشقا رۇبەن قەبىلىسىنىڭ زېمىنىدىن بەزەر بىلەن يايلاقلىرى، ياھاز بىلەن يايلاقلىرى،
061525009e	كەدەموت بىلەن يايلاقلىرى ۋە مەفائات بىلەن يايلاقلىرى بولۇپ، جەمئىي تۆت شەھەرنى بەردى.
0615260127	بۇنىڭدىن باشقا گاد قەبىلىسىنىڭ زېمىنىدىن ئادەم ئۆلتۈرگەن كىشىلەر پاناھلىنىدىغان شەھەر گىلېئادتىكى راموت بىلەن يايلاقلىرىنى، يەنە ماھانايىم بىلەن يايلاقلىرى،
061527009c	ھەشبون بىلەن يايلاقلىرى ۋە جائازەر بىلەن يايلاقلىرى بولۇپ، جەمئىي تۆت شەھەرنى بەردى.
0615280133	بۇلار بولسا قالغان لاۋىيلارنىڭ جەمەتلىرىگە، يەنى مەرارىلار جەمەتلىرىگە بېرىلگەن بارلىق شەھەرلەردۇر؛ ئۇلارغا چەك تاشلىنىش بىلەن بېرىلگەن ئۈلۈشى ئون ئىككى شەھەر ئىدى.
0615290100	ئىسرائىللارنىڭ زېمىنى ئىچىدىن لاۋىيلارغا بېكىتىپ بېرىلگەن شەھەرلەر جەمئىي قىرىق سەككىز ئىدى؛ بۇلار ئەتراپىدىكى يايلاقلىرى بىلەن بېرىلدى.
06152a00a7	بۇ شەھەرلەرنىڭ ھەربىرىنىڭ ئەتراپىدا يايلاقلىرى بار ئىدى؛ شەھەرلەرنىڭ ھەممىسى شۇنداق ئىدى.
06152b012c	پەرۋەردىگار شۇ تەرىقىدە ئىسرائىللارنىڭ ئاتا-بوۋىلىرىغا بېرىشكە قەسەم بىلەن ۋەدە قىلغان پۈتكۈل زېمىننى ئۇلارغا بەردى؛ ئۇلار كېلىپ ئۇنى ئىگىلەپ، ئۇ يەردە ئولتۇردى.
06152c0201	ئۇ ۋاقىتتا پەرۋەردىگار ئىلگىرى ئۇلارنىڭ ئاتا-بوۋىلىرىغا قەسەم بىلەن ۋەدە قىلغىنىدەك، ئۇلارغا ھەر ئەتراپىدا تىنچ-ئاراملىق بەردى؛ ئۇلارنىڭ دۈشمەنلىرىدىن ھېچقاندىقى ئۇلارنىڭ ئالدىدا قەددىنى رۇسلاپ تىك تۇرالمايتتى؛ بەلكى پەرۋەردىگار ھەممە دۈشمەنلىرىنى ئۇلارنىڭ قولىغا تاپشۇردى.
06152d00be	پەرۋەردىگارنىڭ ئىسرائىلنىڭ جەمەتىگە ۋەدە قىلغان ھىممەتلىرىدىن ھېچبىرى قالدۇرۇلماي ئەمەلگە ئاشۇرۇلدى.
06160100a8	ئۇ ۋاقىتتا يەشۇئا رۇبەنلەر، گادلار ۋە ماناسسەھ يېرىم قەبىلىسىدىكىلەرنى چاقىرىپ ئۇلارغا: ــ
0616020123	سىلەر بولساڭلار پەرۋەردىگارنىڭ قۇلى مۇسانىڭ سىلەرگە بۇيرۇغىنىنىڭ ھەممىسىگە ئەمەل قىلدىڭلار، مېنىڭ سىلەرگە ئەمر قىلغان بارلىق سۆزلىرىمگىمۇ قۇلاق سالدىڭلار؛
061603011d	سىلەر بۇ نۇرغۇن كۈنلەردە تاكى بۈگۈنگە قەدەر قېرىنداشلىرىڭلارنى تاشلىۋەتمەي، بەلكى پەرۋەردىگار خۇدايىڭلار [سىلەرگە] ئەمر قىلغان ۋەزىپىنى تۇتۇپ كەلدىڭلار؛
061604019f	ئەمدى پەرۋەردىگار خۇدايىڭلار ۋەدە قىلغىنىدەك، قېرىنداشلىرىڭلارغا ئاراملىق بەردى؛ شۇڭا سىلەر پەرۋەردىگارنىڭ قۇلى مۇسا ئىئوردان دەرياسىنىڭ ئۇ تەرىپىدە سىلەرگە بەرگەن مىراس زېمىنىڭلارغا، ئۆز چېدىرلىرىڭلارغا قايتىپ بېرىڭلار.
0616050229	پەقەتلا پەرۋەردىگارنىڭ قۇلى مۇسا سىلەرگە بۇيرۇپ تاپشۇرغان قانۇن-ئەمرلەرگە ئەمەل قىلىشقا، يەنى پەرۋەردىگار خۇدايىڭلارنى سۆيۈپ، ئۇنىڭ بارلىق يوللىرىدا مېڭىپ، ئەمرلىرىنى تۇتۇپ ئۇنىڭغا باغلىنىپ، پۈتۈن قەلبىڭلار ۋە پۈتۈن جان-دىلىڭلار بىلەن ئۇنىڭ خىزمىتىدە بولۇشقا ئىخلاس بىلەن كۆڭۈل بۆلۈڭلار، ــ دېدى.
06160600b4	شۇنىڭ بىلەن يەشۇئا ئۇلارنى بەخت-بەرىكەت تىلەپ، يولغا سالدى؛ ئۇلار ئۆز چېدىرلىرىغا قايتىپ كېتىشتى.
0616070226	ماناسسەھ يېرىم قەبىلىسىگە بولسا مۇسا ئۇلارغا باشاننى مىراس قىلىپ بەرگەنىدى؛ يەنە بىر يېرىم قەبىلىگە يەشۇئا ئىئوردان دەرياسىنىڭ بۇ قېتى، يەنى غەرب تەرىپىدە ئۇلارنىڭ قېرىنداشلىرىنىڭ ئارىسىدا مىراس بەردى. يەشۇئا ئۇلارنى ئۆز چېدىرلىرىغا قايتىش يولىغا سالغان ۋاقتىدا، ئۇ ئۇلارغىمۇ بەخت-بەرىكەت تىلەپ،
06160801d3	ئۇلارغا: ــ ئىنتايىن كۆپ بايلىقلار، ئىنتايىن كۆپ چارپايلارنى، شۇنداقلا كۆپ مىقداردا كۈمۈش، ئالتۇن، مىس، تۆمۈر ۋە كىيىم-كېچەكلەرنى ئېلىپ، ئۆز چېدىرىڭلارغا قايتىپ بېرىڭلار؛ دۈشمەنلىرىڭلاردىن ئالغان ئولجىنى قېرىنداشلىرىڭلارغا ئۈلەشتۈرۈپ بېرىڭلار، دېدى.
06160901d8	ئۇ ۋاقىتتا رۇبەنلەر، گادلار ۋە ماناسسەھ يېرىم قەبىلىسى قانائان زېمىنىدىكى شىلوھدىن چىقىپ ئىسرائىللاردىن ئايرىلىپ، پەرۋەردىگارنىڭ مۇسانىڭ ۋاسىتىسى بىلەن قىلغان ئەمرى بويىچە ئۇلارنىڭ تەئەللۇقاتى بولغان ئۆز مىراس زېمىنى گىلېئاد يۇرتىغا قاراپ قايتىپ ماڭدى.
06160a01a8	رۇبەنلەر، گادلار ۋە ماناسسەھ يېرىم قەبىلىسى قانائان زېمىنىدىكى ئىئوردان دەرياسىنىڭ بويىدىكى گەلىلوتقا يېتىپ كەلگەندە، ئۇ يەردە ئىئوردان دەرياسىنىڭ بويىدا بىر قۇربانگاھنى ياسىدى؛ قۇربانگاھ ناھايىتى چوڭ ۋە ھەيۋەتلىك ياسالغانىدى.
06160b017b	ئىسرائىللارغا: «مانا رۇبەنلەر، گادلار ۋە ماناسسەھ يېرىم قەبىلىسى قانائان زېمىنىدىكى ئىئوردان دەرياسىنىڭ ئۇ قېتىدىكى گەلىلوتتا، يەنى ئىسرائىللارنىڭ ئۇدۇلىدا بىر قۇربانگاھنى ياساپتۇ» دېگەن خەۋەر ئاڭلاندى.
06160c00c8	ئىسرائىللار بۇ خەۋەرنى ئاڭلىغان ھامان، ئۇلارنىڭ پۈتكۈل جامائىتى ئۇلار بىلەن ئۇرۇشۇش ئۈچۈن شىلوھقا توپلاندى.
06160d00f7	ئۇ ۋاقىتتا ئىسرائىللار كاھىن ئەلىئازارنىڭ ئوغلى فىنىھاسنى گىلېئاد زېمىنىدىكى رۇبەنلەر، گادلار ۋە ماناسسەھ يېرىم قەبىلىسىگە ماڭدۇردى
06160e0189	ۋە شۇنداقلا ئۇنىڭ بىلەن ئون ئەمىرنى، ئىسرائىلنىڭ ھەربىر قەبىلىسىدىن جەمەت باشلىقى بولغان بىردىن ئەمىرنى ئۇنىڭغا ھەمراھ قىلىپ ئەۋەتتى؛ ھەربىر ئەمىر ھەرقايسى ئاتا جەمەتتىكى مىڭلىغان ئىسرائىللارنىڭ كاتتىۋېشى ئىدى.
