0100000012	پەیدابوون
0404250144	ئەوانە تۆمارکراوەکانن لە خێڵەکانی قەهاتییەکان، هەموو ئەوانەی لە چادری چاوپێکەوتندا خزمەت دەکەن، ئەوانەی موسا و هارون بەگوێرەی فەرمایشتی یەزدان لەسەر دەستی موسا تۆماریان کردن.
040426007e	تۆمارکراوەکانی نەوەی گێرشۆنیش بەگوێرەی خێڵەکانیان و بنەماڵەکانیان،
04042700c5	لە پیاوی سی ساڵ بەرەو سەرەوە هەتا پەنجا ساڵ، هەموو ئەوانەی دەچنە خزمەتەوە بۆ خزمەتکردن لە چادری چاوپێکەوتن،
04042800a0	تۆمارکراوەکانیان بەگوێرەی خێڵەکانیان و بنەماڵەکانیان دوو هەزار و شەش سەد و سی کەس بوون.
0404290126	ئەوانە تۆمارکراوەکانن لە خێڵەکانی نەوەی گێرشۆن، هەموو ئەوانەی لە چادری چاوپێکەوتندا خزمەت دەکەن، ئەوانەی موسا و هارون بەگوێرەی فەرمایشتی یەزدان تۆماریان کردن.
04042a008a	تۆمارکراوان لە خێڵەکانی نەوەی مەراریش بەگوێرەی خێڵەکانیان و بنەماڵەکانیان
04042b00c9	لە پیاوی سی ساڵ بەرەو سەرەوە هەتا پەنجا ساڵ، هەموو ئەوانەی دەچنە خزمەتەوە بۆ خزمەتکردن لە چادری چاوپێکەوتندا،
04042c0078	تۆمارکراوەکانیان بەگوێرەی خێڵەکانیان سێ هەزار و دوو سەد کەس بوون.
04042d00de	ئەوانە تۆمارکراوەکانن لە خێڵەکانی نەوەی مەراری کە موسا و هارون بەگوێرەی فەرمایشتی یەزدان لەسەر دەستی موسا تۆماریان کردن.
04042e00e1	هەموو تۆمارکراوەکانی لێڤییەکان کە موسا و هارون و سەرکردەکانی ئیسرائیل تۆماریان کردن بەگوێرەی خێڵەکانیان و بنەماڵەکانیان،
04042f00eb	لە پیاوی سی ساڵ بەرەو سەرەوە هەتا پەنجا ساڵ، هەموو ئەوانەی دەچنە خزمەتەوە بۆ کاری خزمەت و کاری بارهەڵگرتن لە چادری چاوپێکەوتندا،
0404300067	تۆمارکراوان لێیان هەشت هەزار و پێنج سەد و هەشتا کەس بوون.
040431011c	بەپێی فەرمایشتی یەزدان لەسەر دەستی موسا، هەرکەسێک بەگوێرەی خزمەتەکەی و بارهەڵگرتنەکەی تۆمارکرا. بەم شێوەیە موسا تۆماری کردن وەک چۆن یەزدان فەرمانی پێ کرد.
040501002a	یەزدان بە موسای فەرموو:
0405020121	«فەرمان بە نەوەی ئیسرائیل بکە کە هەرکەسێک نەخۆشی گواستراوەی پێست یان ئەوەی لێچوونی گڵاوی هەبێت، یان ئەوەی بە مردوو گڵاو بووبێت، لە ئۆردوگاکە دووریان بخەنەوە.
04050300d8	نێر و مێ دوور دەخەنەوە، بۆ دەرەوەی ئۆردوگا دووریان دەخەنەوە هەتا ئۆردوگاکانیان گڵاو نەکەن کە من لەنێویاندا نیشتەجێم.»
04050400f5	جا نەوەی ئیسرائیل ئاوایان کرد و بۆ دەرەوەی ئۆردوگاکە دووریان خستنەوە، هەروەک چۆن یەزدان لەگەڵ موسادا دوا، نەوەی ئیسرائیل ئاوایان کرد.
040505002a	یەزدان بە موسای فەرموو:
0405060105	«بە نەوەی ئیسرائیل بڵێ:”ئەگەر پیاوێک یان ئافرەتێک گوناهێک لە گوناهەکانی مرۆڤ بکات، واتا ناپاکی لەگەڵ یەزدان کرد، ئەوا ئەو کەسە تاوانی کردووە،
0405070119	با دان بە گوناهەکەیدا بنێت کە کردوویەتی و ئەوەی پێی تاوانبار بووە بە تەواوی بیگەڕێنێتەوە، پێنج یەکیشی بۆ زیاد بکات و بیداتە ئەوەی تاوانەکەی لە دژی کردووە.
0405080141	بەڵام ئەگەر ئەو کەسە مردوو بوو و خزمی نزیکی نەبوو هەتا وەریبگرێتەوە، ئەوا ئەوەی پێی تاوانبار بووە دەگەڕێتەوە بۆ یەزدان و بۆ کاهین دەبێت، لەگەڵ بەرانێک کە کەفارەتی پێ دەکات بۆی.
040509009c	هەموو پیتاکێک و دیارییەکی پیرۆزی نەوەی ئیسرائیل کە پێشکەشی کاهینی دەکەن بۆ ئەو دەبێت.
04050a00c7	هەموو دیارییە پیرۆزکراوەکانی مرۆڤیش بۆ خۆی دەبێت، بەڵام ئەگەر کەسێک شتێکی دا بە کاهین ئەوا بۆ کاهین دەبێت.“»
04050b002a	یەزدان بە موسای فەرموو:
04050c00a0	«لەگەڵ نەوەی ئیسرائیل بدوێ و پێیان بڵێ:”ئەگەر ژنی پیاوێک لەڕێ لایدا و ناپاکی لەگەڵ کرد،
04050d0120	لەگەڵ پیاوێک جووت بوو، ئەوەش لە چاوانی پیاوەکەی شاردراوە بوو و داوێنپیسییەکەی ئاشکرا نەبوو، هیچ شایەتێکیشی بەسەرەوە نەبوو، چونکە لەسەر کردارەکە نەگیرا بوو،
04050e00ec	کابراش ڕۆحی دڵپیسی دایگرت و لە ژنەکەی بە گومان بوو کە داوێنپیسە، یان ڕۆحی دڵپیسی دایگرت و لە ژنەکەی بە گومان بوو کە داوێنپیس نییە،
04050f0187	ئەوا پیاوەکە ژنەکەی دەهێنێتە لای کاهین و پێشکەشکراوەکەشی لەگەڵدا دەهێنێت، دەیەکی ئێفەیەک ئاردی جۆ نە زەیتی بەسەردا دەکات و نە بخوور، چونکە پێشکەشکراوی دانەوێڵەی دڵپیسییە و قوربانی یادگارییە، یادی تاوان دەکاتەوە.
040510006d	«”کاهینەکە ژنەکە دەهێنێتە پێش و لەبەردەم یەزدان ڕایدەگرێت.
04051100cd	کاهینەکە لە گۆزەیەکی گڵین ئاوێکی پیرۆز دەبات و لە تۆزی سەر زەوی چادرەکەی پەرستن هەڵدەگرێت و لەناو ئاوەکەی دەکات.
0405120178	کاهینەکە ژنەکە لەبەردەم یەزدان ڕادەگرێت و سەری ڕووت دەکاتەوە، پێشکەشکراوی دانەوێڵەی یادەوەرییەکە کە پێشکەشکراوی دانەوێڵەی دڵپیسییە دەکاتە ناو دەستی ژنەکە و ئاوە تاڵەکەی نەفرەتیش لە دەستی کاهینەکە دەبێت.
040513016c	ئینجا کاهینەکە ژنەکە سوێند دەدات و پێی دەڵێت:’ئەگەر هیچ پیاوێک لەگەڵت جووت نەبووە و بە دزی پیاوەکەت بەرەو داوێنپیسی لەڕێ لات نەداوە، لە کاتێکدا ژنی پیاوەکەتی ئەوا بێتاوان بە لەم ئاوەی نەفرەت کە تاڵە.
04051400bd	بەڵام ئەگەر بە دزی پیاوەکەت لەڕێ لاتداوە و گڵاو بوویت و پیاوێکی دیکە جیا لە مێردەکەت لەگەڵت جووت بووە،‘
040515013f	لێرە کاهینەکە ژنەکە بە سوێندی نەفرەت سوێند دەدات، کاهینەکە بە ژنەکە دەڵێت،’یەزدان دەتخاتە بەر نەفرەت و سوێند لەنێو گەلەکەت بەوەی کە یەزدان ڕانت لاواز دەکات و سکت دەئاوسێنێت.
04051600ab	ئەم ئاوەی نەفرەت دەچێتە ناو هەناوت بۆ ئاوسانی سک و لاوازی ڕان.‘«”ژنەش دەڵێت،’ئامین، ئامین.‘
0405170096	«”کاهینیش ئەم نەفرەتانە لە پەڕەیەک دەنووسێت، ئینجا لەناو ئاوە تاڵەکە دەیشواتەوە.
04051800b0	ئاوە تاڵەکەی نەفرەتیش دەرخواردی ژنەکە دەدات، ئاوەکەی نەفرەتیش دەچێتە ناوی و دەبێتە ئازاری تاڵی.
040519010c	کاهینەکە پێشکەشکراوی دانەوێڵەی دڵپیسییەکە لە دەستی ژنەکە وەردەگرێت و پێشکەشکراوەکە لەبەردەم یەزدان بەرز دەکاتەوە، ئینجا دەیباتە لای قوربانگاکە.
04051a00f6	کاهینەکە چنگێک بۆ یادەوەری لە دانەوێڵە پێشکەشکراوەکە دەبات و لەسەر قوربانگاکە دەیسووتێنێت، لەدوای ئەوە ئاوەکە دەرخواردی ژنەکە دەدات.
04051b0169	ئەگەر ژنەکە گڵاو بووبێت و ناپاکی لە پیاوەکەی کردبێت، کاتێک ئاوەکەی دەرخوارد دا، ئەوا ئاوە نەفرەتەکە دەبێتە ئازاری تاڵی، دەچێتە ناوی، سکی دەئاوسێت و ڕانی دەکەوێت، ژنەکە لەنێو گەلەکەی دەبێتە نەفرەت.
04051c0086	ئەگەر ژنەکەش گڵاو نەببوو بەڵکو پاک بوو، ئەوا بێتاوان دەبێت و سکی پڕ دەبێت.
04051d00d7	«”ئەمە فێرکردنەکەیە سەبارەت بە دڵپیسی، ئەگەر ژنێک بە دزی پیاوەکەی لەڕێ لایدا و گڵاو بوو، لە کاتێکدا ژنی پیاوەکەیەتی،
04051e00f7	یان ئەگەر پیاوێک ڕۆحی دڵپیسی دایگرت، جا دڵی لە ژنەکەی پیس کرد، ژنەکە لەبەردەم یەزدان ڕادەگیرێت و کاهینەکە هەموو ئەم فێرکردنەی بۆ دەکات.
04051f00af	جا پیاوەکە لە هەر هەڵەیەک بێتاوان دەبێت، بەڵام ئەو ژنە تاوانی گوناهی لە ئەستۆی خۆی هەڵدەگرێت.“»
040601002a	یەزدان بە موسای فەرموو:
04060200eb	«لەگەڵ نەوەی ئیسرائیل بدوێ و پێیان بڵێ:”ئەگەر پیاوێک یان ژنێک سوێندێکی تایبەتی خوارد بەوەی نەزر بکات، خۆی بۆ یەزدان تەرخان بکات.
04060300cb	لە شەراب و مەی خۆی دوور دەخاتەوە و سرکەی شەراب و سرکەی مەی ناخواتەوە و خۆشاوی ترێ ناخواتەوە و ترێ و کشمیش ناخوات.
04060400c7	هەموو ڕۆژانی خۆتەرخانکردنەکەی هیچ شتێک لە هەموو ئەوەی لە بەری مێو دروستدەکرێت ناخوات، تەنانەت تۆو و توێکڵیش.
040605011b	«”هەموو ڕۆژانی نەزر و خۆتەرخانکردنەکەی گوێزان بە سەریدا ناهێنرێت، پێویستە هەتا تەواوی ئەو ڕۆژانەی خۆی تەرخان کردووە بۆ یەزدان، پیرۆز بێت و قژی بهێڵێتەوە.
040606008a	«”هەموو ڕۆژانی خۆتەرخانکردنەکەی بۆ یەزدان لە لاشەی مردوو نزیک ناکەوێتەوە،
04060700cb	بۆ دایک و باوک و برا و خوشکیشی، خۆی گڵاو ناکات لە کاتی مردنیان، چونکە خۆتەرخانکردنی بۆ خودای خۆی بەسەر سەرەوەیە.
0406080061	هەموو ڕۆژانی خۆتەرخانکردنەکەی بۆ یەزدان پیرۆز دەبێت.
04060900ec	«”ئەگەر یەکێکیش کتوپڕ لەلای مرد و قژە تەرخانکراوەکەی گڵاوکرد، ئەوا لە ڕۆژی پاکبوونەوەکەی سەری دەتاشێت، لە ڕۆژی حەوتەم دەیتاشێت.
04060a00b2	لە ڕۆژی هەشتەمیش دوو کوکوختی یان دوو بێچووە کۆتر دەهێنێتە لای کاهین بۆ دەروازەی چادری چاوپێکەوتن.
04060b012c	کاهینیش یەکێکیان دەکاتە قوربانی گوناه و ئەوەی دیکە قوربانی سووتاندن و کەفارەتی بۆ دەکات لەو گوناهەی بەهۆی ئەو مردووەوە کردوویەتی و لەو ڕۆژەدا سەری تەرخان دەکاتەوە.
04060c0153	کاتێک ڕۆژانی خۆتەرخانکردنەکەی بۆ یەزدان تەرخان کردەوە، ئەوا بەرخێکی نێری یەک ساڵە وەک قوربانی تاوان دەهێنێت، بەڵام ڕۆژەکانی پێشتری هەژمارد ناکرێت، چونکە خۆتەرخانکردنەکەی گڵاو کردووە.
04060d0107	«”ئەمەش فێرکردنەکەیە دەربارەی ئەوەی خۆی تەرخان دەکات، ئەو ڕۆژەی ڕۆژانی خۆتەرخانکردنەکەی تەواو دەبێت دەهێنرێتە لای دەروازەی چادری چاوپێکەوتن.
04060e0141	جا قوربانییەکەی بۆ یەزدان پێشکەش دەکات، بەرخێکی نێری یەک ساڵەی ساغ بۆ قوربانی سووتاندن، بەرخێکی مێیەی یەک ساڵەی ساغ بۆ قوربانی گوناه، بەرانێکی بێ کەموکوڕی بۆ قوربانی هاوبەشی،
04060f0114	سەبەتەیەک نان بەبێ هەویرترش، کولێرە بە باشترین ئارد، زەیت شێلراو و ناسکە نانی بە زەیت چەورکراو، لەگەڵ پێشکەشکراوی دانەوێڵەیان و شەرابی پێشکەشکراویان.
04061000a6	«”جا کاهین لەبەردەم یەزدان پێشکەشی دەکات، قوربانی گوناهەکە و قوربانی سووتاندنەکەی دەکات،
