0100000014	Medheteththa Maxaafa
02161b0097	Aazas giikko izi ba kallo kammizay izin xalla; hara ay may7idi aqanaas dandayzee? Izi taas waassiko ta mishettiza gishshas izas siyananne iza maaddana.
02161c0049	«Xoossa bolla cashsha qaala haasayoppa, woykko dere ayssizaade qanggofa.
02161d0094	«Ne kaththa xeera, woyne miththa ayfe xeeranne wogara zayte taas yarsho shiishsha. Neni ne attuma nayta giddon bayratiza naa taas immanaas bessees.
02161e0096	Boorappe, deyshafenne dorsafekka hessaththo ooththa. Istti laappun gallassay gakkanaas, ba aayira aayira gam7etto; osppunththa gallas istta taas imma.
02161f008d	«Intte taas geeshsha as gidanaas koshshees; hessa gishshas do7ay demban wodhida woykko dafi daakkida mehe asho kanas yeggite attiin moopite.
021701003a	«Wordo yo7o laallofa; wordo markkattada iita as maaddofa.
021702005c	«Iita miish ooththanaas daro asa kaallofa; pirda mirqqanaas daro asaara gidada markkattofa.
0217030040	Manqo asi pirdaso shiiqikko iza manqoteth be7ada maadda pirdofa.
0217040046	«Ne morkke booray woykko harey dhaydayssa demmiko izaades zaara imma.
0217050064	Nena ixxiza asas harey caanara kundi dishin be7ikko izara maadettada denththa attiin heen agaagoppa.
0217060038	«Pirdas dubbushan shiiqada, manqo asa pirda wobbisoppa.
0217070072	Wordo mooto siyoppa; geesh woykko xillo as hayqos aaththa immofa; ays giikko mooro ooththidaade tani mela yeddike.
021708005f	«Matta7e ekkofa; aazas giikko matta7ey xeellizayta ayfe qooqiseessinne xillota qaala mirqqees.
021709009c	«Hara dereppe yida bete as qohoppite; bete as gideththi ay mala deexxizaakko intte ereeta; ays giikko intte intte hu7en bete gididi Gibxe biittan de7ideta.
02170a0042	«Usuppun layth gakkanaas ne goyada zerida kaththa maxa shiishsha.
02170b00fa	Laappunththa layththan gadeza goyontta shaachcha; histtiko ne dere garsan diza manqoti hessafe maana kath demmana; qasse isttafe attizayssa do7ati maana. Neni ne woyne tokkiza gade bollanne zayte immiza wogara miththa gade bollaka hessaththo ooththa.
02170c009f	«Usuppun gallas ne ooso ooththa; ne booraynne ne harey shempana malanne neson yelettida aylleynne bete asi, shempana mala, laappunththa gallas ooso ooththofa.
02170d0065	«Tani inttena gidayssa ubbaa minththidi ooththite; hara xoossata sunth xeygopitenne istta woossofte.
02170e0035	«Layththan heedzdzuto intte taas ba7aale bonchchite.
02170f00f4	Abibe geetettiza aginan barettida gallassan ukeththa ba7aale bonchchite; ays giikko intte Gibxeppe keziday he aginanna. Tani inttena azazida mala laappun gallas irshoy gelontta uketh miite. «Inttefe issaadeyka ta sinththan mela kushe beettofo.
02171000d7	«Qasse intte intte gaden zeriin, koyro gakkida kath maxiza wode, kaththa xeera shiishshiza ba7aale bonchchite. «Qasseka layththaa wurseththan, kath ubbaa shiishshi wursiza wode, kaththa shiisho ba7aale bonchchite.
0217110044	Addeti wuri ubbaa Haariza GODAA ta sinth layththan heedzdzuto yetto.
021712009e	«Neni yarsho suuth taas shiishshashe irshora uukettida ukeththara shiishshofa. He ba7aaleza bonchchiza gallas yarshettida moodheppe maalados aykkoyka attofo.
021713007d	Ne gaden bayra kaxxida kaththa ubbaafe lo7izayssa GODAA ne Xoossaa soo ekka ya. Deyshsha laaqqa iza aayey maaththan doyssofa.
021714006c	«Ne ogen nena naagana malanne tani nees giigsidaso nena efana mala, tani kiitanchcha ne sinththara yeddana.
0217150086	Izi yootizayssa ero gaada izas azazetta; iza bolla makkallofa; ta iza kiittida gishshas intte nagara ooththiko inttes izi atto geenna.
0217160097	Izi yootizayssa intte lo7eththi siyikko, tani yootizayssa ubbaa ooththiko intte morkketa ubbaa tani morkkana; inttenara eqettizaytara tanikka eqettana.
02171700bb	Ta kiitanchchay inttefe sinththe biidi, inttena Amooreta biitta, Hiiteta biitta, Paarizeta biitta, Kanaaneta biitta, Hiiweta biittanne Yaabuseta biitta efana. Tani istta mulera dhayssana.
02171800b4	Istta eeqata sinththan hokkofte, woykko goynnofte, woykko istta hano qullofte. Intte istta dhayssanaassinne tuussa mala eqqi diza istta shuchcha eeqata menththereththanaas bessees.
0217190074	GODAA intte Xoossaas goynnite; histtiko, izi inttena kaththaninne haaththan anjjana; ta intte giddofe harge diggana.
02171a0054	Intte biittan ay maccasika boshettennanne maynenna. Tani intte daana layth adussana.
02171b00a7	«Inttenara gaaggiza dereta ubbaa daganththana mala tani ta yashshateth intte sinththara yeddana; intte morkketi wuri inttes zokko zaaridi, baqatana mala ta ooththana.
02171c0053	Tani inttefe sinththara kazhe yeddada Hiiweta, Kanaanetanne Hiiteta goodda kessana.
02171d0067	Gido attiin biittay kallo attontta malanne do7ay darontta mala, ta istta issi layththa garsan gooddike.
02171e0066	Gido attiin intte qoodan daridi, he biittaa laattana gakkanaas, tani istta guuth guuth goodda kessana.
02171f00c9	Tani intte zawaa Zo7o abbaafe Mediteraane abbaa gakkanaas, bazzofe Efiraaxise shaafaa gaththana. He biittan dizaaz ubbaa tani intte kushen aaththa immana; intteka istta intte sinththafe gooddi kessana.
0217200035	Isttara woykko istta eeqa xoossatara caaqon gelopite.
02172100aa	Istta intte biittan woththofte; intte histtontta aggiko istti inttena ta bolla nagara oosisana; ays giikko istta eeqatas goynnizayssi tumappe inttes narxa gidana» gides.
0218010097	GODAY Muse, «Neni, Aarooney, Nadaabey, Abihuynne Isra7eeleppe laappun tammu dere halaqati GODAAKKO zuma bolla pude kezidi haahon eqqidi taas goynnite.
021802006d	Gido attiin neni nerkka taakko shiiqa; harati ta mata shiiqopetto. Qasse asaykka nenara pude kezoppo» gides.
0218030080	Musey yiidi GODAA qaalanne iza woga ubbaa asaas yootiin asay wuri issi qaalan, «GODAY yootidayssa ubbaa nuni ooththana» gides.
02180400cd	Musey GODAY yootidayssa ubbaa xaafides. Wonteththa gallas maalado wonttara dendidi zumaa garsan yarshizaso giigsidi Isra7eele asaa tammanne nam7u qommota sunththan tammanne nam7u shuch tuussa mala essides.
021805008d	Izi Isra7eele asaappe naateththa attuma nayta kiittiin, istti biidi GODAAS mirgota xuugettiza yarshonne issifeteththa yarsho histti yarshida.
0218060064	Musey suuththaafe baggaa ekkidi keretan qolides; attida suuththaa yarsho yarshiza sohozan cacafides.
021807008d	Hessafe guye Caaqo Qaala Maxaafaa ekkidi asaas dhoqqu histtidi nababiin asay, «GODAY yootidayssa ubbaa nuni ooththananne azazettana» gides.
02180800a1	Museykka keretan attida suuththaa ekkidi asaa bolla wuxxidi asaa, «Be7ite, hayssi GODAY hayta qaalata inttes immishe inttenara woththida caaqo suuththa» gides.
0218090064	Hessafe guye Musey, Aarooney, Nadaabey, Abihuynne Isra7eele halaqatappe laappun tammati pude kezidi,
02180a009e	Isra7eele Xoossaa be7ida; istti be7oyssika iza tohoppe garsara salo mala geeyi uttida simpere geetettiza shuchchafe oosettida miish misatiza wuyge dizayssako.
02180b006a	Gido attiin Xoossi Isra7eele asaa halaqata wodhibeenna; istti Xoossaa be7ida; iza sinththan midanne uyida.
02180c00c3	GODAY Muses, «Neni taakko zumaa bolla pude haa ya; haa taakko kezada haan gam7a; histtiko neni wogaa tamaarsana mala tani wogaanne azazo iza bolla xaafida lochcha shuchchata nees immana» gides.
02180d0058	Hessafe guye Musey ba aylle Iyaasora baana keziin Musey pude Xoossa zumaa bolla kezides.
02180e00ab	Isra7eele asaa halaqata izi, «Nuni intteko simmanaashe gakkanaas hayssan diishshite; Aarooneynne Huurey haan inttenara deettes; yo7oy diza asi oonikka isttako bo» gides.
02180f003c	Musey zumaa bolla pude keziin Xoossa shaaray zumaa kammides.
02181000a9	GODAA bonchchoyka Siina zumaa bolla wodhdhi gam7ides; usuppun gallas gakkanaas shaarazi zumaa goozi oykkides; laappunththa gallassan shaaraa giddora GODAY Muse xeygides.
021811004e	Isra7eele naytas GODAA bonchchoy zumaa xeeran eexxiza tama misatidi beettides.
021812007b	Hessafe guye Musey he shaaraa giddo gelidi pude zumaa bolla kezidi heen oyddu tammu gallassinne oyddu tammu qamma gam7ides.
0219010015	GODAY Muses hizgides,
0219020086	«Taas imota ehana mala neni Isra7eele naytas yoota; taas immanaas iza wozinay iza imma imma giin immiza asa imota ubbaa ne taas ekka.
021903003f	Intte isttafe ekkana imotay haytantta; worqqa, bira, xarqimala,
021904006b	salo misatiza qacina, ochcha teera misatiza qacina, xeeqa zo7o qacinanne booththa liiqo layno, deysha iske,
021905005a	dharsho ite zo7o qalamen yeggi kessidayssa, abbaa giddon diza issi do7a galba, odoro mith,
0219060045	xomppes wogara zayte, tiyettiza zaytessinne exaanes sawissiza qimame,
021907006c	eefudeninne tira bollan diza kiiseta giddon woththiza margide geetettiza shuchchatanne hara al7o shuchchata.
0219080050	«Histtidi tani istta giddon aqana mala istti taas dumma goynniza soo giigsetto.
021909005b	Xoossa Dunkaanezanne iza giddon diza miishshata tani nena bessiza leemisoza mala ooththite.
02190a009d	«Istti odoro miththafe adussateththay nam7u wadhanne bagga, gomppay issi wadhanne bagga, dhoqqateththay qasse issi wadhanne bagga gidiza Taabota ooththetto.
02190b0084	Soo baggaanne kare baggaa walakay baynda worqqan meesha; iza yuuyi aadhdhanaas bolla bagga xanxaa worqqara yuushsha aaththa ooththa.
02190c0081	Taabotaas oyddu worqqa sagayota ooththada oyddu tohotan issi baggara nam7u sagayota, qasse hankko baggara nam7u sagayota aaththa.
02190d0041	Hessafe guye odoro miththafe tooho miththata kessada worqqa tiya.
02190e0050	Taabotaa tookkana mala Taabotaza millen diza sagayotan tooho miththata gelththa.
02190f004f	Tooho miththati Taabotaa sagayota giddon detto; istti heeppe mulekka kezopetto.
021910003c	Tani nees immiza caaqo qaala markka taabotaa giddon woththa.
021911007c	«Harara walakettontta worqqafe xalala nam7u wadhanne bagga aduqqiza, issi wadhanne bagga aakkiza maaroteththa kama ooththa.
0219120043	Kamaza xeera nam7u baggara qoxxada nam7u kirubeta worqqafe ooththa.
021913007a	Issi kirubeza issi bagga gaxan, nam7anththo kirubeza hankko bagga gaxan nam7atakka maaroteththaa kamazara gaththa ooththa.
0219140077	Kirubeti ba qefe denththidi maaroteththa kamaa bollara kammetto; qasse issoy issaakko simmi uttidi kamazakko xeelletto.
021915006a	Tani nees immiza caaqo qaala markka Taabotaa giddon woththa; qasse kamaza Taabotaas bolla baggara woththa.
021916009d	Caaqo qaala markkay izan diza Taabotaa kamaa bolla diza nam7u kirubetappe giddon tani nenara gaaggada Isra7eele asaas immiza azazo ubbaa heen ta nees immana.
021917008c	«Odoro miththafe adussateththay nam7u wadha, gomppay issi wadha, dhoqqateththay qasse issi wadhanne bagga gidiza issi xaraphpheeza ooththa.
0219180056	Histtada walakay baynda worqqan tiya; qasse iza yuushon worqqa xanxa yuushsha aaththa.
0219190087	Hessaththoka qasse aahoteththi tadhdhako gidiza xanxa iza bolla yuushsha aaththa. Histtada iza bolla worqqa balxxanth yuushsha aaththa.
02191a0060	Xaraphpheezazas oyddu worqqa sagayota medhdhada, xaraphpheeza tohoti diza oyddu baggara oyththa.
02191b0064	Xaraphpheeza tookkanaas tooho mith iza giddora aaththiza sagayoti xaraphpheezazas xanxa matan detto.
02191c005b	He tookkiza miththata odoro miththafe kessada, worqqa tiyada isttara xaraphpheezaza tookka.
02191d0062	Hessaththoka qasse saanetanne pil7ota, duuqqana xaarotanne kereta walakay baynda worqqafe ooththa.
02191e0051	Ta sinth aadhdhiza geeshsha ukeththay ubba wodekka xaraphpheeza bollafe dhayoppo.
02191f00b7	«Worqqafe xalla qoxxada xomppe istta bolla woththiza ballata kessa; qasseka iza qoxxada xomppezi izan eqqiza toho, giddo toomanne toomaza kureta, dhemotanne ciishshata ubbaa ooththa.
021920006b	Issi millera heedzdzu ballati, issi millera qasseka heedzdzu ballati issi bolla usuppun haggati izas detto.
0219210083	Usuppun ballataska issaas issaas dhemoynne ciishshay izan diza ochcholoone geetettiza miththa ciish misatiza heedzdzu kureti detto.
0219220078	Xomppeza giddo toomay, dhemotinne ciishshati izan diza ochcholoone geetettiza miththa ciish misatiza oyddu kureti detto.
0219230056	Nam7ay nam7ay issife waaththan diza heedzdzu ballatappe garsara issi issi dhemoy de7o.
0219240056	Dhemotinne ballati wuri giddo toomazappe qoxettidi walakay baynda worqqafe oosettetto.
021925006d	«Hessafe guye Xomppe woththizasozas laappun eexxizaso giigsada xomppeti sinththa bagga poo7ana mala oyththa.
0219260074	Xomppeza bolla eexxishe qaammida shalota kessiza qaphetanne xiixa woththiza saaneta walakay baynda worqqafe ooththa.
0219270073	Xomppezinne iza miishshati wuri heedzdzu tammanne ichchashu kilo giraame gidiza walakay baynda worqqafe oosettetto.
0219280041	Tani nena zumaa bolla bessida leemisoza kaallada akeekan ooththa.
021a0100e0	«Qasse lo7eththi suqettida booththa laynoppe dadettida tammu magalashata dunkaaneza giddon giigsa. Qasseka salo misatiza, ochcha teera misatizanne xeeqa zo7o qacinara he magalashata bolla issi hiillan kirubeta misle oosisa.
021a02007b	Magalashati wuri issi gina gidetto; issaa issaa adussateththay nam7u tammanne osppun wadha; gomppay qasse oyddu wadha gido.
021a030068	Ichchashu magalashata issife gaththa sikka; hankko attida ichchashu magalashatakka isttaththoka ooththa.
021a0400c1	Issife gaaggi sikettida magalashatappe gaxan diza magalashaas balxxanththa bolla salo misatiza carqqafe siidhe ooththa; qasse issife gaaggidi sikettida hankko magalashaankka hessaththo ooththa.
021a050104	Issife gaaggida issi magalashaa bolla ichchashu tammu siidhe misatiza miish, qasse issife gaaggida hankko magalashaa bollaka ichchash tammu siidhe misatiza miish ooththa; he siidhe misatiza miishshati wurikka he baggaranne ha baggara issay issaara ginan detto.
021a06008e	Hessafe guye worqqafe ichchash tammu qapheta medhdhada giddo dunkaanezi issino gidana mala, he magalashata manxakotan issaa issaara oyseththa.
021a070063	«Giddo Dunkaaneza bollara hara dunkaane ooththanaas tammanne issi magalashata deysha iskefe dadda.
021a080088	Tammanne issi magalashatikka issi gina gidetto; issi issi magalasha adussateththay heedzdzu tammu wadha, gomppay qasse oyddu wadha gido.
021a09009a	Ichchashu magalashata issi baggara usuppun magalashata qasse hankko baggaara gaththa sikka. Usuppunththa magalashay sinththara soo bagga simmi qalam7etto.
021a0a00ef	Gaththi sikkida magalashatappe issi magalashaa gaxan ichchash tammu siidhe misatiza miishshata ooththa; qasse gaththi sikkida hankko magalashatappe wurseththa magalashaa balxxanththa bolla ichchash tammu siidhe misatiza miishshata ooththa.
021a0b00be	Xarqimalappe ichchashu tammu qapheta ooththada, qanggo misatiza miishshata giddo gelththa; histtada bolla dunkaaneza issife gaththa oyththa. Histtiko ha nam7u oykettida kamati issino gidana.
021a0c005c	Bolla dunkaaneza magalashatappe palahida bagga magalashay giddo dunkaanezas guyera alaletto.
021a0d009e	Bolla Dunkaaneza magalashati nam7u baggarakka issi issi wadha mala palahidi heera haara alalettidi giddo dunkaaneza kammana mala nam7u bagga millera alaletto.
021a0e00a1	«Bolla bagga dunkaaneza bollara kammanaas zo7o qalamen geli kezida dharsho ite giigsa; qasse iza bollara kammanaas haaththa giddo do7a galbafe hara kama giigsa.
021a0f003a	«Giddo Dunkaaneza tole miththata odoro miththafe ooththa.
021a100055	Issi issi tole miththas adussateththay tammu wadha, gomppay issi wadhanne bagga gido.
021a11007e	Issi tole miththas issi bolla oyketti uttida nam7u tohota ooththa. Giddo Dunkaaneza tole miththata ubbaaka hessaththo ooththa;
021a120042	Giddo Dunkaanezas duge baggara nam7u tammu tole miththata kessada,
021a13004d	issi issi tole miththas nam7u eqoso, mulera oyddu tammu eqoso birappe giigsa.
021a140045	Giddo Dunkaanezas pudeha baggara, nam7u tammu tole miththata kessada,
021a15004d	issi issi tole miththas nam7u eqoso, mulera oyddu tammu eqoso birappe giigsa.
021a160055	Qasse giddo Dunkaanezas guyera arshey wulliza baggara usuppun tole miththata kessada,
021a170037	guye baggara diza zoozetas nam7u tole miththata giigsa.
021a1800e3	Guye baggara diza tole miththati wuri xaphoppe xeeraa gakkanaas issi bolla gaaggi oykettidi, xeeran issoy issaara sagayon oyketetto; hessaththoka nam7u zoozeta bolla diza nam7u tole miththatikka hara tole miththatara oyketetto.
021a19008d	Issi issi tole miththas garsara nam7u nam7u tole eqosoy de7o; mulera osppun tole miththatinne birappe oosettida tammanne usuppun eqosoy deyo.
021a1a0082	«Qasse meega miththata odoro miththafe kessa. Giddo Dunkaanezas issi bagga millen diza tole miththatas ichchashu meega miththata,
021a1b00cc	qasse hankko bagga millen diza tole miththatas ha7ikka ichchashu meega miththata giigsa. Hessaththoka giddo Dunkaanezas guyera arshey wulliza baggara diza tole miththatas ichchashu meega miththata giigsa.
021a1c0065	Giddo meega miththati tole miththatas giddora ha gaxappe he gaxa gakkanaas kanththi kezanaas bessees.
021a1d0089	«Tole miththata worqqan tiyada meega miththati istta giddora aadhdhiza sagayota worqqafe ooththa; qasse meega miththatakka worqqan tiya.
021a1e0045	Giddo dunkaaneza tani nena zumaa bollan bessida leemisoza mala tokka.
021a1f00c8	«Salo misatizappe, ochcha teera misatiza qacinappenne xeeqa zo7o qacinappenne lo7i suqettida liiqo laynoppe issi magalasha ooththa; he magalashaza bolla kirubeta misle sikki medhdhiza hiillan oosisa.
021a2000b0	Histtada odoro miththafe oosettidi worqqan tiyettida oyddu eqo miththata bolla diza worqqafe oosettida kaqotan kaqqa. He oyddu eqo miththati birappe oosettida eqosotan geletto.
021a2100f2	He magalashaza giddo dunkaaneza kaaran diza qaphetappe garsara kaqqada, Caaqo qaalaas markka gidida taabotaa magalashazappe gaaththa baggara woththa; histtiko he magalashazi geesh geetettiza sohoza ubbaafe dummatiza qol7aafe giddon shaakkana.
021a220063	Maaroteththa kama ubbaafe dummatida qol7an diza caaqo qaalaas markka gidida taabotaa bolla woththa.
021a230077	Xaraphpheezaza magalashaappe karera pude baggara woththa; xomppe woththiza ballaa qasse iza ginan duge baggara woththa.
021a2400ba	«Dunkaanezan geliza pengezas salo misatiza qacinappe, ochcha teera misatiza qacinappe, xeeqa zo7o qacinappenne lo7i suqettida liiqo laynoppe xilpen alleqissi oosettida magalasha giigsa.
021a2500b6	Magalashazas ichchashu eqo miththata odoro miththafe kessada, worqqan tiya; istta kaqotikka worqqafe oosettidaa gidetto; eqo miththatas xarqimalappe oosettida ichchashu eqoso giigsa.
021b0100ae	«Odoro miththafe yarshizaso ooththa. He yarshizasoza dhoqqateththay heedzdzu wadha; gomppaynne adussateththay issi mala, ichchashu ichchashu wadha gididi oyddu zoozera deyo.
