0100000014	Англунимос
01231000d8	Вонэ ашадэ о Вефилё тай саслэ найдур лэ Эфратастар, кала кай э Рахиль ля тэ аракхадёл шаворо, тай сас лати фартэ пхарэс.
01231100d4	Вой фартэ пхарэс анэлас лэ бэятос, тай э жувли, сави дэлас лати зор, пхэндя лати: — На дара — тутэ авэла инке екх шаво.
01231200c6	Кала э Рахиль мэрэлас тай лако духо жаластар, вой дя алав лэ шавэсти Бен-Они, ай о дад дя лэсти алав Вениамино.
0123130081	Э Рахиль муля тай сасли прахомэ па дром андо Эфрата (када исы Вифлеемо).
01231400d0	Пэ кодыва тхан о Яково стходя тэ тэрдёл о баруно столбо, ай жы калэ десэстэ кодыва бар сыкавэл, кай вой сас прахомэ.
012315006b	О Израилё жыля майдур тай стхол э катуна пала Мигдал-Эдеро.
0123160122	Кала о Израилё жувэлас пэ кодыя пхув, о Рувимо сутя ластерэ дадэстеря копэльницаса-ромняса ла Валаса. О Израилё угангля пала када. Кай о Яково сас дэшудуй шавэ.
01231700af	Ла Лиятар: о Рувимо, англуно лэ Яковоско шаво, о Симеоно, о Левиё, о Иуда, о Исахаро тай о Завулоно.
0123180046	Ла Рахилятар: о Иосифо тай о Вениамино.
012319006b	Ла Рахилятеря бутярнятар ла Валатар: о Дано тай о Нефалимо.
01231a00d5	Ла Лиятеря бутярнятар ла Зелфатар: о Гадо тай о Асиро. Када сас э шавэ, савэ аракхадилэпэ кай о Яково андо Падан-Арамо.
01231b00f8	О Яково авилятар каринг пэско дад кай о Исаако андэ Мамрэ, кай исы паша Кирьят-Арба (кода исы Хевроно), кай жувэнас о Авраамо тай о Исаако.
01231c003c	О Исаако жудя шэл охтодэша бэрша.
01231d00fc	О Исаако ашадя о духо, муля и отжыля каринг пестерэ мулэ папуря, пхуро тай чяло жувимастар. Лэстерэ шавэ о Исаво тай о Яково прахосардэ лэс.
012401007b	Акэ э дума пала Исаво (вов жэ сыно Эдомо) тай пала лэстерэ потомкуря.
0124020116	О Исаво ля пэсти ромнян анда Ханаано: лэ хетеёстеря лэ Элоностеря щя ла Ада, тай ла Оголивама, лэ Анастеря щя тай ла внучка лэ хивеёстеря лэ Цывеоностеря,
0124030082	ай кадя жэ лэ Измаилостеря щя ла Басемата, сави сас пхэй лэ Невайотости.
012404006f	Э Ада андя лэ Исавости лэ Элифазос, э Басемат андя лэ Рэуэлос,
01240500c8	э Оголивама андя лэ Еушос, лэ Яламос тай лэ Корахос. Када шавэ лэ Исавости, савэ аракхадилэ лэстэ андо Ханаано.
012406015e	О Исаво ля пэстерэ ромнян, лэ шавэн, лэ щеян тай саворэн черутнэн, заля гуртуря, о ското тай ся пэско хаббэ, саво вов стидя андо Ханаано, тай жылятар пэ авэр пхув пэстерэ пхралэстар лэ Яковостар.
0124070122	Лэндэ сас фартэ бут хулаимос, ке вонэ нащи жувэнас екхтанэ. Лэндэ сас бут ското, кадя со э пхув, кай вонэ жувэнас, нащи проправарэлас лэ дуе пхралэндерэ гуртуря.
0124080075	Кадя о Исаво (вов жэ Эдомо) ля тэ жувэл катар э плая пэ пхув Сеиро.
01240900d0	Акэ э дума пала Исаво, саво сас дад лэ эдомеенго тай жувэлас катар э плая пэ пхув Сеиро, тай пала лэстерэ потомкуря.
01240a00cd	Акэ лэ Исавостерэ шавэнди алава: о Элифазо, шаво лэ Исавоско ла Адатар, о Рэуэло, шаво лэ Исавоско ла Басемататар.
01240b007c	Э шавэ лэ Элифазостерэ: о Темано, о Омаро, о Цэфо, Гатамо тай о Кеназо.
01240c012e	Кай лэ Исавоско шаво кай о Элифазо сас копэльница-ромни, савя акхарэнас Тимна, сави андя лэсти лэ Амалекос. Када сас лэ Исавостерэ внукуря лэстеря ромнятар ла Адатар.
01240d00dd	Лэ Рэуэлостерэ шавэ: о Нахато, о Зерахо, о Шама тай о Миза. Када сас лэ Исавостерэ внукуря лэстеря ромнятар ла Басемататар.
