2800000009	ማቶስ
290806014a	የሱሰረ ፍጨዘን ከት ዶቅተርንግንዳ ዎርሰንም ክትሴ፥ ታብዛ ሶለንም የድሶ ሳብም ጋለቼ፥ Ꮊእስትዮ ዎርሰንካንታ ከት እምድንግንዳ ይንታ ካርንካ ጎርስምድባብከስካንታ እምሴ፥ ከተረ ዎርሰንካንታ የልስሴ።
29080700e6	ቶክም መራ ሞለንከሰረ ከደር ዶቅዴ፥ ሞለንከስጎከረ ሳብም ጋለቻንደታ ቡር ዎርሰንካንታ እምድንግንዳ ይንታ ካርንካ ጎርስምድባብከስም ክትሴ።
2908080094	ኤድንከሰረ ሙዳ እችሰኮ ምሰኬ፥ ስጣንደትመረ ዶከንም ሳንስሶ ታብዛ ጋባስርካ ጮጭ አምሰኬ።
290809006b	እችባብ ኤድንከስ ኦይድ ሳአ ማድባብ Ꮊቀኬ፥ የሱሰረ ከትም ኦይቼ።
29080a00c7	ኮታ ቡር ይንታ ካርንካ ጎርስምድባብከስካ ክክን ሎቀንዘንካ ቃልዝድን ጃልበናር አርድሶ ዳልማኑታ ጋየርድን ፍጨናር አይሴ።
29080b00e6	ፈረሳዊያንንከስ የሱሰደር Ꮊድሰኮ ክትካ ክክን በርም የጀኬ። ጰጫካንተረ ገቀርሰኮ ጭላርንካ ዋልቃ ቃዉተን ከትካንታ ሰችዝድንግንዳ ኦይሰኬ።
29080c0131	የሱስ ይንታ አያንካ አንድር ክትካንታ ኤስምስንካ፥ “ኮና አጥርና ቃዉተን ይድንግንዳ Ꮊራካንትክ ዝግዳ? ዶፈንካ የም ጋይድቴ፥ ኮ አጥርንካንታ Ꮊረሰነረ ቃዉተን እምምዳክዬ!” ከትም ጋይሴ።
29080d0081	ኮታርንከረ ከትም ዛቅሶ ካርንካ ሎቀንዘንካ ቃልዝድን ጃልበንካ ኦስ ፋማ ቃልሴ።
29080e00d2	ክታ ካርንካ ጎርስምድባብከስ ሶላ የድን ከት ባቀርሳንጎካ ሎቀንዘንካ ቃልዝድን ጃልበናር ዋልቃ ሶለዘንካ አብ Ꮊረነረ ከደር ካዬ።
29080f008e	የሱሰረ “ፈረሳዊያንንከስተኬ ሄሮድሰታ እርሰንዘንካ ካርስምከቴ” ጋይሶ ከትም ክትሴ።
290810009f	ከተረ “ኮም ክታ ጋይንተና፥ Ꮊረንግርካ ሶላ ዎንደር ካየንካንታ ማዴ” ጋይሰኮ ክክ ክክ ከዝምሰኬ።
2908110120	የሱሰረ ኮም ከታ ገቅርን ኤስሶ ኩን ጋይሴ፥ “ሶላ ዎንደር ካየንካንቴ ጋይሰቶ Ꮊረተንት ገቀርዳ? አክ Ꮊረነረ ገቀርት ተይዳክባብከ የም ዝግዝዳክባበቶ? የንታ ቡደነረ ገቀርዳክንዶ?
290812009b	አፍይ የንታ ዶቅድንካ ሰዳከቴ? ቃም የንታ ዶቅድንካ ኤሰርዳከተ? Ꮊስግንዳ የም ኤልቅ ጋይዳክንዳ?
2908130109	ይና ዶንቅ ሶለን ዶንቅ ሳአ ኤድንከስም Ꮊእስት እ እምሳን Ꮊይካ ስጫንደትም መም ጋባስርካ ጮጨንት አምሳሬ?” ኬተረ “ታመከ ቃስተን ጋባስርካ ጮጭዬ” ክደር ጋይሰኬ።
2908140138	“ኮትግንደረ ታብዛ ሶለንም ኦይድ ሳአ ኤድንከስካንታ እ Ꮊእስት እምሳንደት Ꮊይካ ስጥመንም መም ጋባስርካ ጮጨንት አምሳሬ?” ጋይሶ ከትም ጋይሴ። ኬተረ “ታብዛ ጋባስርካ ጮጭዬ” ክደር ጋይሰኬ።
2908150055	የሱሰረ “ይና፥ ታ የለልታ ገቀራከቴ?” ከደረ ጋይሴ።
29081600d0	ኮታርከረ በቴሳይዳር ከት የልሳንደትካ ኤድንከስ ዋልቃ አፍይ ዝልን የሱሰደር ተይᎺደኬ፥ ክትም Ꮊጭድንግንደረ የሱሰም ምክሰኬ።
290817014b	የሱሰረ አፍይ ዝልን ኤችንታ አንን የድሶ ጎርሰሮ ሞረናርንካ ኦስ አብ ካርዘን ዉችሴ፥ ኤችንታ አፍንከዘነረ ይንታ ፈጭምን ፈጭምሶ ይንታ አንን ክታዘን ዎድሶ “ዋልቃ ር የዝደር Ꮊፈርዶ?” ጋየሮ ክትም ኦይሴ።
29081800cb	አፍይ ዝልነረ ጬክን ጋይሶ፥ “ይዬ ኤድንከስ እዝደር Ꮊፈርደኬ፥ ማችንከረ ኤድንከስና Ꮊቀም ካምሶ ኦንግድንካ ሰድቴ” ጋይሴ።
29081900e1	አናካርንከረ የሱስ ኤችንታ አፍንከዘን ይንታ አንንከስም ዎጄ፥ ኮታይካ ኤችና ፍስሳ ሰጄ፥ አፍና ክታ ፎችምስንካ ሙዳ ሪም ፋስት ሰድን የጄ።
29081a0085	ኮተረ ቡር የሱስ “ሞረናር Ꮊይአርዴ”፥ ጋይሶ ክት ይንታ ኤር አይድንግንዳ ኦይቼ።
29081b015d	የሱሰከ ክታካርንካ ጎርስምድባብከስካ ፍልጶስ ቀሳርያ ጋየርድን ፍጨናር ዶቅድን ሞረንከሳርንካ ዉተደኬ፥ ጎግዘነረ ከትዶቅድንካ የሱስ፥ “ኤድንከስ እም Ꮊይክ ጋይዳ?” ጋየሮ ይንታ ካርንካ ጎርስምድባብከስም ኦይሴ።
29081c0112	ከተረ፥ “ዋልቃ ዋልቀንከስ ስእስንባብ ዮሀንሴ፥ አብንከሰረ ኤላሴ፥ አብንከሰረ ሳብዘንካ ኤሰርሶ ከዛቅባብከሳርንካ ዋልቀነ የስም ጋይደኬ” ጋየረኮ ክትካንታ ማስሰኬ።
29081d00ac	“የተስ እም Ꮊየንት ጋይዳ?” ጋይሶ ከትም ኦይሴ። ጴጥሮሰረ፥ “የና ሳይምስባበዬ” ጋየሮ ክትካንታ ማስሴ።
29081e0082	የሱሰረ፥ “ክትጎካ Ꮊየሰንካንተረ ከት ኬዝዳክንግንዳ” ጋይሶ ከትም ኤግዝምሴ።
29081f0194	የሱስ ይንታካርንካ ጎርስምድባብከስም ኩንጋየሮ ኤስስ የጄ፥ “ኤደት ይንች በድ ማጣ ተይ ክትም ዝግዝዴ፥ ጋልተንከዚደር፥ ቀሰንከስታ ገችስንባብከዚደርኬ ሙሴታ ህግንም ኤስዝድባብከዝደር ቶችምዴ፥ ደይስምዴ፥ ማታጋካ ዳት ማከን ሰጨንታ ቡር አምዴ”።
2908200091	ኮም ርን መየካ ከትም ኬዜ፥ ኮትኮᎺይካ ጴጥሮስ ክትም Ꮊክ Ꮊርሳ ተይአይሶ ዋጭ ክትም የጄ።
290821010f	የሱስ ማቼ ዋልን ገይሶ ይንታካርንካ ጎርስምድባብከስም ሰደሮ ጴጥሮስም፥ “የና ሰጣን ኦስ እዘንካ ጎተርካ! የና ኤተን ዳት ሳብትንደትም ገቀርዳከዬ!” ጋየሮ ክትም ዋጬ።
2908220138	ኮታ ቡር የሱስ ዎርሰንም ይንታ ካርንካ ጎርስምድባብከስካ ክክን ኤልሶ ኩን ከትም ጋይሴ፥ “እም ጎርስምካንታ ሶልምድባብ ይ ዶቅሴ ይንታ ማተንም ዛቃ፥ ማዝቀልንመረ ባልሶ እስታ ካርንካ ጎርስማ፥
29082300e0	ይንታ ሰንፔንም አቅስካንታ ዝግድባብ ሙደና ኮትም ካይዝዴ፥ እ ካንተኬ ክላ ኬዘንጎካ ይንታ ሰንፔንም ስክስት እምድባብ ማቼ ኮትም አቅዝዴ።
2908240084	ኤድ ፍጫሙደንታ ቆልመንም ሙዳ Ꮊፍሴ፥ ይንታ ሰንፔንም ክት ካይሴ Ꮊሮክ ክትም መዬ?
2908250060	አና ኤድ ይንታ ሰንፔንካንታ ቆትማ Ꮊርክ ናክ እምካንታ ማዳ?
2908260121	ኮ ቤልምንባብኬ ጎመንባብከስታ አጥርንታ እሪ እንከ እስታ ቃለንካ ኦስንድባብ ሙደና እተረ ኤደት ይንች እስታ ባቤንታ ቦንቸካ ጭል ክታይንችንካ ክክን Ꮊድቶ ክትካ እታ ኦስንድቴ።”
290901012f	ኮታዝንከሬ የሱስ፥ “ዶፈን የም ጋይድቴ፥ ታ ኮታር ዶቅድባብከሳርንካ ዋልቃ ዋልቀንከስ ሳብታ ባንችምና አንድር ዎልቀካ Ꮊድንካ ከት ሰተርን የለልታ ደእዳክባብከስ ዶቅደኬ” ከትም ጋይሴ።
29090200da	ላ ሰጨንታ ቡር የሱስ ጴጥሮሰም፥ ያይቆበምከ ዮሀንሰምከ Ꮊክ ጎርስሶ ዋልቃ አንድር ገቸዘን ዉተዴ፥ ከታ እረረ የሱስታ ማልክና ኦክምሴ።
29090300ab	ክታ አፍለና አንድር ሮጵሴ፥ ፍጨዘን Ꮊየረ ስእትዮ ጫምስካንታ ማዳክንደትከካ የለልታ አንድር ጫምሳ ማቼ።
290904008b	ኮታይካ ኤላሰኬ ሙሴካ መያ ማትሰኮ የሱሰካ ክክን ከት ከዝምድንካ ከትካንታ Ꮊፈርሰኬ።
2909050122	ጴጥሮሰረ የሱሰም፥ “ኤስስንባቦ! ካሪ ዎ ዶቅሰስናና ዎካንታ ኡርሜ፥ ኮካንታ ዋልቃ የስካንታ፥ ዋልቀን ሙሴካንታ፥ ዋልቀን ኤላስካንታ ማድን ማከን ዳልቸንከስም ዎፍክሳ” ጋይሰኬ።
29090600a7	ክታ ካርንካ ጎርስምድባብከስ ማከንና አንድር ከታ ገቅሰኮ Ꮊቃንጎካ ጴጥሮስ ይ ኬዝድንደትም ኤሳይᎺቄ።
29090700d0	ኮታዘንከረ ኡፓ Ꮊድሶ ከትም ስፍሴ፥ ኡፔንተረ ዋር “እ ሶልምድን እስታ ይንችና ኖ ኮኔ! ክትም ኤሰርከቴ!” ጋይድን ኡፍስ ኤስምሴ።
29090800a5	ሳነከረ ዋልንጋይሰኮ ከታ ይንታ ካንተንካ ከት ሰድንካ ከትካ ክክን የሱሰዘንካ አብ Ꮊይመነረ ሰዳከኬ።
29090900ee	ገቸንዘንከረ ከት Ꮊንችርድንካ የሱስ፥ “ኤደት ይንች ደእናርንካ አምትርን የለልታ ኮም የ ሰጃንደትም Ꮊየንካንተረ Ꮊይከዘቴ” ጋየሮ ከትም ክትሴ።
29090a00cf	ከተረ ክታ ቃለንም ይንታ ቡዳር የጀኬ፥ ማታጋካ ዳት “ኮና ደእያርንካ አምንተና Ꮊራ ጋይንት ማተራ?” ጋየረኮ ክክ ክክ ከዝምሰኬ።
29090b00af	ከተረ “ሙሴታ ህግንም ኤስዝድባብከስ እርምሶ Ꮊድ ዝግዝድባብ ኤላሴ Ꮊረተክ ጋይዳ?” ጋየረኮ ክትም ኦይሰኬ።
29090c00f6	የሱሰረ፥ “ኮና ገቴ፥ ኤላስ እርምሶ Ꮊዴ፥ ሙደንመረ ኡርዝዴ፥ ማታጋካ ዳት፥ ኤደት ይንች አንድር ማጣ ተይድንደትምከ ቶችምድንደትም ጻፍምሳንዳ Ꮊረተረ?
29090d00f0	እታ ማቼ ኤላስ እርምሶ Ꮊቴ፥ ኤድንከሰረ ክትጎካ ጻፍሳንግንዳ ከታ ይ ዝግዛንደትም ሙዳ ክታዘን ይተኬ” የካንታ ጋይድቴ። ኩንጋየሮ ከትካንታ ማስሴ።
29090e0187	የሱሰኬ ማከንና ክታ ካርንካ ጎርስምድባብከስ ነግድባብ ክታካርንካ ጎርስምድባብከዝደር ማተኮ ከት Ꮊዳንደትካ በድ ኤድንከስ ከታ ካንተካ ሳንምስንካ ሰደኬ፥ ሙሴታ ህግንም ኤስዝድባብከሰረ ክታ ካርንካ ጎርስምድባብከስካ ክክን ቤርምድ Ꮊቀኬ።
29090f0099	ዎርሰነረ ሙዳ የሱሰም ሰድሰኮ በርእካ ገቅሰኬ፥ ክደር ዞደካ Ꮊድሰኮ አን የድሰኮ አቦ ጋይሰኬ።
2909100072	የሱሰረ “ከትካ ክክን የ በርምድንዳ Ꮊራካንተረ?” ጋየሮ ከትም ኦይሴ።
29091100ef	ዎርሰንታ ዎክያርንካ ዋልቀና፥ ኩንጋየሮ ማስሴ፥ “ኤስስንባቦ፥ አፋ ኬዝዳክንግንዳ ይስዝድን አያንካ የደርስባብ እስታ ይንችን የዝደረ ተይᎺትቴ፥
290912018a	ክታዘን አምሳንደትካ ክትም ባልት ኦይዴ፥ አፈካ ዱብ Ꮊደሮ አችነረ ቅርጭዴ፥ ዘነነረ ክታ ዎችሶ ለይስንግንዳ ማዴ፥ ቱና አያንነረ ክታዘንካ ዉችዝድንግንዳ የስታ ካርንካ ጎርስምድባብከስም ኦይስትት ዶቆ፥ ኬዛርንካ ማቼ ከታ ዉችካንታ ማታከኬ”።
2909130102	የሱሰረ፥ “የታ አሜንዳክን ኤድንከሶ! Ꮊንታ የለልትስ የንካ ክክን እታ ዶቅዳ? Ꮊንታ የለልትስ ዳንዳእዳ? ይንችንም ኮር እዝደር ተይ Ꮊድከቴ!” ኩን ከትም ጋይሴ።
29091400f5	ከተረ ይንችንም ክደር ተይ Ꮊደኬ፥ ቱና አያንነረ የሱሰም ሰጃንደትካ ሳነካ ይንችንም ባልት ዛቅሶ ጭእሴ፥ ይንችነረ ፍጨዘን ቡክለሮ አፈካ ዱብ Ꮊድ የጄ።
29091500ce	የሱሰረ ይንችንታ ባበንም፥ “ኮና ሰቅምና ክትም የጅንካ በድ ዶቅቶ?” ጋየሮ ክትም ኦይሴ። ባቤነረ፥ “ኤና ክት ይንችናና የድሶ፥
2909160119	ክትም ደይሳካንተረ ዝገሮ በድᎺይካ ኖሔታ ዋርኬ ሎቀታ ዋር ባልት ክትም ኦይዴ፥ ዋዴ ዋልቃ ር ይይካንታ የዝደር ማድንካንታ ዋደ ዎካንታ አጨርካ! አሌን ዎም አልካ!” ኩን ጋይሴ።
2909170094	የሱሰረ፥ “የዝደር ማደረ” የና ጋይተራ? “አሜንድን ኤድካንታ ሙዳ ሪና ማዴ!” ክትም ጋይሴ።
2909180094	ሳነካ ይንችንታ ባበና፥ “አመንድቴ፥ እስታ አሜንንታ ቶክንተን አለን አልካ” ጋይሶ ፍፍሴ።
2909190156	የሱሰረ ዎርሰና ጭጭመትካ ዞደሮ ከት Ꮊድንካ ሰዴ፥ ቱና አያንንመረ “የና አፋ ከስዝዳክባብከ ቃም ቱንዝድን አያንና ይንችንዘንካ የስ ዉድንግንዳ ክደረረ ማተዮ የስ አርዳክንግንዳ የስም ክድቴ!” ጋይሶ ክትም ዋጬ።
29091a0115	ቱና አያንና አንድር ኡፍስካ ፍፍሴ፥ ይንችንመረ አከካ ጭእሳንደታ ቡር ክታዘንካ ዉተዴ፥ ይንችነረ ደእሳን ለይስንግንዳ ክታ ማትንተንካ በድንከዝደር ደእሳን ከደር ካምሴ።
29091b006e	የሱስ ማቼ ይንችንታ አንንም የድሶ አምሴ፥ ይንችነረ አምትዮ ዎእሴ።
29091c00f9	የሱሰረ ኤሄናር አርደዳንደትካ ክታ ካርንካ ጎርስምድባብከስ፥ “የለቴ ኮም ቱና አያንን ዎታ ዉችካንታ ዎማታክንደና Ꮊረተረ?” ጋይሰኮ ክትም Ꮊክ ኦይሰኬ።
29091d00ab	የሱሰረ፥ “ኮግንደና ምክስኬ በቼካ ምክስንካ ማታክንዳ ማቼ አብ Ꮊራርከረ ዉታዬ” ጋየሮ ከትካንታ ማስሴ።
29091e00eb	የሱሰኬ ክታ ካርንካ ጎርስምድባብከስ ካርንኮትም ዛቅሰኮ ገሊላ ሞረናርጎካ አይሰኬ፥ ክት ዶቅድን ካርን Ꮊየነረ ኤድ ኤዝድንግንዳ የሱስ ዝጋክዬ፥
29091f0163	ኮነረ ማቻንዳ የሱስ ይንታ ካርንካ ጎርስምድባብከስም፥ “ኤደት ይንች ኤድንከስታ አንያር ስክስምትቶ እምምዴ፥ ከተረ ክትም ደይዝደኬ፥ ይ ደይስምሳንደታ ቡር ማቼ ማክምስ ሰጨንካ አምዴ” ጋየሮ ከትም ኤስሰሮ Ꮊቃንካንቴ።
2909200097	ክታካርንካ ጎርስምድባብ ማቼ ኮና ሪና ከትም አርዳክዬ፥ ክትም ከት ኦይዝዳክንግንደረ ጳሰኬ።
290921013c	የሱሰኬ ክታ ካርንካ ጎርስምድባብከስ ቅፍራናሆም ካተመናር Ꮊደኬ፥ የሱስ ኤሄናር አርደዳንደታ ቡር ይንታካርንካ ጎርስምድባብከስም “ጎግዘን ዶቅደቶ የ በርምሳንዳ ሪና Ꮊራ?” ጋየሮ ከትም ኦይሴ።
29092200ba	ከታ ማቼ ጫምን ጋይሰኬ፥ ኮነረ ጎግዘን ዶቅደኮ፥ “ዎ ሙደንዘንካ ስገድባብ Ꮊይራ?” ጋየረኮ ቤርምድ ከት Ꮊቃንጎኬ።
2909230108	የሱሰረ ዶቅሳንደታ ቡር ታሜከ ቃስተንን ኤልሶ፥ “እሪ ማትካንታ ዝግድባብ Ꮊየነረ ኤድ ሙደና ሙደንታ ቡር ማታ ጉጅሰረ ሙደንከስታ ፍክስባብ ክት ማታ” ከትም ጋይሴ።
290924007c	ዋልቃ መራ ይንች ተይᎺድሶ ከታ ዎክያር ዎይስሶ፥ እምጭሰረ ኩን ከትም ጋይሴ፥
2909250109	“ኮግንዳ ዶቅድን ይንችንከሳርንካ ዋልቀን እስታ ላምንካ ሞግድባብ ሙደና እም ሞግዴ፥ እመረ ሞግድባብ ሙደና እም ማታክናና፥ እም ኦይችባብም ሞግዴ”፥ ከትም ጋይሴ።
29092600f2	ዮሀንሰረ የሱሰም “ኤስስንባቦ፥ ዋልቃ ኤች የስታ ላምንካ ግምዘን ዉጅድንካ ሰዶቴ፥ ማችንከረ ዎንከረ ክክን ክት ማታክንካንታ ማርሶቴ” ክደር ጋይሴ።
29092700b2	የሱስ ማቼ፥ “እስታ ላምንካ አታ ይየሮ ሳነካ እስታዘን ዳቅል ኬዝድባብ ካየንካንታ ክትም ዛእከቴ፥ Ꮊይማረቴ።
290928003a	ዎም ግርዳክባብ ሙደና ዎንካ ክክኔ፥
29092900d8	ዶፈን የም ጋይድቴ፥ ክርስቶሰታ የ ማቻንካንታ እስታ ላምንካ ዋልቃ ቡርጭቀካ ሎቃ ዎራ የም እምድባብ ሙደንታ ናክ ካያዬ” ከትም ጋይሴ።
29092a010a	“Ꮊየነረ ኤድ እንካ አሜንድባብ ከትኬና መረንከሳርንካ ዋልቀን ኮተርዝድንዘንካ አንድር ደይስን ሰይንም ይንታ ባርያር ዞከርሶ ባሀርናር ክት ኦይትምሰስናና ኡርዴ።
29092b014f	ኮካንታ የስታ አንና ጎማ የስ ፍግዝድንግንዳ የስም ኮተርዝደ ኮትም ተችት ዛእካ! ቃስተን አን የስታ ዶቅድንካ ድግዳክን ኖሄናር የስ ኦይትምድንዘንካ ዱንግላ ማትሶ ስለንካ ዶቅንትያር አርድና የስካንታ ኡርዴ።
29092c006c	ድግዳክን ኖሄናር ዱርእመና ደእዳክንዳ፥ ኖሄነረ ድግዳክን ካርዬ።
29092d0110	የስታ ዱትነረ የስም ኮተርዝደ ተችት ዛእካ፥ ቃስተን ዱት የስታ ዶቅድንካ ድግዳክን ኖሀር የስ ኦይትምተርንዘንካ ዎብ ማትሰዮ፥ ሰንፔካ ዶቅንትያር አርድና የስም ኡርዴ።
29092e0067	[ድግዳክን ኖሄናረረ ዱርእመና ደእዳክንዳ ኖሄነረ ድግዳክንዴ።]
29092f0126	የስታ አፍነረ የስም ኮተርዝደ፥ ዎልክስት ዉችካ፥ ቃስተን አፍይ የስታ ዶቅድንካ ድግዳክን ኖሄናር ኦይትምዘንካ፥ ዋልቃ አፍይ የስታ ዶቅድንካ ሳብታ ባንችምናር አርድና የስም ኡርዴ።
290930006b	“ድግዳክን ኖሄናረረ ዱርእመና ደእዳክንዳ፥ ኖሄነረ ድግዳክንዴ።
2909310086	“ካሴርድንዳ ሶቅካ ሳዉስምድንግንዳ ዋልቃ ዋልቃ ኤድንከስ ኖሄካ ጰጭምም ዝግዝዴ።
2909320126	“ሶቅ ኡርሜ፥ ማታጋካ ዳት፥ ሶቅታ ሎቅንም ኮት ይንታ ካይሰ Ꮊረከንት ሎቅስዝዳ? “የንከረ ሶልማ ሶቅታ ሎቅንግንዳ ሶልማ የንታዋር ዶቃ፥ ክክ ክከረ ኤእሰቶ ሳራትቸካ ዶእከቴ” ጋይሴ።
290a010124	የሱስ ኮታርንካ አምሶ፥ ዮርዳኖስ ሎቀንታ ፋማ ዶቅድን ይሁዳ ሞረናር አይሴ። አንድር በድ ኤድንከሰረ አና ካርንካ ክደር ሳንምድ Ꮊቀኬ፥ የሱሰረ ይንታ መጠንግንዳ ከትም ኤስዝድᎺቄ።
