010000000a	Medhetethi
0b141b00d8	Isra7eele olanchoti shiiqidi, shinqenne ola miishe ekidi, entara oletanaw nam7u cuga gididi keyidosona. Isra7eeleti nam7u guutha deesha wude daanidi, entako simmidi uttidosona; shin Sooreti gaxariya ubbaa ma7idosona.
0b141c0108	Issi Xoossa nabey Isra7eele kawako bidi, “Goday haysada yaagees; ‘Soore asay, Xoossay dere Xoossefe attishin, demba Xoossi gidenna yaagida gisho, ha daro olanchota taani ne kushen aathada immana. He wode taani Godaa gideysa neeninne ne asay erana’” yaagis.
0b141d00b1	Sooretinne Isra7eeleti woliko simmi salpidi, laapun gallas takidosona. Laapuntha gallasan ola gahetidosona. Isra7eeleti issi gallasan Soore asaape 100,000 toho asaa wodhidosona.
0b141e00bf	Entafe attidaysati kessi ekidi, Afeeqa katamaa gelidosona. Gelidaysatape 27,000 asaa bolla katamaa dirsa gimbey kundidi wodhis. Ben-Hadaadi katamaa giddo baqatidi, issi keetha qol7an qosetis.
0b141f00cd	Iya moorinnati, “Heko, Isra7eele kawoti, maariya kawota gideysa nu si7ida. Nuuni kayo ma7o ma7idi, nu xeessan wodoro dancidi, Isra7eele kawako boos; ooni eri, I nena paxa ashshona aggenna” yaagidosona.
0b142000d7	Enti kayo ma7o ma7idi, wodoro banta xeessan dancidi, Isra7eele kawako bidosona. Iyako “Ne aylley Benihadad, tana wodhopa yaagidi woossees” yaagidosona. Kawoy, “I hanno gakanaw paxa de7ii? I ta ishaa” yaagis.
0b142100e6	Akaabi lo77o malla haasaya daanin, asati iya odaa ellesi ekidi, “Ee, ne ishay Benihadad paxa de7ees” yaagidosona. I entako, “Bidi iya haa ekidi yiite” yaagis. Benihadad yin, Akaabi iya ba para gaariya bolla kessidi utisis.
0b142200ee	Benihadad Akaabako, “Ta aaway ne aawape ekida katamata ta new zaarana. Ta aaway Samaaren giya essidaysada neka Damasqon giya essa” yaagis. Akaabi zaaridi, “Taani ha caaquwa gaasoyada nena yeddana” yaagis. Iyara caaqidi iya yeddis.
0b14230077	Nabeta cugaape issi addey, Goday kiittin, issi ba lagge nabiyako, “Tana shoca” yaagis; shin he nabey shoconna ixis.
0b142400b2	He nabey iyako, “Neeni Godaa kiitaa ixida gisho, Heko, ne taape shaaketada biya wode nena gaammoy wodhana” yaagis. Nabey iyape shaaketidi biya wode gaammoy keyidi iya wodhis.
0b14250058	Nabey hara issi adde demmidi, “Tana shoca” yaagis. Addey iya shocin, nabey madunxis.
0b1426004c	Nabey iya oonatethay eretonna mela guuluntidi kawa naagishe oge doonan eqis.
0b142700ea	Kawoy aadhiya wode, nabey kawa xeegidi, “Taani ne aylley olan de7ishin, Heko, issi addey taako yidi, ‘Ha di7etida addiya naaga. Ha addey dhayiyaba gidiko, ne shempoy iya shempuwara gade woyko 3,000 bira santime qanxaasa’ yaagis.
0b14280088	Taani ne aylley oosoy darin, yaa haa gishin, addey kessi ekidi dhayis” yaagis. Isra7eele kawoy, “Neeni ne bolla pirdadasa” yaagis.
0b1429004a	Nabey ba guulunthaa qaari yeggiya wode nabetape issuwa gideysa kawoy eris.
0b142a00a2	Nabey kawako, “Goday, ‘Taani, I hayqanaw bessees yaagida addiya ne yeddida gisho, ne shempoy iya shempuwa bessan, ne asay iya asaa bessan gidana’” yaagis.
0b142b0047	Isra7eele kawoy yilotishenne azzanishe Samaaren de7iya ba gadho simmis.
0b15010048	Samaare Kawa Akaaba gadho matan Naabutes Izira7eelen woyne gadey de7ees.
0b150200d3	Akaabi Naabuteko, “Ta gadhuwa matan de7iya gisho, ta atakilte tokiya bessi oothanaw ne woyne gadiya taw imma. Iya gisho new ta hara lo77o woyne gade immana; woyko ne dosiko iya gatiya ta new qanxana” yaagis.
0b15030060	Naabutey zaaridi, “Taani ta aawatape laattida gade new imisiyabaape Goday tana asho” yaagis.
0b150400ae	Izira7eele addey Naabutey, “Taani ta aawatape laattida gade new immike” gida gisho, Akaabi yilotishenne azzanishe ba soo bidi, godaako simmi zin7idi, kathika moonna ixis.
0b15050070	Iya machiya Elzabeela iyako gelada, “Nena haysada yiloyiday aybee? Ayis kathi moonna ixay?” yaagada oychasu.
0b150600d3	Akaabi, “Izira7eele addey Naabutey, ‘Ne woyne gadiya taw bayza woyko ne dosiko iya gisho ta new hara woyne gade immana’ yaagin, I, ‘Ta woyne gadiya new immike’ yaagin, ta hessa gisho yilotis” yaagis.
0b150700a2	Elzabeela, “Ne Isra7eele bolla kawo gida uttada haysada hanay? Dendada ma! Wozanape ufayta! Izira7eele addiya Naabute woyne gadiya taani new imisana” yaagasu.
0b1508008e	Hessa gisho, iya Akaaba sunthan dabdaabe xaafada, iya bolla maatame wothasu. Naabutera issife kataman de7iya cimatasinne gita asatas kiittasu.
0b15090076	Dabdaabe haysada yaagada xaafasu; “Issi gallas xooma awaajite; asaa issife shiishite; Naabute boncho bessan utisite.
0b150a00b8	Naabutey, ‘Xoossaanne kawa cayis’ yaagidi markatiya nam7u markata shiishidi, markatanaada oothite. Hessafe guye, katamaape gaxa kessidi, shuchan caddidi wodhite” yaagada xaafasu.
0b150b007c	Hessa gisho, Naabutera issife kataman de7iya cimatinne gita asati Elzabeela entaw xaafida dabdaabiyan gidaysada oothidosona.
0b150c0043	Enti xooma awaajidi, Naabute asaa giddon boncho bessan utisidosona.
0b150d00ba	Nam7u wordo markati yidi, iyako simmi uttidi, asaa sinthan, “Naabutey Xoossaanne kawa cayis” yaagidi wordo markatidosona. Naabute katamaape gaxa kessidi, shuchan caddidi wodhidosona.
0b150e0050	Cimati Elzabeeliko, “Naabutey shuchan cadetidi hayqis” yaagidi kiittidosona.
0b150f00a6	Naabutey shuchan cadetidi hayqidaysa Elzabeela si7ida wode, “Izira7eele addiya Naabutey new miishen bayzanaw ixida woyne gadiya bada eka. I ha77i hayqis” yaagasu.
0b15100060	Izira7eele addey Naabutey hayqidaysa Akaabi si7idi, Naabute woyne gadiya baw ekanaw dendidi bis.
0b1511003a	Hessafe guye, Tesiba addiya Eeliyaasako Godaa qaalay yidi,
0b15120070	“Samaaren kawotida Isra7eele Kawa Akaabara gahetanaw ba. Heko, I Naabute woyne gadiya ekanaw bidi, yan de7ees.
0b151300c1	Goday haysada yaagees gada iyaw oda; ‘Addiya wodhada iya gadiya new ekadasa gidikii?’ yaaga. Qassi Goday, ‘Naabute suutha kanati laaccida bessan ne suuthaaka kanati laaccana’” yaagis.
0b151400a3	Akaabi Eeliyaasa be7ida wode, “Ta morkiyaw, tana demmadii?” yaagis. Eeliyaasi, “Ee, nena demmas. Neeni Godaa sinthan iitabaa oothanaw nena nagaras bayzadasa.
0b151500c1	Goday neeko haysada yaagees; ‘Heko, taani ne bolla iitabaa ehana. Taani ne kochata dhaysana; taani Isra7eele biittan Akaaba soo asaape aylle gidin womaanno gidin, issi addey attonna dhaysana.
0b1516009b	Neeni Isra7eele asaa nagara oosisada tana hanqethida gisho, ta ne soo asaa Nabaaxa na7aa Iyorbaama soo asaadanne Akiya na7aa Ba7oosa soo asaada oothana.’
0b1517006b	Qassi Goday Elzabeeliba odishe, ‘Izira7eele katama gimbe dirsaa lanqen kanati Elzabeelo maana’ yaagees.
0b1518006c	Akaaba koche gididi kataman hayqiya oonaka kani maana; gaxariyan hayqiya oonaka salo kafoti maana” yaagis.
0b1519006b	Ba machiya Elzabeela denthethin, Godaa sinthan iitabaa oothanaw bana nagaras bayzida Akaaba mela asi baawa.
0b151a0064	Akaabi, Goday Isra7eele asaa sinthafe gooddidi kessida Amooreta eeqa goyinnidi daro ixetidaba hanis.
0b151b0073	Akaabi hessa si7ida wode ba ma7uwa daakidi, kayo ma7o ma7idi xoomis. Kayo ma7o ma7idi dhiskees; azzanishe hemetees.
0b151c0039	Hessafe guye Godaa qaalay Tesiba addiya Eeliyaasako yidi,
0b151d00c2	“Akaabi bana ta sinthan waatidi kawushidaako be7adii? I ta sinthan bana kawushida gisho, taani dhayuwa iya wode ehike. Shin taani iya na7aa woden iya soo asaa bolla ha dhayuwa ehana” yaagis.
0b1601003c	Sooreynne Isra7eeley oletonna heedzu laythi saro de7idosona.
0b16020047	Heedzantho laythan, Yihuda kawoy Iyosaafexi Isra7eele kawa be7anaw bis.
0b160300af	Isra7eele kawoy ba moorinnatako, “Galadan de7iya Raamota katamay nubaa gideysanne nuuni hanno gakanaw he katamaa Soore kawuwape ekanaw aykoka oothonaysa ereketii?” yaagis.
0b160400dc	I, Iyosaafexa, “Galadan de7iya Raamota katamaa olanaw taara baanee?” yaagidi oychis. Iyosaafexi zaaridi, “Ee, neeni olaa baanaw giigiya wode ta neera baana. Ta olanchoti ne olanchota; ta parati ne parata” yaagis.
0b16050050	Qassi, Iyosaafexi Isra7eele kawa, “Gidoshin, sinthatada Godaa oycha” yaagis.
0b160600c4	Isra7eele kawoy oyddu xeetu nabeta issife shiishidi, “Galadan de7iya Raamota katama olanaw booye boopo” yaagidi oychis. Enti, “Ba; Goday he katamaa kawa kushen aathidi immana” yaagidosona.
0b16070057	Shin Iyosaafexi, “Nuuni Godaa oychanaw danda7iya hara nabey haysan baawee?” yaagis.
0b160800f3	Isra7eele kawoy zaaridi, “Nuuni iya baggara Godaa oychanaw danda7iya issi addey de7ees. I, Yimila na7aa Mikiyaasa. Shin I ubba wode tabaa iitabaape attishin, lo77oba odonna gisho ta iya ixayis.” Iyosaafexi, “Kawoy hessa goopo!” yaagis.
0b1609006e	Hessa gisho, Isra7eele kawoy ba moorinatape issuwa xeegidi, “Yimila na7aa Mikiyaasa elle ekada ya” yaagis.
0b160a00ce	Isra7eele kawoynne Yihuda kawoy Iyosaafexi banta kawotetha ma7uwa ma7idi, Samaare katamaa geliya pengiya matan de7iya wudumman banta kawotetha araatan uttidosona; nabeti ubbay enta sinthan tinbite odoosona.
0b160b009e	Entafe issoy, Kanaane na7ay Sedeqiyaasi birata kaceta giigisidi, “Goday haysada yaagees; ‘Sooreti dhayana gakanaw ne enta ha kacetan qaycana’” yaagis.
0b160c0088	Hara nabeti ubbay, “Galadan de7iya Raamota katamaa bada ola; xoona. Goday he katamaa, kawa kushen aathidi immana” yaagidi odidosona.
0b160d00cc	Mikiyaasa xeeganaw kiitetidi bida addey, “Heko, nabeti ubbay issi doona gididi, ‘Kawoy ha olaa xoonana’ yaagidi odidosona. Hessa gisho, hayyana ne odayka entaysa mela gido; ne lo77oba oda” yaagis.
0b160e004a	Shin Mikiyaasi, “Goday eriya mela, Goday taw odiyaba ta odana” yaagis.
0b160f00d2	Mikiyaasi kawako yida wode, kawoy, “Mikiyaasa, nu Galadan de7iya Raamota katamaa olanaw biino boopo” yaagidi oychis. Mikiyaasi, “Bada ola; ne xoonana. Goday he katama kawa kushen aathidi immana” yaagis.
0b16100056	Kawoy, “Ne Godaa sunthan taw tuma odana mela ta nena aapun toho caaqetho?” yaagis.
0b161100b4	Mikiyaasi, “Isra7eele olanchoti ubbay henthanchoy bayna dorsada deriya bolla laaletidaysa ta be7as. Goday, ‘Haysatas godi baawa. Enti ubbay banta soo soo saro boo’” yaagis.
0b16120079	Isra7eele kawoy Iyosaafexako, “I tabaa iitabaa odeesipe attishin, lo77oba odi erenna gada, ta new odabikina?” yaagis.
0b16130087	Mikiyaasi gujidi, “Hiza Goday giyaba si7a! Goday ba araatan uttin, salo kiitanchoti ubbay iya ushachaninne haddirsan eqidashin be7as.
0b16140096	Goday, ‘Akaabi Galadan de7iya Raamota katamaa bidi, yan hayqana mela balethanay oonee?’ yaagis. Issoy haysada giya wode hankoy qassi hessada gees.
0b16150054	Wursethan issi ayyaani keyidi Godaa sinthan eqidi, ‘Ta iya balethana’” yaagis.
0b161600bd	Goday, “Ne waata balethanee?” yaagis. Ayyaanay, “Ta bada, iya nabeta ubbaa doonan wordo ayyaana gidana” yaagis. Goday, “Ne iya balethana; new hessi hanana. Bada baletha” yaagis.
0b1617007d	Mikiyaasi gujidika, “Heko, Goday ne bolla dhayo ehanaw qachida gisho ne nabeta ubbaa doonan wordo ayyaana wothis” yaagis.
0b16180086	Hessafe guye, Kenaana na7ay Sedeqiyaasi shiiqidi, Mikiyaasa baqidi, “Godaa Ayyaanay tana aggidi waanidi new odanaw bidee?” yaagis.
0b16190050	Mikiyaasi, “Heko, neeni qosetanaw qol7a geliya gallas hessa demmana” yaagis.
0b161a0074	Isra7eele kawoy ba olanchotape issuwa, “Mikiyaasa oykada katama haariya Amoonesinne ta na7aa Iyo7aasas efada imma.
0b161b0095	Kawoy simmana gakanaw ha addiya qasho keethan wothite. Taani saro simmana gakanaw, guutha uythafenne haathaafe haraba aykoka iyaw immopite” yaagis.
0b161c008c	Mikiyaasi, “Tuma ne saro simmiyaba gidiko, Goday taw odibeenna” yaagis. Qassika, Mikiyaasi, “Asa ubbay ta odidaysa akeekite” yaagis.
0b161d0061	Hessafe guye, Isra7eele kawoynne Yihuda kawoy Iyosaafexi Galadan de7iya Raamota katamaa bidosona.
0b161e00b8	Isra7eele kawoy Iyosaafexi, “Ta ma7uwa laammada, hara asi daanada olaa gelana; shin neeni ne kawo ma7uwa ma7a” yaagis. Isra7eele kawoy ma7uwa laammidi, hara asi daanidi olaa gelis.
0b161f0084	Soore kawoy ba para gaareta kiittiya hastamanne nam7u asatako, “Kawa xalaali attishin, hara ooderaka oletofite” yaagidi kiittis.
0b16200087	Para gaariya kiitteysati Iyosaafexa be7ida wode, “Tuma haysi Isra7eele kawa” yaagidosona. Iyara oletanaw simmin Iyosaafexi waassis.
0b1621005b	Para gaareta kiitteysati, I Isra7eele kawa gidonnaysa be7idi, iya yedetheysa aggaagidosona.
0b162200e8	Gidoshin, issi addey coo ba dongiya bolla dukidi, Isra7eele kawa olaa ma7oy gahetiya bessaara caddin, Isra7eele kawoy ba gaariya laagiya addiyako, “Gaariya guye zaarada, tana olaa giddofe kessa; taani iita cache cadetas” yaagis.
0b162300a1	He gallas olay goobiya wode, Isra7eele kawoy Akaabi ba para gaariya giddon zempidi, Sooreta sinthan takis. Iya suuthay para gaariya giddo gukin, I omarsi hayqis.
0b16240073	Away wullanaw matishin, “Asa ubbay ba katamaa katamaa boo! Asa ubbay ba biitta biitta boo!” giya kiiti si7etis.
0b16250030	Enti kawa Samaare katamaa efidi yan moogidosona.
0b16260089	Layma maccasati meecetiya, teqetidi uttida Samaare haathan gaariya meeccidosona. Goday kase odida qaalada iya suuthaa kanati laacidosona.
0b16270098	Akaabi hanida harabay, I oothidaba ubbay, dangarsa zaalen kawo gadho keexidabaanne gimbida katamatabay ubbay Isra7eele kawota Taarike Maxaafan xaafetis.
0b1628004c	Akaabi hayqidi ba mayzatan gahetis; iya bessan iya na7ay Akaziyaasi kawotis.
0b16290057	Isra7eele kawoy Akaabi kawotida oyddantho laythan Asa na7ay Iyosaafexi Yihudan kawotis.
0b162a0082	I kawotiya wode laythi iyaw hastamanne ichasha; I Yerusalaamen laatamanne ichashu laythi kawotis. Iya aayiya Shiliha na7iw Azuubo.
0b162b00c8	Iyosaafexi ba aawa Asa ogiyan hemetis; I he ogiyape gede haa gibeenna; Godaa sinthan suureba oothis. Gidoshin, dhoqa goyinno bessata dhaysibeenna; asay he bessan yarshonne ixaane cuyisethi aggibeenna.
0b162c0026	Iyosaafexi Isra7eele kawuwara sigetis.
0b162d0064	Iyosaafexi hanida harabay, iya minotethaynne I oletida olay Yihuda kawota Taarike Maxaafan xaafetis.
0b162e005b	Iya aaway Asi kawotida wodiyape doomin, attida addera addera laymateyisata biittafe diggis.
0b162f0048	He wode Edoome biittan kawoy baawa; he biittan shuumetida halaqi haaris.
0b16300091	Ofira biittafe worqa ehana mela Iyosaafexi gita markabeta oosisis; shin he markabeti Exiyoon-Gabiran meqeretidosonape attishin, kumthi bibookona.
0b16310078	He wode Akaaba na7ay Akaziyaasi, “Ta oosanchoti ne oosanchotara issife markabiyan boo” yaagis; shin Iyosaafexi ixis.
0b16320070	Iyosaafexi hayqidi ba mayzatan gahetis. Ba mayza Dawita Kataman moogetis. Iya bessan iya na7ay Iyoraami kawotis.
0b1633009c	Yihuda kawoy Iyosaafexi kawotida tammanne laapuntho laythan, Akaaba na7ay Akaziyaasi Isra7eele bolla Samaaren kawotis; Isra7eele bolla nam7u laythi kawotis.
0b1634008d	Akaziyaasi Godaa sinthan iitabaa oothis; ba aawanne ba aaye ogiyaninne Isra7eele asa nagara oosisida, Nabaaxa na7aa Iyorbaama ogiyan hemetis.
0b1635006e	Akaziyaasi Ba7aale eeqas oothis; iya goyinnis. Iya aaway kase oothidaysada, Godaa Isra7eele Xoossaa hanqethis.
0c00000008	2 Kawota
0c01010041	Akaabi hayqidaape guye, Moo7abe asay Isra7eele bolla dendidosona.
0c010200de	He wode kawoy Akaziyaasi Samaare katama bolla de7iya pooqiya barandaafe kundidi deshetis. Hessa gisho, asatako, “Bidi, taani ha hargiyafe paxaneko paxonnaako Eqroona xoossaa Bi7eel-Zebuula ane oychite” yaagidi kiittis.
0c010300cc	Shin Godaa kiitanchoy Tesiba addiya Eeliyaasa haysada yaagis; “Pude bada, Samaare kawoy kiitida asatara gahetada, ‘Hinte Eqroona xoossaa Bi7eel-Zebuula oychanaw biday, Isra7eelen Xoossi dhayineyee?’
0c01040093	Goday haysada yaagees; ‘Kawaw, neeni hayqanaape attishin, ha zin7ida hiixape dendaka’ yaagees” yaaga. Hessa gisho, Eeliyaasi bidi entaw odis.
0c0105004f	Kiitetida asati kawako guye simmin, “Ayis simmidetii?” yaagidi enta oychis.
0c01060125	Enti, “Issi addey nuura gahetanaw yidi, hintena kiitida kawako simmidi, haysada yaagidi odite. Goday neeko, ‘Eqroona xoossa Bi7eel-Zebuula oychanaw neeni ase kiittey, Isra7eelen xoossi dhayneyee? Hessa gisho, neeni hayqanaape attishin, ha zin7ida hiixape dendaka’ yaagees” yaagidosona.
0c0107005b	Kawoy, “Hintera gahetanaw yidi, haysa hintew odida addey ay mela asee?” yaagidi oychis.
0c01080089	Enti, “Ikisepe oosetida ma7o ma7idi, ba xeessan dafo dancees” yaagidi zaaridosona. Kawoy, “Hessi Tesiba addiya Eeliyaasa” yaagis.
0c010900b5	Hessafe guye, kawoy issi toora mocona ishatamu wotaadaretara kiittis. Toora moconay dere huuphen uttida Eeliyaasako keyidi, “Xoossa aso, kawoy nena, duge wodhada haaya” yaagees.
0c010a00af	Shin Eeliyaasi toora moconaako, “Taani Xoossaa asi gidiko, tami salope wodhidi, nenanne ne wotaadareta mo” yaagidi zaaris. Tami salope wodhidi, iyanne iya wotaadareta mis.
0c010b0096	Kawoy hara toora mocona ishatamu wotaadaretara Eeliyaasako kiittis. Tora moconay Eeliyaasako, “Xoossa aso, kawoy nena duge wodhada haaya” yaagees.
0c010c0099	Eeliyaasi, “Taani Xoossaa asi gidiko, tami salope wodhidi, nenanne ne wotaadareta mo” yaagis. Xoossa tami salope wodhidi, iyanne iya wotaadareta mis.
0c010d00da	Kawoy heedzantho hara tora mocona ishatamu wotaadaretara Eeliyaasako kiittis. tora moconay Eeliyaasako bidi, iya sinthan gulbatidi, “Xoossa aso, hayyana tawunne taara de7iya asaas qadheta; nu shempuwa hayqope ashsha.
0c010e0079	Heko, tami salope wodhidi, kase nam7u toora moconatanne enta wotaadareta mis. Shin ha77i taw qadheta!” yaagidi woossis.
0c010f006f	Godaa kiitanchoy Eeliyaasako, “Yayyofa! Iyara duge wodha” yaagis. Eeliyaasi dendidi, iyara kawako duge bis.
0c011000c2	“Goday haysada yaagees; ‘Isra7eelen Xoossi dhayine, neeni Eqroona xoossaa Bi7eel-Zebuula oychanaw ase kiittiday? Neeni haysa oothida gisho, hayqana! Ne zin7ida hiixape dendaka’” yaagees.
0c011100c9	Eeliyaasi odida Xoossaa qaalada Akaziyaasi hayqis; Akaziyaasas adde na7i bayna gisho, iya ishay Iyoraami iya bessan kawotis. Hessi haniday Iyosaafexa na7ay Iyoraami Yihudan kawotida nam7antho laythana.
0c01120053	Akaziyaasi oothida haraba ubbay Isra7eele Kawota Taarike Maxaafan xaafetidi de7ees.
0c0201005c	Goday Eeliyaasa goten salo efanaw haniya wode, Eeliyaasinne Elsi Galgalape dendidi bidosona.
0c020200d1	Eeliyaasi Elsako, “Goday tana Beetele kiitida gisho, hayyana neeni haysan gam7aasha” yaagis. Shin Elsi, “Goday eriya mela, ne shempoy ero! Taani neepe shaaketike” yaagis. Enti duge Beetele wodhidosona.
0c020300bc	Beetelen de7iya nabeta cugay Elsako keyidi, “Goday hachi ne godaa neepe shaakidi efana haneysa eray?” yaagidi oychidosona. Elsi, “Ee erayis; shin hinte si77i giite” yaagidi zaaris.
0c020400de	Eeliyaasi Elsako, “Goday tana Iyaarko kiitida gisho, hayyana neeni haysan gam7aasha” yaagis. Shin Elsi, “Goday eriya mela, ne shempoy ero! Taani neepe shaaketike” yaagidi zaaris. Hessa gisho, enti Iyaarko bidosona.
0c020500b9	Iyaarkon de7iya nabeta cugay Elsako keyidi, “Goday hachi ne godaa neepe shaakidi efana haneysa eray?” yaagidi oychidosona. I, “Ee erayis; shin hinte si77i giite” yaagidi zaaris.
0c020600d4	Eeliyaasi Elsako, “Goday tana Yordaanose Shaafa kiitida gisho, hayyana neeni haysan gam7aasha” yaagis. Elsi, “Goday eriya mela, ne shempoy ero! Taani neepe shaaketike” yaagis. Enti nam7ay issife bidosona.
0c0207009d	Nabetape ishatamu asati enta kaallidi, Yordaanose Shaafa gakanaw bidosona. Eeliyaasinne Elsi shaafa doonan eqidashin, nabeti entafe guuthu haakidi eqidosona.
0c0208007a	He wode Eeliyaasi ba afilaa ekidi xaaxidi, iyara haatha shocin, haathay yaanne haanne shaaketin mela biittara pinnidosona.
0c020900b8	Eeliyaasi Elsako, “Taani neepe eketanaape sinthe, new ay oothana mela koyay?” yaagis. Elsi, “Ne ayyaanay ta bolla nam7u kushe gidana mela, taani nena woossayis” yaagidi zaaris.
0c020a009a	Elsi, “Neeni waaysiya oysho oychadasa. Shin taani neepe eketiya wode neeni tana xeelliyaba gidiko, hessi new hanana. Ne be7onna ixiko hanenna” yaagis.
0c020b007e	Enti issife odetishe hemetishin, tama paratinne tama gaareti enta nam7aafe giddon gelidi, shaakis. Eeliyaasi goten salo keyis.
0c020c00bf	Elsi hessa be7idi, “Ta aawaw, ta aawaw! Isra7eele paratonne para gaareto!” yaagidi waassis. Hessafe simmin, I Eeliyaasa zaaridi be7ibeenna. Elsi azzanidi, ba ma7uwa nam7a kessidi, daakis.
0c020d0051	Eeliyaasape wodhida ma7uwa denthidi, guye simmidi, Yordaanose Shaafa doonan eqis.
0c020e00b3	Eeliyaasape wodhida ma7uwa ekidi, iyara haatha shocidi, “Goday Eeliyaasa Xoossay awun de7ii?” yaagis. Elsi haatha shocida wode, haathay yaanne haanne shaaketin, shaafa pinnis.
0c020f009a	Iyaarko yida nabeta cugay Elsa be7ida wode, “Eeliyaasa ayyaanay Elsa bolla shempis” yaagidosona. Enti iyara gahetanaw yidi, iya sinthan gufannidosona.
