0100000012	Англунимо
0117070082	Тунчи Авраамо вщиля тай тэлиля хеттеенди, манушэнди кодылатар пхуятар.
01170800df	Вов пхэнда лэнди: — Сар тумэ камэн када, соб мэ тэ гаравав муля, пошунэн ман тай помангэн пала ман Эфроно, Цохарохкирэ чявэ,
0117090144	соб вов тэ битинэл манди пищера Махпела, сави исин лэхкири тай ачел пэ бряго пэ лэхкири маля. Мэк битинэла ла манди пала бари цымин рупь, сар тхан важ соб тэ гарава помашкар тумэн.
01170a00e5	Хеттеё Эфроно бэшля помашкар пэхкирэ мануша тай пхэнэл Авраамости англа всаворэ хеттеен, савэ авиле форохкиронэндирэ удара.
01170b0116	Вов пхэнда: — Нат, муро рай, пошун ман. Мэ отдав тути маля тай отдав тути пищера, сави пэ кая маля. Мэ отдав тути када англа мурэ мануша. Гарав пэхкиря муля.
01170c005b	Авраамо упалэ тэлиля манушэнди кодылатар пхуятар
01170d00d9	тай пхэнда Эфроности англа лэн: — Вышун жэ ту ман. Мэ дава рупь пала маля. Прылэ ла мандар, соб манди тэ гаравэ котэ муля.
01170e002f	Эфроно пхэнда Авраамости:
01170f00ce	— Пошун ман, рай муро: пхув кодыя ачел штар шэла шэкеля рупь. Када со бут важ тути чи важ манди? Гарав пэхкиря муля.
01171000f3	Авраамо допхэндапэ Эфроноґа тай дэня лэсти малятири цымин, сави вов пхэнда англа хеттея: штар шэла шэкеля рупь, сар бинэн битинимари.
01171100c2	Кади маля Эфронохкири дэ Махпела пашэ Мамреґа, маля тай пищера, тай всаворэ рандя пав бэрги малятирэ ачиле
0117120080	Авраамохкирэ англа всаворэн хеттеен, савэ авиле дэ форохкирэн ударэн.
01171300d5	Пала када Авраамо гаравда пэхкиря ромня Сарра дэ пищера пэ маля Махпела пашэ Мамреґа (со дэ Хевроно), дэ пхув Ханаано.
01171400a0	Маля тай пищера пэ лэстэ пэрэджиля хеттеендар Авраамости, сар тхан, тев тэ гаравэ мулэн.
011801007f	Авраамо ачиля пурано, лэсти сля бут бэрш, тай РАЙ бахтисарда лэ дэ вса.
01180200df	Авраамо пхэнда пхурэдэрэсти копылести дэ пэхкоро цэр, саво дыкхэлас пала вса, со лэстэ сля: — Тхов васт манди тала пашварэ
011803011d	тай солаха манди РАЕҐА, Саво исин Дэвэл болыбнахкиро тай Дэвэл пхуятиро, со ту на лэґа мурэсти чявэсти ромня чеендар ханаанеендирэн, машкар савэн мэ джював,
01180400b7	ай джяґа дэ пхув, тев мэ бэяндомпэ, мурэндэ родонэндэ, тай котэ лэґа ромня мурэсти чявэсти Исаакости.
011805012d	Копыли пхучля лэстар: — Со, сар кодыя джювли на закамэла тэ джя манца кордэ, дэ кадыя пхув? Со манди тунчи тэ терэ, тэ рисарэ тирэ чявэ дэ кодыя пхув, савятар ту авилян?
011806006d	Авраамо пхэнэл: — Нисар тай никала на рисар пордэ мурэ чявэ.
01180701df	РАЙ, Дэвэл болыбнахкиро, Саво вылиджялда ман дадэхкирэ цэрэстар тай мурятар пхуятар, Саво дэдуманя манца тай дэня солах манди, кала пхэнда: «Мэ отдава кадыя пхув тирэнди чяворэнди», Вов бичялэла Пэхкирэ ангело англа тут, соб ту тэ лэх котар ромня мурэсти чявэсти.
01180800be	Сар джювли на закамэла тэ джя туґа, ту авэґа викалавдо калатар солахатар. Кацик на рисар пордэ мурэ чявэ.
011809009a	Копыли тховда васт тала паршавэ Авраамости, пэхкирэсти раести, тай дэня солах лэсти.
01180a0151	Тунчи копыли лиля деш верблюдонэн пэхкирэ раехкирэн, пхэрдиля лэн фэдэрэнца подарконэнца лэстар тай джиля дэ дром. Вов джиля дэ Арамо-Нахараимо, рицарда дром форостэ, тев джюда Нахоро.
01180b00c8	Вов тэлисарда верблюдонэн пэ чянгэн паша ханинг пала форо; када сля тала бельвель, кала джювля авэн пала пани.
01180c00d6	Вов пхэнда: — РАЕ, Дэвэл мурэ раехкиро Авраамо! Дэ манди авдивэ бахтисаримо тай сикав мила мурэсти раести Авраамости.
01180d0069	Акэ, мэ ачяв пашэ ханинг, тай чея форохкирэ джян пала пани.
01180e01e5	Мэк авэла кади. Сар мэ пхэнава чяти: «Мангав тут, обмук кхоро пхикэстар, соб манди тэ пэ пани», ай вой пхэнэла: «Пи, тай мэ дава пани тирэнди верблюдонэнди», када вой авэла, савя Ту вылилян важ тирэсти копылёсти Исаакости. Кади мэ уджянава, со Ту дэх мила мурэсти раести.
