010000000c	ԾՆՆԴՈՑ
011a0500e0	ի հատուցումն այն բանի, որ քո հայր Աբրահամը լսեց իմ խօսքը, պահեց իմ հրամանները, իմ պատուիրանները, իմ կանոններն ու օրէնքները»:
011a060040	Իսահակը բնակուեց գերարացիների հետ:
011a07014e	Տեղի մարդիկ հարցրին նրա կին Ռեբեկայի մասին, եւ նա ասաց. «Իմ քոյրն է»: Նա վախեցաւ ասել «Իմ կինն է». գուցէ Ռեբեկայի պատճառով տեղի մարդիկ սպանէին իրեն, որովհետեւ Ռեբեկան դէմքով գեղեցիկ էր:
011a0800f5	Նա այնտեղ մնաց երկար ժամանակ: Փղշտացիների արքայ Աբիմելէքը պատուհանից դուրս ձգուեց ու տեսաւ, որ Իսահակը կատակում է իր կին Ռեբեկայի հետ:
011a09013a	Աբիմելէքը կանչեց Իսահակին եւ ասաց նրան. «Ուրեմն նա քո կինն է: Ինչո՞ւ, սակայն, ասացիր, թէ՝ «Իմ քոյրն է»: Իսահակն ասաց նրան. «Որովհետեւ մտածեցի, թէ գուցէ նրա պատճառով սպանուեմ»:
011a0a0155	Աբիմելէքը նրան ասաց. «Ինչո՞ւ այդ բանն արեցիր մեզ հետ: Քիչ էր մնում, որ իմ ազգակիցներից մէկը պառկէր քո կնոջ հետ եւ մեզ մեղքի մէջ գցէիր»: Եւ Աբիմելէքը հրաման արձակեց իր ողջ ժողովրդին՝ ասելով.
011a0b0095	«Բոլոր նրանք, ովքեր կը դիպչեն այդ մարդուն կամ նրա կնոջը, մահուան կը դատապարտուեն»:
011a0c00a8	Իսահակը գարի ցանեց այդ երկրում եւ նոյն տարում էլ հարիւրապատիկ բերք ստացաւ: Տէրն օրհնեց նրան,
011a0d0095	եւ սա հարստացաւ: Նա առաջադիմում էր, հարստանում այն աստիճան, որ մեծահարուստ դարձաւ:
011a0e0063	Նա ունեցաւ ոչխարի ու արջառի հօտեր, բազում կալուածքներ:
011a0f00e1	Փղշտացիները նախանձեցին նրան եւ խցանեցին այն բոլոր ջրհորները, որ նրա հօր՝ Աբրահամի օրօք փորել էին նրա ծառաները. փղշտացիները
011a1000c2	դրանք լցրին հողով: Աբիմելէքն ասաց Իսահակին. «Հեռացի՛ր մեր մօտից, որովհետեւ մեզնից շատ աւելի զօրաւոր եղար»:
011a11008a	Իսահակն այդտեղից գնաց ու վրան խփեց գերարացիների ձորում: Նա բնակուեց այնտեղ:
011a120189	Իսահակը դարձեալ փորեց այն ջրհորները, որ փորել էին նրա հօր՝ Աբրահամի ծառաները, իսկ փղշտացիները նրա հայր Աբրահամի մահից յետոյ խցանել էին: Իսահակն այդ ջրհորները կոչեց այն անուններով, որ տուել էր դրա նց իր հայր Աբրահամը:
011a130098	Իսահակի ծառաները հող փորեցին գերարացիների ձորում եւ այնտեղ գտան ըմպելի ջրի աղբիւր:
011a140130	Գերարացիների հովիւները կռուեցին Իսահակի հովիւների հետ՝ ասելով, թէ իրենցն է այդ ջրհորը: Նրանք ջրհորը կոչեցին Անիրաւութիւն, քանի որ նրա հանդէպ անիրաւութիւն էին գործել:
011a1500ba	Իսահակը գնաց այդտեղից ու փորեց մի այլ ջրհոր եւս: Վէճ ծագեց սրա համար էլ: Իսահակը այն կոչեց Թշնամութիւն:
011a16014d	Նա գնաց այդտեղից եւ փորեց մի այլ ջրհոր եւս: Դրա շուրջ վէճ չառաջացաւ, եւ այդ պատճառով այն կոչեց Անդորրութիւն՝ ասելով, թէ՝ «Այժմ մեզ ընդարձակ տեղ տուեց Տէրը եւ բազմացրեց մեզ երկրի վրայ»:
011a17008a	Իսահակն այդտեղից գնաց Երդման ջրհորի մօտ: Տէրն այդ գիշեր երեւաց նրան ու ասաց.
011a1800ee	«Ես քո հօր Աստուածն եմ: Մի՛ վախեցիր, որովհետեւ քեզ հետ եմ, ես օրհնելու եմ քեզ, բազմացնելու եմ քո սերունդները ի սէր քո հայր Աբրահամի»:
011a1900d3	Իսահակն այդտեղ զոհասեղան շինեց ու երկրպագեց Տիրոջը: Նա այդտեղ խփեց իր վրանը: Իսահակի ծառաները այդտեղ ջրհոր փորեցին:
011a1a00a4	Գերարայից նրա մօտ գնացին Աբիմելէքը, նրա սենեկապետ Ոքոզաթը եւ նրա զօրքերի սպարապետ Փիքողը:
011a1b00a0	Իսահակը նրանց ասաց. «Ինչո՞ւ եկաք ինձ մօտ, չէ՞ որ դուք ատեցիք ինձ եւ հալածեցիք ձեր մօտից»:
011a1c010a	Նրանք պատասխանեցին. «Մենք պարզիպարզոյ տեսանք, որ Տէրը քեզ հետ է, ուստի ասացինք. «Հաշտութիւն թող լինի մեր եւ քո միջեւ: Մենք պայման թող դնենք քեզ հետ.
011a1d0131	մեր նկատմամբ որեւէ վատ բան չանես, քանի որ մենք չենք մեղանչել քո դէմ, քեզ բարերարութիւն ենք արել եւ քեզ խաղաղութեամբ ճանապարհ դրել, որովհետեւ դու Տիրոջ օրհնած մարդն ես»:
011a1e0067	Իսահակը նրանց պատուին խնջոյք սարքեց, նրանք կերան, խմեցին
011a1f00d5	եւ առաւօտեան վաղ վեր կենալով՝ երդուեցին միմեանց: Իսահակը ճանապարհ դրեց նրանց, եւ նրանք իր մօտից հաշտ ու խաղաղ գնացին:
011a2000ad	Այդ օրը եկան Իսահակի ծառաները եւ յայտնեցին նրան իրենց փորած ջրհորի մասին, թէ՝ «Ջուր չենք գտել»:
011a2100b1	Իսահակն այդ ջրհորն անուանեց Երդումն: Դրա համար էլ այդ քաղաքը մինչեւ այսօր կոչւում է Երդման ջրհոր:
011a2200bf	Եսաւը քառասուն տարեկան հասակում կին առաւ քետացի Բէերի դուստր Յուդիթին եւ խեւացի Ելոմի դուստր Մասեմաթին,
011a23004e	որոնք վշտացնում էին Իսահակին եւ Ռեբեկային:
011b0100eb	Երբ Իսահակը ծերացաւ, եւ վատացաւ նրա աչքի տեսողութիւնը, կանչեց իր աւագ որդի Եսաւին ու ասաց նրան. «Որդեա՛կ իմ»: Սա ասաց. «Այստեղ եմ»:
011b02006b	Նա ասաց նրան. «Ահա ես ծերացել եմ եւ չգիտեմ, թէ երբ կը մեռնեմ:
011b03007a	Արդ, ա՛ռ քո զէնքը՝ աղեղն ու կապարճը, գնա՛ դաշտ եւ ինձ համար ո՛րս արա,
011b0400c6	ինձ համար պատրաստի՛ր իմ սիրած խորտիկները եւ բե՛ր, մատուցի՛ր ինձ, որ ուտեմ եւ օրհնեմ քեզ, քանի դեռ կենդանի եմ»:
011b05009a	Ռեբեկան լսեց այն, ինչ ասաց Իսահակն իր որդուն: Եսաւը գնաց դաշտ, որ որս անի իր հօր համար,
011b0600be	իսկ Ռեբեկան, դիմելով իր որդի Յակոբին, ասաց. «Ես քո հօրից լսեցի այն, ինչ նա ասում էր քո եղբօրը: Նա նրան ասաց.
011b0700bd	«Ինձ ո՛րս բեր եւ ինձ համար խորտիկներ պատրաստի՛ր, որ ուտեմ եւ օրհնեմ քեզ Տիրոջ առաջ, քանի դեռ կենդանի եմ»:
011b08004c	Արդ, որդեա՛կ իմ, լսի՛ր, թէ ինչ եմ ասում քեզ:
011b0900c7	Գնա՛ եւ հօտի միջից ինձ երկու մատղաշ ու ընտիր ուլ բե՛ր, որ դրանցով քո հօր համար նրա սիրած խորտիկները պատրաստեմ:
011b0a008d	Դու այն կը մատուցես քո հօրը, որ ուտի եւ քեզ օրհնի քո հայրը, քանի դեռ կենդանի է»:
011b0b0086	Յակոբն ասաց իր մայր Ռեբեկային. «Իմ եղբայր Եսաւը մազոտ մարդ է, իսկ ես՝ լերկ:
011b0c00b0	Գուցէ շօշափի ինձ իմ հայրը, ես խայտառակ լինեմ նրա առաջ, եւ օրհնութեան փոխարէն անէծք թափուի գլխիս»:
011b0d00b5	Մայրը նրան ասաց. «Թող ինձ վրայ լինի այդ անէծքը, որդեա՛կ, միայն թէ լսի՛ր իմ ասածը, գնա դրանք բե՛ր ինձ»:
011b0e003e	Նա գնաց եւ ուլերը բերեց իր մօր մօտ,
011b0f00ef	իսկ սա նրա հօր սիրած խորտիկները պատրաստեց: Ռեբեկան առաւ աւագ որդու ընտիր պատմուճանը, որ կար իր տանը, հագցրեց իր կրտսեր որդի Յակոբին,
011b10005c	ուլի մորթին փաթաթեց նրա թեւերին ու մերկ պարանոցին:
011b110071	Նա իր պատրաստած խորտիկներն ու հացը տուեց իր որդի Յակոբի ձեռքը:
011b1200b5	Սա տարաւ դրանք իր հօրն ու ասաց. «Հա՛յր իմ»: Նա ասաց. «Այստեղ եմ»: Հայրը հարցրեց. «Դու ո՞վ ես, որդեա՛կ»:
011b1300f0	Յակոբը պատասխանեց հօրը. «Ես Եսաւն եմ՝ քո անդրանիկ որդին: Արեցի այնպէս, ինչպէս ասացիր ինձ: Արի նստի՛ր ու կե՛ր իմ որսից, որ օրհնես ինձ»:
011b1400db	Իսահակն ասաց որդուն. «Այդ ինչպէ՞ս է, որ այդքան շուտ որս գտար, որդեա՛կ»: Նա պատասխանեց. «Ինչպէս Աստուած ինքը դրեց իմ առաջ»:
011b1500bf	Իսահակն ասաց Յակոբին. «Մօ՛տ արի, որ շօշափեմ քեզ, որդեա՛կ, որպէսզի իմանամ, թէ դո՞ւ ես իմ որդի Եսաւը, թէ՞ ոչ»:
011b1600ca	Յակոբը մօտեցաւ իր հայր Իսահակին, սա շօշափեց նրան ու ասաց. «Ձայնդ Յակոբի ձայնն է, բայց ձեռքերդ Եսաւի ձեռքերն են»:
011b1700c4	Իսահակը չճանաչեց նրան, որովհետեւ նրա ձեռքերը իր եղբայր Եսաւի ձեռքերի նման մազոտ էին: Նա օրհնեց նրան ու ասաց.
011b180055	«Դո՞ւ ես իմ որդի Եսաւը»: Նա պատասխանեց. «Ես եմ»:
011b1900fc	Իսահակն ասաց. «Մատուցի՛ր ինձ, որ ուտեմ քո որսից, որդեա՛կ, որպէսզի օրհնեմ քեզ»: Յակոբը մատուցեց նրան, եւ նա կերաւ: Նրան գինի բերեց, եւ նա խմեց:
011b1a0077	Նրա հայր Իսահակը ասաց նրան. «Մօ՛տ արի եւ համբուրի՛ր ինձ, որդեա՛կ»:
011b1b00ee	Յակոբը մօտեցաւ, համբուրեց նրան: Իսահակն առաւ նրա հագուստի հոտը եւ օրհնելով նրան՝ ասաց. «Իմ որդին Տիրոջ օրհնած բերրի արտի հոտն ունի:
011b1c00b4	Թող Աստուած քեզ մաս հանի երկնքի ցօղից, երկրի պարարտութիւնից եւ ցորենի ու գինու առատութիւն պարգեւի:
011b1d0161	Թող քեզ ծառայեն ժողովուրդները, եւ իշխանները թող քեզ երկրպագեն: Քո եղբօր տէրը լինես, թող քեզ երկրպագեն քո հօր որդիները: Ով անիծի քեզ, ինքն անիծեալ թող լինի, իսկ ով օրհնի քեզ, ինքն օրհնեալ թող լինի»:
011b1e00cd	Երբ Իսահակը իր որդի Յակոբին օրհնելը վերջացրեց, եւ Յակոբը գնաց իր հայր Իսահակի մօտից, որսից եկաւ նրա եղբայր Եսաւը:
011b1f00da	Սա եւս խորտիկներ պատրաստեց եւ մատուցելով իր հօրը՝ ասաց. «Թող վեր կենայ իմ հայրը, ուտի իր որդու որսից, որպէսզի օրհնի ինձ»:
