0100000008	Genesisi
05011f00c0	uye nomurenje. Imomo makaona kuti Jehovha Mwari wenyu akakutakurai sei, sezvinoita baba kana vachitakura mwanakomana wavo, nzira dzose dzamakafamba nadzo kudzamara muchisvika panzvimbo ino.”
0501200039	Kunyange zvakadaro, hamuna kuvimba naJehovha Mwari wenyu,
05012100af	iye akakutungamirirai parwendo rwenyu, mumoto usiku nomugore pamasikati kuti akutsvagirei nzvimbo dzokudzika matende enyu uye kuti akuratidzei nzira yamunofanira kufamba nayo.
050122003a	Jehovha paakanzwa zvamakataura, akatsamwa akapika, achiti,
0501230073	“Hakungavi nomunhu mumwe wechizvarwa ichi achaona nyika yakanaka yandakapika ndichiti ndichaipa kumadzibaba enyu,
050124009e	kunze kwaKarebhu mwanakomana waJefune achaiona, uye ndichamupa iye nezvizvarwa zvake nyika yaakatsika netsoka dzake nokuti akateerera Jehovha nomwoyo wose.”
050125004d	Nokuda kwenyu Jehovha akanditsamwira neniwo, akati, “Newewo hauchazoipindi.
0501260044	Asi mutevedzeri wako, Joshua, mwanakomana waNuni, ndiye achapindamo.
05012700a0	Asi vaduku venyu avo vamakati vachatapwa, vana venyu vasati vaziva zvakanaka kubva pane zvakaipa ndivo vachapinda munyika iyi. Ndichaipa kwavari uye vachaitora.
050128004f	Asi kana murimi, dzokai mufambe makananga kurenje nenzira yokuGungwa Dzvuku.”
05012900e0	Ipapo imi makapindura mukati, “Takatadzira Jehovha. Tichaenda tigondorwa, sezvatakarayirwa naJehovha Mwari wedu.” Nokudaro makashonga mumwe nomumwe nhumbi dzokurwa, muchifunga kuti zvaiva nyore kukwidza kunyika yamakomo.
05012a0087	Asi Jehovha akataura kwandiri, akati, “Vaudze kuti, ‘Musakwidza kundorwa, nokuti handiendi nemi. Muchakundwa navavengi venyu.’”
05012b0095	Naizvozvo ndakakutaurirai, asi imi hamuna kuda kuteerera. Makamukira murayiro waJehovha uye mukuzvikudza kwenyu makafamba mukapinda munyika yamakomo.
05012c008f	VaAmori vakanga vagere mumakomo iwayo vakauya kuzokurwisai; vakakudzinganisai sezvinoita nyuchi uye vakakurovai kubva paSeiri kusvikira paHoma.
05012d0076	Makadzoka mukachema pamberi paJehovha, asi iye haana kuteerera kuchema kwenyu uye haana kurerekera nzeve yake kwamuri.
05012e0047	Naizvozvo makagara paKadheshi mazuva mazhinji, nguva yose yamakagarapo.
05020100ba	Zvino takadzoka tikafamba takananga kurenje nenzira inoenda kuGungwa Dzvuku, sezvandakanga ndarayirwa naJehovha. Kwenguva yakareba takafamba nenzira yaipoterera nenyika yamakomo yeSeiri.
050202001d	Ipapo Jehovha akati kwandiri,
050203006c	“Mafamba nenzira yokupoterera nyika iyi yamakomo kwenguva yakakwana, zvino chidzokai muende nechokumusoro.
0502040090	Rayira vanhu uti, ‘Mava pedyo kuti mupfuure nomunyika yehama dzenyu zvizvarwa zvaEsau, vagere paSeiri. Ivo vachakutyai, asi muchenjere kwazvo.
05020500a6	Musavatanga kuti murwe, handingakupei chikamu chipi zvacho chenyika yavo, kunyange pangakwana kuisa rutsoka rwenyu. Ndakapa Esau nyika yamakomo yeSeiri kuti ive yake.
050206004c	Munofanira kuvaripa nesirivha zvokudya zvamuchadya nemvura yamuchanwa.’”
05020700c6	Jehovha Mwari wenyu akakuropafadzai pamabasa ose amaoko enyu. Akakutarirai parwendo rwenyu murenje iri guru. Jehovha Mwari wenyu akava nemi, makore makumi mana aya, uye hapana chinhu chamakashayiwa.
05020800b7	Naizvozvo takapfuura hama dzedu zvizvarwa zvaEsau, vanogara muSeiri. Takasiya nzira inoenda kuArabha, yeArabha, inobva kuErati neEzioni Gebheri, ndokufamba nenzira yomurenje reMoabhu.
05020900b8	Ipapo Jehovha akataura kwandiri, akati, “Musafurusa vaMoabhu kana kuvadenha, nokuti handizokupai chikamu chipi zvacho chenyika yavo. Ndakapa Ari kuzvizvarwa zvaRoti kuti ive yavo.”
05020a004b	(VaEmi vaisigarako vaiva vanhu vakasimba, vakawanda uye vakareba savaAnaki.
05020b0052	SavaAnaki ivowo vaionekwa savaRefaimu, asi vaMoabhu vaivadana nezita rokuti vaEmi.
05020c00d8	VaHori vaimbogarawo muSeiri, asi vana vaEsau vakavadzinga kubva imomo. Vakaparadza vaHori vakanga varimo ivo vasati vavamo vakagara munzvimbo yavo, sezvakangoitawo Israeri munyika yavakapiwa naJehovha kuti ive yavo).
05020d005e	Uye Jehovha akati, “Zvino chisimukai muyambuke Mupata weZeredhi.” Saka takayambuka mupata.
05020e0107	Makore makumi matatu namasere akanga apfuura kubva panguva yatakabva paKadheshi Bharinea kusvikira patakazoyambuka Mupata weZeredhi. Panguva iyoyi chizvarwa chose chavarume vezera rokurwa chakanga chaparara kubva pamisasa, sezvakanga zvapikirwa naJehovha kwavari.
05020f0049	Ruoko rwaJehovha rwakaramba ruchivarwisa kusvikira rwavaparadza zvachose.
050210003a	Zvino wokupedzisira pakati pavarume ava vokurwa akati afa,
0502110017	Jehovha akati kwandiri,
0502120036	“Nhasi unofanira kupfuura nomunyika yeMoabhu, paAri.
05021300b0	Kana woswedera pedyo navaAmoni, usavafurusa kana kuvadenha kuti murwisane, nokuti handingakupei kuti mutore nyika ipi zvayo yavaAmori. Ndakaipa kuti ive yezvizvarwa zvaRoti.”
050214005c	(Naiyowo yainzi inyika yevaRafaimu, vaisimbogaramo; asi vaAmoni vaivadaidza kuti vaZamuzumi.
050215008c	Vaiva vanhu vakasimba, vakawanda, uye vakareba savaAnaki. Jehovha akavaparadza pamberi pavaAmoni, avo vakavadzinga ndokugara munzvimbo yavo.
05021600a4	Jehovha akanga aitira zvimwe chetezvo kuzvizvarwa zvaEsau, vaigara muSeiri, paakaparadza vaHori pamberi pavo. Vakavadzinga ndokugara munzvimbo yavo kusvikira nhasi.
0502170081	Uye kana vari vaAvhi vakanga vagere mumisha kusvikira kuGaza, vaKafitori vaibva Kafitori vakavaparadza ndokugara munzvimbo yavo.)
050218009e	Budai zvino muende, muyambuke mupata weArinoni. Tarirai ndakaisa muruoko rwenyu Sihoni muAmori, mambo weHeshibhoni, nenyika yake. Tangai kuitora mugorwa naye.
05021900a9	Nhasi chaiye ndichatanga kuvhundutsa nokutyisa ndudzi dzose dziri pasi pedenga nokuda kwenyu. Ivo vachanzwa guhu pamusoro penyu vagodedera nokutya kwazvo pamusoro penyu.
05021a006b	Ndakatuma nhume kubva murenje reKedhemoti kuna Sihoni mambo weHeshibhoni ndichikumbira rugare, uye ndikati,
05021b0070	“Titenderei kuti tipfuure nomunyika yenyu. Tichafamba nemugwagwa mukuru; hatizotsauki kurudyi kana kuruboshwe.
05021c006f	Mutitengesere zvokudya nemvura yokunwa nomutengo wazvo wesirivha. Chingotitenderai henyu kuti tipfuure netsoka,
05021d00a5	sezvatakaitirwa nezvizvarwa zvaEsau vagere muSeiri, nevaMoabhu vagere muAri. Kusvikira tayambuka Jorodhani tichipinda munyika iyo yatinopiwa naJehovha Mwari wedu.”
05021e00cc	Asi Sihoni mambo weHeshibhoni akaramba kutitendera kuti tipfuure nomo. Nokuti Jehovha Mwari wenyu akanga aomesa mweya wake uye akanga arambidza mwoyo wake, kuti agomuisa mumaoko enyu, sezvaaita iye zvino.
05021f007b	Jehovha akati kwandiri, “Tarira ndatanga kuisa Sihoni nenyika yake kwauri. Zvino chitanga kuikunda ugotora nyika yake.”
050220003a	Sihoni nehondo yake yose akati auya kuzorwa nesu paJahazi,
050221006b	Jehovha Mwari wedu akamuisa kwatiri uye takamuparadza, iye pamwe chete navanakomana vake nehondo yake yose.
0502220075	Panguva iyoyo takatora maguta ake ose tikaaparadza chose, varume navakadzi uye navana. Hapana watakasiya ari mupenyu.
0502230048	Asi zvipfuwo nezvatakapamba kubva mumaguta takazvitora kuti zvive zvedu.
05022400bf	Kubva paAroeri pamahombekombe oMupata weArinoni, nokubva kuguta rokumupata, kunyange kusvikira kuGireadhi, hakuna kumbova kana neguta rimwe chete rakatikunda. Jehovha Mwari wedu akatipa vose.
05022500b5	Asi maererano nokurayira kwaJehovha Mwari wedu hamuna kuswedera kunyika ipi zvayo yavaAmoni, kunyange kunyika iri kurutivi rweJabhoki kana kunyika yakapoteredza maguta ari mumakomo.
050301008d	Mushure maizvozvo takadzoka tikakwidza nenzira inoenda kuBhashani, uye Ogi mambo weBhashani nehondo yake yose vakauya kuzorwa nesu paEdhirei.
05030200ae	Jehovha akati kwandiri, “Usatya nokuda kwake, nokuti ndakamuisa kwauri uye nenyika yake. Muitire sezvamakaita kuna Sihani mambo wavaAmoni, akanga achitonga muHeshibhoni.”
050303008c	Naizvozvo Jehovha Mwari wedu akaisawo Ogi mambo weBhashani nehondo yake yose mumaoko edu. Takavaparadza tikasasiya kana mumwe chete mupenyu.
05030400a3	Panguva iyoyo takatora maguta ake ose. Hapana kana guta rimwe chete ratisina kuvatorera pamaguta makumi matanhatu, nyika yose yeArigobhu, noushe hwaOgi muBhashani.
050305009d	Maguta ose iwaya akanga akapoteredzwa namasvingo marefu namasuo namazariro, uye kwakanga kunewo misha mizhinji kwazvo yakanga isina kukomberedzwa namasvingo.
050306007e	Takaaparadza zvachose, sezvatakaitira Sihoni mambo weHeshibhoni, takaparadza guta rimwe nerimwe, varume, navakadzi uye navana.
050307004f	Asi zvipfuwo zvose nezvatakapamba kubva mumaguta avo takazvitora zvikava zvedu.
0503080094	Saka nenguva iyoyo takatorera madzimambo maviri aya avaAmoni nyika yokumabvazuva kweJorodhani, kubva paMupata weArinoni kusvikira kuGomo reHerimoni.
0503090040	(Herimoni rinonzi Sirioni navaSidhoni; vaAmori vanoriti Seniri).
05030a008b	Takatora maguta ose enzvimbo yakakwirira neGireadhi yose, uye neBhashani yose kusvikira paSareka neEdhirei, maguta oushe hwaOgi muBhashani.
05030b00d4	(Ogi mambo weBhashani ndiye chete akasara pane vakasara vevaRefaiti. Mubhedha wake wakanga wakagadzirwa nesimbi uye wakanga wakareba makubhiti mapfumbamwe uye makubhiti mana paupamhi. Uchiriko muRabha ravaAmoni.)
05030c00b6	Panyika yatakatora panguva iyoyo, ndakapa vaRubheni navaGadhi nyika yokumusoro kweAroeri Mupata weArimoni, kusanganisira nehafu yenyika yamakomo yeGireadhi, pamwe chete namaguta ayo.
05030d00aa	Imwe nyika yose yeGireadhi uyewo neBhashani yose, muumambo hwaOgi ndakapa kuhafu yorudzi rwaManase. (Nyika yose yeArigobhu muBhashani yaimbozivikanwa senyika yavaRefaimu.
05030e00a7	Jairi mwana waManase, akatora nyika yose yeArigobhu, kusvikira kumuganhu wavaGeshuri navaMaakati, akaitumidza zita rake zvokuti nanhasi Bhashani inonzi Havhoti Jairi.)
05030f0021	Uye ndakapa Gireadhi kuna Makiri.
05031000c7	Asi vaRubheni navaGadhi ndakavapa nyika inobva paGireadhi zvichidzika kusvikira paMupata weArinoni (pakati pemupata uriwo muganhu) uye kubuda kusvikira kuRwizi Jabhoki, unova ndiwo muganhu wavaAmoni.
0503110088	Muganhu wayo wokumavirira waiva Jorodhani muArabha, kubva Kinereti kusvika kuGungwa reArabha (Gungwa roMunyu), mujinga mamawere ePisiga.
05031200ca	Panguva iyo ndakakurayirai, ndikati, “Jehovha Mwari wenyu akakupai nyika iyi kuti ive yenyu. Asi varume vose vakasimba vanofanira kuyambuka pamberi pehama dzenyu vaIsraeri, vakashonga nhumbi dzokurwa.
050313007f	Asi, vakadzi venyu navana venyu uye nezvipfuwo zvenyu (ndinoziva kuti mune zvipfuwo zvakawanda) zvinosara mumaguta andakakupai,
05031400d6	kusvikira Jehovha apa hama dzenyu zororo sezvaakarayira kwamuri, uye naivowo vatora nyika yavanopiwa naJehovha Mwari wenyu mhiri kwaJorodhani. Shure kwaizvozvo mumwe nomumwe wenyu achadzoka kunhaka yandakakupai.”
05031500c0	Panguva iyo ndakarayira Joshua, ndikati, “Wakaona nameso ako zvose zvakaitwa naJehovha Mwari wako kumadzimambo maviri aya. Jehovha achaita zvimwe chetezvo kuushe hwose mhiri uko kwamunoenda.
0503160034	Usavatya; Jehovha Mwari wako pachake achakurwira.”
0503170038	Zvino ndakanyengetera kuna Jehovha panguva iyo, ndikati,
05031800c9	“Imi Ishe Jehovha, makatanga kuratidza muranda wenyu ukuru hwenyu noruoko rwenyu rune simba. Nokuti ndoupiko Mwari kudenga kana panyika angaita zvakafanana namabasa enyu uye namabasa makuru amunoita?
050319007d	Nditenderei henyu kuti ndiyambuke ndinoona nyika yakanaka iri mhiri kwaJorodhani, iyo nyika yamakomo yakanaka neRebhanoni.”
05031a0088	Asi nokuda kwenyu, Jehovha akanditsamwira akasandinzwa Jehovha akati kwandiri, “Zvaringana. Usataurazve kwandiri pamusoro peshoko iri.
05031b0097	Kwira pamusoro pegomo rePisiga ugotarisa kumadokero nokumusoro nezasi nokumabvazuva, uone nyika yacho nameso ako, sezvo usingazoyambuki Jorodhani urwu.
05031c0090	Asi rayira Joshua, ugomukurudzira nokumusimbisa nokuti achatungamirira vanhu ava pakuyambuka uye achaita kuti vagare nhaka yenyika yauchaona.”
05031d002f	Saka takagara mumupata uri pedyo neBheti Peori.
05040100ac	Teererai zvino, imi vaIsraeri, mitemo nemirayiro yandava kukudzidzisai. Muitevere kuti murarame uye mugopinda mugotora nyika iyo munopiwa naJehovha, Mwari wamadzibaba enyu.
0504020073	Musawedzera kana kutapudza kubva pane zvandinokurayirai, asi chengetai mirayiro yaJehovha Mwari wenyu yandinokupai.
0504030088	Makaona nameso enyu zvakaitwa naJehovha paBhaari Peori, Jehovha Mwari wenyu akaparadza mumwe nomumwe pakati penyu aitevera Bhaari Peori.
0504040049	Asi imi mose makanamatira pana Jehovha Mwari wenyu muchiri vapenyu nhasi.
0504050090	Tarirai, ndakudzidzisai mitemo nemirayiro sezvandakarayirwa naJehovha Mwari wangu, kuti muitevere munyika yamuri kupinda kuti muitore ive yenyu.
05040600d4	Muichengete zvakanaka, nokuti izvi zvicharatidza uchenjeri nokunzwisisa kwenyu kundudzi dzichanzwa pamusoro pemitemo iyi yose uye vachati, “Zvirokwazvo rudzi urwu rukuru, vanhu vakachenjera uye vanonzwisisa.”
0504070090	Ndorupi rumwe rudzi rukuru runa vamwari varwo vari pedyo navo saJehovha Mwari wedu ari pedyo nesu nguva ipi neipi zvayo yatinonyengetera kwaari?
050408006e	Uye ndorupiko rudzi rukuru rune mitemo nemirayiro yakarurama semirayiro iyi yandiri kuisa pamberi penyu nhasi?
05040900cb	Asi zvichenjererei, mugonyatsozvichengetedza kuitira kuti murege kukanganwa zvinhu zvakaonekwa nameso enyu kana kuzvirega zvichibuda mumwoyo menyu mazuva ose oupenyu hwenyu. Muzvidzidzise nokuvana venyu.
05040a00eb	Murangarire zuva ramakamira pamberi paJehovha Mwari wenyu paHorebhi, paakati kwandiri, “Unganidza vanhu pamberi pangu kuti vanzwe mashoko angu vagodzidza kunditya mazuva ose avachagara panyika uye kuti vagozoadzidzisa kuvana vavo.”
05040b007f	Makaswedera mukamira pajinga pegomo, gomo paraipfuta nomoto waisvika kumatenga chaiko, pamwe chete nemakore matema nerima guru.
05040c007b	Ipapo Jehovha akataura kwamuri ari mukati memoto. Makanzwa inzwi chete asi hamuna kuona kuti ndiani; kwaingova nenzwi roga.
05040d007b	Akataura sungano yake kwamuri, Mirayiro Gumi, yaakakurayirai kuti muitevere uye ipapo akainyora pamahwendefa maviri amabwe.
05040e00a0	Zvino Jehovha akanditungamirira panguva iyo kuti ndikudzidzisei mitemo nemirayiro yamunofanira kundotevera munyika iyo yamunoyambukira Jorodhani kuti ive yenyu.
05040f0080	Nokuti hamuna kuona zvaakanga akaita nezuva iro Jehovha akataura kwamuri paHorebhi ari mumoto. Naizvozvo zvichenjererei zvikuru,
0504100091	kuitira kuti murege kuzvisvibisa muchizvigadzirira chifananidzo, chifananidzo chechinhu chipi zvacho, chingava chakaitwa somurume kana somukadzi,
050411004b	kana semhuka ipi zvayo panyika kana seshiri ipi zvayo inobhururuka mudenga,
0504120052	kana sechisikwa chipi zvacho chinofamba pasi kana hove ipi zvayo iri pasi mumvura.
05041300cf	Uye kuti kana muchitarisa kudenga mukaona zuva, nomwedzi nenyeredzi, zvose zviri kudenga, musatsauswa kuti muzvipfugamire nokunamata zvinhu izvo Jehovha Mwari wenyu akagovera ndudzi dzose dziri pasi pedenga.
050414008c	Asi kana muri imi, Jehovha akakutorai akakubudisai muchoto chamatare, akakubudisai muIjipiti, kuti muve vanhu venhaka yake, sezvamuri nhasi.
05041500a0	Jehovha akanditsamwira nokuda kwenyu, akapika kuti handingayambuki Jorodhani nokupinda munyika yakanaka iyo munopiwa naJehovha Mwari wenyu kuti ive nhaka yenyu.
0504160068	Ini ndichafira munyika ino; handichayambuki Jorodhani; asi imi mava kuzoyambuka nokutora nyika yakanaka.
05041700ab	Muzvichenjerere kuti murege kukanganwa sungano yaJehovha Mwari wenyu yaakaita nemi; musazviitira chifananidzo chorudzi rwechinhu chipi zvakadziviswa naJehovha Mwari wenyu.
050418003e	Nokuti Jehovha Mwari wenyu moto unoparadza, ndiMwari ane godo.
05041900d0	Mushure mokunge mava navana navazukuru uye magara nguva refu munyika, kana mukazvishatisa nokugadzira chifananidzo chorudzi rupi zvarwo, mukaita zvakaipa pamberi paJehovha Mwari wenyu muchimuita kuti atsamwe,
05041a00c6	ndinodana denga napasi sezvapupu pamusoro penyu nhasi, kuti muchakurumidza kuparara kubva panyika yamuri kuyambukira Jorodhani kuti ive yenyu. Hamungagarimo nguva refu asi muchaparadzwa zvirokwazvo.
05041b0083	Jehovha achakuparadzirai pakati pamarudzi, uye vashoma venyu chete ndivo vachapona pakati pendudzi uko kwamuchadzingirwa naJehovha.
05041c0075	Ikoko muchanamata vamwari vakaitwa navanhu, vamatanda navamabwe, vasingagoni kana kunzwa kana kudya kana kunhuhwidza.
05041d0078	Asi kana mava ikoko mukatsvaka Jehovha Mwari wenyu, muchamuwana kana mukamutsvaka nomwoyo wenyu wose nomweya wenyu wose.
05041e008f	Kana muchinge matambudzika uye zvinhu zvose izvi zvaitika kwamuri, ipapo pamazuva achatevera muchadzoka kuna Jehovha Mwari wenyu mugomuteerera.
05041f0097	Nokuti Jehovha Mwari wenyu ndiMwari ane ngoni, haangakusiyei kana kukuparadzai, kana kukanganwa sungano yamadzibaba enyu, yaakasimbisa kwavari nemhiko.
050420010d	Bvunzai zvino pamusoro pamazuva akapfuura kare imi musati mavapo, kubva nezuva iro Mwari akasika munhu panyika; bvunzai kubva kuno rumwe rutivi rwedenga kusvikira kuno rumwe. Kune chinhu chakamboitika chakakura seichi here, kana chimwe chakafanana nacho chakambonzwika?
050421006e	Kune vamwe vanhu vakambonzwa inzwi raMwari achitaura ari mukati momoto here, sezvamakanzwa imi uye vakararama?
050422010e	Kune mumwe mwari here akaedza kundozvitsaurira rudzi pakati porumwe rudzi, nemiedzo, nezviratidzo, nezvishamiso, nehondo, noruoko rune simba, noruoko rwakatambanudzwa, kana namabasa makuru anotyisa, sezvinhu zvose zvakaitwa naJehovha Mwari wenyu pamberi penyu muIjipiti?
050423005b	Makaratidzwa zvinhu zvose izvi kuti muzive kuti Jehovha ndiMwari; kunze kwake hakuna mumwe.
0504240094	Kubva kudenga akaita kuti munzwe inzwi rake kuti akudzidzisei. Panyika akakuratidzai moto wake mukuru, uye makanzwa mashoko ake kubva mukati momoto.
0504250092	Nokuti akada madzibaba enyu uye akazvitsaurira zvizvarwa zvavo zvakavatevera shure kwavo, akakubudisai muIjipiti noKuvapo kwake nesimba rake guru,
050426008d	kuti adzinge pamberi penyu ndudzi dzinokupfuurai pakukura napasimba uye nokukuuyisai munyika yavo kuti aipe kwamuri senhaka sezvazviri nhasi.
0504270076	Zvizivei nokuzvichengeta mumwoyo nhasi kuti Jehovha ndiMwari ari kudenga kumusoro uye napanyika pasi. Hakunazve mumwe.
05042800d2	Chengetai mitemo nemirayiro yake yandinokupai nhasi, kuitira kuti zvigokuitirai zvakanaka imi navana venyu vanokuteverai uye kuti mugogara mazuva mazhinji panyika yamunopiwa naJehovha Mwari wenyu nokusingaperi.
0504290044	Zvino Mozisi akatsaura maguta matatu kumabvazuva mhiri kwaJorodhani,
05042a00ad	uko ani naani anenge auraya munhu aitizira kana achinge auraya muvakidzani wake asingaiti nobwoni uye asingazvifungiri. Aigona kutizira mune rimwe ramaguta aya kuti ararame.
05042b0094	Maguta aya aiti: Bhezeri mudunhu rakakwirira rokurenje raiva ravaRubheni; Ramoti paGireadhi, raiva ravaGadhi; neGorani paBhashani, raiva ravaManase.
05042c0039	Uyu ndiwo murayiro wakaiswa naMozisi pamberi pavaIsraeri:
05042d0058	Izvi ndizvo zvakataurwa naMozisi, mitemo nemirayiro yaakavapa pavakabuda kubva muIjipiti
05042e00aa	uye vari kumabvazuva kwaJorodhani mumupata uri pedyo neBheti Peori, munyika yaSihoni mambo wavaAmori, aitonga muHeshibhoni uyo akakundwa navaIsraeri pavakabuda muIjipiti.
05042f006d	Vakatora nyika yake nenyika yaOgi mambo weBhashani, madzimambo maviri avaAmori aiva kumabvazuva kweJorodhani.
0504300063	Nyika iyi yaibva paAroeri pamahombekombe oMupata weArinoni kusvika pagomo reSioni (ndiro Herimoni),
050431006e	uye kusanganisira Arabha yose kumabvazuva kwaJorodhani, kusvikira kuGungwa reArabha, mujinga memateru ePisiga.
0505010091	Mozisi akadana vaIsraeri vose, akati: Inzwai imi vaIsraeri, mitemo nemirayiro yandinotaura muchinzwa nhasi. Idzidzei muchenjerere kuti muiteerere
0505020031	Jehovha Mwari wedu akaita sungano nesu paHorebhi.
0505030060	Jehovha haana kuita sungano iyi namadzibaba edu, asi akaiita nesu, nesu tose vapenyu nhasi pano.
050504003d	Jehovha akataura nemi chiso nechiso ari mukati memoto pagomo.
050505009a	Panguva iyo ndakanga ndimire pakati paJehovha nemi kuti ndizivise kwamuri shoko raJehovha, nokuti makanga muchitya moto mukasakwira mugomo. Uye iye akati:
