0100000018	ကမ္ဘာ​ဦး
0a080900f8	ဟာဒဒေဇာ ၏ တပ် အလုံးအရင်း ကို ဒါဝိဒ် လုပ်ကြံ ကြောင်း ကို၊ ဟာမတ် မင်းကြီး တောဣ သည် ကြား လျှင်၊
0a080a025d	မိမိ ရန်သူ ဟာဒဒေဇာ ကို ဒါဝိဒ်သည် စစ်တိုက် ၍ လုပ်ကြံ သောကြောင့် ၊ မိဿဟာယ ဖွဲ့ ၍ ကောင်းကြီး ပေးစေခြင်းငှါ ၊ မိမိ သား ယောရံ ကို ဒါဝိဒ် မင်းကြီး ထံသို့ စေလွှတ် ၍၊ ယောရံ သည် ငွေ ဖလား ၊ ရွှေ ဖလား ၊ ကြေးဝါ ဖလား တို့ကို ဆောင် လျက်လာ ၏။
0a080b01d8	ထိုဖလားတို့ကို ဒါဝိဒ် မင်းကြီး သည် ထာဝရဘုရား အား ပူဇော် ၏။ ထိုအတူ အောင်မြင် သော ရှုရိ ပြည်၊ မောဘ ပြည်၊ အမ္မုန် ပြည်၊ ဖိလိတ္တိ ပြည်၊ အာမလက် ပြည်၌ သိမ်းယူ သော ရွှေ ငွေ ကို၎င်း၊
0a080c00f9	ဇောဘ မင်းကြီး ရဟောဘ သား ဟာဒဒေဇာ ၏ဘဏ္ဍာကို လုယူ၍ ရသောရွှေငွေကို၎င်း၊ ထာဝရဘုရားအား ပူဇော်၏။
0a080d0119	ဆားချိုင့်တွင် ဧဒုံလူတသောင်း ရှစ်ထောင်တို့ကို လုပ်ကြံ ရာမှ ၊ ဒါဝိဒ် သည် ပြန် လာသောအခါ ဂုဏ် အသရေကြီး၏။
0a080e018d	ဧဒုံ ပြည်အရပ်ရပ် ၌ မြို့စောင့် တပ်တို့ကိုထား ၍၊ ဧဒုံ ပြည်သားအပေါင်း တို့သည် ဒါဝိဒ် ၌ ကျွန် ခံကြ၏။ ဒါဝိဒ် သွား လေရာရာ ၌ ထာဝရဘုရား စောင့်မ တော်မူ၏။
0a080f012e	ထိုသို့ ဒါဝိဒ် သည် ဣသရေလ နိုင်ငံလုံး ကို စိုးစံ ၍ ၊ နိုင်ငံ တော်သားတို့တွင် တရား မှုကို စီရင် ဆုံးဖြတ်တော်မူ၏။
0a081000e7	ဇေရုယာ ၏သား ယွာဘ သည် ဗိုလ်ချုပ်မင်းဖြစ်၏။ အဟိလုပ် ၏သား ယောရှဖတ် သည် အတွင်းဝန်ဖြစ်၏။
0a0811010c	အဟိတုပ် သား ဇာဒုတ် နှင့် အဗျာသာ ၏သား အဟိမလက် သည် ယဇ်ပုရောဟိတ် ဖြစ်၏။ စရာယ သည် စာရေးတော်ကြီး ဖြစ်၏။
0a0812012d	ယောယဒ ၏သား ဗေနာယ သည် ခေရသိ လူနှင့် ပေလသိ လူတို့ကိုအုပ်ရ၏။ ဒါဝိဒ် ၏သား တော်တို့သည်လည်း မင်းသား အရာနှင့်နေ ကြ၏။
0a0901016b	တဖန် ဒါဝိဒ် က၊ ငါသည် ယောနသန် အတွက် ကျေးဇူး ပြု စရာ အခွင့်ရှိစေခြင်းငှါ ၊ ရှောလု အဆွေအမျိုး တစုံတယောက် ကျန်ကြွင်း သေး သလော ဟုမေး သော်၊
0a090201e1	ဇိဘ အမည် ရှိသော ရှောလု ၏အဆွေအမျိုး နှင့်ဆိုင်သော ကျွန် တယောက်ကို အထံ တော်သို့သွင်း၍ ရှင် ဘုရင်က၊ သင် သည် ဇိဘ မှန်သလောဟုမေး လျှင် ၊ ကိုယ်တော် ကျွန် မှန်ပါသည်ဟု ပြန်လျှောက် လေ၏။
0a0903022e	ရှင် ဘုရင်ကလည်း ၊ ဘုရား သခင့်အလိုတော်အတိုင်း ငါကျေးဇူး ပြု စရာ အခွင့်ရှိစေခြင်းငှါ ၊ ရှောလု အဆွေအမျိုး တစုံတယောက် မျှမ ရှိသလော ဟု မေး လျှင် ဇိဘ က၊ ယောနသန် ၌ ခြေဆွံ့ သောသား တယောက်ရှိပါသေး ၏ဟု လျှောက် သော်၊
0a0904013c	ရှင် ဘုရင်က၊ သူ သည်အဘယ်မှာ ရှိသနည်းဟုမေး ပြန်လျှင် ၊ ဇိဘ က၊ လောဒေဗာ ရွာ၊ အမျေလ သား မာခိရ အိမ် ၌ ရှိ ပါသည်ဟု လျှောက် ၏။
0a0905014f	ထိုအခါ ဒါဝိဒ် သည် စေလွှတ် ၍ ရှောလု ၏သား ဖြစ်သော ယောနသန် ၏သား မေဖိဗောရှက် ကို၊ လောဒေဗာ ရွာ၊ အမျေလ သား မာခိရ အိမ် မှ ခေါ် ခဲ့၍၊
0a09060178	သူသည်အထံ တော်သို့ ရောက် သောအခါ ပြပ်ဝပ် လျက် ရှိခိုး လေ၏။ ဒါဝိဒ် ကလည်း ၊ မေဖိဗောရှက် ဟုခေါ် လျှင် ၊ ကိုယ်တော် ကျွန် ရှိ ပါသည်ဟုလျှောက် လေ၏။
0a0907020d	ဒါဝိဒ် ကလည်း မ စိုးရိမ် နှင့်။ သင် ၏အဘ ယောနသန် အတွက် ငါသည်သင် ၌ ဆက်ဆက်ကျေးဇူး ပြု မည်။ သင့် အဘို့ ရှောလု ပိုင်သမျှ သောမြေ ကို ငါပြန် ပေးမည်။ သင် သည် နေ့တိုင်း အစဉ်ငါ့ စားပွဲ ၌ စား ရမည်ဟုဆို သော်၊
0a090801bd	မေဖိဗောရှက်က၊ ကျွန်တော် ကဲ့သို့ ဖြစ်ရသော ခွေး သေ ကောင်ကို ကိုယ်တော်ကြည့်ရှု ရမည်အကြောင်း ၊ ကိုယ်တော် ကျွန် သည် အဘယ်သို့ သောသူဖြစ်ပါသနည်း ဟု ဦးချ ၍ ပြန်လျှောက် ၏။
0a09090170	ထိုအခါ ရှင် ဘုရင်သည် ရှောလု ၏ကျွန် ဇိဘ ကို ခေါ် ၍ ၊ ရှောလု နှင့် သူ ၏အဆွေအမျိုး များ ပိုင်ထိုက်သမျှ တို့ ကို သင့် သခင် ၏သား အား ငါပေး ပြီ။
0a090a0292	သင် သည်သင် ၏သား ကျွန် တို့နှင့်တကွ လယ် လုပ် ၍ သင့် သခင် ၏သား စားစရာ ဘို့ အသီးအနှံကို သွင်း ရမည်။ သို့ရာတွင် သင့် သခင် ၏သား မေဖိဗောရှက် သည် နေ့တိုင်း အစဉ် ငါ့ စားပွဲ ၌ အစာ စား ရမည်ဟု မိန့် တော်မူ၏။ ဇိဘ ၌ သား တဆယ် ငါး ယောက်နှင့် ကျွန် နှစ် ဆယ်ရှိ၏။
0a090b024c	ဇိဘ ကလည်း ၊ ကျွန်တော် သခင် အရှင် မင်းကြီးသည် ကိုယ်တော် ကျွန် ကို မှာ ထားတော်မူသမျှ အတိုင်း ၊ ကိုယ်တော် ကျွန် ပြု ပါမည်ဟု နားတော်လျှောက် ၏။ ထိုနောက် ၊ မေဖိဗောရှက် သည် ရှင်ဘုရင် ၏သားရင်း ကဲ့သို့ စားပွဲ တော်၌ အစာစား ရ၏။
0a090c0145	မေဖိဗောရှက် ၌ မိက္ခါ အမည် ရှိသောသား ငယ် တယောက်ရှိ၏။ ဇိဘ အိမ် ၌ နေ သောသူအပေါင်း တို့သည်လည်း မေဖိဗောရှက် ၏ ကျွန် ဖြစ်ကြ၏။
0a090d0148	ထိုသို့ မေဖိဗောရှက် သည် ယေရုရှလင် မြို့၌ နေ ၍ ရှင်ဘုရင် ၏စားပွဲ တော်၌ နေ့တိုင်း အစဉ်စား ရ၏။ ခြေ နှစ် ဘက်ဆွံ့ သောသူဖြစ်၏။
0a0a0100de	ထိုနောက် အမ္မုန် ရှင် ဘုရင်သည် သေ ၍ သား တော်ဟာနုန် သည် ခမည်းတော်အရာ ၌ နန်း ထိုင်၏။
0a0a020249	ဒါဝိဒ် ကလည်း ၊ ဟာနုန် အဘ နာဟတ် သည် ငါ့ အား ကျေးဇူး ပြု သောကြောင့် ၊ သူ၏သား ၌ ငါကျေးဇူး ပြု မည်ဟုဆို လျက် ၊ သူ ၏အဘ သေရာတွင် နှစ်သိမ့် စေခြင်းငှါ ကျွန် တို့ကို စေလွှတ် ၍ ၊ ဒါဝိဒ် ၏ကျွန် တို့သည် အမ္မုန် ပြည် သို့ရောက် ကြ၏။
0a0a030314	အမ္မုန် အမျိုး မှူးမတ် တို့သည် မိမိ တို့အရှင် ဟာနုန် ထံသို့ ဝင်၍၊ ဒါဝိဒ် သည် စိတ်တော်ကို နှစ်သိမ့် စေ သောသူတို့ ကိုစေလွှတ် ရာတွင် ခမည်းတော် ကို ရိုသေစွာပြုသည်ဟု ထင်မှတ်တော်မူသလော။ မြို့ တော်ကိုစစ်ဆေး စူးစမ်း ၍ ဖျက်ဆီး ခြင်းငှာ သာသူ ၏ကျွန် တို့ကိုစေလွှတ် သည် မ ဟုတ်လော ဟု လျှောက် ကြသော်၊
