0100000008	Postanak
0b160b0082	I Sedekija, sin Hananin, načini sebi gvozdene rogove, i reče: Ovako veli Gospod: Ovim ćeš pobosti Sirce dokle ih ne istrebiš.
0b160c0077	Tako i svi proroci prorokovahu govoreći: Idi na Ramot galadski, i bićeš srećan, jer će ga Gospod dati caru u ruke.
0b160d00a5	A poslanik koji otide da dozove Miheju reče mu govoreći: Evo, proroci proriču svi jednim glasom dobro caru; neka i tvoja reč bude kao reč njihova, govori dobro.
0b160e004b	A Miheja reče: Tako da je živ Gospod, govoriću ono što mi Gospod kaže.
0b160f00b4	I kad dođe k caru, reče mu car: Miheja! Hoćemo li ići na vojsku na Ramot galadski ili ćemo se okaniti? A on mu reče: Idi, bićeš srećan, jer će ga Gospod dati caru u ruke.
0b1610005c	A car mu reče: Koliko ću te puta zaklinjati da mi ne govoriš nego istinu u ime Gospodnje?
0b161100a9	Tada reče: Videh sav narod Izrailjev razasut po planinama kao ovce koje nemaju pastira; jer reče Gospod: Ovi nemaju gospodara; neka se vrate svak svojoj kući s mirom.
0b1612005c	Tada reče car Izrailjev Josafatu: Nisam li ti rekao da mi neće prorokovati dobra nego zlo?
0b1613008f	A Miheja mu reče: Zato čuj reč Gospodnju; videh Gospoda gde sedi na prestolu svom, a sva vojska nebeska stajaše mu s desne i s leve strane.
0b1614006c	I reče Gospod: Ko će prevariti Ahava da otide i padne kod Ramota galadskog? I jedan reče ovo a drugi ono.
0b16150061	Tada iziđe jedan duh i stavši pred Gospoda reče: Ja ću ga prevariti. A Gospod mu reče: Kako?
0b16160090	Odgovori: Izaći ću i biću lažljiv duh u ustima svih proroka njegovih. A Gospod mu reče: Prevarićeš ga i nadvladaćeš; idi i učini tako.
0b16170069	Zato sada eto, Gospod je metnuo lažljiv duh u usta svim tvojim prorocima, a Gospod je izrekao zlo po te.
0b16180081	Tada pristupi Sedekija, sin Hananin, i udari Miheju po obrazu govoreći: Kuda je otišao duh Gospodnji od mene da govori s tobom?
0b1619005b	A Miheja mu reče: Eto, videćeš u onaj dan kad otideš u najtajniju klet da se sakriješ.
0b161a0069	Tada car Izrailjev reče: Uhvati Miheju i odvedi ga k Amonu zapovedniku gradskom i k Joasu, sinu carevom;
0b161b0076	i reci im: Ovako veli car: Metnite ovog u tamnicu, i dajite im po malo hleba i po malo vode dokle se ne vratim u miru.
0b161c0066	A Miheja reče: Ako se vratiš u miru, nije Gospod govorio preko mene. Još reče: Čujte, svi narodi!
0b161d0042	I otide car Izrailjev s Josafatom carem Judinim na Ramot galadski.
0b161e0089	I reče car Izrailjev Josafatu: Ja ću se preobući kad pođem u boj; a ti obuci svoje odelo. I preobuče se car Izrailjev i otide u boj.
0b161f00a4	A car sirski zapovedi vojvodama, kojih beše trideset i dvojica nad kolima njegovim, i reče: Ne udarajte ni na malog ni na velikog, nego na samog cara Izrailjevog.
0b1620007c	I kad vojvode od kola videše Josafata, rekoše: Zacelo je car Izrailjev. I okrenuše se na nj da udare; ali Josafat povika.
0b16210048	A vojvode od kola videše da nije car Izrailjev, te odstupiše od njega.
0b1622009f	A jedan zastreli iz luka nagonom, i ustreli cara Izrailjevog gde spuča oklop. A on reče svom vozaču: Savij rukom svojom i izvezi me iz boja, jer sam ranjen.
0b16230077	I boj bi žestok onog dana; a car zaosta na kolima svojim prema Sircima, pa umre uveče, i krv iz rane tečaše u kola.
0b16240061	I prođe glasnik po vojsci o zahodu sunčanom govoreći: Svak u svoj grad, i svak u svoju zemlju.
0b16250047	Tako umre car, i odnesoše ga u Samariju; i pogreboše cara u Samariji.
0b1626007e	A kad prahu kola na jezeru samarijskom, lizaše psi krv njegovu, tako i kad prahu oružje njegovo, po reči koju reče Gospod.
0b162700b0	A ostala dela Ahavova i sve što je učinio, i za kuću od slonove kosti koju je sagradio, i za sve gradove što je sagradio, nije li to zapisano u dnevniku careva Izrailjevih?
0b16280055	Tako počinu Ahav kod otaca svojih, i na njegovo se mesto zacari Ohozija, sin njegov.
0b16290059	A Josafat, sin Asin zacari se nad Judom četvrte godine carovanja Ahavovog nad Izrailjem;
0b162a0093	i imaše Josafat trideset i pet godina kad poče carovati, i carova dvadeset i pet godina u Jerusalimu. A materi mu beše ime Azuva, kći Silejeva.
0b162b00b4	I hođaše putem Ase, oca svog sasvim, i ne odstupi od njega čineći sve što je pravo pred Gospodom. Ali visina ne oboriše; narod još prinošaše žrtve i kađaše na visinama.
0b162c0029	I učini mir Josafat s carem Izrailjevim.
0b162d006e	A ostala dela Josafatova i junaštva što učini i kako vojeva, nije li to zapisano u dnevniku careva Judinih?
0b162e005c	On istrebi iz zemlje svoje ostatak adžuvana, koji behu ostali za života Ase, oca njegovog.
0b162f003e	U to vreme ne beše cara u Idumeji, nego beše namesnik carev.
0b1630006f	I Josafat načini lađe tarsiske da idu u Ofir po zlato; ali ne otidoše; jer se lađe razbiše u Esion-Gaveru.
0b1631006d	Tada reče Ohozija, sin Ahavov Josafatu: Neka idu moje sluge s tvojim slugama na lađama. Ali Josafat ne hte.
0b16320094	I počinu Josafat kod otaca svojih, i pogreboše ga kod otaca njegovih u gradu Davida, oca njegovog; a na njegovo se mesto zacari Joram, sin njegov.
0b1633008d	Ohozija, sin Ahavov zacari se nad Izrailjem u Samariji sedamnaeste godine carovanja Josafatovog nad Judom; i carova nad Izrailjem dve godine.
0b16340096	I činjaše što je zlo pred Gospodom, i hođaše putem oca svog i putem matere svoje i putem Jerovoama, sina Navatovog, koji navede na greh Izrailja.
0b1635006c	I služaše Valu i klanjaše mu se, i gnevljaše Gospoda Boga Izrailjevog sasvim kako je činio otac njegov.
0c0000000c	2 Kraljevima
0c01010035	A po smrti Ahavovoj odmetnuše se Moavci od Izrailja.
0c010200b6	A Ohozija pade kroz rešetku iz gornje sobe svoje u Samariji, i razbole se; pa posla poslanike i reče im: Idite, pitajte Velzevula boga akaronskog hoću li ozdraviti od ove bolesti.
0c010300b9	Ali anđeo Gospodnji reče Iliji Tesvićaninu: Ustani, izađi na susret poslanicima cara samarijskog i reci im: Eda li nema Boga u Izrailju, te idete da pitate Velzevula boga u Akaronu?
0c01040070	A zato ovako veli Gospod: Nećeš se dignuti sa postelje na koju si legao, nego ćeš umreti. Potom otide Ilija.
0c01050042	A sluge se vratiše k Ohoziji, i on im reče: Što ste se vratili?
0c01060118	A oni mu rekoše: Srete nas jedan čovek, i reče nam: Idite, vratite se k caru koji vas je poslao, i recite mu: Ovako veli Gospod: Eda li nema Boga u Izrailju, te šalješ da pitaš Velzevula boga u Akaronu? Zato nećeš se dignuti s postelje na koju si legao, nego ćeš umreti.
0c0107004c	A on im reče: Kakav beše na oči taj čovek koji vas srete i to vam reče?
0c01080065	A oni mu odgovoriše: Beše sav kosmat i opasan kožnim pojasom. A on reče: To je Ilija Tesvićanin.
0c010900ac	Tada posla k njemu pedesetnika s njegovom pedesetoricom; i on otide k njemu; i gle, on seđaše navrh gore: i pedesetnik mu reče: Čoveče Božji, car je zapovedio, siđi.
0c010a00bb	A Ilija odgovarajući reče pedesetniku: Ako sam čovek Božji, neka siđe oganj s neba i proždre tebe i tvoju pedesetoricu. I siđe oganj s neba i proždre njega i njegovu pedesetoricu.
0c010b008f	Opet posla k njemu drugog pedesetnika s njegovom pedesetoricom, koji progovori i reče mu: Čoveče Božji, car je tako zapovedio, siđi brže.
0c010c00b6	A Ilija odgovori i reče im: Ako sam čovek Božji, neka siđe oganj s neba i proždre tebe i tvoju pedesetoricu. I siđe oganj Božji s neba i proždre njega i njegovu pedesetoricu.
0c010d00ef	Tada opet posla trećeg pedesetnika s njegovom pedesetoricom. A ovaj treći pedesetnik kad dođe, kleče na kolena svoja pred Ilijom, i moleći ga reče mu: Čoveče Božji, da ti je draga duša moja i duša ove pedesetorice, sluga tvojih.
0c010e007a	Eto, sišao je oganj s neba i proždrao prva dva pedesetnika s njihovom pedesetoricom; ali sada da ti je draga duša moja.
0c010f005f	A anđeo Gospodnji reče Iliji: Idi s njim, i ne boj ga se. I usta Ilija i otide s njim k caru.
0c011000cc	I reče mu: Ovako veli Gospod: zato što si slao poslanike da pitaju Velzevula boga u Akaronu kao da nema Boga u Izrailju da bi Ga pitao, nećeš se dignuti s postelje na koju si legao, nego ćeš umreti.
0c0111009d	I umre po reči Gospodnjoj, koju reče Ilija, a na njegovo se mesto zacari Joram, druge godine carovanja Jorama sina Josafatovog nad Judom, jer on nema sina.
0c01120057	A ostala dela Ohozijina što je činio, nisu li zapisana u dnevniku careva Izrailjevih?
0c02010056	A kad Gospod htede uzeti Iliju u vihoru na nebu, pođoše Ilija i Jelisije iz Galgala.
0c020200ba	I reče Ilija Jelisiju: Ostani ti ovde, jer mene Gospod šalje do Vetilja. Ali Jelisije reče: Tako živ bio Gospod i tako živa bila duša tvoja, neću te ostaviti. I dođoše u Vetilj.
0c020300a1	Tada dođoše k Jelisiju sinovi proročki koji behu u Vetilju i rekoše mu: Znaš li da će danas Gospod uzeti gospodara tvog od tebe? A on reče: Znam, ćutite.
0c020400b8	Opet mu reče Ilija: Jelisije, ostani ti tu, jer me Gospod šalje u Jerihon. A on reče: Tako živ bio Gospod i tako živa bila duša tvoja, neću te ostaviti. Tako dođoše u Jerihon.
0c020500a3	A sinovi proročki koji behu u Jerihonu pristupiše k Jelisiju, i rekoše mu: Znaš li da će danas uzeti Gospod od tebe gospodara tvog? A on reče: Znam, ćutite.
0c020600ac	Opet mu reče Ilija: Ostani ti tu, jer me Gospod šalje na Jordan. A on reče: Tako živ bio Gospod i tako bila živa tvoja duša, neću te ostaviti. Tako otidoše obojica.
0c0207007c	I pedeset ljudi između sinova proročkih otidoše i stadoše prema njima iz daleka, a oni obojica ustaviše se kod Jordana.
0c02080073	I uze Ilija plašt svoj, i savivši ga udari njim po vodi, a ona se rastupi tamo i amo, te pređoše obojica suvim.
0c0209009a	A kad pređoše, reče Ilija Jelisiju: Išti šta hoćeš da ti učinim, dokle se nisam uzeo od tebe. A Jelisije reče: Da budu dva dela duha tvog u mene.
0c020a007c	A on mu reče: Zaiskao si tešku stvar; ali ako me vidiš kad se uzmem od tebe, biće ti tako; ako li ne vidiš, neće biti.
0c020b0076	I kad iđahu dalje razgovarajući se, gle, ognjena kola i ognjeni konji rastaviše ih, i Ilija otide u vihoru na nebo.
0c020c009c	A Jelisije videći to vikaše: Oče moj, oče moj! Kola Izrailjeva i konjici njegovi! I ne vide ga više. Potom uze haljine svoje i razdre ih na dva komada.
0c020d005b	I podiže plašt Ilijin, koji beše spao s njega, i vrativši se stade na bregu jordanskom.
0c020e00ab	I uzevši plašt Ilijin, koji beše spao s njega, udari po vodi i reče: Gde je Gospod Bog Ilijin? A kad i on udari po vodi, rastupi se voda tamo i amo, i pređe Jelisije.
0c020f0099	A kad s druge strane videše sinovi proročki, koji behu u Jerihonu, rekoše: Počinu duh Ilijin na Jelisiju. I sretoše ga i pokloniše mu se do zemlje.
0c021000b9	I rekoše mu: Evo ima u sluga tvojih pedeset junaka, neka idu i traže tvog gospodara, da ga ne bude uzeo duh Gospodnji i bacio ga na kakvo brdo ili u kakav do. A on reče: Ne šaljite.
0c0211008c	Ali oni navaljivahu na nj dokle mu se ne dosadi, te reče: Pošaljite. I poslaše pedeset ljudi koji ga tražiše tri dana, ali ne nađoše.
0c0212005c	I vratiše se k njemu, a on beše u Jerihonu, pa im reče: Nisam li vam govorio da ne idete?
0c02130082	Tada građani rekoše Jelisiju: Gle, dobro je živeti u ovom gradu, kao što gospodar naš vidi; ali je voda zla i zemlja nerodna.
0c0214004a	A on im reče: Donesite mi nov kotao, i metnite u nj soli. I donesoše mu.
0c02150081	A on izađe na izvor i baci u nj so, govoreći: Ovako veli Gospod: Iscelih ovu vodu, da ne bude više od nje smrti ni nerodnosti.
0c0216004a	I voda posta zdrava do današnjeg dana po reči Jelisijevoj, koju izreče.
0c02170085	Potom otide odande u Vetilj; i kad iđaše putem, iziđoše mala deca iz grada i rugahu mu se govoreći mu: Hodi, ćelo! Hodi, ćelo!
0c0218008b	A Jelisije obazre se i videći ih prokle ih imenom Gospodnjim. Tada izađoše dve medvedice iz šume, i rastrgoše četrdeset i dvoje dece.
0c0219003d	Odande otide na goru karmilsku, a odande se vrati u Samariju.
0c03010084	A Joram, sin Ahavov, zacari se nad Izrailjem u Samariji osamnaeste godine carovanja Josafatovog nad Judom, i carova dvanaest godina.
0c03020086	I činjaše što je zlo pred Gospodom, ali ne kao otac njegov i kao mati njegova, jer obori lik Valov koji beše načinio otac njegov.
0c03030063	Ali osta u gresima Jerovoama, sina Navatovog, kojima navede na greh Izrailja, i ne odstupi od njih.
0c03040077	A Misa car moavski imaše mnogo stoke, i davaše caru Izrailjevom sto hiljada jaganjaca i sto hiljada ovnova pod runom.
0c0305003e	Ali kad umre Ahav, odmetnu se car moavski od cara Izrailjevog.
0c03060044	A car Joram izađe u to vreme iz Samarije i prebroja svega Izrailja.
0c030700d8	I otide, te posla k Josafatu caru Judinom i poruči mu: Car moavski odmetnu se od mene; hoćeš li ići sa mnom na vojsku na Moavce? A on reče: Hoću, ja kao ti, moj narod kao tvoj narod, moji konji kao tvoji konji.
0c0308004d	Iza toga reče: A kojim ćemo putem ići? A on reče: Preko pustinje edomske.
0c03090089	I tako izađe car Izrailjev i car Judin i car edomski, i idoše putem sedam dana, i ne beše vode vojsci ni stoci, koja iđaše za njima.
0c030a0053	I reče car Izrailjev: Jaoh! Dozva Gospod ova tri cara da ih preda u ruke Moavcima.
0c030b00ca	A Josafat reče: Ima li tu koji prorok Gospodnji da upitamo Gospoda preko njega? A jedan između sluga cara Izrailjevog odgovori i reče: Ovde je Jelisije, sin Safatov, koji je Iliji polivao vodom ruke.
0c030c0069	Tada reče Josafatu: U njega je reč Gospodnja: i otidoše k njemu car Izrailjev i Josafat i car edomski.
0c030d00c8	A Jelisije reče caru Izrailjevom: Šta je meni do tebe? Idi ka prorocima oca svog i ka prorocima matere svoje. A car Izrailjev reče mu: Ne, jer Gospod dozva ova tri cara da ih preda u ruke Moavcima.
0c030e0099	A Jelisije reče: Tako da je živ Gospod nad vojskama, pred kojim stojim, da ne gledam na Josafata cara Judinog, ne bih mario za te niti bih te pogledao.
0c030f0053	Nego sada dovedite mi gudača. I kad gudač guđaše, dođe ruka Gospodnja nada nj;
0c03100040	i reče: Ovako veli Gospod: Načinite po ovoj dolini mnogo jama.
0c0311009b	Jer ovako veli Gospod: Nećete osetiti vetra niti ćete videti dažda, ali će se dolina ova napuniti vode, te ćete piti i vi i ljudi vaši i stoka vaša.
0c0312003e	Pa i to je malo Gospodu, nego i Moavce će vam predati u ruke.
0c031300a0	I raskopaćete sve tvrde gradove, i sve izabrane gradove, i poseći ćete sva dobra drveta i zaroniti sve izvore vodene, i svaku njivu dobru potrćete kamenjem.
0c03140051	A ujutru kad se prinosi dar, gle, dođe voda od edomske, i napuni se zemlja vode.
0c03150081	A svi Moavci čuvši da su izišli carevi da udare na njih, sazvaše sve koji se počinjahu pasati i starije i stadoše na međi.
0c0316006b	A ujutru kad ustaše i sunce ogranu nad onom vodom, ugledaše Moavci prema sebi vodu gde se crveni kao krv.
0c0317005c	I rekoše: Krv je; pobili su se carevi, i jedan drugog pogubili; sada dakle na plen, Moavci!
0c03180094	A kad dođoše do logora Izrailjevog, podigoše se Izrailjci i razbiše Moavce, te pobegoše ispred njih, a oni uđoše u zemlju moavsku bijući ih.
0c031900ee	I gradove njihove raskopaše, i na svaku dobru njivu bacajući svaki po kamen zasuše je, i sve izvore vodene zaroniše, i sva dobra drveta posekoše tako da samo ostaviše kamenje u Kir-aresetu. I opkolivši ga praćari stadoše ga biti.
0c031a009e	A car moavski kad vide da će ga nadvladati vojska, uze sa sobom sedam stotina ljudi, koji mahahu mačem, da prodru kroz vojsku cara edomskog, ali ne mogoše.
0c031b00c4	Tada uze sina svog prvenca koji htede biti car na njegovo mesto, i prinese ga na žrtvu paljenicu na zidu. Tada se podiže veliki gnev na Izrailja, te otidoše odande i vratiše se u svoju zemlju.
0c040100c3	A jedna između žena sinova proročkih povika k Jelisiju govoreći: Sluga tvoj, muž moj, umre, i ti znaš da se sluga tvoj bojao Gospoda: pa sada dođe rukodavalac da mi uzme dva sina u roblje.
0c04020081	A Jelisije joj reče: Šta ću ti? Kaži mi šta imaš u kući? A ona reče: Sluškinja tvoja nema u kući ništa do sudić ulja.
0c0403005f	A on joj reče: Idi, išti u naruč praznih sudova u svih suseda svojih, nemoj malo da išteš.
0c04040079	Pa otidi, i zatvori se u kuću sa sinovima svojim, pa onda nalivaj u sve sudove, i kad se koji napuni, kaži neka uklone.
0c04050060	I ona otide od njega, i zatvori se u kuću sa sinovima svojim; oni joj dodavahu a ona nalivaše.
0c04060070	A kad se sudovi napuniše, ona reče sinu svom: Daj još jedan sud. A on joj reče: Nema više. Tada stade ulje.
0c0407008a	Potom ona otide i kaza čoveku Božijem; a on joj reče: Idi, prodaj ulje, i oduži se; a šta preteče, onim se hrani sa svojim sinovima.
0c040800a9	Posle toga jednom iđaše Jelisije kroz Sunam, a onde beše bogata žena, koja ga ustavi da jede hleba; i otada kad god prolažaše, navraćaše se k njoj da jede hleba.
0c04090058	I ona reče mužu svom: Gle, vidim da je svet čovek Božji ovaj što sve prolazi ovuda.
0c040a0077	Da načinimo malu klet, i da mu namestimo postelju i sto i stolicu i svećnjak, pa kad dođe k nama, neka se tu skloni.
0c040b003c	Potom on dođe jednom onamo, i ušavši u klet počinu onde.
0c040c004e	I reče momku svom Gijeziju: Zovi Sunamku. On je dozva; i ona stade pred njim.
0c040d00b0	I on reče Gijeziju: Kaži joj: Eto staraš se za nas svakojako; šta hoćeš da ti učinim? Imaš li šta da govorim caru ili vojvodi? A ona reče: Ja živim sred svog naroda.
0c040e005c	A on reče: Šta bih joj dakle učinio? A Gijezije reče: Eto nema sina, a muž joj je star.
