0100000006	Senesi
08030700dc	Pea hili ʻae kai mo inu ʻa Poasi, pea kuo fiemālie lahi hono loto, naʻe ʻalu ia ke tokoto ʻi hono potu ʻoe fokotuʻunga uite: pea haʻu fakaʻeteʻete pe ia, pea toʻo ʻae kafu mei hono vaʻe, pea tokoto hifo ia,
0803080085	Pea hoko ʻo tuʻuapō, pea pehē, Kuo manavahē ʻae tangata, pea tafoki ʻe ia ia, pea vakai, ʻoku tokoto ha fefine ki hono vaʻe.
080309009c	Pea pehē ʻe ia, “Ko hai koe?” Pea pehē ʻe ia, “Ko au Lute ko hoʻo kaunanga ko ia ke ke ʻai ho kafu ki hoʻo kaunanga he ko e kāinga ofi koe.”
08030a00f4	Pea naʻe pehē ʻe ia, “ʻE hoku ʻofefine, Ke monūʻia koe ʻia Sihova: he kuo ke fakahā ʻae angaʻofa lahi ʻi he kimui ʻi he kamataʻanga, ko e meʻa ʻi he ʻikai te ke muimui ʻi he kau talavou, pē ko ha masiva pē ko e maʻumeʻa.
08030b00c6	Pea ko eni, ʻE hoku ʻofefine, ʻoua naʻa ke manavahē; te u fai kiate koe ʻaia kotoa pē ʻoku ke tokanga ki ai: he ʻoku ʻilo ʻe he kakai kotoa pē ʻo hoku matapā ko e fefine angalelei koe.
08030c0068	Pea ko eni, ko e moʻoni ko ho kāinga ofi au: ka ʻoku ai ha kāinga ʻe taha ʻoku ofi lahi ʻiate au.
08030d015a	Tatali he poōni, pea ʻe pehē ʻi he ʻapongipongi, kapau te ne fai kiate koe ʻae ngāue ʻae kāinga, ʻoku lelei; tuku ia ke fai ʻae ngāue ʻae kāinga: pea kapau ʻe ʻikai fai ʻe ia ʻae ngāue ʻae kāinga kiate koe, pea te u fai ʻeau ʻae ngāue ʻae kāinga kiate koe; ʻoku moʻui ʻa Sihova: tokoto hifo ke ʻoua ke pongipongi.”
08030e00cb	Pea naʻe tokoto ia ki hono vaʻe ke ʻoua ke pongipongi: pea tuʻu hake ia ʻi he taʻefaʻaʻilo ʻe ha taha ha taha. Pea pehē ʻe ia, Ke ʻoua naʻa ʻilo naʻe haʻu ha fefine ki he potu hahaʻanga.
08030f00eb	Pea pehē ʻe ia foki, “ʻOmi kiate au ʻa ho kafu ʻaia ʻoku ʻiate koe, pea ke fakatali ia.” Pea ʻi heʻene fakatali ia, naʻa ne lingi ki ai ʻae fua paʻale ʻe ono, ʻo ne hilifaki ia kiate ia: pea naʻe ʻalu ia ki he kolo.
08031000b4	Pea ʻi heʻene haʻu ki heʻene faʻē ʻi he fono, naʻe pehē ʻe ia, “Ko hai koe, ʻeku tama? Pea naʻa ne tala kiate ia ʻaia kotoa pē naʻe fai ʻe he tangata kiate ia.”
08031100a0	Pea pehē ʻe ia, naʻa ne tuku kiate au ʻae fua paʻale ʻe ono ni; he naʻa ne pehē kiate au, ʻoua naʻa ke ʻalu ngeʻesi pē ki hoʻo faʻē ʻi he fono.
08031200d7	Pea pehē ʻe ia, “Ko ʻeku tama, ke ke nofo fiemālie pē, ke ʻoua ke ke ʻilo pe ngata fēfē ʻae meʻa ni: koeʻuhi ʻe ʻikai nofo noa pē ʻae tangata, kaeʻoua ke ne fakaʻosi ʻae meʻa ni he ʻaho ni.”
0804010115	Naʻe toki ʻalu hake ai ʻa Poasi ki he matapā, pea nofo ki lalo ia ʻi ai: pea vakai, naʻe ʻalu ange ʻae kāinga ʻaia naʻe lea ki ai ʻa Poasi; ʻaia naʻe pehē ki ai ia, “ʻE, ʻa koe, tafoki mai, pea nofo ki lalo ʻi heni.” Pea naʻe tafoki ia, ʻo nofo ki lalo.
080402009e	Pea naʻa ne ʻomi ʻae kau tangata ʻe toko hongofulu ko e kau mātuʻa ʻoe kolo, ʻo ne pehē, “Mou nofo ki lalo ʻi heni.” Pea naʻa nau nofo ki lalo.
08040300ab	Pea pehē ʻe ia ki he kāinga, “Ko Naomi ʻaia kuo toe haʻu mei he fonua ko Moape, ʻoku fakatau ʻe ia ʻae konga fonua, ʻaia naʻe ʻia ʻElimeleki ko hotau tokoua.
0804040193	Pea ne u pehē, “Te u fakahā ia kiate koe, ʻo pehē, Ke ke fakatau ia ʻi he ʻao ʻoe kakai, pea ʻi he ʻao ʻoe kau mātuʻa ʻo hoku kakai. Kapau te ke huhuʻi ia, pea ke huhuʻi ia: pea kapau ʻe ʻikai te ke huhuʻi ia, pea ke fakahā kiate au, koeʻuhi ke u ʻilo: he ʻoku ʻikai ha tokotaha kehe ke huhuʻi ia ka ko koe; pea ʻoku ou hoko mo koe.” Pea pehē ʻe ia, “Te u huhuʻi ia.”
08040500fa	Pea pehē ai ʻe Poasi, “Ko e ʻaho ko ia ʻoku ke fakatau ʻae ngoue ʻi he nima ʻo Naomi, ʻoku totonu hoʻo fakatau ia ʻi he nima ʻo Lute foki ko e fefine Moape, ko e uaifi ʻoe pekia, ke fokotuʻu hake ʻae hingoa ʻoe pekia ki hono tofiʻa.
08040600d2	Pea naʻe pehē ʻe he kāinga, “ʻOku ʻikai te u faʻa huhuʻi ia moʻoku, telia naʻaku maumau ai ʻae tofiʻa ʻoʻoku: ke ke huhuʻi ʻaia ʻoku ʻoʻoku moʻou; he ʻoku ʻikai te u faʻa huhuʻi ia.”
08040700f3	Pea ko eni hono anga ʻi muʻa ʻi ʻIsileli ʻoe huhuʻi, pea ki he fetongi, ke fakamoʻoni ʻae ngaahi meʻa kotoa pē; naʻe vete ʻe he tangata hono topuvaʻe, pea ʻatu ia ki hono kaungāʻapi: pea ko e meʻa fakamoʻoni ia ʻi ʻIsileli.
080408007b	Ko ia naʻe pehē ai ʻe he kāinga kia Poasi, “Ke ke fakatau ia moʻou.” Ko ia naʻa ne vete ʻo toʻo hono topuvaʻe.
08040900ec	Pea pehē ʻe Poasi ki he kau mātuʻa, pea ki he kakai kotoa pē, “Ko e kau fakamoʻoni ʻakimoutolu he ʻaho ni kuo u fakatau ʻaia kotoa pē naʻe ʻo ʻElimeleki, mo ia kotoa pē naʻe ʻo Kilioni mo Maloni, ʻi he nima ʻo Naomi.
08040a012d	Pea mo Lute foki ko e fefine Moape, ko e uaifi ʻo Maloni, kuo u fakatau ko hoku uaifi, ke fokotuʻu hake ʻae hingoa ʻoe pekia ki hono tofiʻa, koeʻuhi ke ʻoua naʻa motuhi ʻae hingoa ʻoe pekia mei hono kāinga, pea mei he matapā ʻo hono potu: ko e kau fakamoʻoni ʻakimoutolu he ʻaho ni.”
08040b014b	Pea naʻe lea ʻae kakai kotoa pē naʻe ʻi he matapā, mo e kau mātuʻa, ʻo pehē, “Ko e kau fakamoʻoni ʻakimautolu. Ke ngaohi ʻe Sihova ʻae fefine kuo haʻu ki ho fale ke hangē ko Lesieli mo Lia, ʻakinaua naʻa na langa ʻae fale ʻo ʻIsileli: pea ke tāpuekina koe ʻi ʻEfalata, pea ke ongolelei koe ʻi Petelihema:
08040c00a5	pea ke hoko ʻo tatau ho fale mo e fale ʻo Felesi, ʻaia naʻe fanauʻi ʻe Tema kia Siuta, ʻi he hako ʻaia ʻe tuku kiate koe ʻe Sihova ʻi he fefine mui ni.”
08040d00a7	Ko ia naʻe ʻomi ʻe Poasi ʻa Lute, pea hoko ia ko hono uaifi: pea ʻi heʻene ʻalu kiate ia, naʻe foaki kiate ia ʻe Sihova ke feitama, pea ne fanauʻi ʻae tama.
08040e00bb	Pea naʻe pehē ʻe he kau fefine kia Naomi, “Fakafetaʻi kia Sihova, ʻaia naʻe ʻikai tuku liʻaki koe taʻehao-kāinga, koeʻuhi ke hoko ʻo ongoongolelei hono hingoa ʻi ʻIsileli.
08040f0100	Pea ʻe ʻiate koe ia ko e fakaakeake moʻui, pea ko e tauhi kiate koe ʻi hoʻo motuʻa: koeʻuhi ko hoʻo taʻahine ʻi he fono, ʻaia ʻoku ʻofa kiate koe, ʻaia ʻoku lelei lahi kiate koe ʻi he tama tangata ʻe toko fitu, kuo ne fanauʻi kiate ia.”
0804100062	Pea naʻe toʻo ʻe Naomi ʻae tamasiʻi, pea ʻai ia ki hono fatafata, pea hoko ia ko hono tauhi.
08041100ca	Pea naʻe fakahingoa ia ʻe he kau fefine ʻo hono kaungāʻapi, ʻo pehē, “Kuo tupu ʻae tama kia Naomi, pea naʻa nau ui hono hingoa ko ʻOpeti: ko ia ia ko e tamai ʻa Sese, ko e tamai ʻa Tevita.
0804120051	Pea ko e ngaahi toʻutangata eni ʻo Felesi: naʻe tupu ʻia Felesi ʻa Hesiloni,
0804130044	Pea tupu ʻia Hesiloni ʻa Lame, pea tupu ʻia Lame ʻa ʻAminitapi,
0804140048	Pea tupu ʻia ʻAminitapi ʻa Nasoni, pea tupu ʻia Nasoni ʻa Salimoni,
0804150042	Pea tupu ʻia Salimoni ʻa Poasi, pea tupu ʻia Poasi ʻa ʻOpeti,
0804160041	Pea tupu ʻia ʻOpeti ʻa Sese, pea tupu ʻia Sese ʻa Tevita.”
0900000009	1 Samuela
09010100d3	Vakai naʻe ai ha tangata ʻo Lamateimi-Sofimi ʻoe moʻunga ʻo ʻIfalemi, ko hono hingoa ko ʻElikena, ko e foha ʻo Seloami ko e foha ʻo Elihu, ko e foha ʻo Tohu: ko e foha ʻo Sufi, ko e tangata ʻEfalata:
09010200b4	Pea naʻe toko ua hono uaifi; ko e hingoa ʻoe tokotaha ko ʻAna, pea ko Penina ʻae hingoa ʻoe tokotaha: pea naʻe ai ʻae fānau ʻa Penina, ka naʻe ʻikai ha fānau ʻa ʻAna.
09010300f5	Pea naʻe ʻalu hake ʻae tangata ni mei heʻene kolo ki Sailo ʻi he taʻu kotoa pē ke lotu mo ʻatu ʻae feilaulau kia Sihova ʻoe ngaahi kautau. Pea naʻe ʻi ai ʻae ongo foha ʻo Ilai, ko Hofini mo Finiasi ko e ongo taulaʻeiki ʻo Sihova.
09010400b3	Pea ʻi he hoko ʻae ʻaho ke fai ʻae feilaulau ʻe ʻElikena, naʻa ne vahe kia Penina ko hono uaifi, mo ʻene ngaahi tama kotoa pē mo ʻene ngaahi taʻahine ʻa honau ʻinasi.
090105006f	Ka naʻa ne ʻatu kia ʻAna ʻae vahe lahi he naʻe ʻofa ia kia ʻAna: ka kuo tāpuni hono manāva ʻe Sihova.
090106006d	Pea naʻe fakamamahi lahi ia ʻe hono fili, ke ne lāunga, ko e meʻa ʻi he tāpuni hono manāva ʻe Sihova.
09010700a5	Pea ʻi heʻene fai pehē pe ʻi he taʻu kotoa pē, naʻa ne ʻalu hake ki he fale ʻo Sihova, pea loto mamahi ai ia; ko ia naʻe tangi ai ia, pea naʻe ʻikai kai.
09010800eb	Pea pehē ai ʻe ʻElikena ko hono husepāniti kiate ia, “ʻAna ko e hā ʻoku ke tangi ai? Pea ko e hā ʻoku ʻikai te ke kai? Pea ko e hā ʻoku mamahi ai ho loto? ʻIkai ʻoku ou lelei hake kiate koe ʻi he tama ʻe hongofulu?”
090109009d	Pea naʻe tuʻu hake ʻa ʻAna hili ʻenau kai mo inu ʻi Sailo. Pea naʻe nofo ʻae taulaʻeiki ko Ilai ʻi he nofoʻa ofi ki he pou ʻi he fale ʻo Sihova.
09010a004d	Pea naʻe mamahi lahi hono laumālie, ʻo ne lotu kia Sihova, pea tangi lahi.
09010b016f	Pea naʻe fai ʻe ia ʻae fuakava, ʻo ne pehē, “ʻE Sihova ʻoe tokolahi, kapau ko e moʻoni te ke ʻafio mai ki he mamahi ʻa hoʻo kaunanga, ʻo manatuʻi au, ʻo ʻikai fakangaloʻi ʻa hoʻo kaunanga, ka ke foaki ki hoʻo kaunanga ʻae tama, pehē te u foaki ia kia Sihova ʻi he ʻaho kotoa pē ʻo ʻene moʻui, pea ʻe ʻikai ʻai ha tele ki hono ʻulu.”
09010c006b	Pea naʻe pehē, ʻi heʻene lotu maʻu pē ʻi he ʻao ʻo Sihova, naʻe vakai ʻe Ilai ʻa hono loungutu.
09010d0093	Ka naʻe lea ʻa ʻAna ʻi hono loto pea naʻe ngaue hono loungutu ka naʻe ʻikai ongoʻi hono leʻo: ko ia naʻe mahalo ai ʻe Ilai kuo konā ia.
09010e006a	Pea naʻe pehē ʻe Ilai kiate ia, “ʻE tuku ʻafē ʻa hoʻo konā? tukuange hoʻo uaine ʻiate koe.”
09010f00ce	Pea naʻe leaange ʻa ʻAna ʻo pehē, “ʻOku ʻikai, ʻE hoku ʻeiki, ka ko e fefine loto mamahi au: naʻe ʻikai te u inu uaine pe ha inu mālohi, ka kuo u lilingi hoku laumālie ʻi he ʻao ʻo Sihova.
090110007e	‌ʻOua naʻa ke ui hoʻo kaunanga ko e ʻofefine ʻoe kovi: he kuo u lea pe ʻi he lahi ʻo ʻeku feinga mo ʻeku mamahi.”
090111009e	Pea naʻe lea ai ʻa Ilai ʻo pehē, “ʻAlu fiemālie pē: pea ʻofa ke tuku kiate koe ʻe he ʻOtua ʻo ʻIsileli, ʻae kole ʻaia kuo ke kole kiate ia.”
09011200aa	Pea pehē ʻe ia, “Tuku ke maʻu ʻe hoʻo kaunanga ʻae fiemālie ʻi ho ʻao.” Pea naʻe ʻalu ʻae fefine ʻi hono hala, pea kai, pea naʻe ʻikai kei matapeko ia.
09011300db	Pea naʻa nau tuʻu hengihengi hake ʻi he ʻapongipongi, ʻo lotu ʻi he ʻao ʻo Sihova, pea ʻalu, ʻo hoko atu ki honau fale ʻi Lama: pea naʻe ʻilo ʻe ʻElikena ʻa hono uaifi; pea naʻe manatuʻi ia ʻe Sihova.
09011400c2	Pea hili ʻae ngaahi māhina ʻoe feitama ʻa ʻAna, pea pehē, naʻe fāʻeleʻi ʻe ia ʻae tama, ʻo ne ui hono hingoa ko Samuela, ʻo pehē, “Ko e meʻa ʻi heʻeku kole ia meia Sihova.”
0901150087	Pea naʻe ʻalu hake ʻae tangata ko ʻElikena mo hono fale kotoa pē, ke ʻatu kia Sihova ʻae feilaulau ʻoe taʻu, mo ʻene fuakava.
09011600f1	Ka naʻe ʻikai ʻalu ʻa ʻAna; he naʻe pehē ʻe ia ki hono husepāniti, “ʻE ʻikai te u ʻalu kaeʻoua ke mavae ʻae tamasiʻi, pea u toki ʻave ia, koeʻuhi ke fakahā ia ʻi he ʻao ʻo Sihova, pea ke nofomaʻu ai ia ʻo taʻengata.
0901170112	Pea naʻe pehēange ʻe hono husepāniti ko ʻElikena kiate ia, “Ke ke fai ʻaia ʻoku lelei kiate koe; tatali ke ʻoua ke ke mavae ia; kae kehe ke fokotuʻumaʻu ʻe Sihova ʻene folofola.” Ko ia naʻe nofo ai ʻae fefine ʻo fakahuhu ʻene tama, pea toki fakamavae ia.
09011800d8	Pea hili ʻa hono fakamavae ia, naʻa ne ʻave ia, pea mo e fanga pulu ʻe tolu, mo e efa ʻe taha ʻoe mahoaʻa, mo e hina uaine ʻe taha, ʻo ʻomi ia ki he fale ʻo Sihova ʻi Sailo: pea naʻe kei siʻi ʻae tama.
0901190045	Pea naʻa na tāmateʻi ʻae pulu, pea ʻomi ʻae tamasiʻi kia Ilai.
09011a00ae	Pea naʻe pehē ʻe ia, “ʻE hoku ʻeiki, hangē ʻoku moʻoni ʻa hoʻo moʻui, ʻe hoku ʻeiki, ko au ko e fefine naʻe tuʻu ofi kiate koe ʻi heni, ʻo lotu kia Sihova.
09011b0063	Naʻaku kole ʻae tamasiʻi ni; pea kuo tuku mai ʻe Sihova ʻa ʻeku kole ʻaia ne u fai kiate ia:
09011c0089	Ko ia foki ʻoku ou toe ʻatu ia kia Sihova; ʻe tuku ia kia Sihova ʻi heʻene moʻui kotoa pē.” Pea naʻe lotu ia kia Sihova ʻi ai.
09020100d8	Pea naʻe lotu ʻa ʻAna, ʻo pehē, “ʻOku fiefia hoku loto ʻia Sihova, ʻoku fakahikihiki hoku mālohi ʻia Sihova; kuo mafaʻa hoku ngutu ki hoku ngaahi fili; ko e meʻa ʻi heʻeku fiefia ʻi hoʻo fakamoʻui.
09020200a8	‌ʻOku ʻikai ha tokotaha ʻoku māʻoniʻoni ʻo hangē ko Sihova: he ʻoku ʻikai ha tokotaha mo koe: pea ʻoku ʻikai foki ha makatuʻu ʻo hangē ko hotau ʻOtua.
09020300be	‌ʻOua naʻa toe talanoa fakafiefielahi faufau pehē; ʻoua naʻa hā mai ʻae lea mālohi mei ho ngutu: he ko e ʻOtua ʻoe loto ʻa Sihova, pea ʻoku ʻekeʻi ʻe ia ʻae ngaahi faianga.
0902040077	Kuo fesiʻi ʻae ngaahi kaufana ʻae kau tangata mālohi, pea ko kinautolu naʻe tūkia kuo nonoʻo ʻaki ʻae mālohi.
09020500e5	Ko kinautolu naʻe mākona kuo nau fakamoʻua ʻakinautolu ke ngāue ki he meʻakai; pea kuo ngata ʻakinautolu naʻe fiekaia: pea kuo fanauʻi ʻae toko fitu ʻe he paʻa; pea ko ia kuo tokolahi ʻene fānau kuo hoko ʻo vaivai.
090206006f	‌ʻOku tāmateʻi ʻe Sihova, pea ne fakamoʻui: ʻoku ne ʻohifo ki he faʻitoka, pea ʻoku ne toe ʻo hake.
090207006a	‌ʻOku fakamasiva ʻe Sihova, pea ne fakamaʻumeʻaʻi: ʻoku ne fakamoʻulaloa, mo ne hiki ki ʻolunga.
090208012d	‌ʻOku ne hiki hake ʻae masiva mei he efu, ʻo fakahikihiki ʻae faʻa kole mei he tuʻunga veve, ke fakanofo ʻakinautolu mo e houʻeiki, pea ke ne ngaohi ʻakinautolu kenau maʻu ʻae nofoʻa fakaʻeiʻeiki: he ko e ngaahi pou ʻo māmani ʻoku ʻo Sihova, pea kuo ne fokotuʻu ʻa māmani ki ai.
09020900b2	‌ʻE tauhi ʻe ia ʻae vaʻe ʻo ʻene kau māʻoniʻoni, pea ʻe longo pe ʻae kau angakovi ʻi he poʻuli; koeʻuhi ʻe ʻikai lavaʻi ha meʻa ʻe ha tangata ʻi he mālohi.
09020a0106	‌ʻE fesifesiʻi ʻae ngaahi fili ʻo Sihova; ʻe mana ʻe ia kiate kinautolu mei langi: “ʻE fakamaau ʻe Sihova ʻae ngaahi ngataʻanga ʻo māmani; pea ʻe foaki ʻe ia ʻae mālohi ki heʻene tuʻi, pea ne fakahikihiki ʻae mālohi ʻo ia kuo ne pani.”
09020b0086	Pea naʻe ʻalu ʻa ʻElikena ki hono fale ki Lama. Pea naʻe tauhi ʻa Sihova ʻe he tamasiʻi ʻi he ʻao ʻo Ilai ko e taulaʻeiki.
09020c0061	Ka ko eni ko e fānau ʻoe angakovi ʻae ongo foha ʻo Ilai; naʻe ʻikai te na ʻilo ʻa Sihova.
09020d00e2	Pea ko e anga naʻe fai ʻe he taulaʻeiki ki he kakai, naʻe pehē, ʻi he ʻatu ʻe ha tangata ha feilaulau, naʻe haʻu ʻae tamaioʻeiki ʻae taulaʻeiki ʻi he kei haka ʻae kakano, mo e meʻa huhu matatolu ʻi hono nima;
09020e0100	Pea naʻa ne velo ia ki he fakapaku, pe ko e kulo, pe ha meʻa haka luoluo, pea ʻilonga ʻaia naʻe matoʻo hake ʻe he huhu naʻe ʻave ia ʻe he taulaʻeiki maʻana. Pea naʻe pehē ʻenau fai ʻi Sailo ki he kakai ʻIsileli kotoa pē naʻe ʻalu ki ai.
09020f010f	Pea ʻi he teʻeki ai tutu foki ʻae ngako, naʻe haʻu ʻae tamaioʻeiki ʻae taulaʻeiki, ʻo ne pehē ki he tangata ʻoku fai ʻae feilaulau, “Tuku mai ʻae kakano ke tunu maʻae taulaʻeiki; koeʻuhi ʻe ʻikai te ne kai kakano haka ʻiate koe, ka ko e kanomate.”
0902100124	Pea kapau naʻe pehēange ʻe ha tangata kiate ia, “ʻOua naʻa nau taʻofi kae tutu leva ʻae ngako, pea ke toki ʻave ʻa ia, kotoa pē ʻoku ke loto ki ai; naʻe tali pehē leva ʻe ia ia, ‘ʻIkai;’ ka ke tuku mai leva ia kiate au: pea kapau ʻe ʻikai, te u ʻave fakamālohi ia.”
0902110089	Ko ia naʻe lahi ʻaupito ʻae angahala ʻae ongo talavou ʻi he ʻao ʻo Sihova: he naʻe fehiʻa ʻae kakai ki he feilaulau kia Sihova.
0902120073	Ka naʻe tauhi ʻe Samuela ʻi he ʻao ʻo Sihova, ko e tamasiʻi kuo nonoʻo ʻaki ʻae ʻefoti ʻoe tupenu lelei.
09021300b8	Pea naʻe ngaohi foki ʻe heʻene faʻē ʻae kofutuʻa siʻi, ʻo ʻomi kiate ia ʻi he taʻu kotoa pē, ʻi heʻene ʻalu hake mo hono husepāniti ke ʻatu ʻae feilaulau ʻoe taʻu.
09021400ce	Pea naʻe tāpuaki ʻe Ilai ʻa ʻElikena mo hono uaifi, ʻo ne pehē, “Ke ʻatu ʻe Sihova kiate koe ʻae hako ʻi he fefine ni ʻi he kole ni ʻaia kuo tuku kia Sihova.” Pea naʻa na ō ki hona ʻapi.
09021500cc	Pea naʻe ʻaʻahi ʻa Sihova kia ʻAna, ko ia naʻa ne feitama, pea ne fāʻeleʻi ʻae tama ʻe toko tolu mo e taʻahine ʻe toko ua. Pea naʻe tupu pē ʻae tamasiʻi ko Samuela ʻi he ʻao ʻo Sihova.
09021600d6	Pea kuo motuʻa lahi ʻa Ilai, ʻo ne fanongo ki he meʻa kotoa pē naʻe fai ʻe hono ongo foha ki ʻIsileli kotoa pē; mo ʻenau mohe mo e kau fefine naʻe fakataha ʻi he matapā ʻoe fale fehikitaki ʻoe kakai.
09021700a1	Pea naʻe pehē ʻe ia kiate kinaua. “Ko e hā ʻoku mo fai ai ʻae ngaahi meʻa pehē? He ʻoku ou fanongo ki hoʻomou fai angakovi ʻi he kakai ni kotoa pē.
0902180088	‌ʻOua, ʻe hoku ongo foha; he ʻoku ʻikai ko e ongolelei ʻoku ou ongoʻi: ʻoku mou fakalanga ʻae lāunga ʻi he kakai ʻo Sihova.
0902190135	Kapau ʻoku fai angahala ha tangata ʻe tokotaha ki he tokotaha, ʻe fakamaauʻi ia ʻe he fakamaau: pea kapau ʻoku fai angahala ʻe ha tangata kia Sihova, ko hai te ne fakalaloaʻi ia?” Ka naʻe ʻikai te na tokanga ki he leʻo ʻo ʻena tamai, koeʻuhi naʻe finangalo ʻa Sihova ke tāmateʻi ʻakinaua.
09021a0065	Pea naʻe tupu pē ʻae tamasiʻi ko Samuela, pea naʻe ʻofeina ia ʻia Sihova, pea mo e kakai foki.
09021b00ce	Pea naʻe haʻu ʻae tangata ʻoe ʻOtua kia Ilai, ʻo ne pehē kiate ia, “ʻOku pehē mai ʻa Sihova, ʻIkai naʻaku hā atu au ki he fale ʻo hoʻo tamai ʻi heʻenau ʻi ʻIsipite ʻi he fale ʻo Felo?
09021c0169	Pea ʻikai naʻaku fili ia mei he ngaahi faʻahinga ʻo ʻIsileli ke hoko ko hoku taulaʻeiki, ke fai ʻae ngāue ʻi heʻeku feilaulauʻanga, ke tutu ʻae meʻa namu kakala, pea ke kofuʻaki ʻae ʻefoti ʻi hoku ʻao? Pea ʻikai naʻaku foaki ki he fale ʻo hoʻo tamai, ʻae ngaahi feilaulau naʻe ngaohi ʻaki ʻae afi ʻe he fānau kotoa pē ʻa ʻIsileli?
09021d0108	Ko e hā ʻoku mou ʻakahi ai ki heʻeku feilaulau, mo e meʻa ʻatu, ʻaia kuo u fekauʻi ʻi hoku nofoʻanga; mo ke fakaʻapaʻapa lahi hake ki ho ongo foha ʻiate au, ke fakasino kimoutolu ʻaki ʻae lelei lahi ʻoe ngaahi feilaulau ʻa ʻIsileli ko hoku kakai?
09021e0176	“Ko ia ʻoku pehē ai ʻe Sihova ko e ʻOtua ʻo ʻIsileli, ‘Naʻaku pehē moʻoni, ko ho fale mo e fale ʻo hoʻo tamai, ʻe ʻaʻeva ʻi hoku ʻao ʻo taʻengata: ka ko eni, ʻoku pehē ʻe Sihova, Ke mamaʻo ia ʻiate au; he ko kinautolu ʻoku fakaʻapaʻapa kiate au, te u fakahikihikiʻi ʻakinautolu, pea ko kinautolu ʻoku manukiʻi au ʻe ʻikai te u tokangaʻi.
09021f0099	Vakai, ʻe hoko ʻae ngaahi ʻaho, te u motuhi ai ho nima, pea mo e nima ʻoe fale ʻo hoʻo tamai, pea ʻe ʻikai ai ha tangata ʻe motuʻa ʻi ho fale.
09022000af	Pea te ke mamata ki he fakamamahiʻi ʻo hoku nofoʻanga, neongo ʻae lelei kotoa pē kuo foaki ki ʻIsileli: pea ʻe ʻikai ha tangata ʻe motuʻa ʻi ho fale ʻo taʻengata.
09022100dd	Pea ko e tangata ʻoʻou, ʻaia ʻe ʻikai te u motuhi mei hoku feilaulauʻanga, ʻe hoko ia ke fakakui ho mata, mo fakamamahi ki ho loto: pea ko ia kotoa pē ʻe tupu ʻi ho fale tenau mate ʻi heʻenau kei fatu tangata.
0902220085	Pea ko e fakaʻilonga eni kiate koe, ʻaia ʻe hoko ki ho ongo foha, ʻa Hofini mo Finiasi; ʻe mate ʻakinaua ʻi he ʻaho pē taha.
09022300ee	Pea te u fokotuʻu moʻoku ʻae taulaʻeiki angatonu, ʻaia te ne fai ʻo fakatatau mo ia ʻoku ʻi hoku loto mo hoku ʻatamai: pea te u langa moʻona ʻae fale ke maʻu; pea ʻe ʻeveʻeva ia ʻi he ʻao ʻo ia kuo u pani ʻo taʻengata.
090224010f	Pea ʻe hoko ʻo pehē, ʻe haʻu kiate ia ʻakinautolu kotoa pē ʻoku toe ʻi ho fale, ʻo punou kiate ia ke maʻu ai ʻae konga siliva, mo e konga mā, pea tenau pehē, ʻOku ou kole kiate koe, tuku kiate au ha potu ngāue fakataulaʻeiki, ke u kai ai ha konga mā.”
09030100bf	Pea naʻe tauhi kia Sihova ʻe he tamasiʻi ko Samuela ʻi he ʻao ʻo Ilai. Pea naʻe maʻungataʻa ʻae folofola ʻa Sihova ʻi he ngaahi ʻaho ko ia; naʻe ʻikai fakahā ha meʻa hā mai.
090302009b	Pea naʻe hoko ʻo pehē ʻi he ngaahi ʻaho ko ia, naʻe tokoto ʻa Ilai ʻi hono potu, pea naʻe fakaʻaʻau ke poʻuli hono mata, ʻo ʻikai kei mamata:
0903030094	Pea ʻi he teʻeki ai mate ʻae maama ʻi he faletapu ʻo Sihova, ʻaia naʻe ʻi ai ʻae puha tapu ʻoe ʻOtua, pea kuo tokoto ʻa Samuela ke mohe:
0903040042	Naʻe ui ʻe Sihova kia Samuela; pea tali ʻe ia, “Ko au eni.”
09030500ac	Pea naʻe lele ia kia Ilai, ʻo ne pehē, “Ko au eni; he naʻa ke ui au.” Pea pehē ʻe ia, “Naʻe ʻikai te u ui; ke ke toe tokoto.” Pea naʻe ʻalu ia ʻo tokoto.
09030600d5	Pea naʻe toe ui ʻe Sihova, “Samuela.” Pea tuʻu ʻa Samuela ʻo ʻalu kia Ilai, ʻo ne pehē, “Ko au eni; he naʻa ke ui au.” Pea pehē ʻe ia, “ʻE hoku foha naʻe ʻikai te u ui; ke ke toe tokoto.”
090307006e	Pea naʻe ʻikai ʻilo ʻe Samuela ʻa Sihova, pea naʻe teʻeki ai fakahā ʻae folofola ʻa Sihova kiate ia.
09030800cf	Pea naʻe toe ui ʻe Sihova ʻa Samuela ko hono liunga tolu. Pea tuʻu ia ʻo ʻalu kia Ilai, ʻo ne pehē, “Ko au eni he naʻa ke ui au.” Pea naʻe toki ʻilo ʻe Ilai kuo ui ʻa Sihova ki he tamasiʻi.
09030900fc	Ko ia naʻe pehē ai ʻe Ilai kia Samuela, “ʻAlu ʻo tokoto hifo: pea ʻe pehē, kapau te ne ui koe, te ke pehē,’ʻE Sihova ke ke folofola mai; he ʻoku ongoʻi ʻe hoʻo tamaioʻeiki.’” Ko ia naʻe ʻalu ʻa Samuela ʻo tokoto ʻi hono potu.
