2900000006	Markus
2c010f0074	A hanmunchiniyu, ngomkǝ fafǝrkithi aru tǝ kumchitchap kǝ mbǝt ǝrta, thlaakǝ Bitrus kit a hurnanda, ndakǝnwa:
2c011000ba	"Hwanmanchina, sokkǝn waat kǝ nǝhɗangfichi ihi mbuutǝ shunda Farǝ soh tǝ mbǝɗa Shemeɗ Chiɗchiɗ ɓak tǝ miya Dauda kǝ ɗar Yahuda le hǝmka mbanna hur fichile kǝsang Yǝso.
2c01110047	Kǝthlǝm nakna hurnǝm soh, paɗ fǝra fichi i natna sǝta hur toriya.
2c01120073	(Yahuda, tǝkǝni ɓǝɓi tor'en hiitǝn mbǝtsi, hǝmkǝnhi tǝ inda, ɗathlkǝ hur'en ɓak hanheɗechi'ena haiya.
2c01130084	Kusheng shiwun mǝrta Yahuda sǝkkǝ nofcha Urshelima nat, ak fichi mbǝtkǝnwa Akaldama tǝ miyengnanda, sakǝtkǝnwa mbǝt fwara.)
2c011400c0	Ɗǝk Bitrussa mban tǝ ndatwa: Nakna hur yaratkǝn kichuyu a hur Zabura, ndatwa: "Nak huraa'ena nata kǝtǝn kuffi, mǝ soki nifa hurkǝnwa: paɗ mbǝt soktǝ'en a hur torkǝn kǝ tǝr yuna."
2c01150081	Kǝthlǝm ndǝkǝn sokkǝn waat kǝ taɗim yunihara a hur nofchi natǝm tǝ kandǝ nat farǝ natma witǝ tǝ Lǝmwandǝ Yǝso yu.
2c011600a7	Thlata fari sandǝ Yohanna baptisma kǝ fari tǝrtǝndǝndi a hurnǝm kǝ afshi. Chikawun tǝrtǝ ficha, nan sokta sheta tǝkǝm kǝ ɗar thlata Yǝso a hur mǝmatcha.
2c0117005f	Harkǝndǝ nofchi chap: Yusufu lela atfichǝwa Barsabas, lela atndǝ paɗwa Yustus tǝ Matiyas.
2c01180072	Hwankǝnda tǝ ndatwa: "Ai Lǝmwanda, lǝ sǝn hanndǝkiketa chika wuni, cheɗɗu le taɗtuhara hur nofchi chapya.
2c0119006b	Kǝ sokka lǝ thlǝnda hur torkǝn, kǝ tǝrǝn mbǝtsokta Yahuda le lengkǝhi pǝɗaka mbǝɗi ɓatǝn yu.
2c011a0073	'Yimkǝnda tata, sǝmkǝ Matiyas ɗǝfkǝfichinda hur fathlǝncha, humang fichi tǝ fichile kumngǝrǝnsǝ ertǝyu.
2c02010040	Kǝ saatǝ farǝ pentekos, uf fa fǝrkit hwimndǝhi mbǝt ǝrta.
2c0202006a	Sutolluwa, sǝkkǝ fichi tit ǝna hur afshi nda kapat rǝnna'a nǝhɗaɗǝ huri'i nannda hurkǝn ɗǝɗas.
2c0203005f	Cheɗkǝ ichi fechengnanda nda hanshuwun hwata, kanda saktǝhi, kanda ɗǝta ɗar inchengnanda.
2c02040085	Nǝhɗang fichi kandǝ nat tǝ Shemeɗ Chiɗchiɗ, tǝrkaakǝndǝ shundǝ tǝ michǝ somsomǝn, ɗa i fǝrandǝ Shemeɗ shunda kanda.
2c02050083	A thlahmbǝchiniyu, Yahudawechisi fa mwanandǝ Farǝ kaǝn, ɓaka a hachahaichǝ somsomǝn a hur kishita nak tǝ sokta a Urshelima.
2c02060091	Kǝ sǝktǝndǝ iniyu, humkǝndǝhi ngomkǝnda mbǝt ǝrta kǝthlǝm a kwehǝr sokkǝnaɗi, chikawun mǝla sǝktǝ kanda shundǝ tǝ miyengnanda.
2c02070067	Pǝɗang ǝn kandǝfa paɗ shekɗang'indǝ kanda, ndakndǝwa: "Awi fa shuni natya nga Galilawechiwowa?"
2c0208003b	Sǝk ǝnikǝni natma sǝk kanda shundǝ tǝ miya chikawuni?
2c0209008d	kǝmnangya, Fartiyawecha tǝ Madiyawecha, tǝ Elamawecha tǝ nofcha hachahai Mesofotamiya tǝ Yahudiya tǝ Kafadokiya tǝ i Fantus tǝ Asiya,
2c020a00a2	tǝ Firijiya tǝ Bamfiliya tǝ Masar tǝ fichile nak nduknduk tǝ Sayirin a hachahai Libiya tǝ romchi ɓaka Roma. Yahudawecha tǝ fichile yimka tǝrmbandengnǝm.
2c020b0079	Paɗ kǝmnang Kiritawecha tǝ Larabawecha, nat kǝmna sǝk kanda shundǝ tǝ miyengnǝm kǝ ɗar pǝktat ichi sǝt Fara."
2c020c005a	Pǝɗang ǝn kandǝfǝ natnda kohǝrkǝ inchengnandaɗi, ɗakndǝwa: "Mǝnaka sakǝt iya?"
2c020d0048	Chang funǝ mi kandǝhi ndatwa: "Tǝ sandǝ am inabi ngalkǝndǝ ɓeng."
2c020e00f0	Thlaakǝ Bitrus kit tǝ tahǝt fathlǝnchi kumngǝrǝnsǝ'ǝrtǝyu, i'naǝn ɓurathi ɓassangna kandǝsi, ndakǝnwa: "Hwanmanchina Yahudawecha tǝ fichile naktǝ sokta Urshelima nat sǝkamnji, paɗ kǝ ɗǝffuni i'nda i nati mbwa'anda kuni.
2c020f0074	Nofchiya nga tǝ tǝrang ǝna kandǝ nda i tǝrtuniwa, nakǝn mwee mbǝta ɓingtǝyawa: hanthlikkǝn hanhertǝ ndak.
2c02100031	I natuniya ndǝkǝn mbutǝ tapǝnaa Yowel ndatwa:
2c021100f7	"'Ndak Farǝ wa, a mweshit hanmunchikǝn ni thlǝr Shemeɗengna ɗar inda nofchi nat. Hwechengnuni kǝ nishchi tǝ hishcha nanda mbu icha le mbwa'andǝ Fara kanda. Kimshechengnuni nanda nat'ichi tamuchitnda nata, tuɓurnofchengnuni nanda sǝnnata.
2c02120087	A hanmunchiniyu ni thlǝr shemeɗengna kǝ ɗar inda mafechengna hishchi tǝ nishchi nat, paɗ nanda mbu icha le mbwa'andǝ Fara kanda.
2c02130095	Ni che ǝnat pǝɗandǝ nifǝfa a hur afshi, tǝ i na che sakǝt ǝnat pǝɗandǝ nofchǝfa a kishita, naknanat fwara tǝ hwata tǝ ǝnnda husomba'a.
2c0214007b	Hwatfarǝ nan yimta hulta, ndǝra'a nan tǝɓǝrtǝhi ngah nda fwara, kana fari Lǝmwandiyu ɓata, kapat fari nak mwanchin.
2c02150043	Farini hachiyu, chikawun hwanka hur thlǝm Lǝmwanda nan hǝrǝkta.
2c021600d9	Hwanmanchina, Israilawecha, sǝkam shuniya. Yǝso lǝ Nazaratta, nifi cheɗandǝ Fara kuni tǝ pǝktat torcha tǝ ǝnat pǝɗandǝ nifǝfa tǝ che ichi somsomǝn a hurnuni tǝ mbǝɗ'en, nda i sǝntuni tǝ indengnuni.
2c0217007c	Yǝso tiya, fǝrkǝ fichindi tepi tehishhi paɗ tǝ sǝnda Fara, kunang kukwang kǝ ɓǝllangnda tǝ mbǝɗa ɓǝɓi nofcha.
2c02180071	Ɓak Fara thla'anda ɗifitǝ ɓohandǝ hanmurtǝɗa i'ndi'en, kǝthlǝm ngu sǝtta hanmurta kǝ kǝsǝnndǝharwa.
2c02190090	Dauda kutura mbwitǝ ǝn kǝɗarkǝn ndatwa: "A neɗi Lǝmwandǝ mǝla thlǝmmatnǝ kǝnding. Ngi hǝhǝrtǝfuwa, kǝthlǝm mǝla harsǝmtengna.
2c021a0093	Kǝthlǝm ndǝkǝn, hanndǝkiketengna sǝk mbǝndǝfa, hanshundengna in immish mbǝnfata. Tǝ paɗ thlarkǝ faɗengna ɗar ɗǝf'inda mbǝɗa Fara.
2c021b006d	Kǝthlǝm nguna malǝ faɗengna hur mǝmatchiwa, ndu kǝ mallangnǝ iuti nak Chiɗchiɗ kǝ yirakaɗa kwatwa.
2c021c004c	Cheɗinǝ mba shisshingta. Nu nǝhɗitǝ tǝ mbǝnfata naku tǝnji kǝnding.
2c021d0090	"Hwanamanchina, ni mbǝlla mbwa'anda kuni tǝ kitchitwa kakannǝm Dauda, ndatwa miri a thlohaficha, kwat'en mwakǝna thlǝmmatnǝm kǝ ɓukweya.
2c021e007e	Nakǝn kǝ tapǝnaa, paɗ a shinwa ɗǝffa Farǝ shundǝhi tǝ at'ichimi ndatwa kachit Dauda na sokta mbǝt sok kuturichit'en.
2c021f00ac	Ɓak Dauda nathi kichuyu, paɗ a shuwun kǝ ɗar thlata Almasihu a hur mǝmatcha. Nakna ndatwa Farǝ ngu malǝnda hur mǝmatchuwa ndu kǝmalǝn fat'en kǝ yirakaɗa kwatwa.
2c02200042	Thlaa Farǝ Yǝso a hur mǝmatcha, kanang natani shetachǝ nakani.
2c022100af	Nakǝn mwanaficha nakna harsǝmta Fara, Paɗ shinkǝn nda i ɗǝftǝn shundǝhi, fǝraǝn Shemeɗ Chiɗchiɗ kǝ thlǝrka ɗar inchengnǝm nda i sǝktuni paɗ natuni ɓukweya.
2c02220070	Nga Dauda tǝrka hur afshiwa, chika mǝlan ndakǝnwa: "Lǝmwandǝ ndangnga Lǝmwandengnǝwa, soku harsǝmtengna,
2c02230035	Kani ɗǝf atikrechiwa ishangnǝkanda ka sarǝcheku."
2c0224007b	"Kǝthlǝmndǝkǝn chikawuna hur Isra'ila kǝsǝnǝn tǝkitwa Yǝso ti kukwandunihiyu, ngǝra Fara Lǝmwanda tǝ Almasihu."
2c0225008a	Kǝ sǝktǝndǝ shuniniyu, thlǝhǝrkǝn kanda hanɗǝkiketa, ndangnda Bitrus tǝ tahǝt fathlǝnchikǝnwa: "Hwanmancha, mǝnatani sǝta?"
2c022600c8	Ndǝkǝn ndandǝ Bitrussa kandǝwa: "Kǝ tǝrunihi kǝ sangfichǝ baptisma kuni a hur thlǝm Yǝso kǝrǝsti kǝthlǝm kǝ kallangfichi ɓǝɓichitfechengnuni kunihi, kanuni thlǝt Shemeɗ Chiɗchiɗ.
2c02270074	Kǝthlǝm ɗǝfshunihiya innuni tǝ hwechengnuni, tǝ fichile nak langngǝ paɗ, chikawun at Lǝmwanda, Farengnǝm."
2c02280079	Ɗǝk Bitrussa mban tǝ ɓassanda kandǝ kǝ tolta, nakna ndanda kandǝwa: "Hǝrkamǝn fechengnuni hura sǝɓ kishi'iya."
2c0229008e	Fichile fǝrkǝkit kǝ ɗar shunda Bitrus, sangfichǝ baptisma kanda. A farǝniyu chekkǝ nofchǝ kǝ ɗar fafǝrkit nduk aru kumchit mǝkkan.
2c022a0069	Ɓaknda ɗǝf inchengnanda sakini fathlǝnchiyu, lǝ humkǝndǝhi kǝnnda chi johma, paɗ kǝnnda hwanda.
2c022b005f	Kǝsang lechit chikawuni, sǝk fathlǝnchikǝn ǝnat pǝɗandǝ nofchifǝ tǝ sakchikǝn kaǝn.
2c022c003b	Nat fafǝrkit kanda mbǝt'ǝrta, chikamengnanda paɗ ǝrta.
2c022d005d	Hi'yangndǝ ichiɗǝ naksengnandǝ nat, sakangndǝ handǝɓǝlkǝna chikawuni, nda i yahtǝn.
2c022e00af	I sǝkka wembǝta kanda ɗǝta kapat hura'a Farǝ tǝ ndani rǝmma, kǝnnda chi njohma a hurechengnanda, kǝnnda sǝm'ǝna mbǝt ǝrta tǝ mbǝndǝfa tǝ hanɗǝkiketǝ yuyur.
2c022f007b	Kanda mwanandǝ Fara, nangnda mbǝs hamta mbǝɗa nofchinat. I sǝka wembǝta Lǝmwanda cheka fichile hǝrkandǝfich kanda.
2c03010069	Farǝle nda Bitrus tǝ Yohanna pǝɗata kapat hura'a Fara ka hwanda a farǝhuftǝ, hanthlǝkkǝn mǝkkan.
2c030200e1	Bakndǝ tǝ nifǝ le ngǝttǝ fichǝ kǝ tǝraɗ kǝnding la ɓaknda ɗǝfndǝhi nduk kǝ mi ɓang kapat hura'a Fara lela atndǝwa chamare tǝ mimbangnga, kǝthlǝm kǝ hwanǝn fǝr poffǝnna harra fa yimta kapat hura'a Fara.
2c03030055	Kǝnatǝn nda Bitrus tǝ Yohanna yimta kapat hura'a Fara, hwanaǝn fǝr poffǝn kanda
2c03040049	Nda Bitrus tǝ Yohanna nak nda kǝllanda, ndak Bitrus wa: "Kǝllan kani."
2c03050050	Ngǝrkǝ hur'indǝ'en nat kǝfaɗengnanda, naǝnhiwa nan mbǝs'ǝna harengnanda.
2c03060086	Ndak Bitrus wa: "Hanɗǝɓǝltengnǝsǝwa, i'naksengna ndǝkǝn nati fǝrruta. A hur thlǝm Yǝso Almasihu Lǝnazartta, thla'u wi'iu."
2c03070065	Kǝskǝ Bitrus harsǝmtǝ'en thla'a'ǝn. Chatkichuyu sarrǝchi'en tǝ sanglamchi'en sǝkndǝ alchita.
2c03080093	Thlaakǝn pǝrkǝna afshi thlarkǝnhi tǝrkaakǝn wita, yimkǝna kapat hura'a Farǝ tǝ kanda, mǝla wita mǝla pǝrta afshi, mǝla mwanandǝ Fara.
2c03090036	Nat nofcha nakndǝndi mǝla wita mǝla mwanandǝ Fara.
2c030a008d	Mbǝssangndǝwa mǝlanni lǝ sokka a chamare tǝ mimbang kapat hura'a Fara kǝnna hwafǝrpoffǝnyu. Pǝɗang ǝn kandǝfǝ kǝ ɗar i'ndi'en.
2c030b00af	Kǝskǝn Bitrus tǝ Yohanna har, ngomkǝ nofchǝ nat kǝ thlǝmatnandǝ tǝ rahta a hur kǝttǝn para Sulemanu, kǝthlǝm a pǝɗa'ǝnkandǝfa paɗ kwehǝr hur'inchennandaɗi.
2c030c00e9	Kǝnat Bitrus kichu, kahaan hur'inda nofchǝ tǝ ndatwa: "Israilawecha, mǝsǝk pǝɗandǝ'ǝnkunifǝ kǝ ɗar iya? Kǝthlǝmmǝ natuni kǝlandǝ kani nda tǝ alchiɗ'indengnani wiitǝ nifiya ndu kuwur Farengnani sǝk wiitǝ nifiiya?
2c030d00b5	Fara Ibrahim tǝ Ishaku tǝ Yakubu, Fara kakechinǝm nat, mǝlan mwanang mafat'en Yǝso, le chertuni paɗ fǝrtunindi a mbanitǝ Bilatus yu, chikama sokkǝnwa tirwa nan kalǝndǝhi.
2c030e0056	Cherkuni le nak chiɗchiɗ lǝ kafata, hwankuni kǝ kallangfichi lǝ ɓǝlfata kunihi.
2c030f006c	Ɓǝlangnguni le nak tǝ mba shisshingta har, thla'ang Fara hur mǝmatcha, kanang shetacha ɗar kitchitkǝn.
2c031000a9	"Tǝ mbǝɗa fǝrkit hur thlǝm Yǝso, kǝntǝ nifiɗiya, sǝntuni sohwa tǝraɗ. Kittǝkǝn fǝrkitchiɗi tǝmbǝɗa thlǝm Yǝso kǝnang nifiɗiya a hwanitengnuni nat.
2c0311006b	Nakǝnya hwanmancha, mbǝssaɗiwa i sanduni Yǝso sǝkuni hur ɓahsǝnda, nda i sǝt fa hǝmɓanichengnuni.
2c03120067	Tǝkichu nǝhɗandǝ Farǝ ɗǝfshundǝ'enhi tǝ miya tapǝnechǝ nat, ndatwa Kǝrǝsti nan sat ɓahta.
2c031300a9	Kǝthlǝm ndǝkǝn kǝ tǝrunihi kǝ tǝɓrunihi ɓǝɗa Fara, kǝthlǝm kǝ sapang fichǝ ɓǝɓichitfechengnuni ɗi, Lǝmwanda nannata cheka alchit hanɗǝkiketa kuni.
2c03140046	Paɗ nan thlǝn Kǝrǝsti ti taɗandǝnakunisi soh, mǝlan naka Yǝso.
2c031500a4	Waat kǝ sokka hur afshi kǝ fari natficha mbumbweɗandǝ ichihi nat kǝ yuwachikǝn, nda i ɗǝftǝ Farǝ shiwunkǝnhi kǝsoh tǝ mbǝɗa tapǝnechi'en chiɗchiɗ.
2c03160095	Ndak Musawa: "Farǝ Lǝmwanda nan thla'a tapǝna'a kunisi a hur nofchengnuni, nda i thla'itǝn. Waat kǝ ɗǝffuni inda i nat mbwa'andǝna kuni nat."
2c03170058	Nakna sokta chikawun kawuchik thlǝmmata tapǝni'iniyu na ficha sǝɓandaɗa hur nofcha.
2c0318007b	Tapǝnechi mbukǝ ichi nat, thlata Samaila ka kǝs fichilesi ɓaka ɗifi, mbwindǝ ichi naka sǝt nat a hanmunchi nakǝnya.
2c031900bc	Kunang naka hwecha tapǝnechiniyu paɗ kuna hur ɗǝf shunini ɗǝfandǝ Fara kakechǝnǝmhiyu. Kǝthlǝm ndang Fara Ibrahim wa: "Tǝ mbǝɗa kachitwa na nofcha kishita natta mbǝs ǝnhar.
2c031a00d2	Kǝ thla'andǝ Farǝ mafat'en Yǝso, tǝrkaakǝn thlǝnndi kǝ mbǝɗengnuni Israilawecha, kǝthlǝm kǝ fǝraǝn mbǝs ǝnhara kuni tǝ mbǝɗa tǝɓrandǝ chikawuna hurnuni kǝ malaǝn ɓǝɓi ɗǝsǝchi'en."
2c0401008d	Pǝrischa tǝ la hǝmmbanita fa pu kappat hura'a Farǝ har tǝ Sadukiyawecha, ɓaknda mbǝsnda Bitrus tǝ Yohanna kanda hur shunandǝ nofcha.
2c04020091	Shiɓhurchengnandaɗi kǝthlǝm kanda sakanda nofchihar tǝ sǝnanda kandǝsǝwa mǝmatcha nanda thlatǝ tǝ shisshingchafa nda i thlaatǝ Yǝso.
2c04030060	Kǝsangndǝ kanda, ɗǝkndǝ tǝ kanda kǝttǝn pursuna kǝ ishki, nakǝn tepa shiɗ farǝhufta.
2c04040069	Yakat fichile sǝkkǝ ɓassikǝn, fǝrkǝndǝkitsi. Nofchi fǝrkǝkittǝkǝn sheendǝ aru kumchitɗurman.
2c04050087	Ɓingǝtkǝn, fa yarandǝ ichihi a kuturchitkǝn uf tǝ fa hǝmmbanita tǝ malɗǝmcha fa sakandǝ kussaɗi, ngomkǝndǝhi a Urshelima.
2c0406006e	Tǝ Hanana kapat pǝrist tǝ Kayafa tǝ Yohanna tǝ Alekzanda, nat ta fichile naka hur ngitikta kapat pǝrist.
2c0407008e	Ɓakndǝ tǝ Bitrus tǝ Yohanna, thlarangndǝ kandǝhi kǝ hur ɗiffi, sahangndǝ kandǝwa: "Tǝ alchitmi ndu tǝ thlǝm wuni sǝtuni ichiya?"
2c0408005d	Bitrus, nǝhǝɗkaɗǝ tǝ Shemeɗ Chiɗchiɗ, ndangnakandǝwa: "Kuturcha tǝ pǝktat nofcha,
2c04090062	Sahangnguni mi kani ɓukweya kǝthlǝm kachiɗi sandani tǝraɗtiyawa tǝ mbayi kǝntǝna ɗiyawa?
2c040a00bb	Yahkisi kǝ sǝnuni nattuni tǝ Israilawecha, ndatwa tǝ thlǝm Yǝso Almasihu Lǝnazaratta, le kukwandunihi thla'andǝ Fara hur mǝmatcha, kǝntǝ nifiɗi ngwalngwal kita mbanitǝnuniya.
2c040b004e	Mǝlan naka: "Ngwiyi chertuni kunang fa tincha, ndǝkǝn sokka kukuwun tinda."
2c040c0082	Nifǝsi na mbǝssa kaɓi nifǝ chika ǝrtǝwa, kǝthlǝm thlǝmsa hur kishi'inatya fǝrandǝ ficha nifa le na mbǝssakaɓikǝmwa."
2c040d00b7	Kǝ natndǝ alchit shunda nda Bitrus tǝ Yohanna, paɗ mbǝssangndǝwa nga fa sǝn'ǝnwa, paɗ fa ɓahcha, pǝɗang ǝn kandǝfa. Ɓeɗnda mbǝssandǝ paɗwa kǝsoh nakndǝ tǝ Yǝso.
2c040e0050	Kǝnannda nat nifi kǝnandǝndaɗaɗi kita hurnanda, ɓahkǝndǝ i nannda mbuta.
2c040f006f	Ndangnda nda Bitrus tǝ Yohanna wa kǝ chendakisha kǝttǝn yarangndǝ ichihi, kǝ yarangndǝ ichihi kǝ ndani.
2c041000a5	Ndakndǝwa: "Nakma sandǝ nofchiya kǝni? Mbandǝsǝ namma ndatwa sundǝ ǝnat pǝɗandǝ nifǝfuwowa, kǝthlǝm chikawuni a Urshelima shinwa shiɗ fichǝ ǝn kichu.
2c0411006d	Kǝthlǝm kǝ njaam ɗǝttǝkǝna kanda mban, ɓokamna kanda, mǝ ngǝrinda shunandǝ nifa hur thlǝmmiyawa."
2c04120076	Akndǝ fathlǝnchikǝn, ɓokangnda kanda mǝ ngǝrinda shunandǝ nifǝ ndu kǝ sakangnda nifǝhar hur thlǝm Yǝso wa.
2c04130080	Ngǝrang nda Bitrus tǝ Yohanna kandǝsǝwa: "Keekesa mbanitǝ Fara kǝ sǝkani innuni kǝ cherani i Farǝwa, Kǝlamǝn kǝnuni.
2c0414003f	Kǝthlǝm kanang ngani malandǝ mbu i natani tǝ i sǝktaniwa."
2c041500be	Ngǝrkǝndǝ chekandǝ ɓokanda kanda kalkǝndǝ kandǝhi, kǝthlǝm sǝnundǝ mbayi nannda fǝra ɓwenne kandǝwa kǝthlǝm nofcha. Kǝthlǝm chikawun mǝla mwanandǝ Fara kǝ ɗar i sǝka.
2c0416006a	Nifi mbǝskǝ kǝndaɗaɗi tǝ mbanda ǝnat pǝɗandǝ nifǝfa, sheraɗa hurat kumchit fwaɗa tǝ ngǝtta.
2c0417008c	Kǝ kaltǝndǝ kandǝhi, nda Bitrus tǝ Yohanna pǝɗaknda mbǝs fahchinanda, mbwa'angndǝ i kandǝ mbutǝ pǝktat pǝristcha tǝ pǝktecha.
2c041800c8	Kandang paɗ kǝ sǝktǝndǝ kichu, thla'angndǝ ɓurechengnanda mbǝɗa Fara hurhwanda, ndakndǝwa: "Lǝmwandǝ lǝ alchitnat, sokǝn sǝk hur afshi tǝ kishita tǝ hawurta tǝ ichi naka hurkǝn nat.
2c041900a3	Tǝ mbǝɗa Shemeɗ Chiɗchiɗ, tǝ miya kakannani Dauda, mafaɗeku ndatuwa: "Kǝthlǝmmǝ sǝɓɓandǝ punofcha huraɗi? Kǝthlǝmmǝ nat nofcha kike kohat i'cha?
2c041a0069	Kuturcha kishita tehishndǝfa mbata, fa hǝmmbanita humandǝ inda kǝ ɗar Lǝmwanda tǝ Kǝrǝsti paɗ."
2c041b00b5	"Kittǝkǝn a hur hǝmǝɗiya Hiridus tǝ Buntus Bilatus humandǝ inda tǝ punofcha tǝ nofcha Isra'ilawecha kǝ sangndǝ ɓǝɓichitfatfa nat kǝ ɗar mafaɗeku Yǝso le taɗtuhar.
2c041c0069	Humangndǝ inda kǝthlǝm kǝ sǝndǝ ichi taptu kǝ tahsangnǝhi tǝ alchiɗeku tǝ yahtekuwa nan sǝta.
2c041d006c	Nakǝnya Lǝmwanda, kǝlandǝn kah thlemmaɗengnanda kǝ Fǝrangnǝ mbaɓǝs shundeku mafecheku tǝ alchita.
2c041e008b	Kǝlla tiɗɗangnǝ harekuhi i kǝndaɗi, kǝ sani ǝnat pǝɗandǝ nifǝfa tǝ sakchikǝn tǝ mbǝɗa thlǝm mafaɗeku chiɗchiɗ, Yǝso."
2c041f0094	Ɗifitǝ hwandengnanda, mbǝɗi humtǝndǝhi hǝhǝrkǝnfa, nǝhɗang fichi kandǝ tǝ Shemeɗ Chiɗchiɗ. Ɓǝskǝndǝ pathla Farǝ nga lecgitfuwa.
2c04200097	Sǝrǝt fichile fǝrkǝkit, humkǝndǝhi hanɗǝkiketǝ ǝrta tǝ yarǝ ǝrta. Ngusǝ ndakwa i naksǝ'enwa ikǝnwa, chikamǝ naksengnanda innandǝ nat.
2c04210088	Fathlǝnchǝkǝn fǝrkǝndǝ sheta tǝ thlata Yǝso Lǝmwanda hur mǝmatcha tǝ alchita, paɗ Kachita Farǝ kaǝn a ɗar nandǝ nat nda.
2c0422006b	Ngusa hurnandǝ ɓahkǝ ǝnwa, kǝthlǝm nat fa hurecha tǝ hicha hiyandaɗi ɓakndǝ tǝ hanɗǝɓǝlkǝn.
2c0423006e	Ɓakndǝ tǝ hanndǝɓǝlkǝn, fǝrangnda fathlǝnchǝkǝn, sakang ficha nofchinat chikawun keeke a i yahtǝn.
2c0424009c	Nifǝsi thlǝmkǝnwa Yusufu, lǝ Lawita kachitkǝn lǝ Kubrustǝ nakǝn, la at fathlǝnchǝkǝnwa Barnabas (sakitkǝnwa: "Hwan cheka alchita hanɗǝkiketa")
2c0425004e	Hiyaǝn hitǝ'enaɗi, ɓakǝn tǝ hanndǝɓǝlkǝnna ɓanitǝ fathlǝnchikǝn.
2c0501004b	Nifǝsǝ thlǝmkǝnwa Hananiya tǝ nuhkǝn Safiratu, hi'yaǝn mbǝt enaɗi.
2c05020071	Ɓuɓweekǝn hanɗǝɓǝlkǝn har tǝ sǝnda nuhkǝnsi, ɓakǝn tǝ tahhǝtkǝn ɗǝfkǝnhi mbanitǝ fathlǝncha.
2c050300c9	Ndǝkǝn ndat Bitrus wa: "Sokǝn Hananiya, mǝsǝk malandu Sheɗan kǝ nǝhɗaǝn hanɗǝkiketeku kǝ lekangna Shemeɗsǝ Chiɗchiɗ, ɓuɓweetu hanɗǝɓǝltǝ harra hur hanɗǝɓǝl hiti hi'yanduɗi?
2c050400aa	Thlateku kǝ ɗǝna hi'yandaɗaɗi, nga iuwowa? Ɗifitǝ hi'yaɗekuɗi, hanɗǝɓǝlkǝn nga iuwowa? Mǝsǝk ɗǝftu lekta hanndǝkiketeku? Nga nifǝ lekandusǝwa, Fara."
2c05050064	Kǝ sǝktǝ Hananiya shuniniyu, hǝmkǝnhi mǝrkǝn. Nat fichile sǝkka kǝsang lechit kandǝ kaǝn.
2c05060056	Ɓak kimshecha tǝranda kish, fwaɗangndǝ tǝ njeli thlohmurta pǝɗaknda thlohhanda.
2c05070048	Ɗifitǝ nda hanthlǝkkǝn mǝkkan, yimkǝ nuhkǝnsi, sǝnutǝ i sǝkwa.
2c05080064	Ndǝkǝn sahandǝ Bitrus wa: "Ɓu'i'tǝn, hi'yangnguni hitiɗiyu kichawa?" Ngǝmanwa: "Aa, kichuyu."
2c050900c1	Ndǝkǝn ndandǝ Bitrus wa: "Mǝsǝk humanduni mi kǝ kikeɗangnguni Shemeɗa Lǝmwandǝ kicheya? Suku kwarsara fichile pǝɗaka thlohhandǝ sǝmatu, kanda mikǝnnda, nanda tǝrruta kish paɗ."
2c050a00a2	Chatkichuyu, hǝmkǝnhi mǝrkǝn. Kǝ yimtǝ kimshechikǝnsi, mbǝssangndǝ kǝ murǝtkǝn, tǝrkǝndǝndi kitangnda kish pǝɗangnda thlohhanda thlǝmat sǝmaha.
2c050b0047	Kǝssang lechit kǝttǝn hwakǝn kaǝn nat ta fichile sǝkkǝ ichiniyu.
2c050c00a6	Shiɗ fichi ǝnat pǝɗandǝ nifǝfa tǝ sakchikǝn kaǝn a hur nofcha tǝ ɓǝɗa fathlǝncha. Nat fafǝrkit la ngomkǝndǝhi kǝttǝn para Sulemanu tǝ yarǝ ǝrta.
2c050d006d	A hur tahhǝt nofcha, ngusǝ cheɗkǝ nda nan yimta hurnandǝwa, chika kichu la fǝrang nofchǝ mwanda kanda.
2c050e0060	Nak fafǝrkitta chektǝ kaǝn kǝ ɓǝɗa Lǝmwanda, sheraɗa le soh, hishchǝ tǝ nishchǝ nat.
2c050f0094	Ala ɓakndǝ tǝ hacha mimbacha, funa mbǝt'hunecha funa ɗǝngǝlcha, kǝthlǝm ma Bitrusa mbǝrtǝhi, chika mirshingtǝ'en kǝɗǝn tǝ ɗar funa.
2c051000ac	Nofcha a thlet mbichi somsomǝn taurang Urshelima hiyu naknda ngomta, kanda ɓat tǝ hacha tǝ fichile nat ɓǝɓilǝwurcha ɓahandǝ kanda, kǝnang fichi kandaɗǝ natnda.
2c05110072	Thlaakǝ kapat pǝrist tǝ fichile naka thlǝmatkǝn, fa tǝrmbanda Sadukiyawecha, nakndǝ tǝ sǝrǝhtafǝ kaǝn.
2c05120039	Kǝsangndǝ fathlǝnchikǝn, ɗǝkndǝ tǝ kanda pursuna.
2c05130076	Sokkǝn a fiɗɗikta, ɓak Mala'ika Lǝmwanda i'nandǝ mikǝtǝn pursunechikǝnhi, chaǝn kanda kish ndangna kandǝwa:
2c0514006a	"Ɗama kapat hura'a Fara ɗuni thlarǝhi hurkǝn kǝ mbwa'angnguni nofcha pathlǝ yuwa shisshingta kanda."
2c051500ee	Kǝ sǝktǝndǝ kichu yimkǝnda kapat hura'a Fara ɓingta naknda sakandaɗi. Kapat pǝrist tǝ fichile naka thlǝmatkǝn chekndakish, akndǝ fa sakandǝ ichihi tǝ fa hǝmmbanita Isra'ilawecha, thlǝnkǝnda pursuna kǝ ɓafichi tǝ kanda.
