010000000c	Olubereberye
030b0400c7	Kyokka ezo ezizza obwenkulumu bwokka, oba ezirina ebigere ebyaseemu byokka, temuziryanga. Ggamba eŋŋamira, newaakubadde ng’ezza obwenkulumu naye ebigere byayo si byaseemu; noolwekyo si nnongoofu.
030b05005c	N’omusu nagwo guzza obwenkulumu, naye ebigere byagwo si byaseemu; noolwekyo si mulongoofu.
030b06008d	Ate n’akamyu ak’omu nsiko, newaakubadde nako kazza obwenkulumu naye ebigere byako si byaseemu, noolwekyo si kalongoofu, era temukalyanga.
030b070091	Ate mulabe embizzi, newaakubadde ng’ekigere kyayo kyaseemu, ate nga kyeyawulidde ddala, naye tezza bwenkulumu; noolwekyo si nnongoofu gye muli.
030b08006f	Ebisolo ng’ebyo temulyanga nnyama yaabyo, wadde okukwatako ku mirambo gyabyo; kubanga si birongoofu gye muli.
030b090084	“Ku biramu ebiri mu mazzi ag’omu nnyanja n’ag’omu migga mulyangako ebyo ebirina amatu awamu n’amagagamba ku mubiri gwabyo.
030b0a007b	Ebiramu byonna ebyekuluumulira mu nnyanja ne mu migga naye nga tebiriiko matu oba magagamba binaabanga bya muzizo gye muli.
030b0b0077	Nga bwe binaabanga eby’omuzizo gye muli, temuulyenga ku nnyama yaabyo, era n’emirambo gyabyo ginaabanga gya muzizo.
030b0c006d	Buli kiramu kyonna ekibeera mu mazzi naye nga tekiriiko matu wadde amagagamba kinaabanga kya muzizo gye muli.
030b0d0050	“Mu nnyonyi, zino ze z’omuzizo era temuuziryenga: empungu, ensega, makwanzi,
030b0e0025	kamunye, eddiirawamu erya buli ngeri,
030b0f001f	ne namuŋŋoona owa buli ngeri;
030b100034	maaya, olubugabuga, olusobe, enkambo eza buli ngeri,
030b110024	ekiwuugulu, enkobyokkobyo, ekkufufu,
030b12002b	ekiwuugulu eky’amatu, ne kimbala, ensega,
030b13003c	kasida, mpabaana owa buli ngeri, ekkookootezi, n’ekinyira.
030b140061	“Ebiwuka byonna ebirina ebiwaawaatiro nga bitambuza amagulu ana binaabanga bya muzizo gye muli.
030b1500a2	Naye mu biwuka ebyo ebirina ebiwaawaatiro era nga bitambuza amagulu ana munaalyangamu ebyo ebirina ennyingo ku magulu gaabyo ebigenda nga bibuuka amacco ku ttaka.
030b160094	Mu ebyo bino bye munaalyanga: enzige eza buli ngeri, n’enseenene eza buli ngeri, n’obunyeenyenkule obwa buli ngeri, n’amayanzi aga buli ngeri.
030b170066	Naye ebiwuka ebirala byonna eby’ebiwaawaatiro nga birina amagulu ana binaabanga bya muzizo gye muli.
030b180097	“Bino nabyo binaabafuulanga abatali balongoofu; buli anaakwatanga ku mulambo gw’ensolo nga zino anaafuukanga atali mulongoofu okutuusa akawungeezi.
030b19009e	Era buli anaasitulanga ekitundu kyonna eky’omulambo gwazo anaateekwanga okwoza engoye ze, kyokka era anaabanga afuuse atali mulongoofu okutuusa akawungeezi.
030b1a00c8	“Buli nsolo yonna erina ekigere ekyaseemu naye nga tekyeyawulidde ddala, oba nga tezza bwenkulumu, eneebanga ya muzizo gye muli. Buli anaakwatanga ku mulambo gwazo anaabanga afuuse atali mulongoofu.
030b1b00cb	Mu nsolo zonna ezitambulira ku magulu ana, ezo ezitambulira ku bibatu byazo teziibenga nnongoofu gye muli, buli muntu anaakwatanga ku mulambo gwazo anaabanga afuuse atali mulongoofu okutuusa akawungeezi.
030b1c009f	Era n’oyo anaasitulanga omulambo gwazo anaayozanga engoye ze; naye era anaabanga afuuse atali mulongoofu okutuusa akawungeezi. Teziibenga nnongoofu gye muli.
030b1d0080	“Mu nsolo ezigenda zisoobera ku ttaka; zino teziibenga nnongoofu gye muli: eggunju, emmese, amakonkome amanene aga buli ngeri;
030b1e0031	anaka, enswaswa, omunya, ekkonkome, ne nnawolovu.
030b1f00a6	Mu ezo zonna ezisoobera ku ttaka ezo teziibenga nnongoofu gye muli. Era buli anaazikwatangako nga zimaze okufa anaabanga afuuse atali mulongoofu okutuusa akawungeezi.
030b200139	Era emu ku zo bw’eneefanga n’egwa ku kintu eky’engeri yonna ekikozesebwa, ekintu ekyo kinaafuukanga ekitali kirongoofu, obanga ekintu ekyo kyakolebwa mu muti, oba mu lugoye, oba mu ddiba oba mu kkutiya. Kiteekebwenga mu mazzi. Tekiibenga kirongoofu okutuusa akawungeezi; kyokka oluvannyuma kinaalongookanga.
030b21009f	Era emu ku zo bw’eneegwanga mu nsaka ey’ebbumba, byonna ebiri mu nsaka omwo binaafuukanga ebitali birongoofu, era ensaka eyo muteekwa buteekwa okugyasanga.
030b2200ab	Emmere eneebanga egenda okuliibwa naye n’ebaako amazzi agavudde mu nsaka omwo, teebenga nnongoofu, n’amazzi agandinywereddwa okuva mu nsaka omwo tegaabenga malongoofu.
030b2300bd	Era buli kintu kyonna omulambo gw’ensolo zino kwe gunaabanga gugudde ku masiga okufumbirwa oba mu ntamu, binaayasibwayasibwanga, kubanga si birongoofu; era tebiibenga birongoofu gye muli.
030b24009b	Naye bwe gunaagwanga mu luzzi oba mu ppipa y’amazzi, ebyo byo binaasigalanga birongoofu; naye oyo yenna anaakwatanga ku mulambo ogwo taabenga mulongoofu.
030b25005f	Singa omulambo gugwa ku nsigo ez’engeri yonna ezigenda okusimbibwa, zinaasigalanga nnongoofu.
030b26005c	Naye singa ensigo ziyiyibbwako amazzi, omulambo ne guzigwako, teziibenga nnongoofu gye muli.
030b270091	“Singa ensolo yonna ku ezo ze mukkirizibwa okulya efa, oyo yenna anaakwatanga ku mulambo gwayo anaabanga atali mulongoofu okutuusa akawungeezi.
030b2800ec	Oyo anaalyanga ku nnyama y’omulambo kinaamusaaniranga okwoza engoye ze, era taabenga mulongoofu okutuusa akawungeezi. Oyo yenna anaasitulanga omulambo, kinaamusaaniranga okwoza engoye ze, naye taabenga mulongoofu okutuusa akawungeezi.
030b290052	“Buli kitonde kyonna ekitambulira ku ttaka kinaabanga kya muzizo, temuukiryenga.
030b2a00a8	Temuulyenga kitonde kyonna ekyekululira ku ttaka, obanga kyewalulira ku lubuto lwakyo, oba nga kitambuza amagulu, oba nga kikozesa ebigere bingi; kinaabanga kya muzizo.
030b2b0087	Temuganyanga kwonoonebwa bitonde ebyo n’ekimu. Temubikozesanga temulwa kweyonoona, era temubikkirizanga kubafuula abatali balongoofu.
030b2c00ba	Kubanga Nze Mukama Katonda wammwe, kale mwetukuzanga ne mubeera batukuvu, kubanga Nze ndi mutukuvu. Temwesemberezanga ebitonde ebyo ebitambulira ku ttaka ne bibafuula abatali balongoofu.
030b2d0092	Kubanga Nze Mukama eyabaggya mu nsi ey’e Misiri, okubeera Katonda wammwe; noolwekyo kibasaanira okubeeranga abatukuvu, kubanga Nze ndi mutukuvu.
030b2e008e	“Ago ge mateeka agakwata ku nsolo, ne ku nnyonyi, ne ku buli kiramu kyonna eky’omu mazzi, ne ku buli kitonde kyonna ekyewalulira ku ttaka.
030b2f0093	Kibasaaniranga mwawulemu, mu bitonde ebiramu ebirongoofu ebisaana okuliibwanga, ne mu bitonde ebiramu ebitali birongoofu ebitasaana kuliibwanga.”
030c01001b	Mukama n’agamba Musa nti,
030c020107	“Abaana ba Isirayiri bagambe nti, ‘Omukazi bw’anaabanga olubuto, n’azaala omwana nga wabulenzi, omukazi oyo taabenga mulongoofu okumala ennaku musanvu, okufaanana nga bw’atabeera mulongoofu ng’ali mu kiseera ky’okulwala kw’abakazi okwa buli mwezi.
030c03003e	Ku lunaku olw’omunaana omwana oyo omulenzi anaakomolebwanga.
030c0400f0	Ate omukazi anaalindanga ne wayitawo ennaku amakumi asatu mu ssatu alyoke atukuzibwe olw’omusaayi ogwamuvaamu ng’azaala. Taakwatenga ku kintu ekitukuvu wadde okuyingiranga mu watukuvu okutuusa ng’ennaku z’okutukuzibwa kwe ziweddeko.
030c050117	Naye bw’anaabanga azadde omwana wabuwala, omukazi taabenga mulongoofu okumala wiiki bbiri, nga bw’abeera ng’ali mu kiseera kye eky’okulwala kw’abakazi okwa buli mwezi. Ate anaalindanga ennaku nkaaga mu mukaaga alyoke alongoosebwe olw’omusaayi ogwamuvaamu ng’azaala.
030c060152	“‘Ennaku z’omukazi oyo ez’okutukuzibwa bwe zinaggwangako, bw’anaabanga azadde omwana mulenzi oba muwala, anaaleetanga eri kabona ku mulyango gw’Eweema ey’Okukuŋŋaanirangamu, omwana gw’endiga oguwezezza omwaka gumu obukulu okuguwaayo ng’ekiweebwayo ekyokebwa, ng’enjiibwa ento oba ejjiba ng’ekiweebwayo olw’ekibi.
030c0700e3	Kabona anaabiwangayo eri Mukama okutangirira omukazi oyo; bw’atyo anaabeeranga mulongoofu olw’omusaayi ogwamuvaamu ng’amaze okuzaala. “‘Ago ge mateeka agakwata ku mukazi anaazaalanga omwana owoobulenzi oba owoobuwala.
030c08011f	Bw’anaabanga tasobola kuwaayo mwana gwa ndiga, anaaleetanga bibiri bibiri ku bino: enjiibwa ento bbiri oba amayiba abiri, ekimu nga ky’ekiweebwayo ekyokebwa n’ekirala nga ky’ekiweebwayo olw’ekibi. Mu ngeri eno kabona anaamutangiririranga, bw’atyo n’afuuka mulongoofu.’”
030d010029	Awo Mukama n’agamba Musa ne Alooni nti,
030d0200e4	“Omuntu yenna bw’anaabanga n’akazimbye ku lususu lw’omubiri gwe, oba awabutuse, oba awali akatulututtu, ne wafaanana ng’awali endwadde ey’ebigenge, aleetebwenga eri Alooni kabona, oba eri omu ku batabani be bakabona.
030d03012a	Kabona anaakeberanga ekifo ekyo awazimbye ku lususu, bw’anaasanganga ng’obwoya obuli awo awazimbye bufuuse bweru, ate nga awalwadde wennyise okusinga olususu lw’omubiri gw’omuntu oyo, ng’olwo ebyo bigenge. Kabona bw’anaamalanga okumukebera anaalangiriranga nti omuntu oyo si mulongoofu.
030d0400e4	Naye awazimbye bwe wanaabanga walungudde, naye nga tewennyise okusinga olususu lw’omubiri gwe, ate nga n’obwoya mu wazimbye awo tebufuuse bweru, kabona anaasibiranga omuntu oyo omulwadde mu kalantiini okumala ennaku musanvu.
030d0500dd	Ku lunaku olw’omusanvu kabona anaakeberanga omuntu oyo; bw’anaasanganga ng’awazimbye teweeyongedde, era nga n’obulwadde obwo tebusaasaanye ku lususu, anaayongeranga okumusibira mu kalantiini ennaku endala musanvu.
030d060123	Ku lunaku olw’omusanvu kabona anaddangamu okumukebera, kale bw’anaasanganga ng’obuzimbu tebukyalabika nnyo, era obulwadde obwo nga tebusaasaanye ku lususu, anaamulangiriranga nti mulongoofu; kubanga kubadde kubutuka bubutusi. Omuntu oyo anaayozanga engoye ze, era anaabanga mulongoofu.
030d0700aa	Naye okubutuka okwo bwe kunaasaasaananga ku lususu oluvannyuma lw’okweyanjula eri kabona amulangirire nti mulongoofu, anaateekwanga okuddayo eri kabona yeeyanjule buto.
030d080099	Kabona anaamukeberanga, bw’anaasanganga ng’okubutuka kusaasaanye ku lususu ku mubiri, kabona anaamulangiriranga nti si mulongoofu; ng’ebyo bigenge.
030d09004a	“Omuntu yenna bw’anaakwatibwanga ebigenge, anaaleetebwanga eri kabona.
030d0a009c	Kabona anaamukeberanga, bw’anaasangangawo obuzimbu obweru ku lususu nga bwerusizza n’obwoya, era awazimbye nga waliwo n’ennyama y’omubiri erungudde,
030d0b00d7	ebyo binaabanga bigenge eby’olutentezi ku lususu lw’omubiri gw’omuntu oyo, era kabona anaamulangiriranga nti si mulongoofu. Taasibibwenga mu kalantiini, kubanga amaze okutegeererwawo nga bw’atali mulongoofu.
030d0c0095	“Naye singa ebigenge bisaasaana ku lususu ne bituuka wonna wonna okuva ku mutwe gw’omuntu oyo okutuuka ku bigere nga kabona bw’asobola okulaba,
030d0d00d7	kale kabona anaakeberanga omuntu oyo; bwe kinaazuulibwanga ng’ebigenge bibunye omubiri gw’omuntu oyo gwonna, anaamulangiriranga nga bw’ali omulongoofu; kubanga omubiri gwe gwonna gufuuse mweru, oyo mulongoofu.
030d0e005a	Naye ku lususu lw’omuntu oyo bwe kunaalabikangako ennyama erungudde taabenga mulongoofu.
030d0f0088	Kabona anaakeberanga ennyama eyo erungudde, n’amulangirira nga bw’atali mulongoofu. Ennyama erungudde si nnongoofu, kubanga bigenge.
030d100057	Naye singa ennyama erungudde ekyuka n’efuuka enjeru, omuntu oyo anajjanga eri Kabona.
030d1100a1	Kabona anaamukeberanga, bw’anaazuulanga ng’olususu olulwadde lufuuse lweru, anaalangiriranga omulwadde oyo okuba omulongoofu; bw’atyo anaabanga mulongoofu.
030d120046	“Omuntu bw’anaabanga alwadde ejjute ku lususu lwe, naye ne liwona,
030d13006f	kyokka mu kifo awaali ejjute ne wajjawo obuzimbu obweru oba akatulututtu akatwakaavu, wasaana walagibwe kabona.
030d1400e8	Kabona anaakeberangawo, bw’anaasanganga nga wennyise okusinga olususu, nga n’obwoya bwawo bufuuse bweru; kale kabona analangiriranga omuntu oyo nga bw’atali mulongoofu. Obwo bulwadde bwa bigenge ebifulumidde awo awaali ejjute.
030d1500d3	Naye kabona bw’anaakeberangawo, n’asanga ng’obwoya obuliwo si bweru, ate nga tewennyise okusinga olususu era nga tewakyalabika nnyo, kale kabona anaasibanga omuntu oyo mu kalantiini okumala ennaku musanvu.
030d16007f	Naye obulwadde obwo bwe bunaasaasaananga ku lususu, kale kabona analangiriranga omuntu oyo nti si mulongoofu, ebyo nga bigenge.
030d170093	Naye obuzimbu bwe bunaasigalanga mu kifo kimu ne butasaasaana, eyo eneebanga nkovu ya jjute, era kabona anaalangiriranga omuntu oyo nti mulongoofu.
030d18007e	“Singa wabaawo ku lususu lw’omuntu awayidde omuliro, awo awali ennyama eyidde ne wazimba, ne wafuuka watwakaavu oba weeru,
030d1900f6	kabona anaakeberangawo, obwoya bwawo bwe bunaabanga bufuuse bweru, ate nga walabika ng’awennyise okusinga olususu, ebyo nga bigenge bye bifulumye ku lususu oluyidde. Kabona anaalangiriranga omuntu oyo nti si mulongoofu; ebyo binaabanga bigenge.
030d1a00db	Naye kabona bw’anaakeberanga awo awayidde, n’asanga ng’obwoya obuliwo si bweru, era nga tewennyise kusinga lususu, naye nga tewakyalabika nnyo, kabona anaasibiranga omuntu oyo mu kalantiini okumala ennaku musanvu.
030d1b00ab	Ku lunaku olw’omusanvu kabona anaamukeberanga, kale bw’anaasanganga ng’obulwadde busaasaana ku lususu, kabona anaamulangiriranga nti si mulongoofu; ebyo nga bigenge.
030d1c010f	Naye obulwadde bwe bunaasigalanga mu kifo ekimu ne butasaasaana ku lususu, era ng’awazimbu tewakyalabika nnyo, buno bunaabanga buzimbu obuleeteddwa omuliro ogwayokyawo; kale kabona anaamulangiriranga nti mulongoofu; kubanga eyo y’enkovu ku lususu awaayokebwa omuliro.
030d1d0047	“Omusajja oba omukazi bw’anaalwalanga ebbwa ku mutwe oba ku kalevu,
030d1e0109	kabona anaakeberanga ebbwa eryo, bwe linaabanga lyennyise okusinga olususu, nga n’obwoya obulirimu bwa kyenvu ate nga bwa matalaga; kale kabona anaamulangiriranga nti si mulongoofu; eryo nga lye bbwa erisiiwa, nga bye bigenge eby’oku mutwe oba eby’oku kalevu.
030d1f00e1	Kabona bw’anaakeberanga ebbwa erisiiwa, n’asanga nga teryennyise kuyisa lususu, ate nga mu lyo nga temuliimu bwoya buddugavu, kale kabona anaasibiranga omuntu oyo alina ebbwa erisiiwa mu kalantiini amalemu ennaku musanvu.
030d2000c1	Ku lunaku olw’omusanvu kabona anaakeberanga ebbwa eryo, bw’anaasanganga ng’okusiiwa tekusaasaanye, ate nga mu bbwa temuliimu bwoya bwa kyenvu, era ng’awasiiwa tewennyise kusinga lususu,
030d21007b	omuntu oyo asaananga amwebwe okuggyako awo awalwadde wokka; ate kabona anaamusibiranga mu kalantiini ennaku endala musanvu.
030d22010e	Ku lunaku olw’omusanvu kabona anaakeberanga awo awasiiwa, okusiiwa bwe kunaabanga tekusaasaanye ku lususu, ate nga tewennyise kusinga lususu, kale, kabona anaalangiriranga omuntu oyo nga bw’ali omulongoofu; era omuntu oyo anaayozanga engoye ze n’abeera mulongoofu.
030d230044	Naye okusiiwa bwe kunaasaasaananga ku lususu ng’amaze okulongooka,
030d2400a6	kabona anaayongeranga okumukebera, bw’anaasanganga ng’okusiiwa kusaasaanye ku lususu, kabona taanoonyenga bwoya bwa kyenvu mu bbwa eryo; omuntu oyo si mulongoofu.
030d2500d9	Naye mu kulaba kwa kabona, okusiiwa bwe kunaabanga tekweyongedde, nga n’obwoya obwa kyenvu bukuze mu bbwa, olwo ng’okusiiwa kuwonye, era omuntu oyo nga mulongoofu era kabona naye anaamulangiriranga nti mulongoofu.
030d26004d	“Omusajja oba omukazi bw’anaabanga n’obutulututtu obweru ku mubiri gwe,
030d270096	kabona anaamukeberanga, bw’anaasanganga ng’obutulututtu bweruyeru, okwo kuba kubutukabutuka okuyiise ku lususu lw’omuntu oyo, ye aba mulongoofu.
030d28006c	“Omusajja bw’anaakuunyuukangako enviiri ze ku mutwe gwe zonna, anaabeeranga kyemwa, naye nga mulongoofu.
030d290091	Era omusajja bw’anaakuunyuukangako enviiri ze ez’omu maaso nga ku kyenyi, oyo anaabanga wa kiwalaata eky’omu bwenyi, kyokka nga mulongoofu.
030d2a00f5	Naye mu mutwe omutali nviiri oba mu kiwalaata eky’omu bwenyi bwe munaabangamu akafo akalwadde ebbwa nga kalungudde keeruyeru nga kalimu obumyufumyufu, ebyo nga bigenge bye bifulumye mu mutwe ogutaliimu nviiri oba mu kiwalaata eky’omu bwenyi.
030d2b0123	Kale kabona anaakeberanga omuntu oyo, bw’anaasanganga ng’akafo ako awalwadde ebbwa era awazimbye mu mutwe oguweddemu enviiri oba mu kiwalaata ekiri mu bwenyi, nga kalungudde era nga weeruyeru nga kalimu obumyufumyufu, nga walabika ng’ebigenge bwe biba nga biri ku lususu olw’omubiri,
030d2c0088	omuntu oyo anaabanga mugenge, nga si mulongoofu. Kabona anaamulangiriranga nga bw’atali mulongoofu, olw’obulwadde obwo mu mutwe gwe.
030d2d00f7	“Omuntu anaalwalanga ebigenge anaayambalanga engoye njulifu, n’enviiri z’oku mutwe gwe anaazirekanga ne zikula ne ziduumuuka, anaabikkanga ku mumwa gwe ogw’engulu n’atambula nga bw’aleekaana nti, ‘Siri mulongoofu! Siri mulongoofu!’
030d2e0093	Ebbanga lyonna omuntu ly’anaamalanga ng’alina obulwadde obwo anaabeeranga si mulongoofu. Anaasulanga yekka mu nnyumba ye ebweru w’olusiisira.
030d2f00a7	“Obulwadde bw’ebigenge bwe bunaalabikanga mu byambalo by’omusajja oba eby’omukazi, ebyambalo ebyo nga bikoleddwa mu byoya by’endiga oba mu bafuta oba maliba,
030d30009f	oba mu nfunyiro ne mu ntabiro z’ebyambalo by’ebyoya by’endiga, oba mu bafuta oba mu maliba, oba mu kyambalo ekya buli ngeri yonna ekitungiddwa mu maliba;
030d3100fb	era obulwadde obwo bwe bunaalabikanga nga bwa langi ya kiragalalagala oba myufumyufu, nga buli mu kyambalo oba mu nfunyiro oba mu ntabiro zaakyo, oba mu kyambalo kyonna ekitungiddwa mu maliba; obwo nga bulwadde bwa bigenge, era bunaalagibwanga kabona.
030d320074	Kabona anaakeberanga obulwadde obwo, anaasibiranga ekintu ekyo omuli obulwadde mu kalantiini okumala ennaku musanvu.
030d33012e	Ku lunaku olw’omusanvu kabona anaakeberanga obulwadde obwo. Bw’anaasanganga ng’obulwadde obwo bauaasanye mu kyambalo, mu nfunyiro oba mu butungiro oba mu maliba, oba mu kyonna ekitungiddwa mu maliba, ng’amanya ng’obulwadde obwo bwa bigenge ebitta n’omuntu; ekyo ekyambalo nga si kirongoofu.
030d34011a	Kabona anaayokyanga ebyambalo ebyo, obanga obulwadde buli mu nfunyiro oba mu ntabiro ez’ebyambalo ebya bafuta oba eby’ebyoya by’endiga, oba ebirala byonna ebitungiddwa mu maliba, kubanga obwo bwe bulwadde bw’ebigenge ebittira ddala. Ebyambalo ebyo binaayokebwanga mu muliro.
030d3500bb	“Kabona bw’anaabanga akebedde ekyambalo ekirimu obulwadde, n’asanga nga tebusaasaanye mu kyambalo, ne mu nfunyiro zaakyo, oba ne mu ntabiro, oba ne mu kyonna ekitungiddwa mu maliba,
030d360081	kale kabona anaalagiranga ne bayoza ekyambalo ekyo omuli obulwadde, n’ayongera okukisibira mu kalantiini ennaku endala musanvu.
030d370120	Awo kabona anaakeberanga ekyambalo ekyo ekyoze, bw’anaasanganga ng’erangi y’akafo awali obulwadde tekyuse, newaakubadde ng’obulwadde tebusaasaanye, ekyambalo ekyo nga si kirongoofu. Mukyokyanga mu muliro, awali ebigenge ne bwe wanaabanga mu kyambalo mu maaso oba mu mabega gaakyo.
030d3800d2	Naye kabona bw’anaakeberanga n’asanga nga bwe bamaze okwoza ekyambalo, akafo ako awali obulwadde tekakyalabika nnyo, akafo ako anaakayuzangamu mu kyambalo ekyo, oba mu ddiba oba mu kiruke kyonna ekyambalwa.
030d3900b0	Naye obulwadde obwo bwe bunaalabikanga nate mu kyambalo, oba mu kyambalo eky’eddiba oba ekiruke, nga busaasaanye, kale munaayokyanga mu muliro ekyambalo ekyo omuli obulwadde.
030d3a00b1	Naye mu kyambalo kyonna, oba ekyambalo eky’eddiba oba ekiruke, obulwadde bwe buggwangamu nga kimaze okwozebwa, kale kinaayozebwanga omulundi ogwokubiri, ne kiba kirongoofu.”
030d3b00f2	Eryo lye tteeka ery’obulwadde bw’ebigenge mu byambalo by’ebyoya by’endiga, oba linena, oba ebiruke obulusi, oba ebitunge mu maliba mu ngeri ezitali zimu, erinaasinziirwangako okulangirira obanga ekyambalo kirongoofu oba si kirongoofu.
030e010027	Awo Mukama Katonda n’agamba Musa nti,
030e020088	“Lino lye tteeka erinaagobererwanga ku lunaku omugenge lw’anaafuulibwanga omulongoofu mu ngeri entongole ng’aleeteddwa eri kabona.
030e03008e	Kabona anaafulumanga n’agenda ebweru w’olusiisira n’akebera omuntu oyo. Awo bw’anaasanganga ng’obulwadde bw’ebigenge bumuwonyeeko,
030e0400a5	kabona anaalagiranga okuleetera omuntu oyo agenda okufuulibwa omulongoofu, ebinyonyi bibiri ebiramu ebirongoofu, n’omuti omwerezi, n’oluwuzi olumyufu, n’ezobu.
030e050065	Kabona anaalagiranga okuttira emu ku nnyonyi ziri ebbiri waggulu w’amazzi amalungi agali mu luggyo.
030e0600b4	Anaddiranga ennyonyi ennamu, awamu n’omuti omwerezi, n’oluwuzi olumyufu, n’ezobu, byonna ebyo n’abinnyika mu musaayi gw’ennyonyi enettirwanga waggulu w’amazzi amalungi.
