0100000019	ማዢንቲ ማፃኣፔ
02210800ba	ሙሴ ዒኢካ ዓኣዻ ዎዶና ቢያ ዴራ ፔኤኮ ማኣሮ ካራ ኬስኪ ዔቂ ሙሴ ዬያ ዓፒሎና ማዢንቴ ማኣሮ ጌላንዳኣና ዒዛ ዛዛጋኔ።
02210900d7	ሙሴ ዒኢካ ጌሌስካፓ ፒዝ ጌዒ ዔቃ ሻኣራ ኬዲ ዓፒሎና ማዢንቴ ማኣሮ ካራ ዔቃኔ፤ ናንጊና ናንጋ ጎዳሢያ ሻኣሮ ባኣካ ማዒ ሙሴና ጌስታኔ።
02210a00c1	ፒዝ ጌዒ ዔቄ ሻኣራ ዓፒሎና ማዦና ጌኤዦ ማኣሮ ካራ ጴዻዛ ዴራ ዴንቃዖ ፔኤኮ ማኣሮ ካራ ጉምዓቲ ዚጊ ዚጊ ፆኦሲ ካኣሽካኔ።
02210b0159	ዓሲ ፔኤኮ ላጌና ዎላ ጌስታጉዲ ናንጊና ናንጋ ጎዳ ሙሴና ዎላ ዒማና ፔጌና ጌስታኔ፤ ዬካፓ ሙሴ ጉርዶ ባንሢ ማዓኔ። ዒዛ ማኣዲ ማዻ ዼጌሢ፥ ኔዊ ናኣዚ፥ ዒያሱ ጋዓንቴ ዓፒሎና ማዦና ጌኤዦ ማኣሮ ሃሺ ሜሌ ቤሲ ዴንዱዋሴ።
02210c0141	ሙሴ ናንጊና ናንጋ ጎዳም፦ «ሃያ ዴሮ ዬኖ ዓጬሎ ታ ዔኪ ዓኣዻንዳጉዲ ኔኤኒ ታና ዓይሤኔ፤ ጋዓንቴ ታኣና ዎላ ዖና ኔ ዳካንዳቴያ ኔ ታኣም ኬኤዚባኣሴ፤ ታና ኔ ዔራያ፥ ሃሣ ቦንቻያ ማዔሢ ኔ ታኣም ኬኤዜኔ፤
02210d00df	ዬይ ያዺ ማዔቶ ኔኤም ታ ማዻንዳሢና ኔና ታ ዎዛሲ ናንጋንዳጉዲ ኔኤኮ ማሊፆ ታኣም ፔጋሲ ኬኤዜ፤ ሃያ ዴሮ ኔ ፃጲ ማሂ ኔ ዶኦሬሢ ማሌ» ጌዔኔ።
02210e00b2	ናንጊና ናንጋ ጎዳ፦ «ታኣኒ ታ ቶኦኪና ኔኤና ዎላ ዓኣዻንዳኔ፤ ኮሹሞ ታ ኔኤም ዒንጊ ኔና ሃውሺሳንዳኔ» ጌዔኔ።
02210f0069	ሙሴ ማሃዖ፦ «ኔ ኑኡና ዎላ ኬስኩዋያ ማዔቶ ኑና ሃያ ቤዛፓ ኬሲፖ፤
022110013c	ኑኡና ዎላ ኔ ኬስኩዋያ ማዔቶ ኔኤኮ ዴሮናኣ ማዖም ታ ዛሎና ኔ ዎዛዻያ ማዔሢ ዓሲ ቢያ ዎይቲ ዔራኒ ዳንዳዓንዳይ? ሳዖይዳ ዓኣ ሜሌ ዴሮይዳፓ ቢያ ኑና ዱማ ማሃሢ ኔኤኮ ኑኡና ዎላ ማዒፆቱዋዓዳ?» ጌዔኔ።
02211100c0	ናንጊና ናንጋ ጎዳ ሙሴም፦ «ኔና ታ ኮሺ ጎናሲ ዔራያ ማዔሢሮና ኔ ዛሎና ታ ዎዛዻሢሮ ኔ ጋዓ ባኮ ቢያ ታ ማዻንዳኔ» ጌዔኔ።
022112005a	ሙሴ ዒማና፦ «ሂዴቶ ኔኤኮ ቦንቾ ታና ፔጋሲ ዻዌ» ጌዔኔ።
022113016e	ናንጊና ናንጋ ጎዳ ዒዛም፦ «ታኣኮ ኮሹሞ ቢያ ታ ኔኤም ቤኤዛንዳኔ፤ ታኣኮ ጌኤዦ ሱንፆዋ ታ ኔኤም ኬኤዛንዳኔ፤ ታኣኒ ናንጊና ናንጋ ጎዳኬ፤ ዻቤሢም ታ ዓቶም ጋዓንዳዞንሢም ዓቶም ጋዓንዳኔ፤ ሚጪንታንዳዞንሢማኣ ታ ሚጪንታንዳኔ።
0221140086	ዓሲ ታና ዛጊ ሃይቁዋዖ ዓቲ ናንጉዋኣሢሮ ታኣኮ ዓኣፖ ካሮ ኔኤኒ ዛጋኒ ዳንዳዑዋሴ።
022115005a	ጋዓንቴ ሃይካ ታኣኮ ዑኬ ላሎ ዑፃ ኔ ዔቃንዳ ቤሲ ዓኣኔ።
022116011f	ታኣኮ ቦንቾ ጴዺፆኮ ማላታ ማዔ ዓኣፓ ዱካ ፖዓ ፖዒ ዓኣዻኣና ላሎኮ ፃሄ ዛኣዚንፆ ባኣኮ ታ ኔና ጌልዛንዳኔ፤ ታኣኒ ዖኦኪ ዓኣዻንዳያ ሄላንዳኣና ታ ኩጮና ታ ኔና ካንቂ ዓኣቻንዳኔ፤
022117008b	ዬካፓ ኩጮ ታ ሺኢሻንዳኔ፤ ኔኤኒ ዒማና ታኣኮ ዓኣፖ ካሮቱዋንቴ ዙሎ ዛጋንዳኔ» ጌዔኔ።
02220100cc	ናንጊና ናንጋ ጎዳ ሙሴም፦ «ቤርታኣሮንሢ ማላያ ላምዖ ሹቺ ዓርሲ ኮሼ፤ ታኣኒያ ኔኤኒ ቤርታ ሜንሤዞንሢዳ ዓኣ ባኮ ፃኣፓንዳኔ።
0222020060	ዚሮ ጉቴ ታኣና ዎላ ካኣማኒ ጊኢጊንቲ ሲና ዹኮ ቶኦኮ ኬስኬ።
02220300d6	ኔኤና ዎላ ዓይጎ ዓሲያ ሙኮፖ፤ ዹኮኮ ዎኖ ዛሎና ማዔቶዋ ዓይጎ ዓሲያ ጴዾፖ፤ ማራይ ማዔቶ ባይ ዓይጎ ቆልሞዋ ዹኮ ዴማ ሄንቆፓ» ጌዔኔ።
02220400ee	ዬያሮ ሙሴ ላምዖ ሹቺ ቤርታኣሮንሢጉዴያ ዓርሳዖ፥ ዚሮ ጉቴሎ ጉቴ ዓሚና ዔቂ ናንጊና ናንጋ ጎዳ ዒዛ ዓይሤ ጎይፆ ዓርሲንቴ ሹጮ ዔኪ ሲና ዹኮ ኬስኬኔ።
02220500c7	ዒማና ናንጊና ናንጋ ጎዳ ሻኣሬና ኬዲ ዒዛና ዎላ ዒኢካ ዔቂ፦ «ታኣኒ ናንጊና ናንጋ ጎዳኬ» ጌዒ ፔኤኮ ዱማዼ ሱንፆዋ ዔርዜኔ።
0222060153	ናንጊና ናንጋ ጎዳ ዒዛኮ ቤርቶና ዓኣዻዖ ሂዚ ጌዒ ኬኤዜኔ፦ «ታኣኒ፥ ናንጊና ናንጋ ጎዳ ማዔ ፆኦሲኬ፤ ታኣኒ ማኣራያ ሃሣ ዓቶም ጋዓያኬ፤ ታኣኒ ዻጋም ኔጋያ፥ ናንጊና ናንጋ ናሹሞና ጉሙርቂንቲፃኣ ታኣኮ ሚርጌኬ፤
022207017e	ታኣኮ ናንጊና ናንጋ ናሹሞ ባይዙዋዖ ዴንዲ ሺያ ሾይንቲ ሄላንዳኣና ታ ካፓያኬ፤ ጎሜና ዻቢንቲና ቢያ ታ ዓቶም ጋዓያኬ፤ ጋዓንቴ ጊንሣ ሃሣ ዴንዲ ሃይሣሶና ዖይዳሶ ሾይንቶ ሄላንዳኣና ዓዶንሢ ዛሎ ጎሞሮ ናኣቶይዳ ታ ሜቶ ዓጉዋ ሃሻያቱዋሴ።»
022208004b	ሙሴ ቤዞማና ሳዖ ባንሢ ጉምዓቲ ዚጊ ካኣሽካዖ፥
022209014f	ሂዚ ጌዔኔ፦ «ናንጊና ናንጋ ጎዳሢዮ! ጎኔና ኔ ታኣና ዎዛዻያ ማዔቶ ኔ ኑኡና ዎላ ኬስካንዳጉዲ ታ ኔና ሺኢቃኔ፤ ሃይ ዴራ ዋይዚ ዒፃያኬ፤ ጋዓንቴ ኑኡኮ ጎሞና ፑርቶ ማዾና ቢያ ዓቶም ጌዔ፤ ሃሣ ኔ ዴሬ ማሂያ ዔኬ።»
02220a020a	ናንጊና ናንጋ ጎዳ ሙሴም፦ «ሃይሾ ዓካሪ ታኣኒ ዒስራዔኤሌ ዴሮና ጫኣቁሞ ጫኣቃንዳኔ፤ ሃያኮ ቤርታ ሳዖይዳ ዓይጎ ዴሬ ኮራ ማዺንቲ ዔርቲባኣ ፑኡፒ ባኣዚ ታ ዔያቶኮ ቤርታ ማዻንዳኔ፤ ታ ኔጋቴ ጌዒ ዒጊቻያ ማዔ ዼኤፒ ባኣዚ ማዻንዳሢሮ ታኣኒ፥ ናንጊና ናንጋ ጎዳ ዬንሢ ማዻንዳ ዼኤፖ ባኮንሢ ዔያቶ ባኣካ ናንጋ ዴራ ቢያ ዛጋንዳኔ።
02220b00ed	ሃኖ ታ ዒንሢም ዒንጋ ዎጎ ካፑዋቴ፤ ታኣኒያ ዓሞራ ዓሶ፥ ካኣናኔ ዓሶ፥ ሂኢታ ዓሶ፥ ፔርዜ ዓሶ፥ ሂዋዌና ዒያቡሳ ዓሶ ዒንሢኮ ቤርታፓ ኬሲ ዳካንዳኔ፤
02220c009d	ዔያታ ዒንሢ ባይዛንዳ ፒሮ ዒንሢም ማዓንዳሢሮ ዒንሢ ዴንዳ ቤዛ ዓኣ ዴሮና ዎላ ጫኣቁሞ ጫኣቂፖቴ፤
02220d00e4	ዔያቶኮ ፆኦዞም ዒንጎ ባኮ ዒንጎ ቤዞ ዶይሲ ባይዙዋቴ፤ ካኣዦ ባዖዋ ሻሁዋቴ፤ ዓሼራ ጌይንታ ዔያቶኮ ካኣሽኮ ፆኦዜሎ ማላቶዋ ሜንሢ ኬኤሩዋቴ።
02220e00c5	«ታኣኒ፥ ናንጊና ናንጋ ጎዳ ታጊዳፓ ሜሌ ፆኦሲ ካኣሽኪንታንዳጉዲ ኮዑዋ ፆኦሲታሢሮ ታ ጊዳፓ ዓታዛ ሜሌ ፆኦዞ ካኣሽኪፖቴ፤
02220f019c	ዒዞ ዓጮይዳ ናንጋ ዓሶና ዎላ ጫኣቁሞ ጫኣቂፖቴ፤ ዓይጎሮ ጌዔቶ ፓሡዋ ዔያቶኮ ፆኦዞም ዚጊ ዔያታ ካኣሽካኣና፥ ዒንጎ ባኣዚ ዔያታ ዒንጋኣና ዒንሢ ዔያቶና ዎላ ፔቴ ማዓንዳጉዲ ዒንሢ ዔያታ ዖኦጫንዳኔ፤ ዒንሢያ ዔያታ ፔኤኮ ፆኦዞም ዒንጋ ሙዖ ሙዓኒ ጋዓንዳኔ፤
0222100111	ዒንሢኮ ዓቲንቆ ናኣቶም ዔያቶኮ ዉዱሮ ናኣቶ ዒንሢ ዖኦጬም ናኣታ ዔያቶ ዔካዛ፥ ዬንሢ ዉዱሮ ናኣቶንሢ ፔኤኮ ካኣሽኮ ፆኦዞ ካኣሽኪፆና ዒንሢኮ ዓቲንቆ ናኣቶ ዻቢሻንዳኔ።
022211006c	«ዓንጊ ዓልቂሲ ካኣሽኮ ፆኦሲ ሜሌ ኮሺፖቴ፥ ካኣሽኪያ ካኣሽኪፖቴ፤
022212010b	«ላኣዶ ሙዒ ቦንቾ ኬሎ ካፒ ሌዓ ሌዓ ቦንቹዋቴ፤ ዎይቤ ዓጊኖኮ ዴንዲ ላንካይ ኬሊ ሄላንዳኣና ላኣዳ ሙዑዋቴ፤ ዓይጎሮ ጌዔቶ ጊብፄይዳፓ ዒንሢ ኬስኬሢ ዬኖ ዓጊኖይዳኬ።
02221300bd	«ቶይዶ ማዒ ሾይንታ ዓቲንቆ ናኣታ ቢያ ታኣሮኬ፤ ቤርታ ሾይንቴ ዓይጎ ቆልሞኮዋ ቢያ ጌማይ ማዔቶዋ ዓዴ ማራይ ታኣሮኬ፤
02221401a6	ጋዓንቴ ሃሮኮ ቤርቶ ናኣቶ ዛሎ ማራናይ ዒንጋኒ ዒንሢ ዳንዳዓኔ፤ ዬያ ዛሎ ዒንሢ ዒንጋኒ ዳንዳዒባኣቴ ጋዓንቴ ሃሮ ናዖኮ ባቃኖ ሜንሡዋቴ፤ ዓሲኮዋ ቶይዲ ናይ ዓቲንቄ ዛላ ማራናይ ዒንጋኒ ዒንሢ ዳንዳዓኔ። «ዒንጎ ባኣዚ ዓርቁዋዖ ዖናታቴያ ታ ቤርቶ ኩቺ ጉሪ ሙኮፓ።
02221500d2	ማዾ ዒንሢኮ ቢያ ዒንሢ ማዻኒ ላሆ ኬሊ ዒንሢም ዓኣኔ፤ ዬያሮ ጎሽካኣናታቶዋ ሃኣኮ ቡኩሶ ዎዶኮ ላንካሳ ኬሎና ፔቴታዖ ማዾ ማዺፖቴ።
0222160122	«ቤርታ ካፄ ሃኣኮ ዒንሢ ቡኩሳ ዎዶና ሃኣኮ ካፂፆ ቦንቾ ኬሊ ቦንቹዋቴ፤ ሌዖኮ ጋፒንፃ ዒንሢ ቱኬ ሚፆ ዓኣፖ ቡኩሳ ዎዶናኣ ዉልሾ ዴማ ዒንሢ ናንጌ ዎዶ ማሊ ቦንቺንታ ቦንቾ ቦንቹዋቴ።
02221700a5	«ሌዔይዳ ሃይሢ ማይንቲ ዓቲንቃ ቢያ ዒስራዔኤሌ ፆኦዛሢ ማዔ ናንጊና ናንጋ ጎዳ ዚጊ ካኣሽካኒ ሙኮንጎ።
022218010f	ሜሌ ዴሮ ቢያ ዳውሲ ባይዚ ዒንሢኮ ዓጮ ታኣኒ ዳልጊሻንዳኔ፤ ዬያሮ ዬንሢ ሃይሦ ቦንቾ ዎዶንሢዳ ታ ኮይላ ዒንሢ ሙካኣና ዒንሢኮ ዓጮ ዖሊ ዔካኒ ዖኦኒያ ዒንሢ ኮራ ሙካዓኬ።
022219010a	«ታኣም ዒንሢ ቆልሞ ሹኪ ዒንጋ ዎዶና ሙኑቃ ፃኣዛ ጌሌ ካሣና ዎላ ታኣም ዒንጊፖቴ፤ ዑሣ ዓኣዺፆ ቦንቾ ኬሎም ሹኪንቴ ቆልሞ ዓሽካፓ ዚሮ ጉቴ ሄላንዳኣና ዓይሲ ጌሢፖቴ።
02221a00dc	«ሌዓ ሌዓ ዒንሢኮ ሃኣኮኮ ቤርቶ ናንጊና ናንጋ ጎዳ ማዔ ፆኦዛሢ ማኣሪ ዔኪ ሙኩዋቴ። «ማራናይ ማዔቶ ዋናናይ ዒንዶ ዲኢቆና ዎላ ካሢፖቴ።»
02221b00e9	ናንጊና ናንጋ ጎዳ ሙሴም፦ «ኔኤና ማዔቶዋ ዒስራዔኤሌ ዴሮና ታ ጫኣቃንዳ ጫኣቁማ ሃኖ ቃኣሎ ጎይፆና ማዔሢሮ ሃያ ቃኣሎ ማፃኣፔይዳ ፃኣፔ» ጌዔኔ።
02221c0129	ሙሴ ዓይጎዋ ሙዒ ዑሽኩዋዖ ናንጊና ናንጋ ጎዳና ዎላ ዖይዲታሚ ኬሊና ዖይዲታሚ ዋንቴና ዴዔኔ፤ ናንጊና ናንጋ ጎዳ ዒማና ዓርሲንቴ ሹጮንሢዳ ጫኣቁሞ ዔርዛያ ማዔ ታጶ ዓይሢፆንሢ ፃኣፔኔ።
02221d00f0	ሙሴ ናንጊና ናንጋ ጎዳና ዎላ ጌስቲ ዴዔሢሮ ታጶ ዓይሢፆንሢ ዔኪ ሲና ዹኮይዳፓ ኬዳኣና ዓኣፖ ካራ ዒዛኮ ፖፖዓኔ፤ ዒዛም ጋዓንቴ ዬይ ቢያ ዔርቱዋያኬ።
02221e009a	ዓኣሮኔንታ ዴሮ ቢያሢንታ ሙሴ ዛጋኣና ዓኣፖ ካራ ዒዛኮ ፖዓሢ ዴንቃዖ ዒዛ ባንሢ ዑካኒ ዒጊጬኔ።
02221f0093	ሙሴ ጋዓንቴ ዔያቶ ዔኤላዛ፥ ዓኣሮኔና ዴሮኮ ሱኡጎና ዒዛ ባንሢ ሙኬም ዒዚ ዔያቶና ጌስቴኔ።
02222000c6	ዬካፓ ዒስራዔኤሌ ዴራ ጉቤ ዒዛ ኮራ ቡኪንታዛ፥ ሙሴያ ሲና ዹኮይዳ ናንጊና ናንጋ ጎዳ ዒዛም ዒንጌ ዎጎ ቢያ ዔያቶም ኬኤዜኔ።
022221006c	ሙሴ ዔያቶና ዎላ ጌስቲ ጋፔስካፓ ዓኣፖ ካሮ ፔኤኮ ሻኣሾና ካንቄኔ፤
0222220143	ሙሴ ናንጊና ናንጋ ጎዳና ዎላ ጌስታኒ ዓፒሎና ማዢንቴ፥ ፆኦሲ ዴሮና ካኣማ ማኣሮ ጌላ ዎዶና ሻኣሻሢ ዓኣፖ ካራፓ ዔካኔ፤ ዬካፓ ጊንሣ ኬስካኣና ዒዛም ዓይሢ ኬኤዞና ባኮ ቢያ ዒስራዔኤሌ ዴሮም ዒ ኬኤዛኔ።
02222300ea	ዔያታ ዓኣፖ ካራ ዒዛኮ ፖዓንቴ ዛጋኔ፤ ዬያሮ ናንጊና ናንጋ ጎዳና ዎላ ጌስታኒ ዒ ዓኣዻንዳ ዎዶ ሄላንዳኣና ዓኣፖ ካሮ ፔኤኮ ሻኣሻሢና ዒ ካንቃኔ።
02230100a8	ሙሴ ዒስራዔኤሌ ዴሮ ፔቴይዳ ዔኤላዖ፦ «ዒንሢ ኩንሣንዳጉዲ ናንጊና ናንጋ ጎዳ ዒንሢም ዒንጌ ዎጋ ያዺኬ፦
022302013e	ዒንሢ ዒንሢኮ ማዾ ማዻንዳጉዲ ላሆ ኬሊ ዒንሢም ዓኣኔ፤ ላንካሳ ኬላ ጋዓንቴ ዒንሢ ሃውሻንዳጉዲ ታና፥ ናንጊና ናንጋ ጎዳም ዱማዼ ኬሊታሢሮ ዬኖ ኬሎ ማዾ ማዻ ዓይጎ ዓሲያ ማዖም ዎዺንታንዳያ ኮይሳኔ፤
0223030066	ዬያሮ ሃውሾ ኬሎና ዒንሢኮ ማኣሮይዳ ታሚታዖ ዔኤሢፖቴ» ጌዔኔ።
0223040075	ሙሴ ዒስራዔኤሌ ዴሮም ቢያ፦ «ናንጊና ናንጋ ጎዳ ዓይሤ ባካ ያዺ ጋዓያኬ፦
02230500cb	ናንጊና ናንጋ ጎዳም ዒንጎ ባኣዚ ዒንጉዋቴ፤ ዒንጎ ባኣዚ ዒንጋኒ ኮዔሢ ቢያ ዒና ናሽኬሢጉዲ ዎርቄ፥ ቢራ ዓንጊ፥ ሞኦኖ ዓንጋ፥
02230600ad	ሚዛጲ ሱኡፖ ዓፒላ፥ ጮልዔ፤ ሃሣ ዲንኪንታ ዞቄ ቃላሜና ዑሺንቴ ማራይ ጋፓኔ፥ ዋኣሪ ጋፓኔና ኮሺንቴ ዓፒላ፥
0223070069	ዞቄ ቃላሜ ዑሺንቴ ዓዴ ማራይ ጎሮ፥ ሺርኪንቴ ጉላምቤ፥ ሻሪ ሚሢ፥
022308006d	ፖዖ ፖዒሶ ላምባሢ፥ ቲሽኮ ዛይቶ ቲዦና ዑንጆ ሳውቂሳ ዱማ ዱማ ባኮ።
02230900af	ቄኤሶኮ ሱኡጋ ማኣዓ ዱማዼ ዔፑዶ ማኣዓሢንታ ዳዶ ቡራሾይዳ ጌሢንታ ማሬጌዶንታ ሜሌ ፓልሞ ባኮ ዔኪ ሙኮንጎ።»
02230a009d	«ዒንሢ ባኣኮይዳ ዓኣ ኩቺ ሃኣሚ ዓሲ ቢያ ናንጊና ናንጋ ጎዳ ዓይሤ፥ ዓይጎ ባኣዚያ ማዻኒ ሙኮንጎ፤
02230b00e6	ዬይ ማዢንታንዳ ባካ፦ ዓፒሎና ማዢንቴ ማኣሮኮ ጋሮና ዙሎናይዳ ቃሲ ሱፆ ዓፒሎ፥ ዓርቆ ባኮንታ ላሾ ሚፆንታ፥ ጋጋርዞንታ ቱርቱሮንታ፥ ቶኮንታ፥
02230c008f	ጫኣቁሞ ታኣቦቶንታ፥ ዛጶ ሚፆንታ፥ ጎሞ ዓቶም ጌይፆ ዔርዛ ታኣቦቶ ካሮ ካንቆ ጉኡፖንታ፥
02230d0087	ዼጌ ሎኦዦንታ ዛጶ ሚፆንታ ዱማ ዱማ ሜሆ፤ ዬያጉዲ ሃሣ ፆኦሲም ዒንጊንታ ዱማዼ ካሦ፥
02230e0067	ፖዖ ጌሦ ሻርኖና ዬያም ኮይሳ ዱማ ዱማ ሜሆ፥ ፖዖ ፖዒሶ ላምባሢ፥
02230f009b	ዑንጆ ጩቢሶ ቤዞና ዛጳሢ ሚፆ፥ ቲዦ ዛይቶ፥ ሳውቃ ዑንጆ፥ ዓፒላፓ ማዦና ማኣሮኮ ካሮ ዎዾ ዓፒሎ፥
02231000ac	ሚቺ ዒንጊንታ ባኮ ሚቾ ቤዞ፥ ታሞ ካኣሾ ሞኦኖ ዓንጎ፥ ዛጳሢ ሚፆንታ ዬያኮ ሜሆ፥ ማስቶ ሳኣኖንታ ጌሦ ባኮ፥
0223110076	ቆልዖ ጋሮ ጎኦቦ ዓፒሎ፥ ቱርቱሮና ቶኮና፥ ቆልዖ ጋሮኮ ካሮ ጎኦቦ ዓፒሎ፥
0223120044	ፃውኖ፥ ዓፒሎና ማዢንቴ ማኣሮኮ ቱኮ ሱዞ፥
02231300f6	ቄኤሳ ዱማዼ ቤዞይዳ ማዻ ዎዶና ማኣዓ ሚዛጲሶና ማኣዓሢ፤ ዬይያኣ፦ ቄኤሳሢ ዓኣሮኔና ዒዛኮ ናኣቶናም ኮሺንታ ፆኦሲም ዱማዼ ዓፒሎዋ ቢያ ኮሾንጎ» ጌዔኔ።
0223140058	ዬካፓ ዒስራዔኤሌ ዴራ ቢያ ሙሴ ቤርታፓ ኬስኪ ዴንዴኔ፤
022315016a	ዓፒሎና ማዢንቴ፥ ናንጊና ናንጋ ጎዳ ዴሮና ካኣማ ማኣሮ ማዣኒ ፔቴ ፔቴሢ ዒንጋኒ ዒና ናሽኬሢጉዴያ ናንጊና ናንጋ ጎዳም ዒንጎ ባኣዚ ዔኪ ሙኬኔ፤ ዬያይዲ ፆኦሲ ካኣሽኪፆ ማዾም ማዓ፥ ቄኤሶ ማኣዓሢም ኮይሳ ባኣዚ ቢያ ዔኪ ሙኬኔ።
022316012a	ዒንጎ ባኣዚ ዒንጋኒ ኮዔ ላኣላ፥ ዓቲንቃ፥ ፔቴ ፔቴሢ፦ ዳዶ ፓልማሢ፥ ዋዮ ዎርቃ፥ ኩጮ ዢኢራሢ፥ ሆላ ማኣዖ ቂንቶንታ ዎርቆ ፓልማሢንታ ዔኪ ሙኪ ናንጊና ናንጋ ጎዳሮ ማዓንዳጉዲ ዒንጌኔ።
0223170114	ሚዛጶ ሱኡፖ ዓፒላ፥ ጮልዔ፤ ሃሣ ዲንኪና ዞቄ ዓፒላ፥ ዋኣሪ ጋፓኔና ኮሺንቴ ዓፒላ፥ ዞቄ ቃላሜና ዑሺንቴ ዓዴ ማራይ ጎሮ፤ ዬያጉዲ ሺርኪንቴ ጉላምቤ ዓኣሢያ ቢያ ዔኪ ሙኬኔ።
02231800dd	ቢራታቴያ ሞኦና ዓንጊ ዒንጋኒ ዳንዳዓሢ ቢያ ዒንጎ ባኮ ናንጊና ናንጋ ጎዳም ዔኪ ሙኬኔ፤ ዓይጎ ባኣዚማኣ ማዓ ሻሪ ሚሢ ዓኣሢያ ዔኪ ሙኬኔ።
02231900a4	ሱኪ ዔራ ላኣላ ፔ ኩጮና ዔያታ ማዼ ባኮ ቃራ ሱኡፖ ማኣዖንታ ጮልዔ፤ ሃሣ ዲንኪ ዞቄ ዓፒላኣ ዔኪ ሙኬኔ።
02231a006c	ዬያጉዲ ሃሣ ዒንጋኒ ኮዔ ላኣላ ዋኣሪ ጋፓኔና ሱኪንቴ ፓቲሌ ኮሼኔ፤
02231b0087	ዔያቶኮ ሱኡጋ ጌኤዦ ዔፑዶ ዓፒሎና ዳዶ ቡራሻ ጌሢንታ ሜሬጊዶና ሜሌ ዱማ ዱማ ፓልሞ፥
02231c0090	ፖዖና ቲዦናም፤ ዬያጉዲ ዑንጆ ሳውቂሳያ ማዔ ዱማ ዱማ ሳውቂሳ ባኮንታ ዛይቴያ ዔኪ ሙኬኔ።
02231d00fb	ዓቲንቆንታ ላኣሎንታ ማዔ ዒስራዔኤሌ ዴራ ቢያ ናንጊና ናንጋ ጎዳ ሙሴ ዓይሤ ማዾም ኮይሳ ባኮ ዔያቶኮ ዒና ናሽኬ ጎይፆ ናንጊና ናንጋ ጎዳም ዔኪ ሙኪ ዒንጌኔ።
02231e00cc	ሙሴ ዒስራዔኤሌ ዓሶም ሂዚ ጌዔኔ፦ «ናንጊና ናንጋ ጎዳ ዪሁዳ ዜርፆይዳፓ ሁኡሬኮ ናኣዚ ናዖ፥ ዑኡሬ ናኣዚ ባስሊዔኤሌ ዶኦሬኔ፤
02231f00f8	ፆኦሲ ዒዛ ፔኤኮ ዓያኖ ዎልቆና ኩሜያ ማሂ ዓይጎ ባኣዚያ ማዖም ሃኣሚ ማዒ ማዺንታ ማዾ ማዻኒ ዳንዳዓንዳጉዲ ሃኣማቶንታ ዔራቶንታ ጶቂሥሢያ ዒዛም ዒንጌኔ።
02232000b0	ዔራቶና ማዾንዶ ማዾኮ ጎይፆ ጊኢጊሺሢንታ ዬያ ማሊንቴ ባኮ ዎርቄና ቢራ ዓንጊና ሞኦኖ ዓንጎናኣ ጳርቂ ኮሻኒ፥
0223210096	ሹቺንታ ሚሢንታ ዓርሲ ኮሻኒ፤ ዬያጉዴያ ሜሌ ዔራቶና ማዾ ባኮ ማዻኒ ዔራቶ ዒዛም ዒንጊንቴኔ።
02232200d2	ዒዛንታ ዳኣኔ ዜርፆይዳፓ ማዔ ዓይሳማኬ ናኣዚ ዔኤሊያቤንታም ዔያቶኮ ኩጮ ሃኣማቶ ሜሌ ዓሶ ዔያታ ዔርዛንዳጉዲ ዔራቶ ዒንጊንቴኔ።
02232301fd	ዓንጊ ዓልቂሲሢ፥ ማዾንዶ ማዾኮ ጎይሢ ጊኢጊሺሢ፥ ቃራ ሱኡፔ ዓፒላ፥ ጮልዔ ዓፒላ፥ ዲንኪንታ ዞቄ ቃላሜና ዑሺንቴ ሚዛጲ ዓፒላ፤ ዬያጉዲ ዓፒሎ ዹዓ ሜሌ ዶርዛ ኮሼ ባኮ ቢያ ሚዛጲሳኒ ዳንዳዓ ሃኣማቶ ዔያቶም ዒንጊንቴኔ፤ ዔያታ ዓይጎዋ ማዖም ዔራቶና ማዺንታ ማዾና ሃኣማቶና ማዺንታ ባኮኮ ቢያ ጎይሢ ጊኢጊሻያኬ» ጌዔኔ።
0224010168	ሙሴ፦ «ናንጊና ናንጋ ጎዳ ዔራቶና ጶቂሥሢና ዒንጌዞንሢ፥ ዓፒሎና ማዢንቴ ማኣሮ ማዣኒ ኮይሳ ባኮ ቢያ ጊኢጊሻኒ ዔራቶ ዓኣዞንሢ፥ ባስሊዔኤሌና ዔኤሊያቤና ናንጊና ናንጋ ጎዳ ዔያቶ ዓይሤ ጎይፆ ቢያ ባኮ ዔያታ ማዾንጎ» ጌዔኔ።
022402010d	ሙሴ ባስሊዔኤሌና ዔኤሊያቤና፤ ዬያጉዲ ናንጊና ናንጋ ጎዳ ዱማ ዔራቶ ዒንጌ ዓሶና ዔያቶ ማኣዳኒ ናሽኬ ሜሌ ዔሮ ዓሶ ቢያ ዔኤሊ ማዾ ዔያታ ዓርቃንዳጉዲ ዔያቶም ኬኤዜኔ።
0224030113	ዒስራዔኤሌ ዓሳ ዓፒሎና ማዢንታ ጌኤዦ ማኣሮ ማዦም ጌዒ ዔኪ ሙኬ ባኮ ሙሴ ኮራፓ ዔያታ ዔኬኔ፤ ዒስራዔኤሌ ዴራ ጋዓንቴ ጉቶ ጉቶ ዔያቶኮ ዒንጎ ባኮ ሙሴም ዔኪ ሙኮ ሃሺባኣሴ።
0224040072	ዬካፓ ማዾ ጊኢጊሺ ማዻ ዔሮ ዓሳ ቢያ ፔኤኮ ማዾ ሃሺ፥ ሙሴ ኮይላ ሙኬኔ፤
