1300000005	Psalm
2817240055	Wahrlich, ich sage euch: Die Strafe für das alles wird kommen über dies Geschlecht!
28172500d7	Jerusalem, Jerusalem, du tötest die Propheten und steinigst Gottes Boten! Wie oft habe ich deine Kinder um mich sammeln wollen, wie eine Henne ihre Küchlein unter ihre Flügel sammelt! Doch ihr habt nicht gewollt!
281726002a	Darum soll euch euer Haus verödet liegen!
2817270081	Denn ich sage euch: Ihr sollt mich ferner nicht mehr sehen, bis ihr einst ruft: 'Gesegnet sei, der da kommt im Namen des Herrn!'"
28180100a3	Darauf verließ Jesus den Tempelplatz. Als er so mit seinen Jüngern dahinging, traten diese zu ihm und machten ihn auf den prächtigen Bau des Tempels aufmerksam.
2818020099	Er aber sprach zu ihnen: "Seht ihr nicht dies alles? Wahrlich, ich sage euch: Kein Stein wird hier auf dem anderen bleiben; alles soll zerstört werden."
28180300ef	Er ging dann auf den Ölberg und setzte sich dort nieder. Da traten die Jünger, als sie allein waren, zu ihm und sprachen: "Sag uns doch: Wann wird dies geschehen, und was ist das Zeichen deiner Wiederkunft und des Endes dieser Weltzeit?"
2818040040	Jesus antwortete ihnen: "Habt acht, daß euch niemand verführe!
2818050077	Denn mancher wird kommen unter meinem Namen und behaupten: 'Ich bin der Messias!' Diese Leute werden viele irreführen.
281806009c	Ihr werdet auch hören von Kriegen und Kriegsgerüchten. Laßt euch dadurch nicht schrecken! Denn das alles muß so kommen. doch es ist noch nicht das Ende.
2818070083	Denn ein Volk wird sich erheben gegen das andere und ein Reich gegen das andere; hier und da werden Hungersnöte und Erdbeben sein.
281808002e	Dies alles ist aber erst der Anfang der Nöte.
2818090070	Zu der Zeit wird man euch verfolgen und töten; ja alle Völker werden euch hassen, weil ihr meine Jünger seid.
28180a0050	Dann werden viele vom Glauben abfallen, sie werden einander verraten und hassen.
28180b004d	Auch werden falsche Propheten in großer Zahl auftreten und viele verführen.
28180c0055	Und weil die Gesetzlosigkeit überhandnimmt, wird die Liebe bei den meisten erkalten.
28180d0039	Wer aber bis ans Ende ausharrt, der soll errettet werden.
28180e00b5	Die Frohe Botschaft vom Königreich, die schon jetzt erschallt, soll in der ganzen Welt verkündigt werden, damit alle Völker ein Zeugnis empfangen. Dann erst wird das Ende kommen.
28180f0093	Seht ihr nun den Greuel der Verwüstung an heiliger Stätte stehen, wovon Daniel, der Prophet, geredet hat — wer das liest, beachte es wohl! —,
2818100036	dann sollen, die in Judäa sind, in die Berge fliehen.
2818110055	Wer auf dem Dach ist, gehe nicht erst ins Haus hinunter, um noch seine Habe zu holen;
2818120067	und wer auf dem Feld ist, der kehre nicht in die Wohnung zurück, um sich noch sein Oberkleid zu holen.
2818130051	Doch weh den Frauen, die Kinder erwarten, und stillenden Müttern in jenen Tagen!
281814004b	Betet aber, daß eure Flucht nicht in den Winter oder auf den Sabbat falle!
281815008d	Denn es wird dann eine große Trübsal sein, wie noch keine gewesen ist von Anfang der Welt bis heute, und wie auch keine wieder kommen wird.
2818160085	Und wären diese Tage nicht abgekürzt, so würde kein Mensch errettet. Doch um der Auserwählten willen werden jene Tage abgekürzt.
2818170055	Wenn euch dann jemand sagt: 'Jetzt ist der Messias hier oder da', so glaubt es nicht!
2818180097	Denn es werden falsche Messiasse und falsche Propheten auftreten und große Zeichen und Wunder tun, um womöglich auch die Auserwählten zu verführen.
281819000f	Ich warne euch!
28181a0085	Sagt man euch also: 'Er ist jetzt in der Wüste', so geht nicht hinaus, oder: 'er ist in diesem oder jenem Haus', so glaubt es nicht!
28181b0078	Denn wie der Blitz im Osten aufzuckt, und bis zum Westen leuchtet, so wird auch die Wiederkunft des Menschensohnes sein.
28181c0036	Denn wo der Leichnam liegt, da sammeln sich die Geier.
28181d00b3	Gleich aber nach jener Trübsalszeit wird sich die Sonne verfinstern und der Mond kein Licht mehr geben, die Sterne werden vom Himmel fallen, und die Himmelskräfte werden wanken.
28181e00e0	Dann erscheint am Himmel das Zeichen des Menschensohnes, und bei seinem Anblick werden wehklagen alle Völker der Erde; denn sie werden den Menschensohn kommen sehen auf des Himmels Wolken mit großer Macht und Herrlichkeit.
28181f00b2	Und er wird seine Boten senden; die sollen die Posaune blasen, daß es weithin schallt: so werden sie seine Auserwählten zu ihm sammeln von allen Himmelsgegenden aus aller Welt.
2818200081	Vom Feigenbaum entnehmt eine Lehre: Wenn seine Zweige saftig werden und Blätter treiben, so wißt ihr, daß der Sommer nahe ist.
2818210058	So sollt ihr auch, wenn ihr dies alles seht, gewiß sein, daß Er nahe vor der Tür ist.
2818220061	Wahrlich, ich sage euch: Diese Weltzeit ist nicht eher zu Ende, als bis dies alles geschehen ist.
281823004d	Himmel und Erde werden vergehen, meine Worte aber werden nimmermehr vergehen.
281824006b	Den Tag und die Stunde aber kennt niemand, auch die Engel des Himmels nicht, sondern nur mein Vater allein.
2818250061	Wie es aber zuging in Noahs Tagen, so wird's auch zugehen bei der Wiederkunft des Menschensohnes.
28182600a1	In den Tagen vor der Sintflut aßen und tranken die Menschen, sie nahmen zur Ehe und gaben zur Ehe. So trieben sie's bis zu dem Tage, als Noah in die Arche ging;
2818270094	und sie ahnten die Gefahr nicht, bis die Flut hereinbrach und sie alle hinwegraffte. Ganz ebenso wird's bei der Wiederkunft des Menschensohnes sein.
281828006a	Da werden zwei Männer auf demselben Acker arbeiten: der eine wird mitgenommen, der andere bleibt zurück.
2818290064	Zwei Frauen werden an derselben Mühle mahlen: die eine wird mitgenommen, die andere bleibt zurück.
28182a0041	So wacht nun! Ihr wißt ja nicht, an welchem Tag euer Herr kommt.
28182b008f	Das seht ihr ein: wenn ein Hausherr wüßte, zu welcher Nachtstunde der Dieb käme, so bliebe er wach und ließe nicht in sein Haus einbrechen.
28182c0073	Darum haltet auch ihr euch immerfort bereit; denn der Menschensohn kommt zu einer Stunde, da ihr es nicht vermutet.
28182d007d	Wäre doch jeder Knecht treu und klug, den ein Hausherr über sein Gesinde setzt, damit er ihnen Speise gebe zu rechter Zeit!
28182e0047	Wohl dem Knecht, den sein Herr bei seiner Rückkehr also tätig findet!
28182f0044	Wahrlich, ich sage euch: Er wird ihn über alle seine Güter setzen.
281830005e	Ist aber der Knecht gewissenlos und denkt in seinem Herzen: 'Mein Herr bleibt noch lange weg';
2818310071	fängt er dann an, die ihm untergebenen Knechte zu mißhandeln, während er mit Trunkenbolden schmaust und zecht;
2818320048	so wird sein Herr ihn überraschen an einem Tag, wo er's nicht erwartet.
281833008e	Dann wird er ihn blutig peitschen lassen und ihn an den Ort verweisen, wo die Heuchler sind. Dort wird lautes Klagen und Zähneknirschen sein.
2819010078	Dann gleicht das Königreich der Himmel zehn Jungfrauen, die mit ihren Lampen in der Hand dem Bräutigam entgegengingen.
281902003e	Aber fünf von ihnen waren töricht, und nur fünf waren klug.
2819030042	Die törichten nahmen wohl ihre Lampen mit, aber keinen Ölvorrat.
281904004d	Die klugen aber hatten außer ihren Lampen auch noch in Krügen Öl bei sich.
2819050060	Als sich nun die Ankunft des Bräutigams verzögerte, nickten sie alle ein und fielen in Schlaf.
2819060069	Um Mitternacht aber ertönte der laute Ruf: 'Jetzt kommt der Bräutigam! Geht und holt ihn festlich ein!'
281907003f	Da wurden alle Jungfrauen wach und setzten ihre Lampen instand.
2819080064	Nun sprachen die törichten zu den klugen: 'Gebt uns von euerm Öl, denn unsere Lampen verlöschen.'
281909007a	Die klugen erwiderten: 'O nein! Es reicht nicht aus für uns und euch; geht lieber zu den Krämern und kauft euch Vorrat.'
28190a00ac	Als sie auf dem Weg waren, um sich Öl zu kaufen, kam der Bräutigam. Die Jungfrauen, die bereit waren, gingen mit ihm in den Hochzeitssaal, und die Tür ward verschlossen.
28190b0050	Später kamen auch die anderen Jungfrauen und riefen: 'Herr, Herr, tue uns auf!'
28190c0044	Er aber antwortete: 'Wahrlich, ich sage euch: Ich kenne euch nicht!'
28190d0042	Seid darum recht wachsam; denn Tag und Stunde sind euch unbekannt!
28190e00a2	Es ist (mit dem Königreich der Himmel) wie mit einem Mann, der ins Ausland reisen wollte: der ließ vorher seine Knechte rufen und übergab ihnen sein Vermögen.
28190f0074	Dem einen gab er fünf Talente, dem anderen zwei, dem dritten eins, jedem nach seiner Fähigkeit. Dann reiste er ab.
2819100078	Sofort machte sich der Empfänger der fünf Talente daran, das Geld vorteilhaft anzulegen, und gewann fünf andere dazu.
281911003f	Ebenso gewann der Empfänger der zwei Talente noch zwei andere.
2819120079	Der aber nur ein Talent empfangen hatte, ging hin, machte eine Grube in die Erde und verbarg darin das Geld seines Herrn.
281913004f	Nach langer Zeit kam der Herr dieser Knechte zurück und rechnete mit ihnen ab.
28191400ae	Da erschien der Empfänger der fünf Talente, brachte noch fünf andere mit und sprach: 'Herr, fünf Talente hast du mir gegeben; sieh, fünf andere habe ich damit gewonnen.'
28191500b2	Da sprach sein Herr zu ihm: 'Recht so, du wackerer und treuer Knecht! Du bist über wenigem treu gewesen, ich will dich über viel setzen. Nimm teil an deines Herrn Freudenfest!'
281916008e	Dann erschien der Empfänger der zwei Talente und sprach: 'Herr, zwei Talente hast du mir gegeben; sieh, zwei andere habe ich damit gewonnen.'
28191700b0	Da sprach sein Herr zu ihm: 'Recht so, du wackerer und treuer Knecht! Du bist über wenig treu gewesen, ich will dich über viel setzen. Nimm teil an deines Herrn Freudenfest!'
28191800cf	Endlich erschien der Empfänger des einen Talents und sprach: 'Herr, ich kenne dich als einen harten Mann: du willst ernten, wo du nicht gesät, und Korn einsammeln von der Tenne, wo du nicht geworfelt hast.
2819190072	Deshalb bin ich aus Furcht hingegangen und habe dein Talent in der Erde verborgen. Hier hast du dein Geld wieder.'
28191a00b2	Da antwortete ihm sein Herr: 'Du gewissenloser, fauler Knecht! Du weißt, ich will da ernten, wo ich nicht gesät, und Korn einsammeln von der Tenne, wo ich nicht geworfelt habe?
28191b0097	Nun, dann hättest du mein Geld wenigstens bei der Bank anlegen sollen: so hätte ich doch bei meiner Rückkehr mein Eigentum mit Zins zurückbekommen.
28191c0047	Nehmt ihm nun das Talent und gebt es dem, der die zehn Talente hat. —
28191d0093	Denn wer (viel) hat, der soll noch mehr empfangen, daß er die Fülle haben; doch wer nur wenig hat, dem soll sogar das wenige genommen werden. —
28191e0070	Den unbrauchbaren Knecht aber werft in die Finsternis hinaus: dort wird lautes Klagen und Zähneknirschen sein.'
28191f0089	Ist aber der Menschensohn in seiner Herrlichkeit gekommen, und alle Engel mit ihm, dann setzt er sich auf seinen herrlichen Königsthron.
2819200091	Alle Völker versammeln sich vor seinem Angesicht. Und er wird sie voneinander scheiden, wie ein Hirte die Schafe von den Ziegenböcken scheidet,
2819210047	und er stellt die Schafe zu seiner Rechten, die Böcke aber zur Linken.
28192200bc	Dann wird der König sagen zu denen, die ihm zur Rechten stehen: 'Kommt her, ihr Gesegneten meines Vaters, nehmt in Besitz das Königreich, das euch bereitet ist seit Grundlegung der Welt!
28192300af	Denn ich bin hungrig gewesen, und ihr habt mir Speise gereicht; ich bin durstig gewesen, und ihr habt mich getränkt; ich bin obdachlos gewesen, und ihr habt mich aufgenommen;
281924006f	ich bin nackt gewesen, und ihr habt mich besucht; ich bin im Gefängnis gewesen, und ihr seid zu mir gekommen.'
2819250081	Dann werden ihm die Gerechten erwidern: 'Herr, wann haben wir dich hungrig gesehen und gespeist, oder durstig und dich getränkt?
2819260060	Wann haben wir dich obdachlos gesehen und in unser Haus genommen, oder nackt und dich bekleidet?
281927004f	Wann haben wir dich krank gesehen oder im Gefängnis und sind zu dir gekommen?'
28192800b7	Und der König wird ihnen antworten: 'Wahrlich, ich sage euch: Jeden Liebesdienst, den ihr einem meiner geringsten Brüder, die hier stehen, erwiesen habt, den habt ihr mir erwiesen.'
28192900c1	Dann wird der König sagen zu denen, die ihm zur Linken stehen: 'Hinweg von meinem Angesicht, ihr Verfluchten! Geht in das ewige Feuer, das mein Vater dem Teufel und seinen Engeln bereitet hat!
28192a0080	Denn ich bin hungrig gewesen, und ihr habt mir keine Speise gereicht; ich bin durstig gewesen und ihr habt mich nicht getränkt;
28192b00c3	ich bin obdachlos gewesen, und ihr habt mich nicht aufgenommen; ich bin nackt gewesen, und ihr habt mich nicht bekleidet; ich bin krank und im Gefängnis gewesen und ihr habt mich nicht besucht!'
28192c00af	Dann werden auch sie erwidern: 'Herr, wann haben wir dich hungrig oder durstig gesehen, wann obdachlos oder nackt, wann krank oder im Gefängnis, und haben dir nicht gedient?'
28192d0098	Dann wird er ihnen antworten: 'Wahrlich, ich sage euch: Was ihr versäumt habt an einem der Geringsten, die hier stehen, das habt ihr an mir versäumt.'
28192e0052	Und sie gehen weg zu ewiger Strafe; die Gerechten aber gehen ein ins ewige Leben."
281a010049	Als Jesus alle diese Reden vollendet hatte, sprach er zu seinen Jüngern:
281a020069	"Ihr wißt, daß übermorgen das Passahfest ist; dann wird der Menschensohn dem Kreuzestod überliefert."
281a030071	Da versammelten sich die Hohenpriester und Ältesten des Volkes in dem Palast des Hohenpriesters, namens Kaiphas,
281a040057	und beratschlagten, wie sie Jesus mit List in ihre Gewalt bekommen und töten könnten.
281a050055	Sie sagten aber: "Nur nicht am Fest! Es könnte sonst zu einer Volkserhebung kommen."
281a060049	Als sich nun Jesus in Bethanien im Haus Simons des Aussätzigen aufhielt,
281a070080	trat eine Frau zu ihm mit einem Glas kostbaren Salböls und goß es auf sein Haupt, während er auf seinem Sitz beim Mahl ruhte.
281a08003c	Bei diesem Anblick wurden die Jünger unwillig und sprachen:
281a09005c	"Schade um das Salböl! Man hätte es teuer verkaufen und das Geld den Armen geben können."
281a0a006b	Jesus hörte das und sprach zu ihnen: "Warum kränkt ihr die Frau? Sie hat ein rühmlich Werk an mir getan.
281a0b0042	Denn Arme habt ihr immer bei euch, mich aber habt ihr nicht immer.
281a0c0056	Mit diesem Öl, das sie auf meinen Leib gegossen, hat sie mich zum Begräbnis gesalbt.
281a0d009b	Wahrlich, ich sage euch: Wo in der weiten Welt diese meine Heilsbotschaft verkündigt wird, da wird man auch zu ihrem Gedächtnis von ihrer Tat erzählen."
281a0e0050	Darauf ging einer der Zwölf, mit Namen Judas, aus Kariot, zu den Hohenpriestern
281a0f0075	und sprach: "Was wollt ihr mir geben, wenn ich ihn euch in die Hände liefere?" Sie zahlten ihm dreißig Silberlinge.
281a100045	Seitdem suchte er nach einer günstigen Gelegenheit, ihn zu verraten.
281a11007b	Am ersten Tag der ungesäuerten Brote traten die Jünger zu Jesus und fragten ihn: "Wo sollen wir das Passahmahl bereiten?"
281a1200b2	Er antwortete: "Geht in die Stadt zu dem und dem und sprecht zu ihm: 'Der Meister läßt dir sagen: Meine Zeit ist nahe; bei dir will ich das Passah halten mit meinen Jüngern.'"
281a13004a	Die Jünger führten Jesu Auftrag aus und richteten die Passahmahlzeit zu.
281a140048	Als dann der Abend kam, nahm er mit den zwölf Jüngern beim Mahl Platz.
281a15005e	Während sie aßen, sprach er: "Wahrlich, ich sage euch: Einer unter euch wird mich verraten!"
281a160061	Da wurden sie tief betrübt, und einer nach dem anderen fragte ihn: "Herr, ich bin's doch nicht?"
281a170060	Er erwiderte: "Der eben seine Hand mit mir in die Schüssel getunkt hat, der wird mich verraten.
281a1800c7	Der Menschensohn geht zwar zum Tode, das steht ja von ihm geschrieben. Doch weh dem Menschen, durch den der Menschensohn verraten wird! Für diesen Menschen wäre es am besten, er wäre nie geboren."
281a190078	Da nahm Judas, sein Verräter, das Wort und fragte ihn: "Ich bin's doch nicht, Meister?" Er sprach zu ihm: "Du bist es."
281a1a008a	Als sie aßen, nahm Jesus das Brot, sprach den Segen, brach's und gab es seinen Jüngern mit den Worten: "Nehmt, eßt, das ist mein Leib!"
281a1b005e	Darauf nahm er einen Becher, sprach das Dankgebet und reichte ihn den Jüngern mit den Worten:
281a1c0088	"Trinkt alle daraus! Denn dies ist mein Blut, das Blut des Neuen Bundes, das für viele vergossen werden soll zur Vergebung der Sünden.
281a1d00a7	Doch ich sage euch: Ich will nie wieder von diesem Gewächs des Weinstocks trinken bis zu dem Tag, wo ich den neuen Wein mit euch trinke in meines Vaters Königreich."
281a1e0034	Nach dem Lobgesang gingen sie hinaus an den Ölberg.
281a1f00c8	Auf dem Weg dorthin sprach Jesus zu ihnen: "In dieser Nacht werdet ihr alle an mir irrewerden. Denn es steht geschrieben: Ich will den Hirten schlagen, und die Schafe der Herde werden sich zerstreuen.
