010000000c	U̱r-Taku̱n
0117130085	Se̱ Ibrahi dok ne̱ta wa Saratu u̱ku̱n u̱ me̱n-tu̱ Kan'ana, pu̱ku̱s u̱ Mape̱ra u̱ dapu̱s Mamre (u̱ na foge̱ He̱bro̱n)
011714006f	Iya-o̱ tak-u o̱ u-pu̱ku̱s ne̱ u̱ o̱ ne̱t-tu̱ He̱t babu̱ Ibrahi o̱ shu̱'u̱t be-u̱r wa du̱ u-dok.
0118010093	Ibrahi wu̱'u̱mte̱ tu̱msu̱ hak-u̱s wa no̱ng u-tát, tu̱msu̱ Yawe wa'-u̱ wu̱n nu-u so̱-o̱ u̱-me no̱m-u̱ wa o̱ u̱t-no̱m u-be̱e̱t.
01180200af	De̱ku̱n ho̱-de̱ Ibrahi zu̱ to̱k-u̱ wa wu̱ ze̱ge̱ m-tumb, wu̱ shu̱'u̱te̱ wa-gwat-du̱ bu-u wa, Ibrahi zu̱, “Kab to̱nd bo̱ wa kom-u̱t ró u̱-ta kut-u̱t ri.
01180300a3	U̱m o̱ u̱t-sa bo̱ to̱n-de̱ Yawe ne̱ wu̱ no̱me̱ dom-u u-ru̱ u-dak-ne̱ u̱zu̱ bo̱ za yage̱ wa'-u̱ ri unwa ga ne̱ta-tu̱ dak-u̱ Kan'ana tun-to̱ da.
011804006d	Se̱di bo̱ ha u̱ dak-u ri u̱ te̱k-u̱ ko̱-u̱r ri bo̱ kwu̱mnu̱ wa'-u̱ ri Ishaku ne̱ta u̱r-gu̱.”
01180500b8	Se̱ to̱k-u̱ wa zu̱ wu̱n, “A mu̱ne̱ u̱zu̱ gwu̱p cwanu̱g wa do̱ro̱n it u̱ mu̱u̱n u̱ dak-u uno̱ da, ¿U̱m shu̱'e̱ wa'-u̱ ró m-mu̱ u̱ dak-u̱ bo̱ rwu̱tu̱n?”
0118060069	Ibrahi zu̱ wu̱n, “Gwat so̱k taas bo̱ jaru̱n bo̱ kab wa'-u̱ ri m-mu̱ be-du̱ u̱m rwu̱tu̱n da!
0118070133	Yawe, Ru̱-u̱ do̱m u-ru̱, wu̱ rwu̱tu̱n me̱ du̱gu̱ dak-u̱ u̱so-u ri u̱ ko̱-u̱r ri ne̱, wa no̱ng este̱du̱ u̱s-rem u̱s-to̱nd ne̱ u̱zu̱ wa ya' dak-u uno̱ u̱du̱ ya'ag-u̱ ri. Wa de̱ to̱mnu̱ wa-to̱mu̱-u̱ wa u̱-shu̱ ró wa de̱ u̱t-wa bo̱ kwu̱mnu̱ wa'-u̱ ri ne̱ta u̱ku̱n.
01180800cf	Abite̱ u̱zu̱ wa zaar u̱ssa wa do̱ro̱n bo̱ u̱ mu̱u̱n da, bo̱ rwu̱u̱g du̱gu̱ to̱nd-su̱ u̱m no̱me̱ bo̱ ne̱. Se̱di ko̱ re̱ o̱ nomte̱ a-bo̱ jaru̱n bo̱ muut wa'-u̱ ri u̱ku̱n da.”
01180900a4	Se̱ to̱k-u̱ wa ku̱b to̱nd-u̱s se̱ wa wu̱ komu̱t wa kut-u u̱so u-bu wa Ibrahi. Wa nom este̱du̱ u̱s-rem u̱zu̱ wa do̱r no̱m-u̱ wa zu̱ wa u̱t-no̱m.
01180a00ca	Se̱ to̱k-u̱ wa ku̱b rakum Ibrahi o̱p tu̱msu̱ wa saku̱ e̱ cwu̱-tu̱ shik tu̱ u-nya u̱t-go̱ u̱t-go̱ du̱gu̱ u̱so-u̱ u-bu wa. Se̱ wa dor u-fu̱n m-ha dak-u̱ Aram, m-te bo̱-u̱ Naho̱r.
01180b00c6	Se̱ wa wu̱ rakum e̱ he̱ u̱t-jwu̱n u̱ dapu̱s du-du̱ ne̱t-tu̱ soye̱ u̱-do̱ u-bo̱, rim-mu̱ no̱mu̱g u̱ da-u o̱ ne̱ta-ne̱ o̱ haan u̱ yu̱bdu̱ bu̱-mu̱ u̱t-swa u̱ du-u̱r re̱.
01180c0095	Se̱ wa nom u̱s-to̱o̱g, “Yawe, Ru̱-u̱ u̱so u̱ u-bu ri Ibrahi, ya me̱ re̱ u-shu̱ bo̱ ko̱se̱ cwan-u̱t ró u̱du̱ u̱so u-bu ri Ibrahi.
01180d0072	Me̱ ya ees u̱ is-u̱ u̱r-dù, ya-u̱t-gwu̱p i bo̱-u uno̱ de̱ haan u̱ du-u̱r rinde̱ u̱ yu̱bdu̱ m-bu̱.
01180e0165	Sin-se̱ se̱ o̱ ko̱n-u̱s ri, me̱ u̱t-shu̱t wa-gan, ‘Ya me̱ m-bu̱ mu̱ u̱t-swa du̱gu̱ kub-du̱ m-bu̱ wa,’ a wa zu̱ye̱ me̱, ‘Swa m-bu̱ tu̱msu̱ me̱ u̱t-ya rakum-u̱ ró e̱ swa’ — yage̱ wa shu̱'u̱t ne̱ta wu̱ bo̱ du̱ste̱ Ishaku. Iya o̱ u̱m do̱te̱ u̱t-nap u̱zu̱ bo̱ ko̱ske̱ cwan-u̱t ró u̱du̱ u̱so u-bu ri.”
01180f00d3	Kanda wu̱n taaste̱ u̱s-to̱o̱g, Rebeka rwu̱n u̱ shar-du̱ m-bu̱ wa ne̱ m-sak u̱t-kap, wa o̱ wa'-u̱ gwu̱p-u̱ Be̱tuwe̱r wu̱ o̱ wa'-u̱ zwaru̱ Mirka wu̱ o̱o̱ge̱ ne̱ta hu̱no-u Ibrahi Naho̱r.
01181000ae	Rebeka gwu̱p-u̱ So̱-wa wa so̱k wa maag ha-mu̱ u̱r-gu̱, se̱di wa nak campa da. Wa aru̱k m-he̱ u̱ be-du̱ yu̱bdu̱ m-bu̱, wa shu̱su̱n shar-du̱ m-bu̱ wa rwu̱n.
0118110089	To̱k-u̱ wa no̱m m-ho̱r wa bit wu̱n, wa zu̱ wa, “U̱m o̱ u̱ ko̱n-u̱s ró, ya me̱ m-bu̱ mu̱ shar-u̱r ró cashi u̱m swa.”
01181200b1	Gwu̱p-u̱ wa zu̱ wu̱n, “U̱so u-bu ri, o̱nko̱ bo̱ swa.” Se̱ wa no̱m m-ho̱r wa cu̱st sharru̱ m-bu̱ wa du̱gu̱ zagu̱ u̱t-kap-u̱ wa, wa yasu̱ wu̱n, wu̱n swa.
011813007e	Da-u̱ wa ya'e̱ wu̱n bu̱-mu̱ u̱t-swa, wa zu̱, “Me̱ u̱t-ya rakum-u̱ ró ko̱ e̱ m-bu̱ e̱ swa u̱ ko̱ru̱ e̱.”
01181400ad	Wa nom m-ho̱r wa daas bu̱-mu̱ u̱r-sharu̱ wa u-kora u̱ ya-du̱ u̱t-bisa m-bu̱ wa baru̱m u̱du̱ u̱r-dù u̱ yu̱bu̱ndu̱ m-bu̱ wa yu̱'u̱t rakum-u̱ wa be̱e̱t.
0118150094	To̱k-u̱ wa ho'u̱s u̱s-ram wa o̱ gwat-du̱ wu̱n. Wa o̱ u̱s-dorog u̱zu̱ ko̱ Yawe yaag wu̱n re̱-du̱ u-shu̱ u̱du̱ sa-u̱ Ishaku ne̱ta.
01181600b1	Da-u̱ rakum tase̱ swadu̱ m-bu̱, se̱ to̱k-u̱ wa ku̱b kwat-yu̱ u̱r-swa u̱ u̱s-kwa ne̱ su̱ u̱t-kom su̱ kwam-tu̱ bu̱-mu̱ u̱t-ro su̱ shik so̱k wa yasu̱ Rebeka.
01181700ac	Se̱ wa shit Rebeka u̱zu̱, “¿Gwu̱p-u̱ wan wa bo̱ o̱ye̱? Gye̱r jab waru̱ me̱, ¿ko̱ u̱so-u ró o̱tte̱ kur-tu̱ it do̱te̱ m-roog u̱ gyu̱p-mu̱ ya-o̱?”
011818008b	Wa shu̱s wa zu̱, “U̱so-u ri wa na zu̱ye̱ Be̱tuwe̱r, tu̱msu̱ u̱so-u rò u̱ ino-u rò ne̱ e̱ na zu̱ye̱ Naho̱r e̱ Mirka.”
011819008a	Wa sur m-zu̱ wu̱n, “It o̱tte̱ u̱t-zan u̱ no̱m-tu̱ u̱t-re̱ ne̱ tu̱ rakum, u̱ kur-tu̱ m-roog ne̱ tu̱ u̱t-hamu̱t ne̱.”
01181a002c	Se̱ to̱k-u̱ wa kug wa nom Yawe u̱t-huuk.
01181b00f1	Wa zu̱, “U̱t-vam u̱du̱ Yawe, Ru̱-u̱ u̱so-u ri Ibrahi, Yawe ko̱ske̱ cwan-u̱t wa nip-u̱t wa ne̱ jab-u̱ so̱-o̱ wa ne̱ u̱du̱ u̱so-u̱ u-bu ri, remu̱ u̱zu̱ wa dor-u̱t te̱ me̱ m-ha u̱du̱ ko̱-du̱ u̱so-u̱ u-bu ri.”
01181c0057	Wa-gwu̱pu̱ aru̱k m-mu̱ m-so̱m wa waru̱ a-u-bu ne̱ no̱m-u̱ no̱me̱ u-be̱e̱t.
01181d0083	Rebeka o̱tte̱ yu̱-wu̱ya wu̱na zu̱ye̱ Raban, wa ku̱su̱m m-so̱m u̱ haan u̱ be-du̱ ne̱t-u̱ wa o̱tte̱ u̱-kit u̱r-du.
01181e0120	Da-u̱ wa hyane̱ kwat-yu̱ u̱r-swa ya u̱du̱ Rebeka, u̱ kwasu̱ u̱t-kom ne̱ su̱ o̱ m-wa u̱ ko̱m-u̱t wa, tu̱msu̱ wa ho̱k no̱m-u̱ Rebeka ware̱ u-be̱e̱t no̱m-u̱ ne̱t-u̱ wa zu̱ye̱, wa ru m-ha u̱ du-du̱ m-bu̱ de̱, be-du̱ ne̱t-u̱ wa o̱tte̱ ees u̱-kit u-rakum.
01181f00f5	Raban zu̱ wu̱n, “Bo̱ yu̱ Yawe wa'e̱ nu-u so̱-o̱. Haane̱ bo̱ shu̱'u̱t u̱ it ne̱. ¿Rem yan-o̱ bo̱ o̱tte̱ u̱ shu̱'u̱t u̱ ane̱ u̱-dim u-bo̱? Me̱ ya u̱m mangte̱ bo̱ u̱t-kur u̱ be-du̱ cu̱n-du̱ rakum-u̱ ró ne̱.”
011820010f	Se̱ ne̱t-u̱ wa aru̱k m-ha bu-u Raban. Raban cu̱st-u̱ rakum cwu̱-tu̱ e̱ o̱tte̱ u̱-do̱ m-sak, wa yu̱' e̱ u̱t-zan tu̱ e̱ do̱'e̱ u̱t-roog u̱t-tu̱. Se̱ wa hatu̱n ne̱t-u̱ wa m-bu̱ u̱ remu̱ i o̱ nak-du̱ rakum ne̱ e̱ jaaste na-u̱s e̱ be̱e̱t.
01182100d9	Wa haatu̱n wa no̱m u̱t-re̱, se̱ to̱k-u̱ wa zu̱ wu̱n, “U̱m za re̱-du̱ no̱m u̱t-re̱ uno̱ da se̱ u̱m wargu̱ bo̱ no̱m-u̱ hatu̱n me̱.” Raban zu̱ wu̱n, “Waru̱ me̱ no̱m-u̱ hatu̱n bo̱.”
011822003d	Se̱ wa zu̱ wu̱n, “Me̱ to̱k-u̱ Ibrahi wa u̱m o̱ye̱.
0118230149	Yawe wa'agu̱ u̱so u-bu ri ko̱m-u u-Ru̱, wa shu̱'u̱te̱ ne̱t wu̱ o̱tte̱ no̱m-u̱ u̱t-kom. Ru̱-u̱ yaag wu̱n ban-tu̱ ca, u̱ ban-tu̱ gwaar ne̱, u̱ ban-du̱ na ne̱, u̱ kwam-u̱t pus-to̱ u̱ tu̱ bu̱-mu̱ u̱t-ro ne̱ tu̱ shik, u̱ to̱k-ne̱ u-tát (campa-ne̱ u̱ ne̱ta-ne̱) u̱ janka ne̱, u̱ rakum ne̱.
0118240098	Da-u̱ Saratu ne̱ta u̱so-u̱ u-bu ri wu̱u̱me̱ so̱k, se̱ wa mu̱t ya-du̱ u̱r-campa, u̱so u-bu ri yase̱ wu̱n no̱m u̱t-kom-u̱ wa u-be̱e̱t.
011825009b	U̱so u-bu ri to̱ndu̱ste̱ me̱ u̱zu̱, ‘A-bo̱ yage̱ u̱ wa'-u̱ ri wa ga ne̱ta-tu̱ dak-u̱ Kan'ana da i u̱m o̱o̱ge̱ u̱ shu̱'u̱t dak-u e̱.
011826006e	Se̱di bo̱ do̱'e̱ bu-u u̱so-u ri, du̱gu̱ me̱ ko̱-du̱ u̱so-u ri bo̱ kwu̱mnu̱ wa'-u̱ ri ne̱ta.’
0118270075	“U̱m zu̱ u̱so u-bu ri, ‘¿A mu̱ne̱ u̱zu̱ u̱m kwu̱mu̱g wa'-u̱ gwu̱p wu̱ zu̱ wa do̱rnu̱ me̱ da?’
011828013f	“Wa zu̱ me̱, ‘Yawe, wu̱ u̱m o̱ u̱t-do̱r, wa to̱mnu̱ Wa-to̱m-u̱ wa u̱r-kot u̱ bo̱ ne̱. Wa do̱'e̱ u̱t-wa bo̱ kum re̱-u̱ u-shu̱ u̱ no̱mu̱ bo̱ u̱t-no̱m ne̱. Ka u̱t-no̱m zarra se̱ bo̱ kwu̱mgu̱n wa'-u̱ ri ne̱ta du̱gu̱ ko̱-du̱ u̱so-u ri, u̱du̱ me̱ ne̱t-tu̱ bu-u̱ u̱so-u ri.
01182900ae	Da-u̱ bo̱ do̱'e̱ u̱du̱ u̱so-u̱t ri, bo̱ rwu̱u̱g du̱gu̱ u̱s-to̱nd ko̱ da zu̱ e̱ gu̱gu̱mte̱ yanu̱ bo̱ ne̱ta bo̱ rwu̱u̱g du̱gu̱ sese to̱nd se̱.’
01182a00c5	“Da-u̱ u̱m haane̱ be-du̱ du-du̱ m-bu̱ u̱ ya-o̱, se̱ u̱m no̱m u̱s-to̱o̱g u̱zu̱, ‘Yawe, Ru̱-u̱ u̱so u-bu ri Ibrahi no̱me̱ u̱t-huuk, ya me̱ re̱-u̱ u-shu̱ u̱ ha-m m-mo̱.
01182b00e0	Gwat, me̱ ya ees u̱-kit-u̱ du-du̱ m-bu̱ dinde̱, to̱o̱g-u̱s se̱ u̱zu̱, da-u̱ wa'-u̱ gwu̱p-u̱ haane̱ u̱ nak-du̱ m-bu̱, u̱m do̱'e̱ zu̱ du̱ wa, “Ya me̱ m-bu̱ u̱m swa du̱gu̱ sharru̱ m-bu̱ ró.”
01182c0094	Se̱di wa zu̱ me̱, “Swa, me̱ u̱t-ya rakum-u̱ ró m-bu̱ ko̱ya,” yage̱ wa shu̱'u̱t ne̱ta wu̱ Yawe dage̱ wa'-u̱ u̱so-u̱ u-bu ri.’
01182d00c3	“Kanda u̱m taaste̱ u̱s-to̱o̱g jab-u̱ ri, Rebeka rwu̱u̱n u̱r-shar ne̱ m-sak u̱ do̱s u̱ wa, wa aru̱k m-sa u̱r-du wa yu̱bu̱n m-bu̱, se̱ u̱m zu̱ wa, ‘Ya me̱ m-bu̱ m-swa.’
01182e00b8	“Wa no̱m m-ho̱r m-ho̱r wa cu̱st sharru̱ m-bu̱ du̱gu̱ zagu̱ zag-u̱t-kap wa zu̱, ‘Swa, me̱ u̱t-ya rakum-u̱ ró ko̱ e̱,’ se̱ u̱m so, wa yu̱ rakum ko̱'e̱ e̱ so.
01182f00e3	“Se̱ u̱m shit wa, ‘¿Gwu̱p-u̱ wan wa bo̱ o̱ye̱?’ “Wa zu̱ me̱, ‘Gwu̱p-u̱ Be̱tuwe̱r yu̱ wa'-u̱ Naho̱r, wu̱ Mirka matu̱ wa.’ “Da-u o̱ u̱m wa'-u̱ wu̱n u-kwaat u̱r-swa u̱ kwa-yu̱ u̱t-kom ne̱.
01183000ff	Se̱ u̱m he̱ u̱t-jwu̱n u̱m no̱me̱ Yawe u̱t-huuk, tu̱msu̱ u̱m no̱mu̱ Yawe u̱t-vam, Ru̱-u u̱so u-bu ri Ibrahi, remu̱ zu̱ wa dor-u̱t te̱ me̱ fu̱n-yu̱ u̱t-nip m-ha u̱du̱ ko̱-du̱ u̱so-u wa remu̱ u̱m kwu̱mtu̱n wa'-u̱ wa ne̱ta.
01183100e3	U̱ da-o̱, abite̱ u̱zu̱ bo̱ u̱t-re̱ u-shu̱ u̱ ko̱su̱ jab-u̱ so̱-o̱ u̱du̱ u̱so-u̱ u-bu ri, waru̱ me̱, abite̱ bo̱ zaar u̱t-ko̱se̱ da waru̱ me̱, ko̱ me̱ u̱t-nap fu̱n-yu̱ u̱m do̱'e̱ u̱t-do̱r.”
011832007e	Ku̱na Raban ne̱ e̱ Be̱tuwe̱r zu̱, “Yawe hattu̱n bo̱ u̱ ane̱, o̱ko̱n no̱m-o̱ zaar u̱ it do̱'e̱ u̱t-zu̱ da.
011833007c	Rebeka ya u̱-shu̱ ró, kab wa bo̱ aru̱k, yage̱ wa shu̱'u̱t ne̱ta wa'-u̱ u̱so-u̱ u-bu ró u̱ka Yawe zu̱tte̱.”
0118340063	Da-u̱ to̱k-u̱ Ibrahi ho̱ge̱ shas-u u̱n, wa he̱ u-dak u̱t-jwu̱n wa no̱me̱ Yawe u̱t-huuk.
011835010f	Se̱ to̱k-u̱ wa rwu̱tu̱n kwam-u̱t pus-to̱ u̱ kwam-tu̱ bu̱-mu̱ u̱t-ro ne̱ u̱s-re̱ge̱z ne̱ su̱ shik so̱k u̱ cwu̱-tu̱ m-wa ne̱ tu̱ so̱-to̱ wa yase̱ Rebeka, se̱ tu̱msu̱ wa yu̱ u-nya u̱ no̱m-tu̱ shik u̱du̱ yu̱-wu̱ya wa u̱ ino̱-u wa ne̱.
01183600c6	Se̱ to̱k-u̱ Ibrahi u̱ campa-ne̱ o̱ u̱r-kot u̱ wa ne̱, re e̱ so tu̱msu̱ e̱ roog u̱ku̱n. Se̱ e̱ yu̱ne̱ u̱r-wu̱n, wa zu̱, “Yagu̱n it aru̱k m-mu̱ u̱du̱ u̱so-u̱ u-bu ri.”
011837009a	Se̱di yu̱-wu̱ya Rebeka u̱ ino-u rò ne̱ shu̱s e̱ zu̱, “It u̱t-sa u̱ Rebeka shu̱'u̱t u̱ it ne̱ m-ha m-roog u̱t-o̱p, kanda no̱ aru̱k.”
0118380097	Se̱ wa zu̱ u̱n, “A no̱ naas it u-da u̱ ane̱ da, Yawe yaag me̱ re̱ u-shu̱ u̱ ha-m ri, yagu̱n it aru̱k, it mu u̱du̱ u̱so-u̱ u-bu ri.”
011839005c	Se̱ u̱n zu̱, “Yage̱ it fagu̱n gwu̱p it shit wa u̱ mo̱t-u̱t to̱ ne̱ it ho̱g.”
01183a0081	Se̱ u̱n fagu̱n Rebeka u̱n shit wa, “¿Bo̱ do̱ru̱ ne̱t-u̱ wa m-mu̱?” Wa shu̱s wa zu̱, “Me̱ u̱t-do̱r wu̱n.”
01183b007c	Se̱ u̱n yage̱ u̱ Rebeka u̱ ne̱ta waru̱g wa ne̱, u̱ to̱k-u̱ Ibrahi ne̱ u̱ hu̱u̱b-tu̱ m-ha wa ne̱ e̱ aru̱k.
01183c0104	Se̱ u̱n wa'-u̱ Rebeka nu-u so̱-o̱ kanda wa aru̱k, u̱n zu̱ wa, “Hu̱no-u it, u̱ bo̱ shu̱'u̱t ino̱ u̱ yaag u̱t-zo̱ngu u̱-do̱m u̱t-zo̱ngu Yage̱ ya'ag-u̱ ró e̱ re u̱r-ko̱rro̱ u̱ e̱ o̱nk bo̱-tu̱ hu̱u̱b-u̱t yo̱-to̱ e̱ ne̱.”
01183d0090	Se̱ Rebeka u̱ to̱k-u̱t wa ne̱, e̱ du̱u̱s u̱-do̱m u-rakum e̱ do̱r ne̱t-u̱ wa. Se̱ to̱k-u̱ Ibrahi ku̱b Rebeka e̱ aru̱k m-mu̱.
01183e005b	U̱ da-u o̱ Ishaku mu̱gu̱n du̱gu̱ Beer-Rahai Roi wa o̱ shu̱'u̱t do̱g-du̱ Ne̱giv.
01183f0085	De̱ku̱n ho̱-de̱ Ishaku rwu̱gu̱n m-rim wa o̱ m-da tu̱msu̱ wa o̱ u̱s-dorog, se̱ wa jaku̱s u̱r-hi, wa hyen rakum u̱ daan.
011840006f	Da-u̱ Rebeka jakse̱ is wa hyan Ishaku, wa no̱m m-ho̱r wa cu̱zu̱n du̱gu̱ u-rakum yu̱ wa o̱tte̱ m-sak.
01184100b1	Rebeka zu̱ to̱k-u̱ Ibrahi, “¿Wana unwa jit wu̱ o̱ haan u̱du̱ ine̱?” To̱k-u̱ wa zu̱, “U̱so u-bu ri Ishaku wa.” Rebeka ku̱b u-ge̱re̱ wa taku̱s shu̱-u wa.
0118420041	Se̱ to̱k-u̱ wa waru̱ Ishaku no̱m-u̱ wa no̱me̱ u-be̱e̱t.
01184300cc	Ishaku ku̱b Rebeka wa hu̱u̱t wa u̱ be-du̱ rimpa-du̱ ino̱-u wa Saratu, se̱ wa gu Rebeka. Wa shu̱'u̱t ne̱ta wa, wa cwanu̱g wa so̱k; iya o̱ hen Ishaku kumte̱ ru̱s-du̱ jab ba ino-u wa mare̱.
0119010031	Ibrahi gu̱ yaku̱n ne̱ta ya dim-u̱r wa Ketura.
011902006e	Ketura mu̱t ya'ag-u̱ campa-ne̱ shishin e̱ na foge̱ Zimran, Jokshan, Medan, Midiya, Ishbak, u̱ Suya ne̱.
011903006f	Jokshan wa mate̱ Sheba u̱ Dedan. Yaag-u̱ Dedan e̱ na zu̱ye̱ Assur-ne̱, u̱ Retushi-ne̱, u̱ Remin-ne̱.
01190400b5	Yaag-u̱ campa-ne̱ Midiya e̱ o̱ye̱: Epa ne̱, u̱ Epe̱r ne̱, u̱ Hano̱k ne̱, u̱ Abida ne̱, u̱ Erdak ne̱. Ine̱ be̱e̱t e̱ o̱o̱ge̱ ko̱r Ibrahi du̱gu̱ gasu Ketura.
0119050043	Ibrahi yasu̱ no̱m-u̱ u̱t-ko̱mu̱ wa u-be̱e̱t u̱du̱ Ishaku.
0119060090	Kanda Ibrahi mu̱r-u̱t, wa no̱mu̱ ya'ag-u̱ ne̱ta-tu̱ u̱s-kit-u̱ wa u-nya wa tom e̱ be̱e̱t m-ha dak-u̱ u-do̱m, m-ra u̱ Ishaku ne̱.
011907003b	Ibrahi no̱ng u̱s-hak u̱t-shik u̱t-eer u̱ o̱p u̱s-tan
0119080077	Ibrahi maru̱g u̱ te̱k-u̱ u̱s-hak su̱ so̱-se̱, ne̱nge̱n-yu̱ u̱s-hak u-tát, wa dor u̱so-tu̱ u̱so-u̱t wa.
011909009c	Yaag-u̱ wu̱n Ishaku ne̱ e̱ Ismaru, e̱ dok wu̱n u̱ pu̱ku̱s u̱ Mape̱ra, u̱ dapu̱s Mamre u̱-me tak-u Eparo̱n wa'-u̱ Zohar ne̱t-u̱ He̱t-ne̱.
01190a0055	Tak-u o̱ Ibrahi o̱ye̱ du̱gu̱-du̱ He̱t-ne̱ ku̱na wa dokte̱ Saratu ne̱ta wa.
01190b0077	Da-u̱ Ibrahi mare̱, Ru̱-u̱ wa'-u̱ Ishaku nu-u so̱-o̱, wu̱ shu̱'u̱te̱ dap-u̱s bo̱-u̱ na foge̱ Beer-Rahai.
01190c0079	Uno̱ o̱ ogu̱r-tu̱ ya'ag-u̱ Ismaru wa'-u̱ Ibrahi. Hajara ne̱t-u̱ dak-u̱ Masar to̱k-u̱ Saratu, wa matu̱ Ismaru.
01190d00a1	Dim-tu̱ ya'ag-u̱ campa-ne̱ Ismaru ya, na pang to̱ u̱ka mat-u̱r e̱: Nebayo̱t wa o̱o̱ge̱ mat-du̱ u̱r-taku̱n Ismaru, u̱ Kedar, u̱ Adbeer, u̱ Misam,
01190e001f	u̱ Mishma, u̱ Duma, u̱ Masa,
01190f0041	u̱ Hada, u̱ Tema, u̱ Je̱tur, u̱ Napu̱hish, u̱ Kedema ne̱.
011910008c	Ine̱ o̱ ya'ag-u̱ Ismaru, tu̱msu̱ tun-to̱ to̱ o̱ dim-tu̱ faru̱k-tu̱ u̱t-ko̱ e̱ ko̱wan u̱ be-du̱ u̱r-shu̱'u̱t-u̱ wa ne̱.
0119110076	Ismaru no̱mu̱g u̱s-hak u̱t-shik u̱t-shishin u̱ o̱p-u̱ ta'er, se̱ mu̱ru̱s wa do̱r u̱so-tu̱ u̱so-u̱t wa.
01191200f0	Yaag-u̱ wa e̱ shu̱'u̱t u̱ gas-u̱ bo̱-u̱ Havira, m-ha Shur ne̱. U̱ dapu̱s bo̱r-yu̱ Masar, a-bo̱ o̱o̱ge̱ m-ha u̱ bo̱-u̱ Asur. Tu̱msu̱ e̱ nom shu̱'u̱t-u̱r yo̱-de̱ u̱ hu̱no-tu̱ u̱r-mat-u̱ e̱ ne̱ u̱t-be̱e̱t.
011913004d	Uno̱ o̱ ogor-tu̱ ya'ag-u̱ Ishaku wa'-u̱ Ibrahi. Ibrahi wa matu̱ Ishaku.
01191400ae	Da-u̱ Ishaku o̱o̱ge̱ u̱s-hak u̱t-shik u̱t-yu̱r, wa gu̱ Rebeka gwu̱p-u̱ Be̱tuwe̱r, ne̱t-u̱ bo̱-u̱ Aram du̱gu̱ Padan-aram hu̱no̱ Raban ne̱t-u̱ Aram-ne̱.
01191500ae	Ishaku nom u̱s-to̱o̱g u̱du̱ Yawe u̱ remu̱ ne̱ta wa, remu̱ zu̱ wa matu̱k yaag da. Ru̱-u̱ o̱nk to̱o̱g-u̱s Ishaku, se̱ Rebeka ku̱b me̱n-tu̱ ya'ag-u̱ yu̱r.
01191600a8	Se̱ ya'ag-u̱ e̱ hu̱ u̱t-noos u̱ me̱n-tu̱ u̱t-me̱n. Se̱ Rebeka do̱'e̱ wa shit Yawe, wa zu̱ “¿Yan-o̱ wa e̱ uno̱ no̱m o̱ o̱tte̱ u̱t-no̱m ne̱?”
0119170160	Se̱ Yawe zu̱ wu̱n, “Ne̱t-ne̱ yu̱r e̱ o̱ye̱ u̱ me̱n-u̱t ró damra tu̱ u̱t-dak to̱ u̱t-yu̱r. Du̱gu̱ u̱r-taku̱n, dak-tu̱ u̱t-yu̱r u̱ to̱ do̱'e̱ u̱t-mo̱t du̱gu̱ me̱ u̱t-me̱n. Wa-gan do̱'e̱ ze̱g-du̱ wa-gan u̱r-be̱b, ya'ag-u̱ e̱ wu̱ do̱'e̱ rwu̱u̱n u̱r-taku̱n wa do̱'e̱ no̱mu̱ wu̱ m-vaste̱ m-to̱k.”
0119180067	Da-u̱ ho̱-tu̱ u̱r-mat no̱me̱, Rebeka nu̱p u̱zu̱ ya'ag-u̱ yu̱r e̱ wa o̱tte̱ mu̱n-u̱t wa.
01191900ca	Wu̱ rwu̱ne̱ u̱r-taku̱n wa o̱ jaz-ya, war-u wa o̱ u̱s-can ne̱ sha-mu̱ can-tu̱ u-gwaar, na wa'-u̱ wa u̱r-dim Isuwa. Iya-o̱ na fogte̱ dim-u̱r re̱ u̱ rem-du̱ Ibra-ne̱. “Wa u̱s-can.”
01191a0115	Se̱ wu̱ rwu̱ne̱ u-yu̱ru̱mse̱ na mak-u̱t wa m-shu̱p-u̱ du̱ku̱nte̱-u̱r Isuwa ne̱, dim-u̱r wa de̱ Yakubu. U̱ rem-du̱ Ibra-ne̱ iya-o̱ na fogte̱ dim-u̱r re̱ “U̱r-du̱ku̱nte̱.” Da-u̱ na mate̱ ya'ag-u̱ yu̱r, Ishaku o̱ u̱s-hak u̱t-shik u̱t-tu̱t.
01191b00c8	Da-u̱ ya'ag-u̱ campa-ne̱ e̱ ne̱ne̱, Isuwa shu̱'u̱t wa sa-u̱ u̱r-do̱g, wa o̱ u̱ka ne̱t u̱r-do̱g. Se̱di Yakubu wa zatte̱ u̱s-rem da, wa ze̱k-u̱ cwan-tu̱ shu̱'u̱t-du̱ u̱t-rimpa.
01191c0081	Ishaku ze̱k-u̱ cwan-u̱t Isuwa remu̱ zu̱ wa ze̱k-u̱ cwan-tu̱ ap-mu̱ u̱r-do̱g, se̱di Rebeka ze̱k-u̱ cwan-u̱t Yakubu.
01191d0091	De̱ku̱n ho̱-de̱ Yakubu o̱ u̱ no̱m-du̱ cwa-su̱ m-re̱re̱m, Isuwa mu̱u̱n du̱gu̱ u̱r-do̱g wa pogu̱n wa-o u̱ ho̱g-du̱ u̱s-me̱r.
