0100000009	Yaritilix
01310400b6	Lekin ⱪaynap texip qüxkǝn sudǝk, Əmdi aldi bolalmassǝn; Qünki sǝn atangning kɵrpisigǝ qiⱪting, Xuning bilǝn sǝn uni bulƣiding! U mening kɵrpǝmning üstigǝ qiⱪti!
013105005b	Ximeon bilǝn Lawiy ⱪerindaxlardur; Ularning ⱪiliqliri zorawanliⱪning ⱪoralliridur!
01310600cb	Aⱨ jenim, ularning mǝsliⱨitigǝ kirmigin! I izzitim, ularning jamaiti bilǝn qetilip ⱪalmiƣay! Qünki ular aqqiⱪida adǝmlǝrni ɵltürüp, Ɵz beximqiliⱪ ⱪilip buⱪilarning peyini kǝsti.
01310700cd	Ularning aqqiⱪi ǝxǝddiy bolƣaqⱪa lǝnǝtkǝ ⱪalsun! Ƣǝzipimu rǝⱨimsiz bolƣaqⱪa lǝnǝtkǝ ⱪalsun! Mǝn ularni Yaⱪupning iqidǝ tarⱪitiwetimǝn, Israilning iqidǝ ularni qeqiwetimǝn.
0131080088	Əy Yǝⱨuda! Seni bolsa ⱪerindaxliring tǝriplǝr, Ⱪolung düxmǝnliringning gǝjgisini basar. Atangning oƣulliri sanga bax urar,
01310900b1	Yǝⱨuda yax bir xirdur; Əy oƣlum, sǝn owni tutupla qiⱪting; U xirdǝk [owning yenida] qɵküp sozulup yatsa, Yaki qixi xirdǝk yetiwalsa, Kimmu uni ⱪozƣaxⱪa petinar?
01310a00d2	Xaⱨanǝ ⱨasa Yǝⱨudadin ketip ⱪalmaydu, Yǝⱨudaning puxtidin ⱪanun qiⱪarƣuqi ɵksümǝydu, Taki xu ⱨoⱪuⱪ Igisi kǝlgüqǝ kütidu; Kǝlgǝndǝ, jaⱨan hǝlⱪliri uningƣa itaǝt ⱪilidu.
01310b008f	U tǝhiyini üzüm teliƣa, Exǝk balisini sortluⱪ üzüm teliƣa baƣlap ⱪoyar. U libasini xarabta yuyup, Tonini üzüm xǝrbitidǝ yuyar.
01310c0051	Uning kɵzliri xarabtin ⱪizirip ketǝr, Qixliri süt iqkinidin ap’aⱪ turar.
01310d0073	Zǝbulun dengiz boyini makan ⱪilar, Makani kemilǝrning panaⱨgaⱨi bolar, Yǝr-zemini Zidonƣiqǝ yetip barar.
01310e004b	Issakar bǝstlik bǝrdǝm bir exǝktur, U ikki ⱪotan arisida yatⱪandur;
01310f0099	U aramgaⱨning yahxi ikǝnlikigǝ ⱪarap, Zeminning esilliⱪini kɵrüp, Yük kɵtürüxkǝ mürisini egip, Alwanƣa ixlǝydiƣan ⱪul bolup ⱪalar.
013110004c	Dan Israil ⱪǝbililiridin biri bolar, Ɵz hǝlⱪigǝ ⱨɵküm qiⱪirar.
0131110098	Dan yol üstidiki yilan, Qiƣir yol üstidǝ turƣan zǝⱨǝrlik bir yilandur. U atning tuyiⱪini qeⱪip, At mingüqini arⱪiƣa mollaⱪ atⱪuzar.
0131120039	I Pǝrwǝrdigar, nijatingƣa tǝlmürüp kütüp kǝldim!
013113005e	Gadⱪa bolsa, ⱪaraⱪqilar ⱪoxuni ⱨujum ⱪilar; Lekin u tapinini besip zǝrbǝ berǝr.
013114005b	Axirning tamiⱪida zǝytun meyi mol bolar, U xaⱨlar üqün nazu-nemǝtlǝrni tǝminlǝr.
013115004a	Naftalidin qirayliⱪ gǝplǝr qiⱪar, U ǝrkin ⱪoyuwetilgǝn maraldur.
0131160081	Yüsüp mewilik dǝrǝhning xehidur, Bulaⱪning yenidiki kɵp mewilik xahtǝktur; Uning xahqiliri tamdin ⱨalⱪip kǝtkǝndur.
0131170052	Ya atⱪuqilar uningƣa azar ⱪilip, Uningƣa oⱪ atti, uningƣa nǝprǝtlǝndi.
01311800cd	Ⱨalbuki, uning oⱪyayi mǝzmut turar, Ⱪol-bilǝkliri ǝplik turƣuzular, Xu [küq] Yaⱪuptiki ⱪudrǝt Igisining ⱪolliridindur — (Israilning Ⱪoram Texi, yǝni uning Padiqisi Uningdin qiⱪar!)
013119012b	[Axu küq] atangning Tǝngrisidindur — (U sanga mǝdǝt berǝr!) [Yǝni] Ⱨǝmmigǝ Ⱪadirdindur — U seni bǝrikǝtlǝr! Yuⱪirida asmanning bǝrikǝtliri bilǝn, Tɵwǝndǝ yatⱪan qongⱪur sularning bǝrikǝtliri bilǝn, Əmqǝk bilǝn baliyatⱪuning bǝrikiti bilǝn seni bǝrikǝtlǝr!
01311a0103	Sening atangning tiligǝn bǝrikǝtliri ata-bowilirimning tiligǝn bǝrikǝtliridin ziyadǝ boldi, Ular mǝnggülük taƣ-edirlarning qǝtlirigiqǝ yetǝr, Ular Yüsüpning bexiƣa qüxǝr, Yǝni ɵz ⱪerindaxliridin ayrim turƣuqining qoⱪⱪisiƣa tegǝr.
01311b006e	Binyamin yirtⱪuq bɵridǝktur; Ətigǝndǝ u owni yǝr. Kǝqⱪurun u oljisini tǝⱪsim ⱪilar» — dedi.
01311c00f4	Bularning ⱨǝmmisi Israilning on ikki ⱪǝbilisi bolup, mǝzkur sɵzlǝr bolsa atisining ularƣa tiligǝn bǝht-bǝrikǝt sɵzliridur. U xuning bilǝn ularning ⱨǝrbirigǝ mas kelidiƣan bir bǝrikǝt bilǝn ularƣa bǝht-bǝrikǝt tilidi.
01311d00d6	Andin Yaⱪup ularƣa mundaⱪ tapilidi: — «Mǝn ǝmdi ɵz ⱪowmimning ⱪexiƣa ⱪoxulimǝn. Silǝr meni ata-bowilirimning yenida, Ⱨittiylardin bolƣan Əfronning etizliⱪidiki ƣarƣa dǝpnǝ ⱪilinglar;
01311e00b5	u ƣar bolsa Ⱪanaan zeminida Mamrǝning udulida, Makpelaⱨning etizliⱪida. Ƣarni Ibraⱨim gɵristan bolsun dǝp xu etizliⱪ bilǝn ⱪoxup Ⱨittiy Əfrondin setiwalƣanidi.
01311f00ae	Xu yǝrdǝ Ibraⱨim ayali Saraⱨ bilǝn dǝpnǝ ⱪilinƣan; xu yǝrdǝ Isⱨaⱪ ayali Riwkaⱨ bilǝnmu dǝpnǝ ⱪilinƣan; xu yǝrdǝ mǝnmu Leyaⱨni dǝpnǝ ⱪildim.
013120004d	Bu etizliⱪ ⱨǝm iqidiki ƣar Ⱨǝtning ǝwladliridin setiwelinƣanidi».
0131210079	Yaⱪup oƣulliriƣa bu wǝsiyǝtni tapilap bolup, putlirini kariwatta tüzlǝp, nǝpǝs tohtap ɵz ⱪowmiƣa ⱪoxuldi.
013201004b	Yüsüp atisining yüzigǝ ɵzini etip, uning üstidǝ yiƣlap, uni sɵydi.
0132020082	Andin Yüsüp ɵz hizmitidǝ bolƣan tewiplarƣa atisini mumiya ⱪilixni buyrudi; xuning bilǝn tewiplar Israilni mumiya ⱪildi.
013203008b	Buni ⱪilixⱪa ⱪiriⱪ kün kǝtti, qünki mumiya ⱪilixⱪa xunqilik kün ketǝtti. Misirliⱪlar uningƣa yǝtmix kün matǝm tutti.
01320401c2	Uningƣa ⱨaza tutux künliri ɵtüp bolƣanda, Yüsüp Pirǝwnning ordisidikilǝrgǝ: — Mǝn nǝziringlarda iltipat tapⱪan bolsam, Pirǝwnning ⱪulaⱪliriƣa sɵz ⱪilinglarki: — Atam manga ⱪǝsǝm ⱪildurup: «Mana mǝn ɵlimǝn; sǝn meni mǝn Ⱪanaan zeminida ɵzüm üqün kolap ⱪoyƣan gɵrgǝ dǝpnǝ ⱪilƣin» degǝnidi. Əmdi Pirǝwn manga ijazǝt bǝrgǝy, mǝn berip atamni dǝpnǝ ⱪilip bolup yenip kǝlsǝm, — dedi.
0132060069	Pirǝwn jawabǝn: — Sǝn berip ɵzünggǝ atang ⱪǝsǝm ⱪildurƣandǝk uni dǝpnǝ ⱪilƣin, dedi.
01320700c4	Xuning bilǝn Yüsüp atisini dǝpnǝ ⱪilƣili mangdi. Pirǝwnning barliⱪ hizmǝtkarliri, ordining aⱪsaⱪalliri ⱨǝm Misir zeminidiki aⱪsaⱪallar uning bilǝn ⱨǝmraⱨ bolup mangdi.
01320800ae	Yüsüpning ɵyidiki ⱨǝmmisi, ⱪerindaxliri wǝ atisining ɵyidikilǝrmu billǝ bardi; ular pǝⱪǝt kiqik baliliri, ⱪoy-kala padilirini Goxǝn yurtida ⱪoyup kǝtti.
013209007a	Uning bilǝn yǝnǝ jǝng ⱨarwiliri wǝ atliⱪlarmu billǝ bardi; xuning bilǝn ular naⱨayiti qong bir ⱪoxun boldi.
01320a00d2	Ular Iordan dǝryasining u tǝripidiki «Atadning hamini»ƣa yetip kǝlgǝndǝ, xu yǝrdǝ ⱪattiⱪ wǝ ⱨǝsrǝtlik yiƣa-zar ⱪilip matǝm tutup yiƣlaxti. Yüsüp atisi üqün yǝttǝ kün matǝm tutti.
01320b0103	Xu yurtta olturuxluⱪ Ⱪanaaniylar Atadning haminida bolƣan bu matǝmni kɵrüp: — Bu misirliⱪlarning intayin ⱪattiⱪ tutⱪan ⱨazisi boldi, deyixti. Bu sǝwǝbtin u jayning nami «Abǝl-Mizraim» dǝp ataldi; u Iordan dǝryasining u tǝripididur.
01320c003f	Yaⱪupning oƣulliri uning ɵzlirigǝ tapiliƣinidǝk ⱪildi;
01320d0103	uning oƣulliri uni Ⱪanaan zeminiƣa elip berip, Mamrǝning udulida, Makpelaⱨning etizliⱪining iqidiki ƣarda dǝpnǝ ⱪildi. Xu ƣarni Ibraⱨim ⱪǝbristanliⱪ ⱪilay dǝp Makpelaⱨning etizliⱪi bilǝn ⱪoxup Ⱨittiy Əfrondin setiwalƣanidi.
01320e00bb	Yüsüp atisini dǝpnǝ ⱪilƣandin keyin, ɵzi, ⱪerindaxliri, xundaⱪla atisini dǝpnǝ ⱪilixⱪa uningƣa ⱨǝmraⱨ bolup qiⱪⱪan ⱨǝmmǝ hǝlⱪlǝr Misirƣa yenip kǝldi.
01320f00ca	Lekin Yüsüpning ⱪerindaxliri atisining ɵlüp kǝtkinini kɵrgǝndǝ: — Əmdi Yüsüp bizgǝ düxmǝn bolup bizning uningƣa ⱪilƣan barliⱪ yamanliⱪimizni üstimizgǝ yandurarmikin, deyixti.
013210006d	Ular Yüsüpning ⱪexiƣa adǝm ǝwǝtip: — Atiliri ɵlüxtin ilgiri bizgǝ wǝsiyǝt ⱪilip tapilap: —
0132110128	«Silǝr Yüsüpkǝ: — Akiliring sanga rǝzillik ⱪilƣanidi; ǝmdi ularning asiyliⱪi ⱨǝm gunaⱨini kǝqürgin! — dǝnglar» — degǝnidi. Ⱨazir silidin ɵtünümizki, atilirining Hudasining bǝndilirining asiyliⱪini kǝqürgǝyla! — dedi. Yüsüp bu gǝplǝrni anglap yiƣlidi.
013212006a	Andin akiliri kelip uning aldida ɵzlirini yǝrgǝ etip: — Mana, biz silining ⱪulliridurmiz! — dedi.
0132130057	Lekin Yüsüp ularƣa jawabǝn: — Ⱪorⱪmanglar! Mǝn Hudaning ornida turuwatamdim?
01321400c9	Silǝr dǝrwǝⱪǝ manga xu ixni yaman niyǝt bilǝn ⱪildinglar; lekin Huda bügünki kündikidǝk nurƣunliƣan hǝlⱪning jenini tirik saⱪlap ⱪelix üqün xu ixni yahxiliⱪⱪa bekitkǝnidi.
01321500a6	Xunga ǝmdi ⱪorⱪmanglar; mǝn ⱨǝm silǝrni ⱨǝm bala-qaⱪiliringlarni baⱪimǝn, — dedi wǝ ularning kɵnglini hatirjǝm ⱪilip meⱨirlik gǝp ⱪildi.
0132160066	Yüsüp atisining jǝmǝti bilǝn billǝ Misirda turup ⱪaldi. Yüsüp bir yüz on yil ɵmür kɵrdi.
0132170089	Bu tǝriⱪidǝ Yüsüp Əfraimning üqinqi ǝwladini kɵrdi; Manassǝⱨning oƣli Makirning balilirimu uning tizliri üstidǝ tuƣuldi.
01321800ea	Yüsüp ⱪerindaxliriƣa: — Mǝn ɵlüp ketimǝn; lekin Huda qoⱪum silǝrni yoⱪlap silǝrni bu zemindin qiⱪirip, Ibraⱨim, Isⱨaⱪ wǝ Yaⱪupⱪa berixkǝ ⱪǝsǝm ⱪilip wǝdǝ ⱪilƣan zeminƣa yǝtküzidu, — dedi.
01321900c0	Andin Yüsüp yǝnǝ ⱪerindaxliriƣa ⱪǝsǝm iqküzüp: «Huda silǝrni qoⱪum yoⱪlaydu; xu qaƣda silǝr mening sɵngǝklirimni elip, bu yǝrdin qiⱪip ketixinglar kerǝk», — dedi.
01321a007a	Yüsüp bir yüz on yaxⱪa kirgǝndǝ wapat tapti. Ular uni mumiya ⱪilip, Misirda bir meyit sanduⱪiƣa selip ⱪoydi.
0200000010	Misirdin qiⱪix
02010100b4	Wǝ tɵwǝndikilǝr Israil [bilǝn billǝ] Misirƣa barƣan oƣullirining isimliri (ular ⱨǝrⱪaysisi ɵz bala-qaⱪilirini elip, Yaⱪup bilǝn billǝ Misirƣa barƣanidi): —
0201020021	Rubǝn, Ximeon, Lawiy, Yǝⱨuda,
020103001c	Issakar, Zǝbulun, Binyamin,
020104001b	Dan, Naftali, Gad wǝ Axir.
0201050067	Əmdi Yaⱪupning puxtidin bolƣanlar jǝmiy bolup yǝtmix adǝm idi. Bu waⱪitta Yüsüp Misirda idi.
020106005c	Keyin Yüsüp, uning barliⱪ ⱪerindaxliri ⱨǝmdǝ barliⱪ zamandaxliri ɵlüp tügidi.
020107005d	Xundaⱪtimu, Israillar kɵp tuƣulup, tez awup, intayin küqǝydi; ular zeminƣa bir kǝldi.
0201080054	U waⱪitlarda Yüsüpni bilmǝydiƣan yengi bir padixaⱨ Misirda tǝhtkǝ qiⱪti.
0201090064	U hǝlⱪigǝ: Mana, Israillarning hǝlⱪi bizdin ziyadǝ awup ⱨǝmdǝ bizdinmu küqlinip kǝtti.
02010a00ee	Əmdi biz ularƣa nisbǝtǝn aⱪilanǝ ix tutayli; bolmisa, ular tehimu awup ketidu, mubada urux partlap ⱪalsa, xundaⱪ boliduki, ular düxmǝnlirimiz tǝrǝpkǝ ɵtüp, bizgǝ ⱨujum ⱪilip, yurttin qiⱪip ketixi mumkin, — dedi.
02010b00f5	Xuning bilǝn ular ularni ⱪiliwatⱪan ǝmgǝklǝrdǝ harlax üqün ix baxlirini tǝyinlǝp nazarǝtqilikkǝ ⱪoydi. Xuning bilǝn Israillar Pirǝwn üqün Pitom bilǝn Raamsǝs degǝn maddiy ǝxya saⱪlaydiƣan xǝⱨǝrlǝrni yasap bǝrdi.
02010c0091	Lekin ularni [ⱪanqǝ] ǝzgǝnseri, bular xunqǝ kɵpiyip ⱨǝmmǝ yǝrni ⱪaplidi; buning bilǝn misirliⱪlar Israillarƣa ɵq bolup kǝtti.
02010d006e	Xuning bilǝn misirliⱪlar Israillarƣa zulum ⱪilip, ularni tehimu ⱪattiⱪ ixlitip eƣir ixlarƣa saldi.
02010e00ee	Misirliⱪlar ularni layqiliⱪ, hix-kesǝk ⱪuyux wǝ etizlarning ⱨǝrhil ǝmgǝklirigǝ selip, ixning ⱪattiⱪliⱪi bilǝn ularning turmuxiƣa ⱪattiⱪ eƣirqiliⱪ saldi; ularni nemǝ ǝmgǝkkǝ salmisun, intayin japaliⱪ idi.
02010f007e	Misir padixaⱨi ikki ibraniy tuƣut anisiƣa sɵz ⱪilip (ularning birining ismi Xifraⱨ, yǝnǝ birining ismi Puaⱨ idi):
02011000ab	— silǝr ⱪaqanliki ibraniy hotunlarni tuƣdursanglar, tuƣⱪanda obdan ⱪaranglar; bowaⱪ oƣul bolsa, ɵltürüwetinglar; ⱪiz bolsa, tirik ⱪoyunglar, — dedi.
0201110085	Lekin tuƣut aniliri Hudadin ⱪorⱪup, Misirning padixaⱨi ularƣa eytⱪandǝk ⱪilmay, bǝlki oƣul bowaⱪlarni tirik ⱪoydi.
020112009d	Xunga Misirning padixaⱨi tuƣut anilirini qaⱪirtip ulardin: — Bu nemǝ ⱪilƣininglar?! Oƣul balilarni nemixⱪa tirik ⱪoydunglar? — dǝp soridi.
02011300dd	Tuƣut aniliri Pirǝwngǝ jawab berip: — Ibraniy ayallar misirliⱪ ayallarƣa ohximaydu. Ular küqlük, saƣlam-timǝn bolƣini üqün tuƣut aniliri ularning ⱪexiƣa yetip barƣuqǝ, ɵzliri tuƣup bolidu, — dedi.
020114006d	Nǝtijidǝ, Huda tuƣut aniliriƣa iltipat kɵrsǝtti; Israil hǝlⱪi dawamliⱪ kɵpiyip, tehimu küqǝydi.
0201150089	Xundaⱪ boldiki, tuƣut aniliri Hudadin ⱪorⱪidiƣan ihlasmǝn bolƣanliⱪi üqün Huda ularni aililik boluxⱪa muyǝssǝr ⱪildi.
02011600d3	Buning bilǝn Pirǝwn barliⱪ puⱪraliriƣa: — Israillardin yengi tuƣulƣan oƣul balilarning ⱨǝmmisini dǝryaƣa taxlanglar, lekin ⱪiz balilarning ⱨǝmmisini tirik ⱪaldurunglar, dǝp ǝmr ⱪildi.
020201006a	Lawiyning jǝmǝtidin bolƣan bir kixi berip, Lawiyning nǝslidin bolƣan bir ⱪizni hotunluⱪⱪa aldi.
0202020074	Bu ayal ⱨamilidar bolup, bir oƣul tuƣdi. Ana uning qirayliⱪ ikǝnlikini kɵrüp, uni üq ay yoxurup saⱪlidi.
02020300c1	Uni yǝnǝ yoxuruxⱪa amalsiz ⱪalƣanda, ⱪomuxtin bir sewǝt yasap, uningƣa yaryelim wǝ mom suwap, balini iqigǝ selip, dǝryaning ⱪirƣiⱪidiki ⱪomuxluⱪ arisiƣa ⱪoyup ⱪoydi.
020204004f	Andin balining ⱨǝdisi uningƣa nemǝ bolarkin dǝp yiraⱪtin ⱪarap turdi.
02020500eb	U waⱪitta Pirǝwnning ⱪizi suƣa qɵmülgili dǝrya tǝrǝpkǝ kǝldi; uning qɵriliri dǝrya boyida aylinip yürdi. Pirǝwnning ⱪizi ⱪomuxluⱪning arisida turƣan sewǝtni kɵrüp, has qɵrisini uni elip qiⱪixⱪa ǝwǝtti.
02020600b5	U sewǝtni eqip ⱪariwidi, mana, bir oƣul balini kɵrdi wǝ u bala yiƣlap kǝtti. Mǝlikǝ uningƣa iq aƣritip: — Bu xübⱨisizki ibraniylarning baliliridin biri ikǝn, dedi.
020207009f	U qaƣda balining ⱨǝdisi Pirǝwnning ⱪizidin: — Mǝn berip, sili üqün balini emitip baⱪidiƣan bir ibraniy inik ana tepip kelǝymu? — dǝp soridi.
0202080061	Pirǝwnning ⱪizi uningƣa: — Barƣin, dedi. Ⱪiz berip bowaⱪning anisini qaⱪirip kǝldi.
02020900b1	Pirǝwnning ⱪizi uningƣa: — Bu balini elip ketip mǝn üqün emitip beⱪip bǝr; ⱨǝⱪⱪingni berimǝn, dedi. Xuning bilǝn ayal balini elip ketip, uni emitip baⱪti.
02020a00ac	Bala qong bolƣanda uni Pirǝwnning ⱪizining ⱪexiƣa elip bardi; u uningƣa oƣul boldi. U: «Mǝn uni sudin qiⱪiriwalƣan» dǝp uningƣa Musa degǝn isimni ⱪoydi.
02020b0106	Musa qong bolƣandin keyinki künlǝrdǝ xundaⱪ boldiki, u ɵz ⱪerindaxlirining yeniƣa bardi wǝ ularning eƣir ǝmgǝkkǝ seliniwatⱪanliⱪini ɵz kɵzi bilǝn kɵrdi. Arida, bir misirliⱪning ibraniy ⱪerindaxliridin birini uruwatⱪanliⱪini kɵrdi.
02020c0082	U tɵt ǝtrapiƣa ⱪarap, adǝm yoⱪluⱪini kɵrüp, ⱨeliⱪi misirliⱪni urup ɵltürüp, ⱪumƣa kɵmüp yoxurup ⱪoydi.
02020d00b1	Ətisi u yǝnǝ qiⱪip ⱪariwidi, mana ikki ibraniy bir-biri bilǝn soⱪuxuwatatti; u yolsizliⱪ ⱪiliwatⱪan kixigǝ: — Ɵz ⱪerindixingni nemixⱪa urisǝn? — dedi.
02020e0116	Ⱨeliⱪi kixi jawab berip: — Kim seni bizgǝ ⱨakim wǝ soraⱪqi ⱪilip ⱪoydi? Ⱨeliⱪi misirliⱪni ɵltürginingdǝk menimu ɵltürmǝkqimusǝn? — dedi. Musa bu gǝpni anglap ⱪorⱪup ɵz iqidǝ: «Mǝn ⱪilƣan ix jǝzmǝn axkara bolup ⱪaptu!» dǝp oylidi.
02020f00c4	Pirǝwn ⱨǝm bu ixtin hǝwǝr tepip, Musani ɵltürmǝkqi boldi; lekin Musa Pirǝwnning aldidin ⱪeqip, Midiyan zeminiƣa berip olturaⱪlaxti. Bir küni, u ⱪuduⱪning yeniƣa kelip olturdi.
0202100094	Midiyanning kaⱨinining yǝttǝ ⱪizi bar idi; ular kelip, atisining ⱪoylirini suƣirixⱪa su tartip oⱪurlarƣa ⱪuyup tolduruxⱪa baxlidi.
0202110080	U waⱪitta [yǝrlik] padiqilar kelip, ularni ⱨǝydidi, Musa ⱪopup ⱪizlarƣa yardǝm berip, ⱪoylirini suƣirixip bǝrdi.
0202120080	Ular atisi Reuǝlning ⱪexiƣa yenip kǝlgǝndǝ, ulardin: — Nemixⱪa bügün xunqǝ tez yenip kǝldinglar? — dǝp soridi.
02021300a2	Ular jawab berip: — Bir misirliⱪ adǝm bizni padiqilarning ⱪolidin ⱪutⱪuzdi ⱨǝmdǝ biz üqün su tartip, ⱪoy padimizni suƣiripmu bǝrdi! — dedi.
0202140087	U ⱪizliriƣa: — Undaⱪta u kixi ⱨazir nǝdǝ?! Uni nemixⱪa sirtta taxlap kǝldinglar? Uni tamaⱪⱪa qaⱪiringlar, — dedi.
0202150068	Musa u kixi bilǝn billǝ turuxⱪa maⱪul boldi. U ⱪizi Zipporaⱨni uningƣa hotunluⱪⱪa bǝrdi.
020216007c	U ayal uningƣa bir oƣul tuƣup bǝrdi; Musa «Mǝn yaⱪa yurtta musapirdurmǝn» dǝp, uning ismini Gǝrxom dǝp ⱪoydi.
02021700cd	Nurƣun künlǝr ɵtüp, Misirning padixaⱨi ɵldi. Israillar ɵz ⱪulluⱪ ⱨaliti tüpǝylidin aⱨ-zar urup, nalǝ-pǝryad kɵtürdi; ⱪulluⱪtin bolƣan pǝryadi Hudaning ⱨuzuriƣa berip yǝtti.
0202180085	Huda ularning aⱨ-zarlirini anglap, Ɵzining Ibraⱨim bilǝn, Isⱨaⱪ bilǝn wǝ Yaⱪup bilǝn tüzgǝn ǝⱨdisini esigǝ aldi.
020219005b	Xuning bilǝn Huda Israillarning ⱨal-ǝⱨwalini kɵrdi wǝ Huda ularƣa kɵngül bɵldi.
02030100b5	Musa bolsa ⱪeynatisi Midiyanning kaⱨini Yǝtroning ⱪoy padisini baⱪatti. U ⱪoylarni baxlap qɵlning ǝng qetigǝ Hudaning teƣi, yǝni Ⱨorǝb teƣining baƣriƣa kǝldi.
02030200d1	Xu yǝrdǝ bir azƣanliⱪtin ɵrlǝp qiⱪiwatⱪan ot yalⱪuni iqidin Pǝrwǝrdigarning Pǝrixtisi uningƣa kɵründi. Mana, azƣanliⱪ otta kɵyüwatⱪan bolsimu, lekin azƣan ɵzi kɵyüp kǝtmigǝnidi.
020303007c	Musa: — Mǝn berip, bu ajayip mǝnzirini kɵrüp baⱪay; azƣanliⱪ nemixⱪa kɵyüp kǝtmǝydiƣandu? — dǝp oylidi.
02030400bc	Pǝrwǝrdigar uning buni kɵrgili yoldin qǝtnǝp [azƣanliⱪⱪa] kǝlginini kɵrdi; Huda azƣanliⱪ iqidin uni: — Musa! Musa! — dǝp qaⱪirdi. U: Mana mǝn! — dǝp jawab bǝrdi.
020305007c	U uningƣa: — Bu yǝrgǝ yeⱪin kǝlmǝ; putliringdin kǝxingni salƣin; qünki sǝn turƣan bu yǝr muⱪǝddǝs jaydur.
02030600ac	Mǝn atangning Hudasi, Ibraⱨimning Hudasi, Isⱨaⱪning Hudasi wǝ Yaⱪupning Hudasidurmǝn, — dedi. Buni anglap Musa Hudaƣa ⱪaraxtin ⱪorⱪup, yüzini etiwaldi.
0203070107	Pǝrwǝrdigar uningƣa mundaⱪ dedi: — Bǝrⱨǝⱪ, Mǝn Misirda turuwatⱪan ⱪowmimning tartiwatⱪan azab-oⱪubǝtlirini kɵrdum, nazarǝtqilǝrning ularni [harlawatⱪanliⱪidin] ⱪilƣan pǝryadini anglidim; qünki Mǝn ularning dǝrdlirini bilimǝn.
0203080119	Xunga Mǝn ularni misirliⱪlarning ⱪolidin ⱪutⱪuzup, xu zemindin qiⱪirip, yahxi ⱨǝm kǝng bir zeminƣa, süt bilǝn ⱨǝsǝl eⱪip turidiƣan bir zeminƣa, yǝni Ⱪanaaniy, Ⱨittiy, Amoriy, Pǝrizziy, Ⱨiwiylar wǝ Yǝbusiylarning yurtiƣa elip berixⱪa qüxtüm.
020309007e	Mana ǝmdi Israillarning nalǝ-pǝryadi Manga yǝtti, misirliⱪlarning ularƣa ⱪandaⱪ zulum ⱪilƣanliⱪinimu kɵrdüm.
02030a007a	Əmdi sǝn kǝl, Mǝn seni hǝlⱪim Israillarni Misirdin elip qiⱪirix üqün Pirǝwnning aldiƣa ǝwǝtimǝn, — dedi.
02030b0072	Lekin Musa Hudaƣa: — Mǝn kim idim, Pirǝwnning aldiƣa berip Israillarni Misirdin qiⱪiraliƣudǝk? — dedi.
02030c00ed	U jawab berip: — Bǝrⱨǝⱪ, Mǝn sǝn bilǝn billǝ bolimǝn; sǝn ⱪowmni Misirdin elip qiⱪⱪandin keyin bu taƣda Hudaƣa ibadǝt ⱪilisilǝr; bu ix mana ɵzünggǝ Mening seni ǝwǝtkinimning ispat-bǝlgisi bolidu, — dedi.
02030d00f3	Xuning bilǝn Musa Hudaƣa: — Mǝn Israillarning ⱪexiƣa berip ularƣa: «Ata-bowiliringlarning Hudasi meni ⱪexinglarƣa ǝwǝtti» desǝm, ular mǝndin: «Uning nami nemǝ?» — dǝp sorisa, ularƣa nemǝ dǝp jawab berimǝn? — dedi.
02030e00b5	Huda Musaƣa: — Mǝn «Əzǝldin bar Bolƣuqi»durmǝn — dedi. Andin U: — Berip, Israillarƣa: ««Əzǝldin bar Bolƣuqi» meni ⱪexinglarƣa ǝwǝtti» dǝp eytⱪin, dedi.
02030f014f	Huda Musaƣa yǝnǝ: — Israillarƣa: — «Ata-bowiliringlarning Hudasi, Ibraⱨimning Hudasi, Isⱨaⱪning Hudasi wǝ Yaⱪupning Hudasi bolƣan «Yaⱨwǝⱨ» meni ⱪexinglarƣa ǝwǝtti; U: [Yaⱨwǝⱨ degǝn] bu nam ǝbǝdgiqǝ Mening namim bolidu, dǝwrdin-dǝwrgiqǝ Mǝn xu nam bilǝn ǝskǝ elinimǝn, dǝydu» — degin.
0203100122	— Berip, Israilning aⱪsaⱪallirini yiƣip ularƣa: — «Ata-bowiliringlarning Hudasi, yǝni Ibraⱨim, Isⱨaⱪ wǝ Yaⱪupning Hudasi bolƣan Pǝrwǝrdigar manga kɵrünüp: — Mǝn silǝrni yoⱪlap kǝldim, Misirda silǝrgǝ ⱪandaⱪ muamilǝ ⱪiliniwatⱪanliⱪini kɵrdüm;
0203110105	xuning üqün sɵzüm xudurki, Mǝn silǝrni Misirning zulumidin qiⱪirip, Ⱪanaaniylar, Ⱨittiylar, Amoriylar, Pǝrizziylǝr, Ⱨiwiylar wǝ Yǝbusiylarning zemini, yǝni süt bilǝn ⱨǝsǝl eⱪip turidiƣan zeminƣa elip barimǝn, dedi, — degin, dedi.
020312019b	— Xuning bilǝn ular sening sɵzünggǝ ⱪulaⱪ salidiƣan bolidu. U waⱪitta sǝn, ɵzüng wǝ Israilning aⱪsaⱪalliri bilǝn birgǝ Misir padixaⱨining aldiƣa berip, uningƣa: «Ibraniylarning Hudasi Pǝrwǝrdigar biz bilǝn kɵrüxti. Əmdi sizdin ɵtünimizki, bizgǝ üq künlük yolni besip, qɵlgǝ berip, Hudayimiz Pǝrwǝrdigarƣa ⱪurbanliⱪ ⱪilixⱪa ijazǝt bǝrgǝysiz» — dǝnglar.
