010000000b	Murhondêro
05091900aa	Nacîrhimba oku idaho obwo embere za Nyamubâho, nanayôrha mparamize ezo nsiku makumi anni n’ago madufu makumi anni, bulya Nyamubâho àli àdesire mpu amuherêrekeza.
05091a00d0	Nashenga Nyamubâho namubwîra nti: «Yâgirwa Nyamubâho, omanye wankasherêza olubaga lwâwe n’omwîmo gwâwe wêne walîkûzagya n’obuhashe bwâwe, ogu wanarhenzagya wêne e Mîsiri n’okuboko kuzibu.
05091b0076	Nti kengêra abarhumisi bâwe, Abrahamu, Izaki na Yakôbo, orhalolaga obugamba bw’olubaga, obulala n’amabî gâbo,
05091c00cb	abà muli cirya cihugo warhurhenzagya bakanaderha, erhi: Nyamubâho kuyabirwa ayabîrwe n’okubahisa omu cihugo abalaganyagya, erhi na nshombo kulibo, yarhumaga abahulusa mpu lyo bagendifira omu irungu.
05091d0089	N’obwo lubaga lwâwe olwo, mwîmo gwâwe ogwo, wêne wagurhenzagya e Mîsiri n’obuhashe bwâge bunji n’okuboko kwâwe kulambûle».
050a01009f	Nyamubâho anacimbwîra obwo, erhi: «Obinje zindi nambi ibirhi za mabuye nka zirya ntanzi, onasôkere emunda ndi oku ntondo, obinje n’omucîmba gw’omurhi.
050a020073	Nâyandika kuli ezôla nambi zombi ebinwa byàli kuli zirya nambi ntanzi waberaga, oyishizihira omwôla mucîmba.»
050a0300b6	Nanacibinja omucîmba omu murhi gw’omuvûla, n’erhi mbà namabinja zirya nambi z’amabuye zombi, zinayosire nk’eza burhanzi, nasôkera kulya ntondo n’enambi zâni omu nfune.
050a0400b9	Ayandika kuli ezôla nambi zombi nk’oku anajiraga burhanzi ebinwa ikumi Nyamubâho amubwîriraga oku ntondo, omu karhî k’omuliro, olusiku lw’embugânano. Nyamubâho àganfumbasa.
050a05008e	Nashubirhenga okwôla ntondo, nahira zirya nambi muli gulya mucîmba najiraga zanakaziyôrha zibêra omwôla nk’oku Nyamubâho anantegekaga.
050a0600a1	Bene Israheli banacirhenga aha maliba ga Bene-Yakana, bajà e Mosera; yo Aroni afîrîre, yo anabishirwe, omugala Eleazari ayîma omu cikono câge c’obudâhwa.
050a070064	Kurhenga ahôla bajà e Gudigoda, barhenga e Gudigoda bajà e Yotebata, cihugo ciluziremwo enyîshi.
050a0800e4	Ago mango, Nyamubâho ayegûla ab’obûko bwa Levi, mpu bakazibarhula omucîmba gw’amalaganyo ga Nyamubâho, mpu bakaziyimanga embere za Nyamubâho, bakazimukolera banakazihâna omugisho oku izîno lyâge nk’oku binali ene.
050a09009d	Co carhumire Levi arhabona mwanya arhanabona ishwa aka bene wâbo: Nyamubâho yêne ye kashambala kâge nka kulya Nyamubâho, Nyamuzinda wâwe anamubwîraga.
050a0a00d6	Niehe nabêra oku ntondo nk’oku nanajiraga obw’oburhangiriza, nabêrakwo miregerege makumi anni na madufu makumi anni; ago mango, Nyamubâho anyumvîrhiza kandi; Nyamubâho aleka omulâli gw’okukuherêrekeza.
050a0b0092	Ci kwône Nyamubâho kandi ambwîra, erhi: «Yimuka oshokolere olubaga bagendiyanka cirya cihugo nalaganyagya bîshe nti nabahâco baciyîmemwo».
050a0c010a	Na bunôla, wâni Israheli, bici Nyamubâho, Nyamuzinda wâwe akuhûnyire aha nyuma ly’okurhînya Nyamubâho, Nyamuzinda wâwe, okushimba enjira zâge zoshi, okuzigira n’okukolera Nyamubâho, Nyamuzinda wâwe n’omurhima gwâwe gwoshi, n’omûka gwâwe gwoshi,
050a0d0057	okushimba ebinwa n’aga marhegeko ga Nyamubâho nkurhegesire ene mpu lyo oyishibêrwa.
050a0e006f	Nyamubâho, Nyamuzinda wâwe ye Nnankubà ye na Nnâmahanga goshi, ye Nn’erigulu na ngasi binalibamwo byoshi.
050a0f00b2	Nyamubâho ànabulibà basho bône àcîshwêkerakwo erhi kubarhonya kurhuma, na kandi enyuma zâbo, linali iburha lyâbo, aligi mw’oyo, lyône àcîshozire omu mashanja goshi.
050a100040	Mukembûle omurhima gwinyu munaleke okubà bacikanyi cirhagomha.
050a1100d1	Bulya Nyamubâho, Nyamuzinda wâwe ye Nyamuzinda wa banyamuzinda, ye Nyakasane wa banyakasane, ye Nyamuzinda olushire, Nyamuzinda muhimanyi na wa kurhînywa, arhajira kabôlo kuli ndi arhanalonza luhembo luci.
050a120058	Yetwira enfunzi n’omukana olubanja, ye rhonya ebigolo, ye bihà omugati n’omzambalo.
050a130048	Mukazigira ababunga bulya ninyu mwâli babunga omu cihugo c’e Mîsiri.
050a14006d	Okazizigira Nyamubâho, Nyamuzinda wâwe, onakazimukolera, acîshwêkere kuliye onakazicigasha izîno lyâge.
050a150067	Ye irenge lyâwe, ye Nyamuzinda wâwe, ye wakujiriraga birya binene na bidârhi amasù gâwe gàbonaga.
050a16008f	Basho erhi bayandagalira e Mîsiri, bâli bantu makumi gali nda na bunôla Nyamubâho, Nyamuzinda wâwe àkuluzize nka nyenyêzi z’e malunga.
050b010085	Ozigire Nyamubâho Nyamuzinda wâwe onashimbe ngasi lusiku ebi akurhegesire byoshi, amarhegeko gâge, engeso zâge n’ebinwa byâge.
050b0200c8	Mwacibwinire mwene, mwoyo ci arhali abâna binyu. Bôhe barhabonaga barhanamanyaga amahano ga Nyamubâho, Nyamuzinda winyu, obukulu bwâge, emisî y’olubî lwâge n’ey’okuboko kwâge kulambûle,
050b03007c	ebimanyîso n’ebindi akozire omu Mîsiri, ebi akolîre Faraoni mwâmi w’e Mîsiri w’e Mîsiri n’ecihugo câge coshi,
050b0400d4	ebi akolîre emirhwe y’abalwî b’e Mîsiri, enfarasi zâbo n’engàle zâbo, galya mango abalikiragakwo amîshi g’Enyanja Ndukula banamulibisirekwo luminomino, kulya abagukumulaga baherêrekera kuhika ene.
050b050051	Abâna binyu barhabonaga ebi àmujirîre omu irungu kuhika aga mango mwahika aha;
050b0600dc	ebi akolîre Datani, Abironi na bene Eliabu wa kuli bene Rubeni, galya mango idaho liyashama linabamirangukiza omu karhî ka Israheli yêshi, lyamirangusabo n’emilala yâbo n’amahêma gâbo n’ebirugu byâbo byoshi.
050b07003e	Amasù ginyu gabwîne ebyo bidârhi Nyamubâho akozire byoshi.
050b08007b	Mulange amarhegeko mmurhegesire ene goshi, lyo mubà bazibu munahashigwârha eci cihugo mwajamwo mpu muciyanke cibè cinyu.
050b090085	Ntyôla mwalamira nsiku nyinji muli eco cihugo Nyamubâho alaganyagya basho n’obûko bwâbo, cihugo cihululamwo amarhà n’obûci.
050b0a00b4	Kulya kubà eco cihugo wajamwo cirhali nk’ecihugo c’e Mîsiri mwarhengamwo, eyo munda mwakazagiba mwamarhwêra emburho munagaliyidômera n’okugulu nka kula badômera obusane.
050b0b0070	Ecihugo wajamwo mpu ogendiyanka côhe ciri cihugo ca rhubanda n’ebirhondo bidômerwa n’enkuba y’oku nkuba.
050b0c00b3	Ciri cihugo Nyamubâho, Nyamuzinda wâwe abà alanzire n’amasù ga Nyamubâho Nyamuzinda wâwe garhacirhengakwo, kurhenga aha murhondêro gw’omwâka kuhika aha buzinda bwâgo.
050b0d00ab	Kwo biri ntyo. Erhi mwakanayumva amarhegeko gâni mmuhîre ene, okuzigira Nyamubâho Nyamuzinda winyu, n’okumukolera n’omurhima gwinyu gwoshi n’omûka gwinyu gwoshi;
050b0e009e	ecihugo cinyu nacihà enkuba amango gakwânîne, enkuba mpangûka n’enkuba y’oku lugaze, na ntyo wanahaka engano yâwe, erivayi lyâwe n’amavurha gâwe.
050b0f0039	Ebintu byâwe nabihà obwasi e bulambo, walya onayigurhe.
050b100070	Mumanyage omurhima gwinyu gwakanashumikwa, obone mwamahabuka mukazikolera abandi banyamuzinda n’okubaharâmya;
050b1100c0	mucîzukize engulumira y’oburhè bwa Nyamubâho, mubone amayigala amalunga, enkuba ebulikane, ishwa lirhaciyeramwo bici, kano kanya mwamaherêrekera muli eci cihugo cinjà Nyamubâho amuhà.
050b120088	Ebi binwa mmubwîzire, mubihirage oku murhima n’omu mûka gwinyu. Mubishwêkere oku kuboko nka cêrekane n’oku malanga nka ishembwa.
050b130097	Mubiyigîrize bagala binyu, munakazibakengezabyo, obè otamîre omu mwâwe erhi odwîrhe walambagira omu njira, obè ogwîshîre erhi obè oyîmanzire.
050b14003e	Obiyandike oku mikango y’enyumpa yâwe n’oku nyumvi zâwe,
050b150093	na ntyo, ensiku zâwe n’eza bagala bâwe, mw’eci cihugo Nyamubâho alaganyagya basho mpu abahà, zanaluga aka ez’oku nkuba enyanya z’igulu.
050b1600ad	Bulyâlya erhi mwakanalanga mukanashimba aga marhegeko mmurhegesire goshi mukazigira Nyamubâho, Nyamuzinda winyu, mukanashimba enjira zâge zoshi, n’okucishwekera kuliye,
050b170072	Nyamubâho anamunyagira eby’aga mashanja goshi, ninyu mwene mwananyaga ebya mashanja manene na mazibu kumulusha.
050b1800e5	Ngasi abà mwakanahira olushando erhi hanakola aha kwinyu, olubibi lwinyu lunali kurhenga oku irungu kuhika e Libano, kurhenga oku lwîshi, olwîshi lwa Efurata, kuhika oku nyanja y’e Buzikiro bw’izûba, lyo ishwa linyu eryo.
050b19009d	Ntâye wahagaza embere zinyu, Nyamubâho Nyamuzinda winyu amukengesa bakazimurhînya omu ngasi ishwa mwakanahiramwo olushando, nka kulya yêne amulaganyagya.
050b1a0051	Ka murhabwîni? Nioyo namadêkereza embere zinyu ene okugishwa n’okuhehêrerwa.
050b1b005a	Kugisha erhi mwakanashimba amarhegeko murhegesire ene gali ga Nyamubâho Nyamuzinda winyu.
050b1c00b9	Kuhehêrerwa, akabà murhashimbiri amarhegeko ga Nyamubâho, Nyamuzinda winyu, n’erhi mwakarhenga omu njira mmurhegesire ene, mukaderha mpu mwashimba abandi banyamuzinda murhamanyaga.
050b1d008e	N’amango Nyamubâho, Nyamuzinda wâwe abà amakuhisa mw’eci cihugo wajamwo mpu ociyanke cibè câwe, onahire omugisho oku ntondo ya Ebali.
050b1e00c8	Ezo ntondo ntâye ohabire oku zibà ishiriza lya Yordani, omu njira y’e Bushoshôkero bw’izûba omu cihugo c’Abekanani bayûbaka omu Araba aha ishiriza lya Giligala hôfi n’omurhi gw’e More.
050b1f0086	Nêci, mukola mwayikira Yordani, mpu mugendiyanka ecihugo Nyamubâho Nyamuzinda winyu amuhà. Mwaciyanka cibè cinyu munaciyûbakemwo.
050b200040	Mulange munashimbe amarhegeko goshi n’engeso muhugûlîre ene.
050c0100a6	Alagi amarhegeko n’engeso mwalanga n’okushimba muli eco cihugo Nyamubâho, Nyamuzinda wa basho akuhîre mpu cibè câwe ensiku zoshi z’akalamo kinyu hano igulu.
050c0200b7	Muhongole munashande ngasi bantu amashanja mwajihulusa gàli gayubasire mpu gakazigashânirizamwo ba nyamuzinda wâbo, abè oku ntondo, abè omu birhondo, abè aha murhi gujinîrîre.
050c0300b2	Mushâbe empêro zâbo, mujonjage amabuye gâbo g’aha luhêro, n’emirinzi yâbo muyiyoce. Mushangule enshusho babinjiraga banyamuzinda bâbo, munazâze amazîno gâbo ahôla.
050c04003f	Nyamubâho, Nyamuzinda winyu yêhe, arhalikwo mwamujirira ntyo.
050c050084	Ci halya Nyamuzinda winyu acîshoga omu mashanja ginyu mpu ahireho izîno lyâge n’okulibezaho ho mwakaziyisha n’okumulongezaho.
050c060113	Ahôla ho mwakazilêrha enterekêro zinyu z’embâgwa n’ezindi nterekêro, entûlo zinyu n’ensholôlo z’omu nfune zinyu, enterekêro zinyu z’okuyukîriza omuhigo n’ezindi nterekêro munalonzize, enterekêro z’olubere lw’ebintu binyu binênênè n’ebinyinyî.
050c07007a	Ahôla ho mwanakazirîra, omu masù ga Nyamubâho, Nyamuzinda winyu, kulya kubà Nyamubâho, Nyamuzinda winyu àkugishire.
050c080066	Arhali kwo mwajira nk’oku rhudwîrhe rhwajira ahâla ene: ngasi muguma adwîrhe ajira oku anabwîne,
050c090060	kulya kubà murhacihika aha baluhukiro n’oku kashambala Nyamubâho, Nyamuzinda wâwe akuhîre.
050c0a00ad	Mukolaga mwayikira Yordani, mwagendibêramwo cirya cihugo Nyamubâho, Nyamuzinda winyu amuhà mpu muciyîmemwo. Amucinga oku babisha bamulieburhambi muyûbake n’omurhûla.
050c0b012c	Ago mango, n’aho hantu Nyamubâho, Nyamuzinda winyu acîshoga mpu ho abêza izîno lyâge ho mwakazilêrha ngasi ebi namurhegesire byoshi: enterekêro zinyu z’embâgwa n’ezindi nterekêro, entûlo zinyu, ensholôlo z’omu nfune zinyuna ngasi binjà wâbà walaganyize Nyamubâho omu ciragâne;
050c0c00e3	aga mango, musîme omu masù ga Nyamubâho Nyamuzinda winyu, mwe nabagala binyu na bali binyu, na bambali na bambalikazi binyu, n’omuleviti oyûbasire emwinyu, kulya kubà arhagwêrhi mwanya arhanashangîri akashambala kinyu.
050c0d0036	Orhahîraga okarherekêra aha ngasi luhêro onabwîne;
050c0e009a	ci halya hantu Nyamubâho acîshoga omu ishanja linyu liguma, hône wakazirherekêrera enterekêro zâwe z’embâgwa n’okukola ngasi ebi nakurhegesire.
050c0f00fb	Ci kwône, ngasi mango wakanayumva omurhima gucîfinjirekwo, omu ngasi murhundu gwinyu, wanabaga onalye enyama nk’oku omugisho gwa Nyamubâho gunakuhîre. Omuntu, abè mwêru kwêru erhi nanga, anayiryakwo, ciru yankaba ya kashafu erhi ya nshagarhi.
050c100038	Murhalye omukò, ci munagubulagire oku idaho nka mîshi.
050c110145	Omu mirhundu yâwe, orhaliremwo ecihimbi ca kali ikumi c’engano yâwe, ec’idivayi lyâwe erhi ec’amavurha gâwe, olubere lw’ebintu byâwe binênênè erhi bisungunu nîsi erhi ciru ehiguma hy’oku nterekêro zâwe z’okuyûkiriza omuhigo nîsi erhi enterekêro z’obulonza erhi enterekêro enfune zâwe zihânyire.
050c120151	Ci kwône wanabirîra omu masù ga Nyamubâho, Nyamuzinda wâwe, halya hantu Nyamubâho, Nyamuzinda wâwe acîshogaga honênè, woyo, mugala wâwe na mwâli wâwe, mwambali wâwe na mwambalikazi wâwe n’omuleviti oli aha mwâwe, wanalya osîme, omu masù ga Nyamubâho, Nyamuzinda wâwe, ocîshingire ebinja byarhenga omu maboko gâwe.
050c13004b	Amango goshi wâbà olimwo eco cihugo câwe, orhahîraga okuhaba omuleviti.
050c1400d0	Hano Nyamubâho, Nyamuzinda wâwe abà amagalihya ecihugo câwe nka kulyâla anakubwîraga, n’amango wayumva iralà ly’enyama okanaderha, erhi: «Nakasîmire okulya enyama», onayirye nk’oku onalonzize.
050c1500ca	Erhi akabà aho hantu Nyamubâho, Nyamuzinda wâwe acîshozire mpu ho ahira izîno lyâge hali kuli nâwe, wanakazibâga omu bintu binyinyi n’ebinênènè Nyamuzinda akuhîre, nka kulya nakurhegekaga.
050c160070	Ci kwône kwo wanabirya kula banalya akashafu erhi enshagarhi: omuntu mucêse n’orhali mucêse haguma balîra.
050c17005b	Ci kwo omanye wakalya omukò, bulya omukò gwo mûka, orhakanalya omûka okalya n’enyama.
050c180033	Orhalyaga omukò: ogubulagire oku idaho nka mîshi.
050c190086	Orhahîraga okagukoza ekanwa lyo obêrwa woyo na mugala wâwe enyuma zâwe ebwa kubà okozire ebishingânîne omu masù ga Nyamubâho.
050c1a009b	Ci kwône ebirugu bitagatîfu, birya binali byâwe, haguma n’entûlo z’okuyûkiriza omuhigo, okazibiyanka obihêke halya hantu Nyamubâho àcîshozire.
050c1b0074	Enterekêro y’entumwa n’omukò oyisingônolere oku luhêrero lwa Nyamubâho Nyamuzinda wâwe, n’enyama ozirye,
050c1c00ce	Olange onashimbe bwinjà ebîra nkurhegesire, na ntyo wanakazibêrwa ensiku zoshi woyo na mugala wâwe enyuma zâwe, ebwa kubà wajizire ebiri binjà binashingânîne embere za Nyamubâho, Nyamuzinda wâwe.
050c1d00c2	Eyo munda wajà, amango Nyamubâho Nyamuzinda wâwe abà amahererêkeza amashanja gâyo goshi, amanakushokolera ayisha abanyaga n’amango wâbà wamabanyaga onakola odekerîre omu cihugo câbo,
050c1e0114	ago mango onamanyage wakagwârhwa omu murhego, onamanyage wakaderha mpu wabashimba wamanarhangibaherêrekeza embere zâwe. Omanyage wakadôkereza ebya banyamuzinda bâbo omu kuderha erhi: «Aga mashanja kurhigakazâg’ikolera banyamuzinda bâbo? Erhi kwo nâni najira ntyo!»
050c1f010c	Arhali kwo wakola ntyo embere za Nyamubâho, Nyamuzinda wâwe. Bulyâla ebyo byoshi Nyamubâho arhabibonakwo arhanakwirirwa ebi ago mashanja gajirira banyamuzinda bâbo: kali ciru banayôkere bagala bâbo na bâli bâbo omu cîko mpu lyo basîmîsa banyamuzinda bâbo.
050c20005f	Ebyo mmurhegesire byoshi, mubilange munabishimbe, buzira kuyûshûla erhi kubinyihyakwo akantu.
050d01006b	Erhi emwinyu yakazûka omulêbi erhi mulôsi wa bilôrho, akakuyêreka ecimanyîso erhi cisômerîne cirebe
050d0200c9	cirya cimanyîso, erhi cirya cisômerîne cikaba nk’oku ànaderhaga, n’enyuma z’ahôla, akakubwîra erhi: «Rhucîshimbire abandi banyamuzinda, abà orhayishi, akanakubwîra mpu mubagashânize»,
050d0300e3	orhayumvagya ebinwa by’oyo mulêbi nîsi erhi eby’oyo mulôsi w’ebilôrho, bulya Nyamubâho, Nyamuzinda wâwe anakurhangula kwa bene okwo, mpu amanye erhi onazigira Nyamubâho, Nyamuzinda wâwe n’omurhima gwâwe gwoshi.
050d0400a2	Nyamubâho, Nyamuzinda wâwe yêne ye mwakulikira ye mwanakenga; amarhegeko gâge go mwashimba, izù lyâge lyo mwakaziyumva, ye mwakolera, ye mwacîshwêkerakwo.
050d050112	Oyo mulêbi erhi oyo mulôsi ali wa kufà, bulyâla amayigîriza abantu okugomera Nyamubâho, Nyamuzinda wâwe wakukûlaga omu cihugo ca Mîsiri, akucungula omu nyumpa y’obujà, na kandi amakuhabula àkurhenza omu njira Nyamubâho, Nyamuzinda akurhegekaga mpu okazishimba.
050d060125	Erhi mwene winyu, mwene sho erhi mwene nyoko, mugala wâwe erhi mwâli wâwe, nîsi erhi omukazi ôyegemera ecifuba câwe, erhi omwîra orhonya nka mûka gwâwe wêne, erhi akakushumika mahwe-mahwe, erhi: «Rhugende rhujikolera abandi ba nyamuzinda, balya wêne orhayishi na basho barhabayishi
050d070097	“ba muli balya banyamuzinda b’amashanja gali eburhambi bwinyu, gabè ga kuli erhi ga hôfi, kurhenga oku cikwi kuhika oku cindi cikwi c’igulu”,
050d08008d	“orhayêmêraga ebinwa byâge orhabirhegaga okurhwiri, isù lyâge lirhabâga lya lukogo, orhamubabaliraga orhanafulikaga obubî bwâge”.
050d090086	“Nêci, okwânîne omuyîrhe, we wamulîkira okuboko kurhanzi kw’okumuyîrha, na kandi okuboko kw’olubaga lwoshi kuholêreze”.
050d0a0097	“Mabuye wamubanda kuhika afè; bulyâla ali alonzize okukucîka kuli Nyamubâho, Nyamuzinda wâwe, wakurhenzagya e Mîsiri, omu nyumpa y’obujà”.
050d0b005c	“Israheli yêshi akumanya anageremwo omusisi, analeke okukola ago maligo ekarhî kâwe”.
050d0c006f	“Erhi wakayumva baderha mpu murhundu muguma mw’erya Nyamubâho, Nyamuzinda wâwe àkuhâga mpu obêremo”,
050d0d009e	“gulimwo abantu ba busha b’omu bûko bwâwe, bahabwîre abâbo bashizi bababwîra mpu: Rhugende rhukolere abandi banyamuzinda, balyâla ôrhali oyishi”,
050d0e00a7	“ago mango onalole ehyo hibanja bwinjà odôse ciru onadôkereze. Kukaboneka oku nêci kwo binali ntyôla, na ntâco cirhindizize obwo bubî bwanajizirwe emwâwe”,
050d0f0076	“ababà bw’ogwo murhundu boshi, onabayôhemwo engôrho, ogwo murhundu onagushandâze gwo n’ebigubamwo byoshi”,
050d1000d3	“ebyakanyagwa byoshi, onabilunde omu ngo y’emuhanda, omurhundu oguyôkere kuguma n’eminyago yago yoshi, gwoshi ogurhûle Nyamubâho, Nyamuzinda wâwe. Gushube bigûkà by’ensiku zoshi birhaciyûbakwe”.
050d1100c2	“Orhayôrhanaga akantu ka muli olwo lugo luhehêrere, kuderha mpu Nyamuzinda arhûlirire, aleke oburhè anali, obwonjo bwâwe bumugwarhe akubabalire anakuluze, nka kulya àlaganyagya basho”,
050d1200bf	“casinga oyumvîrhize izù lya Nyamubâho, Nyamuzinda wâwe, oshimbe amarhegeko gâge goshi, agâla nkurhegesire ene, onakole ebishingânîne omu masù ga Nyamubâho, Nyamuzinda wâwe”».
050e010076	Mwoyo muli bâna na Nyamubâho, Nyamuzinda winyu. Murhahîra mukashâkwa nîsi erhi okumômwa ebisike nka hali ofîre.
050e0200a4	Bulya woyo oli lubaga lwarhûzirwe Nyamubâho, Nyamuzinda wâwe, na Nyamubâho àcikwishozire omu gandi mashanja goshi gabà hanôla igulu, mpu obè ishanja lyâge.
050e03002b	Orhahîraga okulya akantu k’okushologosa.
050e04003c	Alaga ebintu n’ensimba ndibwa: enkafu, ecibuzi n’empene,
050e050050	enshagarhi, akashafu, empongo, akasa n’ensunu, empovu n’empene y’emuzirhu.
050e060054	Wanalya ngasi cintu erhi nsimba ejira ensenyi mberemwo ebè erhi kuvûgusa evûgusa.
050e0700a7	Ci kwône, omu bintu bivûgusa n’omubintu bijira ensenyi mberemwo, murhahîra mukalya ngasi bûko bwa ngamiya n’obw’omurhonè. Ezo ozilole nka nsimba zihumânya.
050e08008d	Engulube nayo ejira ensenyi mberemwo ci kwône erhavûgusa: oyilole nka ya kuhumânya. Orhakalya enyama zâzo orhakanahuma oku mirhumba yazo.
050e09006c	Omu nsimba z’omu mîshi, zo mwakalya ezi: ngasi ezijira emishûgi y’emugongo n’enjula, ezo mwanazirya.
050e0a0067	Ci ezirhajira mishûgi y’emugongo zirhanajira njula murhakazirya; ezo mukazizilola nka za kuhumânya.
050e0b0020	Mwanalya ngasi kanyunyi kacîre.
050e0c0037	Alagi ebinyunyi murhakâlya: ikozi, cigukuma, cunjunja,
050e0d0030	akadurha, ecihimbi na ngasi bûko nyunda bwoshi,
050e0e0016	obûko cihungu bwoshi,
050e0f0031	kanga, kahenè, nyamulobo, na ngasi bûko lubakà
050e100023	cirifûfu, hunira na kaduba mahiri,
050e110020	hajawa, enkongoro n’emînâna,
050e120032	lubondo n’obûko bwâge, hangâli n’omutulama.
050e13004d	Ngasi rhusimba rhwa mashala mukazilolarho nka rhwakuhumânya, murhankalyarho.
