25	66	1189	563
File Name	Holy-Bible---English---STEPBible-Concordant---Standard-Edition.noia
19	and lest to lift: raise eye your [the] heaven [to] and to see: see [obj] [the] sun and [obj] [the] moon and [obj] [the] star all army [the] heaven and to banish and to bow to/for them and to serve: minister them which to divide LORD God your [obj] them to/for all [the] people underneath: under all [the] heaven
20	and [obj] you to take: take LORD and to come out: send [obj] you from furnace [the] iron from Egypt to/for to be to/for him to/for people inheritance like/as day: today [the] this
21	and LORD be angry in/on/with me upon word: because your and to swear to/for lest to pass I [obj] [the] Jordan and to/for lest to come (in): come to(wards) [the] land: country/planet [the] pleasant which LORD God your to give: give to/for you inheritance
22	for I to die in/on/with land: country/planet [the] this nothing I to pass [obj] [the] Jordan and you(m. p.) to pass and to possess: take [obj] [the] land: country/planet [the] pleasant [the] this
23	to keep: careful to/for you lest to forget [obj] covenant LORD God your which to cut: make(covenant) with you and to make to/for you idol likeness all which to command you LORD God your
24	for LORD God your fire to eat he/she/it God jealous
25	for to beget son: child and son: child son: child and to sleep in/on/with land: country/planet and to ruin and to make idol likeness all and to make: do [the] bad: evil in/on/with eye: seeing LORD God your to/for to provoke him
26	to testify in/on/with you [the] day: today [obj] [the] heaven and [obj] [the] land: country/planet for to perish to perish [emph?] quickly from upon [the] land: country/planet which you(m. p.) to pass [obj] [the] Jordan there [to] to/for to possess: take her not to prolong [emph?] day: today upon her for to destroy to destroy [emph?]
27	and to scatter LORD [obj] you in/on/with people and to remain man number in/on/with nation which to lead LORD [obj] you there [to]
28	and to serve: minister there God deed: work hand man tree: wood and stone which not to see: see [emph?] and not to hear: hear [emph?] and not to eat [emph?] and not to smell [emph?]
29	and to seek from there [obj] LORD God your and to find for to seek him in/on/with all heart your and in/on/with all soul your
30	in/on/with distress to/for you and to find you all [the] word: thing [the] these in/on/with end [the] day and to return: return till LORD God your and to hear: obey in/on/with voice his
31	for God compassionate LORD God your not to slacken you and not to ruin you and not to forget [obj] covenant father your which to swear to/for them
32	for to ask please to/for day first: previous which to be to/for face: before your to/for from [the] day which to create God man upon [the] land: country/planet and to/for from end [the] heaven and till end [the] heaven to be like/as Chronicles [the] great: large [the] this or to hear: hear like him
33	to hear: hear people voice God to speak: speak from midst [the] fire like/as as which to hear: hear you(m. s.) and to live
34	or to test: try God to/for to come (in): come to/for to take: take to/for him nation from entrails: among nation in/on/with trial in/on/with sign: miraculous and in/on/with wonder and in/on/with battle and in/on/with hand: power strong and in/on/with arm to stretch and in/on/with fear great: large like/as all which to make: do to/for you LORD God your in/on/with Egypt to/for eye: before(the eyes) your
35	you(m. s.) to see: see to/for to know for LORD he/she/it [the] God nothing still from to/for alone: besides him
36	from [the] heaven to hear: hear you [obj] voice his to/for to discipline you and upon [the] land: country/planet to see: see you [obj] fire his [the] great: large and word his to hear: hear from midst [the] fire
37	and underneath: because of for to love: lover [obj] father your and to choose in/on/with seed: children his after him and to come out: send you in/on/with face his in/on/with strength his [the] great: large from Egypt
38	to/for to possess: take nation great: large and mighty from you from face: before your to/for to come (in): bring you to/for to give: give to/for you [obj] land: country/planet their inheritance like/as day: today [the] this
39	and to know [the] day and to return: recall to(wards) heart your for LORD he/she/it [the] God in/on/with heaven from above and upon [the] land: country/planet from underneath: under nothing still
40	and to keep: obey [obj] statute: decree his and [obj] commandment his which I to command you [the] day which be good to/for you and to/for son: child your after you and because to prolong day upon ([the] land: soil *L(abh)*) which LORD God your to give: give to/for you all [the] day
41	then to separate Moses three city in/on/with side: beyond [the] Jordan east [to] sun
42	to/for to flee there [to] to murder which to murder [obj] neighbor his in/on/with without knowledge and he/she/it not to hate to/for him from yesterday three days ago and to flee to(wards) one from [the] city [the] these and to live
43	[obj] Bezer in/on/with wilderness in/on/with land: country/planet [the] plain to/for Reubenite and [obj] Ramoth in/on/with Gilead to/for Gad and [obj] Golan in/on/with Bashan to/for Manassite
44	and this [the] instruction which to set: make Moses to/for face: before son: descendant/people Israel
45	these [the] testimony and [the] statute: decree and [the] justice: judgement which to speak: speak Moses to(wards) son: descendant/people Israel in/on/with to come out: come they from Egypt
46	in/on/with side: beyond [the] Jordan in/on/with valley opposite Beth-peor Beth-peor in/on/with land: country/planet Sihon king [the] Amorite which to dwell in/on/with Heshbon which to smite Moses and son: descendant/people Israel in/on/with to come out: come they from Egypt
47	and to possess: take [obj] land: country/planet his and [obj] land: country/planet Og king [the] Bashan two king [the] Amorite which in/on/with side: beyond [the] Jordan east sun
48	from Aroer which upon lip: edge torrent: valley Arnon and till mountain: mount (Mount) Sirion he/she/it (Mount) Hermon
49	and all [the] Arabah side: beside [the] Jordan east [to] and till sea [the] Arabah underneath: under Slopes (of Pisgah) [the] Pisgah
5	33
1	and to call: call to Moses to(wards) all Israel and to say to(wards) them to hear: hear Israel [obj] [the] statute: decree and [obj] [the] justice: judgement which I to speak: speak in/on/with ear: hearing your [the] day and to learn: learn [obj] them and to keep: careful to/for to make: do them
2	LORD God our to cut: make(covenant) with us covenant in/on/with Horeb
3	not with father our to cut: make(covenant) LORD [obj] [the] covenant [the] this for with us we these here [the] day all our alive
4	face in/on/with face to speak: speak LORD with you in/on/with mountain: mount from midst [the] fire
5	I to stand: stand between LORD and between you in/on/with time [the] he/she/it to/for to tell to/for you [obj] word LORD for to fear from face of [the] fire and not to ascend: rise in/on/with mountain: mount to/for to say
6	I LORD God your which to come out: send you from land: country/planet Egypt (from house: home servant/slave *L(p)*)
7	(not to be to/for you God another *L(p)*) upon (face: before my *L(p)*)
8	(not to make to/for you idol *L(p)*) all (likeness which in/on/with heaven from above and which in/on/with land: country/planet from underneath: under *L(p)*) and which (in/on/with water from underneath: under to/for land: country/planet *L(p)*)
9	not (to bow to/for them *L(p)*) and not (to serve: minister them *L(p)*) for I LORD God your God jealous to reckon: visit iniquity: crime father upon son: child and upon third and upon fourth (to/for to hate me *L(p)*)
10	(and to make: do kindness *L(p)*) (to/for thousand *L(b+p)*) to/for to love: lover me and to/for to keep: obey (commandment my *Q(K)*)
11	not to lift: raise [obj] name LORD God your to/for vanity: vain for not to clear LORD [obj] which to lift: raise [obj] name his to/for vanity: vain
12	(to keep: obey *L(p)*) [obj] (day [the] Sabbath to/for to consecrate: consecate him *L(p)*) like/as as which (to command you LORD God your *L(p)*)
13	(six day *L(p)*) (to serve: labour *L(b+p)*) (and to make: do all work your *L(p)*)
14	and day ([the] seventh Sabbath *L(p)*) (to/for LORD *L(b+p)*) (God your *L(p)*) not to make: do all work you(m. s.) and son: child your and daughter your and servant/slave your and maidservant your and cattle your and donkey your and all animal your and sojourner your which in/on/with gate your because to rest servant/slave your and maidservant your (like you *L(p)*)
